"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Durable goods","DDURRG3",44.508,44.917,45.168,45.757,46.106,46.711,48.337,48.424,48.262,47.946,47.363,47.306,47.162,47.523,48.182,48.977,50.788,51.127,51.146,51.64,51.992,51.379,51.911,50.692,51.186,51.244,50.916,51.015,51.422,50.13,49.308,49.021,49.326,49.568,50.04,50.173,50.364,50.472,51.202,51.87,52.287,53.01,53.005,53.108,54.052,53.834,53.779,53.587,54.522,54.73,54.721,54.697,54.617,54.552,54.385,54.29,54.299,54.556,54.804,54.736,54.744,54.815,54.995,54.779,54.796,54.964,55.119,55.293,55.373,55.341,55.281,55.171,55.18,55.007,54.733,54.432,54.359,54.593,54.834,55.085,54.97,55.212,55.821,56.385,56.75,57.096,57.572,58.097,58.436,58.874
"12","4","    Motor vehicles and parts","DMOTRG3",22.835,22.853,23.198,23.533,23.79,24.079,25.955,25.744,25.851,25.923,25.635,25.647,25.687,25.894,25.851,25.907,26.713,26.899,26.985,28.032,28.708,28.219,28.992,27.181,27.976,28.019,27.382,27.586,28.295,26.74,26.026,26.06,26.479,26.894,27.405,27.585,27.845,27.799,28.548,29.096,29.715,30.371,30.201,30.14,31.217,31.176,31.379,31.211,32.664,32.883,32.835,32.8,32.53,32.312,32.024,31.864,31.881,32.261,32.677,32.638,32.658,32.909,33.129,32.869,32.881,33.09,33.259,33.37,33.477,33.425,33.432,33.35,33.469,33.264,33.028,32.829,32.729,32.9,32.996,33.066,32.692,32.962,33.646,34.189,34.185,34.355,34.623,34.925,34.956,35.147
"13","5","    Furnishings and durable household equipment","DFDHRG3",40.087,40.627,41.028,41.567,41.819,42.359,42.942,43.065,42.374,41.541,41.17,41.067,40.854,41.344,42.665,44.197,46.221,46.834,46.704,46.555,46.485,45.985,46.1,45.875,45.914,46.123,46.369,46.359,46.196,46.153,45.957,45.587,45.573,45.551,45.699,45.707,45.602,45.768,46.088,46.577,46.522,46.762,46.861,46.983,47.245,46.662,46.398,46.435,46.51,46.735,46.802,46.811,46.966,47.11,47.181,47.25,47.249,47.316,47.302,47.275,47.294,47.239,47.186,47.194,47.178,47.188,47.247,47.393,47.415,47.389,47.261,47.15,47.085,47.057,46.943,46.911,46.965,47.152,47.536,47.9,48.066,48.244,48.595,48.913,49.65,50.187,50.576,51.016,51.482,51.993
"14","6","    Recreational goods and vehicles","DREQRG3",207.981,210.517,209.778,213.084,215.503,219.383,225.448,229.776,231.705,231.803,229.819,230.344,227.694,226.361,229.624,231.857,237.673,234.862,232.731,229.232,227.527,225.402,225.155,223.934,222.409,222.422,223.502,222.228,220.812,217.333,213.455,210.355,209.872,208.31,208.654,208.219,208.751,210.126,211.685,213.921,214.36,217.531,219.773,222.601,225.664,226.217,224.449,221.872,218.865,217.775,217.812,217.891,218.878,219.699,219.999,219.712,219.237,218.824,218.141,217.383,216.793,216.229,215.728,215.258,215.157,215.564,215.958,215.605,213.791,213.219,212.637,212.189,211.799,210.821,209.694,207.78,207.43,207.382,207.78,208.184,208.855,208.711,208.494,209.743,211.288,212.096,213.684,215.133,216.489,217.932
"15","7","    Other durable goods","DODGRG3",27.598,27.917,27.348,27.524,27.531,27.82,28.047,28.221,28.295,28.192,27.357,27.228,27.096,27.18,27.426,27.774,28.892,28.921,29.328,29.054,28.931,28.883,28.884,29.23,29.138,28.989,29.163,29.167,29.229,28.755,28.174,27.901,28.171,28.112,28.153,28.189,28.274,28.4,28.54,28.59,28.452,28.687,28.703,28.709,28.606,28.766,28.68,28.641,28.796,28.824,28.818,28.796,28.86,28.892,28.905,28.893,28.909,28.823,28.799,28.779,28.829,28.464,28.803,28.725,28.825,28.793,28.757,29.051,29.407,29.628,29.655,29.696,29.467,29.63,29.538,29.143,29.115,29.382,29.477,29.771,30.011,30.03,30.18,30.325,30.461,30.457,30.881,31.397,31.908,32.229
"16","8","  Nondurable goods","DNDGRG3",16.217,16.375,16.671,17.175,17.457,17.632,17.803,17.619,17.35,17.127,16.932,16.804,16.698,16.775,17.256,17.652,18.397,18.564,18.524,18.758,18.777,18.707,18.74,18.817,18.736,18.657,18.696,18.69,18.752,18.814,18.739,18.652,18.651,18.598,18.616,18.605,18.649,18.823,19.003,19.061,19.237,19.341,19.547,19.625,19.938,19.976,19.915,19.814,19.875,19.88,19.966,20.04,20.012,20.156,20.216,20.329,20.36,20.218,20.255,20.217,20.296,20.35,20.37,20.476,20.505,20.485,20.635,20.677,20.801,20.797,20.86,20.945,21.008,21.206,21.323,21.371,21.658,21.841,21.994,22.132,22.126,22.161,22.393,22.544,22.777,22.993,23.213,23.456,23.63,23.96
"17","9","    Food and beverages purchased for off-premises consumption","DFXARG3",14.537,14.575,14.885,15.423,15.574,15.644,15.745,15.391,15.176,15.023,14.855,14.77,14.623,14.731,15.22,15.535,16.422,16.58,16.533,16.908,16.989,16.986,17.083,16.993,16.75,16.635,16.669,16.675,16.707,16.813,16.638,16.516,16.497,16.383,16.327,16.25,16.232,16.439,16.611,16.647,16.802,16.866,17.103,17.157,17.664,17.816,17.684,17.597,17.566,17.466,17.506,17.49,17.451,17.672,17.658,17.834,17.881,17.751,17.692,17.647,17.814,17.855,17.881,17.958,18.035,17.963,18.126,18.136,18.327,18.345,18.476,18.572,18.535,18.798,18.94,18.936,19.372,19.584,19.68,19.745,19.546,19.465,19.697,19.773,19.963,20.116,20.269,20.51,20.594,20.914
"18","10","    Clothing and footwear","DCLORG3",46.325,47.24,47.693,48.641,49.641,50.445,50.737,50.742,49.571,48.556,47.692,47.064,46.817,46.897,47.99,49.641,51.454,52.25,52.269,52.088,51.713,50.751,50.25,51.828,51.902,50.945,50.72,50.491,51.074,50.997,51.382,51.114,50.928,50.877,51.107,51.099,51.442,51.789,52.22,52.437,52.589,52.674,52.77,52.948,52.971,52.983,52.977,52.95,53.152,53.314,53.554,53.672,53.797,54.083,54.286,54.39,54.417,54.303,54.555,54.533,54.329,54.542,54.763,54.826,54.886,54.988,55.136,55.367,55.547,55.673,55.63,55.603,55.812,55.93,56.242,56.407,56.862,57.333,57.91,58.488,59.147,59.681,60.341,60.927,61.841,62.98,64.008,64.835,65.679,66.452
"19","11","    Gasoline and other energy goods","DGOERG3",7.182,7.385,7.611,7.955,8.319,8.54,8.692,8.754,8.727,8.714,8.697,8.673,8.681,8.699,8.854,8.964,9.068,9.047,8.985,9.077,9.138,9.183,9.251,9.26,9.353,9.47,9.665,9.751,9.745,9.749,9.695,9.672,9.724,9.776,9.863,9.913,9.96,10.025,10.222,10.293,10.508,10.631,10.614,10.609,10.654,10.43,10.491,10.316,10.504,10.586,10.578,10.815,10.688,10.689,10.916,10.944,10.936,10.644,10.887,10.822,10.784,10.85,10.816,11.058,10.955,10.824,10.935,10.902,10.865,10.752,10.734,10.86,11.047,11.151,11.184,11.304,11.311,11.336,11.478,11.623,11.705,11.788,11.855,11.892,11.973,11.956,12.069,12.106,12.245,12.474
"20","12","    Other nondurable goods","DONGRG3",13.522,13.639,13.819,14.071,14.279,14.407,14.705,14.722,14.496,14.241,14.112,13.993,13.969,14,14.412,14.713,15.109,15.207,15.199,15.298,15.258,15.246,15.275,15.266,15.388,15.547,15.532,15.487,15.486,15.522,15.542,15.57,15.631,15.641,15.698,15.792,15.871,15.954,15.993,16.018,16.157,16.311,16.626,16.787,16.868,16.887,16.883,16.834,16.921,17.049,17.255,17.347,17.398,17.402,17.408,17.427,17.449,17.457,17.447,17.453,17.504,17.508,17.495,17.527,17.556,17.706,17.821,17.923,17.996,18.003,18.013,18.048,18.142,18.26,18.308,18.352,18.452,18.581,18.69,18.795,18.891,18.955,19.139,19.358,19.543,19.75,19.896,20.078,20.218,20.428
"21","13","Services","DSERRG3",8.389,8.435,8.637,8.832,8.884,8.971,9.106,9.14,9.133,9.152,9.182,9.248,9.287,9.322,9.464,9.586,9.761,9.832,9.885,10.035,10.105,10.185,10.293,10.373,10.482,10.562,10.7,10.806,10.868,10.889,10.908,10.956,11.019,11.059,11.113,11.18,11.245,11.311,11.405,11.476,11.58,11.634,11.733,11.818,11.903,11.944,12.001,12.062,12.151,12.238,12.353,12.461,12.518,12.586,12.67,12.736,12.769,12.825,12.887,12.942,13.02,13.083,13.13,13.172,13.234,13.272,13.316,13.385,13.45,13.518,13.586,13.647,13.704,13.762,13.832,13.919,14.007,14.137,14.267,14.408,14.507,14.612,14.725,14.865,15.042,15.222,15.398,15.585,15.785,16
"22","14","  Household consumption expenditures (for services)","DHCERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.551,11.629,11.732,11.84,11.914,11.996,12.087,12.153,12.18,12.23,12.285,12.339,12.415,12.476,12.523,12.563,12.621,12.656,12.698,12.766,12.831,12.898,12.963,13.022,13.073,13.126,13.193,13.275,13.358,13.48,13.604,13.738,13.835,13.933,14.042,14.175,14.346,14.519,14.687,14.865,15.052,15.255
"23","15","    Housing and utilities","DHUTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.618,13.712,13.787,13.878,13.928,13.972,14.039,14.091,14.122,14.192,14.228,14.236,14.298,14.32,14.378,14.392,14.45,14.488,14.502,14.56,14.571,14.613,14.655,14.675,14.701,14.732,14.763,14.817,14.88,14.936,14.962,15.05,15.125,15.173,15.239,15.322,15.411,15.515,15.605,15.719,15.831,15.967
"24","16","    Health care","DHLCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.13,6.195,6.261,6.385,6.445,6.622,6.755,6.829,6.815,6.793,6.806,6.837,6.892,6.961,7.015,7.075,7.11,7.148,7.214,7.26,7.337,7.395,7.451,7.528,7.576,7.638,7.684,7.739,7.816,7.927,8.058,8.2,8.325,8.436,8.572,8.707,8.848,8.977,9.106,9.255,9.415,9.607
"25","17","    Transportation services","DTRSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.283,13.395,13.497,13.564,13.649,13.674,13.752,13.866,13.979,14.111,14.199,14.256,14.337,14.45,14.491,14.485,14.476,14.486,14.503,14.546,14.647,14.665,14.706,14.758,14.82,14.916,14.986,15.069,15.054,15.104,15.279,15.441,15.566,15.719,15.87,15.999,16.204,16.405,16.574,16.816,17.09,17.418
"26","18","    Recreation services","DRCARG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.512,14.754,14.993,15.179,15.277,15.349,15.471,15.547,15.694,15.77,15.888,15.999,16.09,16.174,16.245,16.349,16.381,16.472,16.625,16.785,16.883,16.958,17.105,17.169,17.235,17.335,17.439,17.497,17.649,17.801,17.853,18.031,18.155,18.32,18.536,18.82,19.122,19.34,19.573,19.747,19.929,20.168
"27","19","    Food services and accommodations","DFSARG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.256,11.411,11.53,11.602,11.709,11.74,11.782,11.807,11.877,11.954,12.032,12.121,12.173,12.253,12.341,12.408,12.484,12.547,12.563,12.643,12.687,12.759,12.771,12.8,12.884,12.927,13.042,13.17,13.253,13.408,13.599,13.771,13.991,14.192,14.336,14.51,14.693,14.885,15.112,15.314,15.51,15.734
"28","20","    Financial services and insurance","DIFSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.051,14.989,15.052,15.225,15.452,15.626,15.842,16.037,16.04,16.1,16.346,16.596,16.892,17.004,16.949,16.919,16.96,16.864,16.939,17.077,17.335,17.573,17.789,17.983,17.961,18.004,18.151,18.363,18.767,19.105,19.392,19.584,19.511,19.494,19.643,19.964,20.343,20.863,21.391,21.837,22.405,22.83
"29","21","    Other services","DOTSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.217,12.229,12.409,12.539,12.58,12.658,12.739,12.794,12.782,12.821,12.85,12.899,12.958,13.034,13.058,13.14,13.242,13.298,13.357,13.424,13.505,13.577,13.671,13.754,13.856,13.929,14.016,14.106,14.119,14.296,14.483,14.626,14.688,14.804,14.887,14.983,15.219,15.413,15.579,15.776,15.96,16.155
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.136,54.998,55.932,55.549,53.305,51.5,50.534,50.453,51.106,51.764,52.463,52.594,52.602,52.744,52.721,52.805,53.275,53.508,53.688,53.779,53.665,53.613,53.86,53.943,54.669,55.153,55.37,55.907,56.414,57.02,57.578,58.215,58.329,59.029,59.386,59.877,60.481,60.983,61.645,62.495,63.696,64.877
"31","23","    Gross output of nonprofit institutions \2\","DNPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.401,9.735,10.028,10.203,10.029,10.06,10.096,10.173,10.226,10.248,10.308,10.338,10.38,10.459,10.499,10.558,10.621,10.677,10.772,10.838,10.902,10.947,11.01,11.089,11.188,11.286,11.337,11.416,11.499,11.628,11.757,11.913,12.022,12.168,12.307,12.451,12.626,12.786,12.961,13.158,13.367,13.615
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.328,5.572,5.778,5.954,5.928,6.063,6.156,6.231,6.239,6.22,6.233,6.252,6.29,6.353,6.391,6.439,6.469,6.505,6.579,6.633,6.697,6.74,6.783,6.85,6.897,6.956,6.99,7.03,7.075,7.156,7.24,7.343,7.433,7.524,7.627,7.728,7.849,7.963,8.08,8.208,8.328,8.482
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.611,17.701,17.816,17.918,17.976,18.045,18.118,18.178,18.209,18.269,18.35,18.396,18.465,18.536,18.594,18.627,18.688,18.755,18.825,18.917,18.999,19.058,19.114,19.164,19.235,19.294,19.354,19.418,19.517,19.676,19.84,20.013,20.124,20.258,20.441,20.646,20.878,21.12,21.357,21.606,21.846,22.11
"35","26","  Energy goods and services \5\","DNRGRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.105,11.198,11.246,11.453,11.397,11.424,11.597,11.62,11.628,11.44,11.593,11.552,11.529,11.57,11.559,11.705,11.643,11.549,11.607,11.598,11.548,11.504,11.497,11.579,11.696,11.75,11.768,11.865,11.87,11.894,11.983,12.079,12.143,12.198,12.258,12.297,12.356,12.354,12.441,12.469,12.575,12.765
"36","27","  Market-based PCE \6\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
