"","Reconciliation of Percent Change in the CPI with Percent Change ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138"
"11","3","    Gasoline and other motor fuel","W903RV2",0,0,-0.01,-0.01,0,0,0,0,0,-0.01,0,0,-0.01,-0.01,0,0.01,0.01,0,-0.01,-0.01,-0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,-0.01,-0.01,-0.04,0.01,0.03,0.01,-0.01,0,0,-0.02,0,0,-0.02,-0.01,0.04,0.03,0,-0.02,0.01,-0.01,-0.02,-0.01,-0.02,0,0,0.01,-0.01,0,-0.04,-0.01,0,0,-0.01,0,-0.01,-0.03,-0.03,0.02,0,0.06,0.09,0.04,-0.01,-0.01,0,0,-0.01,-0.03,0,-0.01,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,-0.01,0,0,0,-0.01,0,-0.01,0.01,0,0.01,0,-0.02,-0.01,0.01,0.02,0.01,0,-0.03,-0.02,0,0.02,0.01,0.01,-0.04,0.02
"12","4","    Personal computers and peripheral equipment","W904RV2",0,-0.01,-0.01,0,0,0,0,0,-0.01,0,-0.01,0,0,0,0,0,-0.01,-0.01,0,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.01,0,0,-0.01,0,0,0,0,0,-0.01,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","5","    Video and audio equipment","W905RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,-0.01,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,0,0,-0.01,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,0,-0.01,0,-0.01,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,-0.01,-0.01,0,0,0,0,0,-0.01,0,0,0,0,-0.01,0,-0.01,0,0,0,0,0,0,0,0,0
"14","6","    Tobacco","W906RV2",0,0,0,-0.01,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","7","    Health care","W907RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","8","    Electricity, gas, fuel oil, and other household fuels","W908RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.03,-0.02,0.01,0.01,-0.01,0.01,0,0,0,0,0,0,0,0.01,0,-0.01,0.01,0,-0.01,0,0,0,0,0,0,0,-0.02,0,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"17","9","    Housing","W909RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","10","    Food and beverages purchased for off-premises consumption","W910RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","11","    Other","W911RV2",0,-0.01,0,0,-0.01,0,-0.01,-0.01,0,0,-0.01,-0.01,-0.01,0,0,-0.01,-0.01,-0.01,0,0.01,0,0,0,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,0,0,-0.01,-0.01,0,0,-0.02,0,-0.01,-0.01,0,-0.01,0,0,0,-0.01,-0.01,0,-0.01,0,0,0,0,0,-0.01,-0.01,0,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,-0.01,0,0,0,0,-0.01,-0.02,-0.02,0,0,0.01,0.02,0.01,-0.03,-0.02,-0.01,0,0,-0.01,0,0,-0.01,-0.01,-0.02,0,0,0,-0.01,0,-0.01,0,0,0,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,0,0,0,-0.01,0.01,-0.01,-0.01
"20","12","Equals: PCE fixed-weight price index (percent change)","W912RV2",0.1,0.19,0.31,0.46,0.07,0.13,0.23,0.21,0.2,0.2,0.12,0.1,0.29,0.45,0.26,-0.18,-0.13,0.14,0.29,0.37,0.33,-0.02,0.12,0.26,0.4,0.26,0.2,0.17,0.38,0.35,0.17,0.09,0.19,0.42,0.39,0.07,0.14,0.31,0.33,0.35,-0.03,0.07,0.48,0.49,1.16,0.2,-0.28,-0.02,0.48,0.04,0.15,0.42,0.26,0.2,0.35,0.4,-0.23,-0.24,0.15,0.42,0.3,0.38,0.44,0.26,0.33,0.18,0.2,0.08,0.42,0.3,0.62,0.34,0.3,0.23,0.38,0.34,0.46,0.69,0.6,-0.12,0.11,-0.59,-1.31,-0.55,0.14,0.26,-0.09,0.13,0.13,0.69,0.04,0.33,0.21,0.36,0.27,0.09,0.22,0.06,0.17,0.01,0,0.02,0.16,0.17,0.14,0.25,0.13,0.25,0.26,0.34,0.43,0.34,0.25,0.09,0.25,0.26,0.18,0.01,0.09,0.08,0.25,0.34,0.25,0.01,-0.22,0.07,0.07,0.39,0.35,0.17,-0.15,0.01,0.03,0.45,-0.14
"21","13","  Less: Weight effect (percentage points)","W913RV2",-0.01,-0.05,-0.06,-0.06,-0.05,0,-0.05,-0.07,-0.03,-0.04,-0.04,-0.03,-0.13,-0.11,-0.05,0.1,-0.01,-0.02,-0.05,-0.07,-0.05,0.01,0,-0.05,-0.06,-0.01,-0.07,-0.03,-0.12,-0.08,-0.02,-0.01,-0.11,-0.1,-0.12,-0.03,0.01,-0.06,-0.1,-0.09,0.08,0,-0.13,-0.14,-0.28,-0.16,0.06,0.03,-0.16,0,-0.03,-0.08,-0.05,-0.05,-0.13,-0.08,0.08,0.09,-0.09,-0.12,-0.02,-0.11,-0.1,-0.09,-0.1,-0.05,-0.06,-0.01,-0.05,-0.04,-0.14,-0.05,-0.02,-0.03,-0.07,-0.03,-0.13,-0.19,-0.21,0.08,0.05,0.25,0.43,0.19,-0.02,-0.05,0.09,0.04,-0.01,-0.17,0.04,-0.12,-0.02,-0.05,-0.07,-0.05,-0.05,0.03,0.02,0.02,0.05,-0.01,-0.07,-0.01,-0.01,-0.09,-0.05,-0.15,-0.02,-0.1,-0.17,-0.06,-0.06,-0.01,-0.08,-0.07,-0.07,0.04,-0.01,0.03,0.03,-0.11,-0.09,-0.07,0.07,0,-0.02,-0.16,-0.13,-0.03,0.07,-0.01,0.04,-0.2,0.04
"22","14","    Rent of shelter","W914RV2",-0.04,-0.04,-0.04,-0.04,-0.03,-0.04,-0.04,-0.02,-0.04,-0.03,-0.03,-0.03,-0.04,-0.02,-0.02,-0.01,-0.02,0,-0.03,-0.02,-0.03,-0.03,-0.03,-0.01,-0.03,-0.03,-0.03,-0.04,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02,-0.02,-0.03,-0.04,-0.04,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.03,-0.03,-0.03,-0.03,-0.04,-0.04,-0.06,-0.05,-0.07,-0.06,-0.06,-0.05,-0.04,-0.05,-0.04,-0.05,-0.04,-0.05,-0.04,-0.03,-0.02,-0.03,-0.03,-0.04,-0.04,-0.04,-0.05,-0.04,-0.03,-0.03,-0.03,-0.03,-0.02,-0.04,-0.03,-0.03,-0.03,-0.03,-0.04,-0.01,-0.04,-0.02,-0.03,-0.02,-0.02,-0.01,0.01,-0.01,0.01,0,0.01,0,0.01,0.01,0.01,0,0,-0.01,0,0,-0.01,-0.01,-0.03,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.03,-0.03,-0.04,-0.02,-0.04,-0.03,-0.03,-0.03,-0.02,-0.03,-0.03,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.03,-0.03,-0.02
"23","15","      Imputed rental of owner-occupied nonfarm housing","W915RV2",-0.03,-0.03,-0.03,-0.03,-0.02,-0.03,-0.03,-0.02,-0.03,-0.02,-0.02,-0.02,-0.03,-0.01,-0.01,0,-0.01,0,-0.02,-0.02,-0.02,-0.03,-0.02,-0.01,-0.02,-0.02,-0.03,-0.04,-0.02,-0.03,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,-0.04,-0.05,-0.05,-0.06,-0.05,-0.05,-0.04,-0.03,-0.04,-0.04,-0.04,-0.03,-0.03,-0.03,-0.02,-0.01,-0.02,-0.03,-0.03,-0.03,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.02,-0.01,-0.03,-0.02,-0.02,-0.03,-0.02,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,-0.01,-0.01,0.01,-0.01,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0,-0.01,0,-0.01,0,-0.01,-0.02,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,-0.02,-0.03,-0.03,-0.01,-0.03,-0.02,-0.02,-0.03,-0.01,-0.02,-0.02,-0.01,-0.01,-0.02,-0.03,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
"24","16","      Rental of tenant-occupied nonfarm housing","W916RV2",-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.01,0,0,0,0,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,-0.01,0,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.01
"25","17","    Hotels and motels","W917RV2",0,-0.03,0.03,-0.01,0,0.02,0.01,-0.03,0,0.01,-0.02,0.01,-0.01,0.02,0.04,0.01,-0.07,0.01,-0.01,0,0.01,-0.03,0.01,-0.02,0.01,0.05,-0.08,-0.02,-0.03,0,0,0.02,-0.05,-0.01,0.01,0,0.01,-0.02,-0.09,0.03,0.04,0,-0.01,0.02,0.07,-0.09,-0.02,-0.02,0,-0.01,-0.03,-0.01,0,0.01,0,-0.01,0,-0.01,-0.02,-0.01,-0.01,-0.01,0.02,-0.04,-0.02,-0.03,-0.01,0.01,0,0.01,0,0,-0.02,0.01,0,0.04,-0.02,0,-0.01,0.01,0,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.03,-0.02,-0.01,-0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","18","    Gasoline and other motor fuel","W918RV2",-0.01,0.01,-0.05,-0.05,0,0,-0.01,-0.01,-0.01,-0.04,0.01,0,-0.08,-0.07,0.01,0.08,0.09,0,-0.03,-0.07,-0.06,0.06,0,-0.02,-0.05,-0.01,0,0.02,-0.04,-0.03,0.01,0,-0.02,-0.07,-0.03,0.02,0.04,-0.03,-0.02,-0.03,0.07,0,-0.09,-0.11,-0.23,0.06,0.16,0.03,-0.05,0.01,0.01,-0.05,-0.01,0,-0.06,-0.03,0.11,0.1,-0.01,-0.06,0.02,-0.02,-0.06,-0.02,-0.04,0.01,-0.01,0.02,-0.03,0,-0.09,-0.02,-0.01,-0.02,-0.03,0,-0.05,-0.12,-0.09,0.07,0,0.21,0.43,0.18,-0.03,-0.07,0.05,0,-0.04,-0.18,0,-0.06,-0.01,-0.01,-0.04,0,-0.03,0.02,0.02,0.02,0.04,0.01,-0.04,-0.03,-0.02,-0.07,-0.02,-0.09,-0.02,-0.05,-0.08,-0.04,0,0.03,-0.02,-0.02,-0.03,0.04,0.01,0.03,-0.01,-0.09,-0.03,0.04,0.11,0.03,0,-0.13,-0.11,0,0.1,0.02,0.05,-0.13,0.07
"27","19","    Electricity, gas, fuel oil, and other household fuels","W919RV2",0.01,0,0,0,0,0.01,0,0,0,-0.01,0,-0.01,0,-0.02,-0.07,-0.01,0,0,0,0,-0.01,0.01,0.02,0,-0.01,-0.02,0.02,-0.01,-0.01,-0.03,-0.01,-0.01,0.01,0.01,-0.04,0,0,0,0,-0.03,-0.01,0,-0.02,-0.03,-0.08,-0.11,-0.03,0.04,-0.06,0.03,0.02,0.02,0.01,0.01,-0.01,-0.01,-0.02,0.05,-0.02,-0.02,0,-0.02,-0.02,0,-0.01,-0.01,0.01,0.01,0,-0.01,0,0,0,-0.02,-0.02,-0.04,-0.04,-0.03,-0.06,0.01,0.05,0.01,0.02,0,0.01,0.01,0.03,0.03,0.03,0.01,0.01,0,0,-0.01,-0.02,0,-0.01,0,-0.02,0,0.01,0.01,0,-0.01,0.01,0,0.01,-0.01,0.01,-0.01,-0.01,-0.01,-0.01,0.01,0,0,-0.01,0.01,0.01,0,0.02,0.02,0.01,0,0.01,0,0.02,-0.01,-0.01,0,-0.01,0,-0.01,-0.01,0
"28","20","    Other","W920RV2",0.03,0.01,0.01,0.04,-0.02,0.01,-0.02,0,0.02,0.02,0.01,0,0,-0.02,-0.01,0.02,-0.01,-0.01,0.02,0.03,0.04,0.01,0,0.01,0.02,0,0.02,0.02,-0.02,0.01,0.01,0.02,-0.03,-0.01,-0.04,-0.01,0,0.03,0.03,-0.03,0.01,0.02,0.02,0,-0.01,0.01,-0.01,0.01,-0.02,0.01,0.02,0,0.02,-0.01,-0.02,0.02,0.04,0.02,0,0.01,0.01,-0.01,-0.01,0,-0.01,0.01,-0.02,-0.01,0.02,0.01,-0.01,0.02,0.04,0.03,0.02,0.01,-0.01,0.01,-0.02,0.01,0.03,0.04,0,0.01,0.03,0.01,0.02,0.01,0,0,-0.01,-0.03,-0.01,-0.01,-0.03,-0.05,-0.01,0,0.01,-0.01,0,-0.03,-0.02,0.03,0.02,-0.01,-0.01,-0.03,0.01,-0.02,-0.07,0,-0.03,-0.02,-0.02,-0.01,0,0.03,0,0.03,0.06,-0.01,-0.04,-0.09,-0.03,-0.02,0,0.02,0.02,0.01,0,-0.01,0.02,-0.03,-0.01
