"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"25","6","        Military","B4080X1","147,142.0","145,592.0","143,335.0","141,638.0","140,686.0","139,309.0","138,914.0","137,653.0","136,447.0","135,196.0","135,522.0","134,440.0","133,543.0","132,252.0","132,479.0","131,121.0","129,888.0","129,338.0","130,524.0","130,215.0","130,015.0","130,067.0","131,878.0","132,517.0","133,515.0","133,899.0","133,367.0","134,341.0","138,046.0","138,816.0","139,176.0","138,778.0","143,681.0","147,768.0","147,262.0","146,311.0","148,733.0","147,290.0","147,160.0","148,549.0","148,573.0","146,807.0","146,163.0","146,636.0","143,498.0","142,662.0","144,410.0","143,838.0","142,175.0","141,309.0","143,386.0","143,025.0","145,024.0","146,106.0","150,277.0","153,861.0","155,978.0","159,831.0","162,742.0","162,614.0","163,401.0","163,405.0","162,652.0","162,042.0","162,078.0","162,383.0","162,323.0","162,143.0","159,752.0","158,373.0","157,528.0","156,109.0"
"26","7","        Civilian","W090RX1","84,229.0","83,177.0","82,555.0","78,814.0","78,193.0","79,236.0","78,294.0","76,000.0","75,381.0","74,516.0","73,680.0","72,011.0","71,522.0","70,778.0","70,449.0","69,073.0","68,526.0","68,115.0","67,659.0","67,660.0","66,054.0","67,037.0","65,441.0","64,392.0","64,412.0","64,420.0","65,252.0","64,433.0","64,121.0","65,215.0","65,761.0","65,250.0","65,134.0","63,963.0","64,940.0","65,761.0","65,817.0","66,285.0","68,287.0","68,039.0","68,061.0","68,601.0","69,148.0","68,834.0","68,399.0","68,379.0","68,832.0","69,562.0","68,911.0","68,811.0","69,129.0","69,886.0","69,552.0","70,658.0","71,723.0","71,919.0","71,786.0","72,794.0","74,351.0","76,777.0","77,117.0","77,916.0","79,295.0","80,667.0","80,971.0","81,154.0","81,654.0","82,627.0","81,838.0","81,508.0","81,312.0","80,799.0"
"27","8","      Consumption of general government fixed capital \2\","B432RX1","70,584.0","70,321.0","70,077.0","69,818.0","69,577.0","69,291.0","69,058.0","68,802.0","68,559.0","68,296.0","68,022.0","67,714.0","67,397.0","67,128.0","66,885.0","66,683.0","66,506.0","66,343.0","66,180.0","66,029.0","65,888.0","65,743.0","65,631.0","65,477.0","65,299.0","65,197.0","65,102.0","65,042.0","65,022.0","65,049.0","65,107.0","65,218.0","65,372.0","65,598.0","65,811.0","66,099.0","66,407.0","66,740.0","67,137.0","67,541.0","67,982.0","68,424.0","68,924.0","69,418.0","69,880.0","70,386.0","70,889.0","71,372.0","71,934.0","72,550.0","73,214.0","73,989.0","74,806.0","75,646.0","76,510.0","77,430.0","78,457.0","79,421.0","80,365.0","81,257.0","82,122.0","82,940.0","83,685.0","84,354.0","84,989.0","85,557.0","86,037.0","86,466.0","86,777.0","87,140.0","87,527.0","88,183.0"
"28","9","    Intermediate goods and services purchased \3\","W087RX1","140,786.0","140,696.0","141,287.0","133,121.0","138,051.0","144,843.0","140,360.0","145,577.0","136,323.0","148,238.0","141,018.0","145,705.0","127,353.0","140,374.0","143,558.0","143,220.0","142,139.0","140,474.0","151,109.0","162,192.0","139,246.0","155,884.0","146,766.0","146,874.0","157,269.0","157,854.0","160,665.0","166,843.0","173,934.0","177,466.0","184,176.0","195,184.0","186,712.0","224,507.0","215,473.0","223,371.0","229,051.0","231,521.0","242,118.0","226,246.0","233,427.0","235,193.0","248,449.0","226,143.0","242,911.0","241,011.0","238,415.0","244,293.0","237,747.0","244,641.0","256,190.0","255,527.0","263,658.0","258,985.0","274,524.0","280,908.0","270,728.0","283,930.0","290,084.0","289,328.0","284,203.0","290,752.0","299,456.0","288,502.0","269,315.0","279,417.0","286,588.0","263,985.0","259,678.0","258,000.0","279,851.0","238,725.0"
"29","10","      Durable goods","A998RX1","22,503.0","20,299.0","24,399.0","19,509.0","20,126.0","22,847.0","22,645.0","20,424.0","21,105.0","22,716.0","21,005.0","21,556.0","20,666.0","21,143.0","22,963.0","22,326.0","20,799.0","23,642.0","25,284.0","22,810.0","23,194.0","23,062.0","23,172.0","22,191.0","21,653.0","23,480.0","24,942.0","22,188.0","22,555.0","23,832.0","25,485.0","24,188.0","23,501.0","27,108.0","27,313.0","27,456.0","27,830.0","29,695.0","30,188.0","29,191.0","28,384.0","29,197.0","30,326.0","30,285.0","31,019.0","31,098.0","32,244.0","33,712.0","32,426.0","34,308.0","36,604.0","37,490.0","38,461.0","40,611.0","42,773.0","43,380.0","39,944.0","43,811.0","46,828.0","45,374.0","41,836.0","43,898.0","46,191.0","48,127.0","40,053.0","42,566.0","43,614.0","45,100.0","40,352.0","40,859.0","42,897.0","42,658.0"
"30","11","        Aircraft","B999RX1","10,563.0","7,414.0","10,954.0","8,353.0","9,018.0","9,260.0","9,594.0","9,105.0","9,640.0","10,786.0","8,986.0","10,099.0","9,664.0","10,201.0","10,582.0","11,496.0","10,073.0","11,505.0","12,180.0","10,536.0","11,016.0","10,033.0","10,658.0","9,524.0","9,171.0","10,014.0","11,704.0","9,784.0","9,578.0","10,274.0","10,615.0","10,340.0","9,994.0","12,126.0","11,642.0","12,086.0","11,488.0","11,828.0","12,644.0","12,152.0","10,725.0","10,693.0","10,591.0","10,951.0","10,448.0","9,985.0","10,440.0","12,027.0","9,806.0","10,697.0","11,628.0","12,342.0","11,254.0","12,079.0","13,037.0","13,513.0","13,106.0","13,961.0","14,631.0","15,666.0","13,414.0","14,888.0","15,923.0","18,325.0","15,171.0","17,348.0","18,497.0","19,197.0","17,862.0","17,938.0","19,331.0","20,403.0"
"31","12","        Missiles","B277RX1","2,488.0","3,156.0","3,484.0","2,701.0","2,486.0","3,090.0","3,073.0","2,420.0","2,342.0","2,569.0","2,441.0","2,467.0","2,260.0","1,971.0","3,339.0","2,196.0","2,277.0","2,319.0","2,442.0","2,470.0","2,348.0","2,603.0","2,601.0","2,886.0","2,920.0","2,810.0","2,793.0","2,559.0","2,440.0","2,257.0","2,827.0","2,767.0","2,229.0","2,372.0","2,402.0","2,822.0","2,440.0","3,190.0","2,399.0","2,543.0","2,942.0","3,314.0","3,152.0","3,672.0","3,858.0","4,178.0","3,682.0","3,936.0","4,029.0","4,219.0","4,359.0","4,602.0","4,537.0","4,341.0","4,369.0","4,408.0","3,850.0","4,010.0","5,032.0","3,969.0","3,887.0","4,189.0","4,351.0","4,396.0","3,598.0","3,289.0","3,334.0","3,580.0","2,996.0","2,876.0","3,436.0","3,491.0"
"32","13","        Ships","B278RX1","1,184.0","1,385.0","1,637.0","749.0","715.0","1,343.0","973.0","800.0","1,021.0","1,016.0","1,031.0","924.0","986.0","859.0","898.0","897.0","1,106.0","1,355.0","1,458.0","1,240.0","1,430.0","1,502.0","1,426.0","1,285.0","1,259.0","1,417.0","1,389.0","1,144.0","1,301.0","1,389.0","1,549.0","1,234.0","1,299.0","1,381.0","1,399.0","1,317.0","1,297.0","1,553.0","1,667.0","1,354.0","1,345.0","1,413.0","1,567.0","1,196.0","1,576.0","1,320.0","1,270.0","1,298.0","1,403.0","1,357.0","796.0","838.0","711.0","833.0","782.0","679.0","648.0","719.0","749.0","520.0","686.0","712.0","757.0","710.0","475.0","611.0","628.0","617.0","506.0","638.0","694.0","601.0"
"33","14","        Vehicles","B288RX1","1,570.0","1,624.0","1,739.0","1,195.0","1,271.0","1,296.0","1,447.0","1,274.0","1,556.0","1,697.0","1,444.0","1,421.0","1,200.0","1,179.0","1,146.0","1,039.0","878.0","899.0","837.0","833.0","576.0","826.0","735.0","722.0","718.0","752.0","851.0","771.0","771.0","735.0","722.0","782.0","709.0","780.0","803.0","793.0","759.0","738.0","833.0","902.0","916.0","1,015.0","1,272.0","1,289.0","1,412.0","1,562.0","1,803.0","1,855.0","1,878.0","2,313.0","2,444.0","2,578.0","2,581.0","2,934.0","2,876.0","3,513.0","2,188.0","3,437.0","3,753.0","3,888.0","3,510.0","3,404.0","2,982.0","3,175.0","2,717.0","2,867.0","2,611.0","2,725.0","2,135.0","2,499.0","2,365.0","2,102.0"
"34","15","        Electronics","B388RX1","2,174.0","1,993.0","2,237.0","1,803.0","1,886.0","2,431.0","2,326.0","1,934.0","2,108.0","2,203.0","2,286.0","2,052.0","2,176.0","2,106.0","2,165.0","2,062.0","2,201.0","2,513.0","2,714.0","2,441.0","2,713.0","2,875.0","2,563.0","2,801.0","2,710.0","2,880.0","2,848.0","2,895.0","2,982.0","3,199.0","3,359.0","3,115.0","3,396.0","3,749.0","4,145.0","3,563.0","3,992.0","4,459.0","4,461.0","4,598.0","4,604.0","5,098.0","6,073.0","5,712.0","5,947.0","6,015.0","6,684.0","6,452.0","7,028.0","7,541.0","8,337.0","7,901.0","9,538.0","10,417.0","11,382.0","11,312.0","10,100.0","11,190.0","11,754.0","11,339.0","10,398.0","10,837.0","11,372.0","10,938.0","8,340.0","8,785.0","8,742.0","9,016.0","7,296.0","7,720.0","7,668.0","7,320.0"
"35","16","        Other durable goods","B389RX1","4,770.0","4,988.0","4,641.0","4,887.0","4,941.0","5,542.0","5,401.0","5,063.0","4,652.0","4,698.0","4,969.0","4,804.0","4,513.0","4,967.0","5,004.0","4,794.0","4,361.0","5,143.0","5,732.0","5,363.0","5,160.0","5,253.0","5,251.0","5,005.0","4,914.0","5,644.0","5,412.0","5,055.0","5,501.0","5,992.0","6,433.0","5,968.0","5,876.0","6,703.0","6,915.0","6,883.0","7,863.0","7,936.0","8,185.0","7,636.0","7,853.0","7,663.0","7,671.0","7,465.0","7,775.0","8,039.0","8,382.0","8,143.0","8,292.0","8,191.0","9,068.0","9,255.0","9,869.0","10,061.0","10,408.0","10,048.0","10,149.0","10,600.0","10,990.0","10,146.0","10,030.0","9,990.0","10,938.0","10,763.0","9,863.0","9,846.0","10,012.0","10,184.0","9,752.0","9,393.0","9,612.0","8,997.0"
"36","17","      Nondurable goods","A725RX1","11,035.0","11,237.0","11,057.0","9,820.0","11,582.0","12,469.0","12,465.0","11,127.0","12,334.0","11,445.0","12,223.0","11,981.0","11,983.0","11,750.0","13,325.0","12,514.0","12,175.0","13,452.0","16,230.0","13,543.0","16,114.0","15,424.0","13,400.0","13,185.0","13,800.0","15,315.0","14,514.0","16,153.0","16,119.0","17,414.0","16,480.0","18,277.0","19,302.0","19,202.0","15,466.0","18,113.0","21,618.0","20,803.0","22,966.0","17,640.0","19,770.0","21,601.0","22,233.0","19,952.0","20,071.0","19,433.0","21,811.0","19,201.0","21,114.0","20,917.0","22,272.0","19,189.0","21,439.0","21,220.0","20,494.0","22,425.0","21,695.0","22,761.0","23,545.0","22,232.0","22,419.0","22,840.0","21,292.0","21,179.0","22,723.0","22,386.0","22,631.0","23,222.0","23,081.0","22,238.0","20,992.0","22,002.0"
"37","18","        Petroleum products","B780RX1","9,212.0","8,363.0","9,291.0","7,502.0","9,275.0","8,819.0","9,583.0","7,068.0","7,859.0","8,113.0","7,747.0","7,471.0","7,868.0","7,836.0","7,678.0","7,067.0","7,574.0","8,704.0","10,780.0","6,615.0","8,673.0","7,680.0","7,587.0","7,140.0","8,549.0","8,630.0","8,938.0","10,207.0","9,848.0","10,609.0","9,430.0","11,970.0","13,242.0","10,547.0","5,727.0","8,568.0","12,026.0","10,320.0","12,500.0","6,624.0","8,458.0","11,046.0","11,246.0","9,602.0","9,269.0","9,263.0","11,423.0","8,811.0","9,921.0","10,308.0","10,975.0","9,075.0","10,160.0","10,121.0","9,347.0","10,517.0","10,200.0","9,943.0","10,260.0","10,650.0","10,700.0","11,212.0","10,326.0","9,957.0","11,115.0","10,864.0","10,873.0","11,128.0","11,355.0","10,520.0","8,980.0","10,188.0"
"38","19","        Ammunition","B781RX1","1,287.0","1,486.0","1,277.0","1,087.0","1,535.0","1,626.0","1,235.0","1,619.0","2,095.0","1,639.0","1,814.0","1,841.0","1,742.0","1,589.0","2,779.0","2,258.0","1,879.0","2,015.0","2,587.0","2,036.0","1,827.0","1,758.0","2,349.0","2,165.0","2,094.0","2,363.0","2,416.0","2,375.0","2,556.0","2,943.0","3,016.0","2,734.0","2,360.0","3,032.0","3,107.0","3,138.0","3,644.0","3,757.0","3,937.0","3,922.0","3,756.0","3,957.0","4,222.0","3,949.0","4,000.0","3,856.0","3,789.0","3,958.0","3,840.0","3,360.0","3,975.0","3,438.0","3,904.0","3,417.0","3,750.0","3,886.0","3,281.0","3,682.0","3,547.0","3,848.0","3,598.0","3,776.0","3,342.0","3,519.0","3,320.0","3,287.0","3,453.0","3,665.0","3,107.0","3,250.0","3,856.0","3,434.0"
"39","20","        Other nondurable goods","B783RX1","2,678.0","2,908.0","2,663.0","2,697.0","2,736.0","3,462.0","3,524.0","3,304.0","3,328.0","3,035.0","3,550.0","3,478.0","3,455.0","3,478.0","3,309.0","3,482.0","3,482.0","3,791.0","4,318.0","4,699.0","5,834.0","5,926.0","3,871.0","4,167.0","3,882.0","4,740.0","3,948.0","4,592.0","4,563.0","4,776.0","4,575.0","4,860.0","5,225.0","6,079.0","5,778.0","6,165.0","6,387.0","6,648.0","6,748.0","6,734.0","7,363.0","6,636.0","6,823.0","6,497.0","6,904.0","6,361.0","6,470.0","6,412.0","7,345.0","7,237.0","7,299.0","6,789.0","7,407.0","7,656.0","7,677.0","8,237.0","8,510.0","9,331.0","9,977.0","7,922.0","8,328.0","8,015.0","7,806.0","7,936.0","8,420.0","8,419.0","8,546.0","8,685.0","8,739.0","8,800.0","8,827.0","8,746.0"
