"","Table 7#15# Relation of Net Farm Income in the National Income a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Plus: Depreciation and other consumption of farm capital, USDA","B1449C1","6,195.0","6,547.0","7,053.0","7,538.0","8,545.0","10,111.0","11,909.0","13,348.0","15,018.0","16,503.0","18,550.0","20,477.0","22,352.0","22,937.0","22,380.0","19,591.0","18,000.0","16,304.0","15,785.0","15,842.0","16,244.0","16,215.0","16,248.0","16,327.0","16,225.0","16,429.0","16,846.0","16,981.0","17,132.0","17,355.0","17,663.0","17,849.0","18,131.0","18,630.0","19,186.0","20,482.0","22,222.0","23,451.0","24,168.0","25,481.0","26,849.0","27,347.0","28,597.0"
"21","3","      Farm housing expenses excluding depreciation","B1007C1","1,095.0","1,178.0","1,245.0","1,227.0","1,286.0","1,355.0","1,438.0","1,546.0","1,689.0","1,761.0","1,837.0","1,933.0","2,033.0","1,997.0","2,185.0","2,344.0","2,468.0","2,524.0","2,439.0","2,580.0","2,674.0","2,749.0","2,807.0","2,883.0","3,176.0","3,660.0","3,930.0","4,123.0","4,161.0","4,420.0","4,840.0","5,786.0","6,181.0","6,634.0","7,149.0","8,412.0","9,249.0","10,193.0","11,042.0","11,053.0","11,281.0","11,519.0","12,109.0"
"22","4","      Monetary interest received by farm corporations","B1450C1","47.0","57.0","53.0","60.0","113.0","139.0","155.0","143.0","163.0","219.0","321.0","420.0","639.0","651.0","466.0","502.0","359.0","373.0","477.0","462.0","564.0","602.0","600.0","527.0","526.0","631.0","686.0","834.0","715.0","782.0","803.0","853.0","447.0","331.0","356.0","334.0","340.0","425.0","518.0","372.0","288.0","237.0","195.0"
"23","5","      Valuation adjustment, Commodity Credit Corporation loans","B2637C1","-61.0","-42.0","-43.0","-86.0","-854.0","-785.0","-43.0","50.0","-105.0","-337.0","-447.0","-259.0","-777.0","-1,229.0","-2,220.0","203.0","-1,149.0","-855.0","-37.0","-1,476.0","-188.0","-123.0","-89.0","-413.0","-69.0","-389.0","-865.0","-649.0","325.0","-15.0","-122.0","417.0","18.0","-12.0","3,159.0","-899.0","87.0","144.0","-332.0","-2,889.0","-312.0","770.0","-381.0"
"24","6","      Change in farm materials and supplies inventories","W250RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-168.0","1,285.0","-287.0","1,229.0","-1,885.0","864.0","487.0","459.0","-1,145.0","618.0","-574.0","1,232.0","-232.0","-213.0","329.0","-295.0","-249.0","-512.0","89.0","-528.0","-479.0"
"25","7","Less: Consumption of fixed capital, NIPAs","B366RC1","4,759.0","5,056.0","5,435.0","5,838.0","6,343.0","7,472.0","8,916.0","9,959.0","11,162.0","12,462.0","14,241.0","16,335.0","17,964.0","19,045.0","18,943.0","18,628.0","18,163.0","17,792.0","17,417.0","17,274.0","17,593.0","17,932.0","18,224.0","18,167.0","18,206.0","18,707.0","19,432.0","20,225.0","20,984.0","22,013.0","22,785.0","23,259.0","23,890.0","24,654.0","25,754.0","27,367.0","29,495.0","31,272.0","32,940.0","32,520.0","33,782.0","34,603.0","36,589.0"
"26","8","      Gross rental value of farm housing, USDA","B2638C1","3,046.0","3,268.0","3,475.0","3,712.0","4,147.0","4,942.0","5,355.0","6,115.0","7,250.0","8,057.0","9,256.0","11,045.0","12,597.0","13,121.0","12,593.0","4,881.0","4,689.0","4,567.0","5,041.0","7,695.0","7,182.0","7,181.0","7,156.0","7,207.0","8,067.0","9,021.0","9,404.0","9,759.0","9,636.0","10,023.0","10,591.0","12,746.0","13,142.0","13,640.0","14,286.0","16,793.0","18,829.0","19,539.0","20,567.0","20,526.0","20,713.0","21,225.0","22,444.0"
"27","9","      Patronage dividends received from cooperatives","B2639C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","117.0","134.0","162.0","184.0","207.0","250.0","260.0","313.0","371.0","336.0","336.0","341.0","388.0","442.0","415.0","399.0","456.0","417.0","519.0","648.0","750.0","647.0","624.0","577.0","555.0","198.0","218.0","245.0","272.0","298.0","733.0","381.0","380.0","370.0","370.0"
"28","10","      Other \1\","B1451C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","740.0","818.0","804.0","1,020.0","1,003.0","815.0","1,059.0","1,038.0","1,213.0","941.0","1,257.0","1,451.0","1,559.0","1,783.0","2,113.0","1,689.0","1,790.0","2,128.0","2,123.0","1,944.0","2,585.0","1,695.0","1,873.0","1,784.0","1,828.0"
"29","11","      Statistical differences \2\","W713RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,442.0","1,305.0","1,506.0","399.0","2,168.0","1,825.0","952.0","-547.0","-604.0","-2,437.0","1,829.0","24,786.0"
"30","12","Equals: Farm proprietors' income and corporate profits with inventory valuation and capital consumption adjustments","A1024C1","13,567.0","13,559.0","14,166.0","18,371.0","32,461.0","25,143.0","24,157.0","18,568.0","17,429.0","22,529.0","25,534.0","11,896.0","21,526.0","14,046.0","3,672.0","23,322.0","23,709.0","25,931.0","33,136.0","30,913.0","39,813.0","39,129.0","32,835.0","44,193.0","38,509.0","44,944.0","27,915.0","49,516.0","41,499.0","35,986.0","34,169.0","36,421.0","38,107.0","24,296.0","48,146.0","66,774.0","56,323.0","37,350.0","48,882.0","64,079.0","46,906.0","59,938.0","71,930.0"
"31","13","          Proprietors' income","B042RC1","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,976.0","22,837.0","28,907.0","26,802.0","33,022.0","32,168.0","27,504.0","35,809.0","32,027.0","35,596.0","23,437.0","38,436.0","32,588.0","28,880.0","28,495.0","29,632.0","30,523.0","18,452.0","36,535.0","49,663.0","43,876.0","29,335.0","37,779.0","51,752.0","39,873.0","44,309.0","54,567.0"
"32","14","          Corporate profits","B1023C1","733.0","665.0","780.0","1,348.0","3,387.0","1,675.0","2,158.0","1,359.0","1,465.0","2,607.0","3,384.0","189.0","2,498.0","733.0","-2,502.0","2,383.0","2,733.0","3,094.0","4,229.0","4,111.0","6,792.0","6,961.0","5,332.0","8,384.0","6,482.0","9,348.0","4,477.0","11,081.0","8,910.0","7,107.0","5,674.0","6,789.0","7,584.0","5,844.0","11,612.0","17,111.0","12,448.0","8,015.0","11,103.0","12,326.0","7,033.0","15,630.0","17,363.0"
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Consists largely of salaries paid to certain farm operators.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Statistical differences result from updates to the USDA farm income estimates that have not yet been incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","into the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","USDA U.S. Department of Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
