"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"22","3","        Truck output","A716RC1","9,430.0","9,212.0","10,265.0","10,150.0","8,913.0","8,793.0","8,940.0","7,064.0","9,876.0","10,345.0","10,900.0","11,330.0","13,202.0","14,154.0","12,668.0","15,240.0","16,912.0","16,957.0","17,592.0","17,691.0","18,505.0","17,863.0","19,168.0","20,169.0","15,713.0","15,738.0","17,206.0","17,904.0","20,359.0","23,023.0","25,324.0","24,256.0","29,063.0","29,424.0","32,705.0","33,546.0","31,654.0","35,911.0","37,805.0","41,959.0","44,175.0","39,084.0","35,662.0","32,585.0","28,657.0","23,784.0","25,004.0","28,778.0","28,287.0","31,003.0","29,371.0","30,524.0","31,893.0","33,381.0","30,124.0","28,024.0","31,534.0","37,162.0","42,387.0","50,842.0","53,987.0","55,598.0","56,755.0","61,803.0","60,718.0","66,374.0","70,674.0","70,854.0","63,536.0","68,130.0","67,420.0","65,651.0","65,891.0","69,597.0","71,739.0","72,307.0","72,078.0","71,557.0","73,545.0","80,878.0","89,133.0","82,936.0","86,377.0","81,502.0","76,691.0","78,450.0","75,908.0","66,887.0","59,137.0","67,042.0","72,278.0","71,404.0","76,063.0","80,377.0","83,835.0","95,359.0","97,371.0","99,821.0","103,008.0","115,301.0","123,182.0","120,464.0","128,344.0","131,181.0","133,667.0","135,893.0","140,372.0","147,191.0","142,302.0","149,463.0","153,067.0","156,821.0","164,237.0","164,535.0","179,348.0","192,328.0","186,116.0","189,273.0","178,910.0","214,271.0","217,204.0","216,112.0","228,863.0","227,300.0","228,022.0","222,779.0","208,079.0","200,952.0","190,603.0","206,528.0","204,569.0","216,301.0","220,540.0","231,692.0","249,779.0","238,315.0","237,979.0","248,914.0","255,401.0","262,609.0","265,957.0","253,690.0","274,668.0","268,859.0","261,006.0","273,156.0","288,212.0","252,367.0","257,317.0","255,695.0","264,983.0","250,919.0","255,890.0","261,068.0","264,917.0","248,177.0","225,535.0","199,227.0","172,736.0","143,962.0","131,783.0","134,610.0","175,437.0","183,378.0","197,468.0","214,193.0","236,661.0","232,348.0","252,170.0","247,883.0","265,142.0","271,972.0","278,775.0","293,917.0","280,686.0","277,783.0"
"23","4","Final sales of domestic product","AB60RC1","45,219.0","43,873.0","44,294.0","43,547.0","39,563.0","40,813.0","40,634.0","31,669.0","45,317.0","47,161.0","48,310.0","51,079.0","52,184.0","54,328.0","55,326.0","59,172.0","65,405.0","63,734.0","62,190.0","57,688.0","54,342.0","55,517.0","60,221.0","52,803.0","53,340.0","54,484.0","62,644.0","66,084.0","72,574.0","74,524.0","78,792.0","81,460.0","92,412.0","92,712.0","91,976.0","95,129.0","93,420.0","108,466.0","106,238.0","109,519.0","111,247.0","102,089.0","108,182.0","101,740.0","99,701.0","77,357.0","87,978.0","91,456.0","103,477.0","96,044.0","106,636.0","88,397.0","98,244.0","95,926.0","96,209.0","107,439.0","104,817.0","121,553.0","133,111.0","145,086.0","150,185.0","156,358.0","153,952.0","159,988.0","172,420.0","174,051.0","194,162.0","168,767.0","170,419.0","179,986.0","204,653.0","185,366.0","160,888.0","179,227.0","199,374.0","179,862.0","201,831.0","198,770.0","194,684.0","201,575.0","203,928.0","206,703.0","219,900.0","194,965.0","215,313.0","196,857.0","196,955.0","183,391.0","180,328.0","178,815.0","187,442.0","182,314.0","192,780.0","202,054.0","206,636.0","218,465.0","208,259.0","232,402.0","231,216.0","250,494.0","269,269.0","259,451.0","266,556.0","274,551.0","264,591.0","262,612.0","277,719.0","287,624.0","287,961.0","288,553.0","294,228.0","305,089.0","311,005.0","298,642.0","319,726.0","330,515.0","311,752.0","336,507.0","338,191.0","375,022.0","346,297.0","369,650.0","375,457.0","363,119.0","387,019.0","354,616.0","349,871.0","343,849.0","356,028.0","348,676.0","344,489.0","403,421.0","369,185.0","369,158.0","395,501.0","362,165.0","359,656.0","370,125.0","392,519.0","375,241.0","378,068.0","381,034.0","399,821.0","418,943.0","417,768.0","435,636.0","446,900.0","389,968.0","418,718.0","411,918.0","421,939.0","413,012.0","418,106.0","420,905.0","412,527.0","419,221.0","388,308.0","347,728.0","331,998.0","262,201.0","265,014.0","270,833.0","291,898.0","268,433.0","293,967.0","309,421.0","325,396.0","355,533.0","372,288.0","388,215.0","384,271.0","407,305.0","415,891.0","416,578.0","413,049.0","435,179.0"
"24","5","  Personal consumption expenditures","AB61RC1","32,443.0","31,742.0","32,236.0","31,760.0","29,151.0","30,192.0","30,259.0","24,202.0","34,211.0","35,470.0","36,427.0","38,280.0","39,046.0","40,571.0","41,479.0","44,346.0","48,424.0","47,042.0","45,077.0","41,297.0","37,879.0","38,594.0","42,348.0","35,815.0","37,866.0","38,343.0","44,981.0","48,235.0","54,738.0","55,811.0","57,270.0","59,401.0","65,610.0","65,970.0","67,065.0","69,030.0","67,079.0","78,158.0","76,495.0","77,292.0","77,053.0","70,725.0","75,204.0","72,379.0","74,171.0","57,152.0","66,173.0","68,520.0","77,252.0","70,729.0","78,600.0","67,188.0","77,506.0","76,579.0","78,151.0","86,100.0","84,738.0","99,707.0","104,790.0","114,075.0","120,218.0","124,273.0","123,690.0","129,411.0","139,942.0","142,129.0","161,694.0","142,563.0","146,184.0","156,808.0","184,187.0","168,719.0","146,569.0","162,768.0","179,798.0","167,828.0","179,770.0","175,914.0","170,499.0","177,426.0","179,916.0","181,290.0","189,445.0","172,570.0","189,747.0","177,862.0","174,668.0","165,184.0","154,447.0","153,141.0","163,549.0","160,644.0","170,200.0","173,937.0","177,741.0","182,407.0","181,281.0","193,141.0","194,526.0","206,725.0","213,980.0","212,336.0","213,764.0","224,345.0","215,789.0","216,541.0","221,848.0","227,195.0","231,994.0","235,888.0","236,129.0","239,342.0","252,246.0","240,888.0","257,322.0","265,342.0","254,547.0","275,413.0","281,722.0","311,229.0","293,437.0","316,637.0","319,676.0","308,891.0","336,868.0","312,004.0","316,932.0","319,955.0","331,717.0","324,227.0","327,936.0","384,239.0","352,719.0","353,770.0","379,092.0","353,112.0","347,139.0","360,720.0","368,871.0","356,231.0","356,264.0","356,015.0","359,111.0","366,791.0","361,257.0","377,286.0","377,370.0","330,491.0","344,989.0","344,628.0","349,781.0","346,886.0","347,437.0","353,111.0","350,247.0","348,661.0","329,083.0","304,350.0","283,765.0","244,252.0","252,552.0","257,564.0","295,184.0","274,013.0","273,726.0","287,260.0","296,142.0","315,487.0","322,377.0","309,584.0","313,596.0","335,589.0","346,721.0","341,084.0","349,296.0","370,290.0"
"25","6","    New motor vehicles","AB67RC1","27,134.0","26,628.0","27,061.0","26,545.0","24,328.0","24,955.0","25,158.0","19,311.0","29,200.0","29,800.0","30,645.0","32,495.0","33,155.0","34,571.0","35,155.0","37,801.0","41,544.0","40,179.0","38,209.0","34,908.0","31,530.0","31,890.0","35,069.0","28,275.0","30,966.0","30,771.0","36,832.0","39,704.0","45,386.0","45,615.0","46,651.0","48,904.0","54,272.0","55,526.0","55,842.0","57,791.0","56,159.0","66,451.0","63,861.0","64,465.0","64,445.0","58,435.0","62,321.0","60,424.0","61,325.0","46,093.0","54,349.0","55,558.0","63,679.0","56,260.0","63,724.0","52,903.0","62,522.0","62,041.0","62,223.0","70,326.0","68,920.0","82,920.0","85,878.0","93,749.0","98,252.0","99,929.0","96,346.0","104,137.0","111,958.0","113,681.0","132,114.0","113,567.0","117,560.0","128,379.0","153,239.0","137,009.0","117,598.0","129,643.0","141,272.0","126,646.0","141,176.0","138,151.0","133,937.0","139,618.0","140,230.0","139,095.0","149,270.0","128,622.0","146,676.0","135,976.0","132,453.0","123,551.0","109,768.0","110,759.0","115,990.0","115,097.0","123,171.0","124,476.0","127,714.0","131,400.0","128,004.0","138,215.0","138,967.0","150,398.0","150,130.0","150,538.0","148,918.0","155,216.0","143,900.0","146,172.0","145,871.0","153,861.0","153,542.0","152,666.0","150,044.0","155,631.0","157,327.0","151,762.0","166,539.0","173,207.0","165,647.0","185,811.0","174,586.0","191,451.0","190,770.0","200,416.0","202,513.0","206,534.0","218,979.0","209,580.0","212,233.0","202,042.0","217,260.0","215,267.0","211,837.0","275,708.0","244,766.0","231,986.0","256,211.0","241,243.0","237,067.0","254,697.0","261,570.0","253,092.0","255,986.0","250,255.0","250,805.0","252,677.0","243,897.0","265,429.0","266,859.0","219,393.0","231,708.0","231,603.0","236,765.0","232,110.0","236,914.0","236,123.0","229,051.0","230,517.0","215,149.0","195,863.0","181,343.0","148,517.0","149,938.0","154,138.0","190,397.0","168,019.0","163,898.0","174,256.0","179,145.0","193,800.0","200,420.0","193,603.0","198,728.0","219,377.0","228,595.0","226,830.0","231,949.0","244,242.0"
"26","7","      Autos","A136RC1","25,383.0","24,912.0","25,341.0","24,784.0","22,797.0","23,465.0","23,570.0","17,948.0","27,437.0","27,660.0","28,135.0","29,552.0","29,887.0","31,008.0","31,743.0","33,829.0","36,696.0","35,617.0","33,480.0","29,931.0","27,137.0","27,173.0","29,878.0","23,832.0","26,900.0","26,116.0","31,139.0","33,170.0","37,735.0","37,446.0","37,539.0","39,948.0","43,438.0","44,630.0","44,756.0","44,803.0","43,410.0","51,437.0","49,228.0","50,009.0","51,016.0","47,042.0","50,289.0","48,714.0","52,329.0","38,646.0","46,428.0","48,178.0","56,001.0","47,762.0","54,352.0","44,623.0","51,313.0","51,492.0","51,697.0","58,842.0","56,549.0","66,772.0","67,486.0","73,308.0","76,901.0","77,632.0","74,177.0","79,866.0","82,497.0","84,144.0","97,683.0","80,696.0","87,616.0","94,235.0","112,487.0","101,541.0","84,544.0","90,795.0","101,891.0","87,913.0","100,443.0","96,902.0","92,567.0","96,789.0","94,534.0","93,636.0","100,517.0","82,862.0","97,024.0","90,436.0","88,986.0","82,254.0","71,197.0","71,532.0","73,241.0","73,155.0","78,682.0","76,586.0","77,165.0","79,632.0","76,100.0","81,624.0","82,146.0","88,230.0","86,462.0","86,130.0","85,566.0","87,526.0","79,674.0","81,560.0","81,504.0","85,778.0","83,293.0","82,243.0","79,672.0","81,849.0","82,691.0","76,575.0","84,109.0","85,929.0","82,679.0","89,885.0","84,533.0","90,393.0","89,596.0","95,585.0","96,290.0","100,260.0","105,318.0","101,976.0","99,185.0","94,528.0","98,023.0","93,902.0","89,861.0","113,473.0","97,885.0","94,328.0","99,711.0","92,293.0","93,103.0","90,671.0","92,160.0","89,273.0","92,887.0","90,916.0","89,256.0","94,576.0","94,282.0","99,444.0","101,479.0","94,587.0","100,342.0","99,599.0","101,817.0","98,169.0","97,968.0","97,372.0","91,004.0","97,342.0","96,342.0","98,075.0","82,383.0","66,133.0","61,855.0","63,848.0","90,563.0","71,932.0","65,229.0","66,845.0","69,916.0","74,339.0","79,860.0","78,652.0","75,966.0","86,064.0","96,025.0","92,645.0","95,138.0","102,525.0"
"27","8","      Light trucks (including utility vehicles)","B704RC1","1,751.0","1,716.0","1,720.0","1,761.0","1,531.0","1,490.0","1,588.0","1,363.0","1,763.0","2,140.0","2,510.0","2,943.0","3,268.0","3,563.0","3,412.0","3,972.0","4,848.0","4,562.0","4,729.0","4,977.0","4,393.0","4,717.0","5,191.0","4,443.0","4,066.0","4,655.0","5,693.0","6,534.0","7,651.0","8,169.0","9,112.0","8,956.0","10,834.0","10,896.0","11,086.0","12,988.0","12,749.0","15,014.0","14,633.0","14,456.0","13,429.0","11,393.0","12,032.0","11,710.0","8,996.0","7,447.0","7,921.0","7,380.0","7,678.0","8,498.0","9,372.0","8,280.0","11,209.0","10,549.0","10,526.0","11,484.0","12,371.0","16,148.0","18,392.0","20,441.0","21,351.0","22,297.0","22,169.0","24,271.0","29,461.0","29,537.0","34,431.0","32,871.0","29,944.0","34,144.0","40,752.0","35,468.0","33,054.0","38,848.0","39,381.0","38,733.0","40,733.0","41,249.0","41,370.0","42,829.0","45,696.0","45,459.0","48,753.0","45,760.0","49,652.0","45,540.0","43,467.0","41,297.0","38,571.0","39,227.0","42,749.0","41,942.0","44,489.0","47,890.0","50,549.0","51,768.0","51,904.0","56,591.0","56,821.0","62,168.0","63,668.0","64,408.0","63,352.0","67,690.0","64,226.0","64,612.0","64,367.0","68,083.0","70,249.0","70,423.0","70,372.0","73,782.0","74,636.0","75,187.0","82,430.0","87,278.0","82,968.0","95,926.0","90,053.0","101,058.0","101,174.0","104,831.0","106,223.0","106,274.0","113,661.0","107,604.0","113,048.0","107,514.0","119,237.0","121,365.0","121,976.0","162,235.0","146,881.0","137,658.0","156,500.0","148,950.0","143,964.0","164,026.0","169,410.0","163,819.0","163,099.0","159,339.0","161,549.0","158,101.0","149,615.0","165,985.0","165,380.0","124,806.0","131,366.0","132,004.0","134,948.0","133,941.0","138,946.0","138,751.0","138,047.0","133,175.0","118,807.0","97,788.0","98,960.0","82,384.0","88,083.0","90,290.0","99,834.0","96,087.0","98,669.0","107,411.0","109,229.0","119,461.0","120,560.0","114,951.0","122,762.0","133,313.0","132,570.0","134,185.0","136,811.0","141,717.0"
"28","9","    Net purchases of used autos and used light trucks","W240RC1","5,309.0","5,114.0","5,175.0","5,215.0","4,823.0","5,237.0","5,101.0","4,891.0","5,011.0","5,670.0","5,782.0","5,785.0","5,891.0","6,000.0","6,324.0","6,545.0","6,880.0","6,863.0","6,868.0","6,389.0","6,349.0","6,704.0","7,279.0","7,540.0","6,900.0","7,572.0","8,149.0","8,531.0","9,352.0","10,196.0","10,619.0","10,497.0","11,338.0","10,444.0","11,223.0","11,239.0","10,920.0","11,707.0","12,634.0","12,827.0","12,608.0","12,290.0","12,883.0","11,955.0","12,846.0","11,059.0","11,824.0","12,962.0","13,573.0","14,469.0","14,876.0","14,285.0","14,984.0","14,538.0","15,928.0","15,774.0","15,818.0","16,787.0","18,912.0","20,326.0","21,966.0","24,344.0","27,344.0","25,274.0","27,984.0","28,448.0","29,580.0","28,996.0","28,624.0","28,429.0","30,948.0","31,710.0","28,971.0","33,125.0","38,526.0","41,182.0","38,594.0","37,763.0","36,562.0","37,808.0","39,686.0","42,195.0","40,175.0","43,948.0","43,071.0","41,886.0","42,215.0","41,633.0","44,679.0","42,382.0","47,559.0","45,547.0","47,029.0","49,461.0","50,027.0","51,007.0","53,277.0","54,926.0","55,559.0","56,327.0","63,850.0","61,798.0","64,846.0","69,129.0","71,889.0","70,369.0","75,977.0","73,334.0","78,452.0","83,222.0","86,085.0","83,711.0","94,919.0","89,126.0","90,783.0","92,135.0","88,900.0","89,602.0","107,136.0","119,778.0","102,667.0","116,221.0","117,163.0","102,357.0","117,889.0","102,424.0","104,699.0","117,913.0","114,457.0","108,960.0","116,099.0","108,531.0","107,953.0","121,784.0","122,881.0","111,869.0","110,072.0","106,023.0","107,301.0","103,139.0","100,278.0","105,760.0","108,306.0","114,114.0","117,360.0","111,857.0","110,511.0","111,098.0","113,281.0","113,025.0","113,016.0","114,776.0","110,523.0","116,988.0","121,196.0","118,144.0","113,934.0","108,487.0","102,422.0","95,735.0","102,614.0","103,426.0","104,787.0","105,994.0","109,828.0","113,004.0","116,997.0","121,687.0","121,957.0","115,981.0","114,868.0","116,212.0","118,126.0","114,254.0","117,347.0","126,048.0"
"29","10","      Used autos","A137RC1","5,134.0","4,937.0","4,986.0","5,007.0","4,626.0","5,028.0","4,875.0","4,707.0","4,792.0","5,428.0","5,528.0","5,516.0","5,608.0","5,741.0","6,065.0","6,253.0","6,535.0","6,518.0","6,523.0","6,044.0","6,000.0","6,355.0","6,930.0","7,191.0","6,556.0","7,228.0","7,805.0","8,187.0","8,946.0","9,726.0","10,085.0","9,899.0","10,707.0","9,781.0","10,528.0","10,512.0","10,171.0","10,827.0","11,709.0","11,805.0","11,615.0","11,376.0","11,726.0","10,583.0","11,587.0","9,848.0","10,394.0","11,562.0","12,126.0","12,889.0","13,184.0","12,844.0","13,066.0","12,782.0","14,270.0","14,086.0","14,298.0","14,628.0","16,286.0","17,292.0","18,746.0","20,998.0","24,090.0","21,822.0","23,931.0","24,473.0","24,924.0","24,368.0","23,836.0","22,614.0","23,602.0","25,075.0","22,915.0","25,909.0","31,077.0","33,683.0","30,319.0","29,160.0","27,749.0","28,531.0","29,901.0","32,213.0","29,013.0","32,861.0","30,064.0","29,135.0","29,309.0","28,744.0","31,946.0","29,142.0","33,021.0","31,400.0","32,784.0","34,551.0","34,680.0","35,561.0","37,654.0","38,256.0","39,056.0","38,498.0","46,364.0","44,171.0","47,261.0","49,590.0","51,307.0","48,912.0","53,296.0","48,505.0","51,039.0","55,232.0","57,165.0","53,229.0","62,395.0","55,161.0","54,330.0","56,345.0","53,620.0","52,407.0","63,465.0","68,242.0","57,360.0","64,467.0","65,085.0","55,106.0","65,116.0","54,389.0","54,744.0","65,785.0","60,639.0","58,934.0","60,792.0","54,601.0","55,951.0","62,392.0","62,191.0","56,433.0","55,559.0","53,058.0","53,390.0","51,341.0","49,109.0","52,787.0","53,483.0","56,131.0","57,367.0","55,437.0","54,524.0","55,366.0","55,503.0","54,577.0","53,684.0","53,179.0","50,668.0","53,144.0","54,612.0","53,728.0","52,675.0","50,629.0","47,252.0","41,141.0","43,333.0","42,912.0","44,057.0","45,363.0","47,130.0","47,631.0","49,718.0","52,660.0","53,343.0","51,097.0","49,995.0","50,719.0","51,912.0","48,904.0","49,557.0","54,256.0"
"30","11","      Used light trucks (including utility vehicles)","W241RC1","175.0","177.0","189.0","208.0","197.0","209.0","226.0","184.0","219.0","242.0","254.0","269.0","283.0","259.0","259.0","292.0","345.0","345.0","345.0","345.0","349.0","349.0","349.0","349.0","344.0","344.0","344.0","344.0","406.0","470.0","534.0","598.0","631.0","663.0","695.0","727.0","749.0","880.0","925.0","1,022.0","993.0","914.0","1,157.0","1,372.0","1,259.0","1,211.0","1,430.0","1,400.0","1,447.0","1,580.0","1,692.0","1,441.0","1,918.0","1,756.0","1,658.0","1,688.0","1,520.0","2,159.0","2,626.0","3,034.0","3,220.0","3,346.0","3,254.0","3,452.0","4,053.0","3,975.0","4,656.0","4,628.0","4,788.0","5,815.0","7,346.0","6,635.0","6,056.0","7,216.0","7,449.0","7,499.0","8,275.0","8,603.0","8,813.0","9,277.0","9,785.0","9,982.0","11,162.0","11,087.0","13,007.0","12,751.0","12,906.0","12,889.0","12,733.0","13,240.0","14,538.0","14,147.0","14,245.0","14,910.0","15,347.0","15,446.0","15,623.0","16,670.0","16,503.0","17,829.0","17,486.0","17,627.0","17,585.0","19,539.0","20,582.0","21,457.0","22,681.0","24,829.0","27,413.0","27,990.0","28,920.0","30,482.0","32,524.0","33,965.0","36,453.0","35,790.0","35,280.0","37,195.0","43,671.0","51,536.0","45,307.0","51,754.0","52,078.0","47,251.0","52,773.0","48,035.0","49,955.0","52,128.0","53,818.0","50,026.0","55,307.0","53,930.0","52,002.0","59,392.0","60,690.0","55,436.0","54,513.0","52,965.0","53,911.0","51,798.0","51,169.0","52,973.0","54,823.0","57,983.0","59,993.0","56,420.0","55,987.0","55,732.0","57,778.0","58,448.0","59,332.0","61,597.0","59,855.0","63,844.0","66,584.0","64,416.0","61,259.0","57,858.0","55,170.0","54,594.0","59,281.0","60,514.0","60,730.0","60,631.0","62,698.0","65,373.0","67,279.0","69,027.0","68,614.0","64,884.0","64,873.0","65,493.0","66,214.0","65,350.0","67,790.0","71,792.0"
"31","12","  Private fixed investment","AB62RC1","13,229.0","13,503.0","13,646.0","13,458.0","12,145.0","12,095.0","11,965.0","9,570.0","13,293.0","14,027.0","15,088.0","16,083.0","16,588.0","17,197.0","16,803.0","18,444.0","20,288.0","20,252.0","20,188.0","19,288.0","19,733.0","20,077.0","20,725.0","18,688.0","16,256.0","16,418.0","18,606.0","19,435.0","21,102.0","21,961.0","24,051.0","24,288.0","29,116.0","30,279.0","29,976.0","32,461.0","33,039.0","37,589.0","36,727.0","38,849.0","39,661.0","37,830.0","38,448.0","34,845.0","33,681.0","28,410.0","31,477.0","31,851.0","34,297.0","34,714.0","36,803.0","33,566.0","35,205.0","34,372.0","33,804.0","34,103.0","36,635.0","39,462.0","44,243.0","50,757.0","52,061.0","54,637.0","53,906.0","54,560.0","56,165.0","58,294.0","60,865.0","58,497.0","57,141.0","58,956.0","60,734.0","56,148.0","53,797.0","57,572.0","57,590.0","51,682.0","57,880.0","58,168.0","57,258.0","61,135.0","55,809.0","57,751.0","55,043.0","49,993.0","52,964.0","51,904.0","54,254.0","52,320.0","51,709.0","52,689.0","54,622.0","54,275.0","53,893.0","56,228.0","55,995.0","61,111.0","62,099.0","71,410.0","69,951.0","78,317.0","88,046.0","88,006.0","92,953.0","99,549.0","96,268.0","92,855.0","95,790.0","97,986.0","95,974.0","99,826.0","105,899.0","108,574.0","110,794.0","108,945.0","112,428.0","113,577.0","109,340.0","115,320.0","112,099.0","129,215.0","127,810.0","130,940.0","137,862.0","135,246.0","137,994.0","129,679.0","124,349.0","114,002.0","114,105.0","111,941.0","104,375.0","105,013.0","105,258.0","105,699.0","108,942.0","102,775.0","96,886.0","100,113.0","108,071.0","111,325.0","114,536.0","121,784.0","132,613.0","141,560.0","139,523.0","144,444.0","154,696.0","153,180.0","170,623.0","162,939.0","159,922.0","161,634.0","156,531.0","145,852.0","142,308.0","141,553.0","134,335.0","111,807.0","93,820.0","62,053.0","35,482.0","39,087.0","39,117.0","47,854.0","69,122.0","85,570.0","93,623.0","101,828.0","113,548.0","119,751.0","135,353.0","139,718.0","148,363.0","151,114.0","151,141.0","148,490.0"
"32","13","    New motor vehicles","AB68RC1","15,514.0","15,916.0","16,070.0","16,008.0","14,490.0","14,816.0","14,517.0","11,232.0","15,927.0","16,298.0","17,373.0","18,314.0","18,587.0","19,427.0","19,187.0","21,295.0","23,302.0","23,281.0","23,081.0","21,684.0","22,329.0","23,020.0","24,409.0","22,197.0","19,750.0","20,185.0","23,106.0","23,914.0","25,697.0","26,827.0","28,809.0","29,077.0","34,269.0","35,438.0","34,833.0","37,444.0","37,956.0","43,231.0","42,462.0","44,963.0","46,220.0","44,286.0","45,599.0","41,303.0","40,829.0","34,399.0","38,344.0","39,284.0","42,456.0","42,308.0","45,495.0","41,065.0","43,200.0","42,781.0","42,703.0","43,171.0","45,246.0","48,222.0","53,725.0","61,760.0","65,318.0","69,708.0","71,067.0","70,779.0","74,470.0","76,811.0","81,502.0","75,257.0","73,612.0","76,275.0","79,522.0","72,979.0","70,242.0","76,538.0","80,343.0","76,643.0","80,933.0","81,304.0","81,866.0","85,251.0","78,632.0","84,222.0","80,628.0","73,651.0","78,209.0","76,990.0","81,553.0","79,953.0","78,691.0","81,045.0","86,284.0","84,508.0","84,689.0","91,329.0","91,397.0","98,517.0","97,664.0","111,434.0","106,911.0","117,549.0","129,020.0","128,541.0","134,249.0","143,548.0","141,070.0","136,970.0","143,028.0","145,483.0","147,755.0","155,022.0","162,786.0","162,080.0","166,364.0","163,236.0","168,788.0","172,794.0","171,442.0","184,651.0","173,138.0","198,578.0","198,538.0","200,396.0","212,247.0","210,831.0","216,205.0","204,110.0","200,325.0","185,406.0","191,664.0","185,499.0","177,358.0","172,761.0","169,571.0","179,410.0","184,839.0","175,030.0","163,333.0","162,258.0","174,905.0","177,258.0","174,952.0","184,000.0","197,510.0","206,459.0","201,475.0","208,977.0","222,458.0","218,914.0","238,436.0","226,556.0","225,627.0","229,876.0","227,565.0","216,176.0","218,902.0","214,809.0","207,102.0","185,974.0","169,123.0","129,088.0","100,264.0","110,550.0","118,102.0","139,768.0","150,618.0","159,351.0","167,536.0","170,868.0","183,828.0","184,852.0","203,738.0","207,290.0","219,236.0","222,505.0","224,822.0","235,605.0"
"33","14","      Autos","B139RC1","8,602.0","8,838.0","8,798.0","8,638.0","7,888.0","8,430.0","8,009.0","5,897.0","9,739.0","9,373.0","9,930.0","9,878.0","9,518.0","9,788.0","10,055.0","11,399.0","11,953.0","12,287.0","11,985.0","10,267.0","10,765.0","11,053.0","12,577.0","11,113.0","10,747.0","11,696.0","13,821.0","13,939.0","14,872.0","15,190.0","15,482.0","16,353.0","18,602.0","19,332.0","18,928.0","19,734.0","19,743.0","22,715.0","22,564.0","22,854.0","23,384.0","21,954.0","23,254.0","20,248.0","22,040.0","18,151.0","20,566.0","22,327.0","24,844.0","23,151.0","26,550.0","22,515.0","23,385.0","24,263.0","25,566.0","25,973.0","26,407.0","28,543.0","31,665.0","35,750.0","37,901.0","40,207.0","41,429.0","39,651.0","42,104.0","43,311.0","47,935.0","39,226.0","42,674.0","45,127.0","48,308.0","42,655.0","40,414.0","43,110.0","46,582.0","43,811.0","47,987.0","48,584.0","48,701.0","48,995.0","44,409.0","49,162.0","46,971.0","42,270.0","45,778.0","46,009.0","50,409.0","50,028.0","50,595.0","51,837.0","55,567.0","52,301.0","51,592.0","54,720.0","52,804.0","57,232.0","54,291.0","63,117.0","57,112.0","62,933.0","69,345.0","69,188.0","71,320.0","75,819.0","70,169.0","68,074.0","71,621.0","70,367.0","70,573.0","75,417.0","77,766.0","72,228.0","76,220.0","73,640.0","74,909.0","74,247.0","71,991.0","76,512.0","71,285.0","83,280.0","79,353.0","81,978.0","84,360.0","83,273.0","88,833.0","83,128.0","82,155.0","80,374.0","84,488.0","83,270.0","77,931.0","72,881.0","74,244.0","81,716.0","82,241.0","77,195.0","73,436.0","69,502.0","72,704.0","69,871.0","68,033.0","72,545.0","73,046.0","76,557.0","75,217.0","75,537.0","79,016.0","81,287.0","85,821.0","80,166.0","80,120.0","81,709.0","82,985.0","82,895.0","84,150.0","82,488.0","78,748.0","76,963.0","74,086.0","55,076.0","42,194.0","49,986.0","53,154.0","63,345.0","67,129.0","68,868.0","70,863.0","67,573.0","70,987.0","70,662.0","74,332.0","75,878.0","88,840.0","84,969.0","87,961.0","98,510.0"
