"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"22","3","  Structures","B009RC1","35,794.0","36,671.0","38,930.0","39,397.0","39,491.0","40,312.0","40,577.0","40,768.0","41,504.0","42,336.0","43,119.0","43,757.0","45,781.0","46,607.0","47,314.0","48,990.0","51,327.0","54,060.0","56,831.0","57,714.0","58,984.0","61,333.0","61,417.0","63,214.0","61,682.0","60,409.0","61,275.0","62,034.0","64,099.0","65,057.0","66,683.0","67,821.0","69,732.0","73,631.0","76,409.0","78,540.0","80,018.0","90,259.0","98,559.0","105,498.0","107,879.0","112,844.0","121,814.0","128,268.0","132,557.0","132,299.0","135,769.0","144,056.0","150,017.0","161,010.0","169,743.0","188,485.0","186,622.0","182,450.0","172,926.0","168,257.0","158,581.0","149,502.0","152,648.0","156,644.0","165,735.0","175,807.0","182,528.0","185,519.0","194,875.0","195,236.0","192,210.0","195,751.0","191,672.0","174,504.0","169,021.0","170,911.0","166,921.0","169,576.0","177,585.0","182,728.0","178,614.0","184,151.0","183,452.0","184,943.0","189,505.0","189,565.0","197,739.0","198,056.0","204,137.0","204,572.0","205,516.0","197,443.0","194,901.0","189,888.0","177,485.0","172,151.0","169,931.0","170,640.0","173,047.0","176,671.0","173,681.0","175,083.0","177,461.0","182,380.0","176,216.0","187,371.0","189,428.0","194,061.0","201,351.0","206,740.0","210,519.0","210,472.0","214,406.0","219,906.0","225,456.0","238,564.0","243,012.0","243,066.0","255,076.0","259,911.0","260,725.0","277,719.0","280,112.0","281,960.0","282,817.0","281,214.0","282,958.0","288,789.0","297,829.0","312,992.0","328,224.0","333,533.0","329,008.0","335,253.0","342,579.0","311,984.0","297,838.0","284,809.0","274,612.0","273,745.0","274,246.0","282,587.0","284,060.0","286,571.0","290,826.0","300,910.0","312,432.0","322,438.0","338,419.0","346,527.0","352,344.0","369,726.0","396,779.0","428,564.0","447,633.0","461,708.0","479,506.0","512,335.0","545,529.0","562,167.0","570,859.0","589,609.0","594,741.0","590,006.0","530,537.0","467,114.0","421,027.0","385,598.0","362,731.0","376,594.0","377,066.0","389,004.0","362,423.0","397,012.0","421,799.0","438,156.0","454,683.0","458,925.0","460,110.0","479,866.0"
"23","4","    Commercial and health care","W001RC1","10,590.0","11,143.0","12,324.0","12,606.0","12,853.0","12,554.0","12,351.0","12,398.0","13,139.0","14,386.0","15,794.0","16,236.0","16,892.0","17,380.0","17,608.0","18,336.0","18,973.0","19,814.0","20,329.0","20,156.0","20,501.0","21,150.0","20,521.0","20,400.0","19,266.0","17,098.0","17,169.0","17,115.0","17,919.0","17,886.0","18,080.0","18,315.0","19,008.0","19,877.0","21,093.0","21,226.0","22,129.0","24,852.0","26,276.0","28,069.0","27,828.0","32,147.0","35,712.0","38,332.0","40,996.0","40,426.0","40,255.0","42,195.0","45,555.0","47,336.0","49,025.0","51,168.0","53,381.0","55,874.0","56,829.0","57,056.0","54,781.0","52,786.0","56,997.0","58,778.0","63,533.0","70,117.0","72,438.0","76,290.0","81,613.0","84,235.0","84,095.0","86,596.0","85,174.0","80,449.0","78,724.0","79,077.0","77,420.0","78,897.0","82,000.0","84,992.0","84,110.0","87,411.0","87,283.0","86,485.0","88,495.0","85,334.0","90,122.0","89,126.0","90,435.0","88,533.0","88,419.0","82,474.0","74,920.0","72,183.0","66,687.0","61,899.0","62,616.0","63,368.0","64,837.0","67,132.0","68,026.0","68,900.0","68,590.0","71,937.0","69,209.0","76,939.0","77,221.0","78,167.0","81,796.0","83,429.0","83,659.0","83,340.0","83,995.0","89,774.0","93,616.0","98,595.0","103,641.0","100,114.0","106,828.0","106,633.0","109,283.0","116,207.0","116,180.0","122,206.0","122,577.0","124,898.0","126,496.0","127,704.0","130,452.0","137,646.0","143,256.0","145,928.0","146,004.0","141,686.0","133,922.0","127,599.0","125,582.0","120,575.0","116,749.0","114,768.0","112,207.0","113,253.0","116,286.0","118,469.0","118,928.0","126,146.0","128,883.0","127,357.0","132,169.0","134,498.0","136,248.0","140,777.0","146,741.0","153,949.0","161,023.0","163,934.0","173,935.0","180,130.0","184,988.0","188,448.0","187,320.0","185,940.0","182,541.0","171,900.0","150,465.0","134,628.0","117,523.0","104,541.0","96,633.0","92,186.0","89,877.0","89,588.0","86,394.0","90,944.0","94,452.0","94,283.0","97,176.0","100,226.0","102,756.0","104,912.0"
"24","5","    Manufacturing","C307RC1","6,741.0","6,636.0","6,931.0","6,920.0","6,696.0","7,188.0","7,158.0","6,902.0","6,850.0","6,437.0","5,809.0","5,944.0","5,800.0","5,923.0","5,947.0","5,986.0","6,975.0","7,425.0","8,440.0","8,836.0","9,380.0","9,815.0","9,711.0","11,194.0","10,530.0","10,636.0","10,591.0","10,447.0","10,883.0","10,216.0","9,691.0","9,570.0","10,131.0","10,846.0","11,239.0","12,040.0","12,707.0","14,452.0","17,988.0","19,473.0","21,114.0","21,685.0","22,258.0","23,079.0","21,847.0","21,118.0","19,394.0","19,729.0","22,854.0","24,468.0","27,427.0","26,903.0","27,219.0","27,193.0","25,367.0","24,549.0","21,298.0","19,745.0","19,829.0","16,944.0","19,529.0","20,514.0","21,736.0","21,825.0","23,859.0","24,093.0","24,202.0","24,401.0","22,440.0","20,510.0","19,894.0","21,092.0","19,177.0","20,288.0","22,780.0","22,595.0","21,784.0","23,162.0","23,199.0","24,668.0","25,890.0","28,423.0","30,441.0","30,390.0","33,650.0","34,328.0","34,292.0","32,274.0","33,365.0","32,255.0","29,674.0","30,403.0","30,335.0","28,963.0","28,260.0","28,558.0","23,649.0","22,430.0","23,900.0","24,269.0","25,060.0","28,617.0","29,825.0","32,286.0","33,464.0","36,425.0","36,365.0","35,738.0","37,803.0","37,196.0","36,831.0","40,833.0","37,252.0","36,180.0","38,982.0","38,082.0","40,603.0","40,763.0","40,243.0","40,331.0","37,982.0","35,003.0","34,441.0","33,079.0","34,868.0","38,370.0","38,174.0","38,919.0","41,838.0","39,772.0","38,646.0","31,003.0","26,104.0","23,527.0","20,806.0","20,538.0","20,043.0","21,724.0","21,837.0","22,136.0","21,983.0","21,757.0","23,317.0","27,611.0","29,269.0","28,907.0","30,109.0","31,263.0","32,265.0","35,179.0","37,235.0","35,672.0","37,276.0","39,526.0","46,892.0","51,257.0","51,853.0","56,058.0","58,841.0","62,748.0","69,091.0","65,944.0","58,374.0","51,496.0","48,906.0","46,725.0","41,198.0","36,225.0","35,082.0","42,078.0","48,283.0","51,313.0","50,516.0","53,758.0","52,446.0","55,577.0"
"25","6","    Power and communication","W003RC1","8,483.0","8,512.0","8,640.0","9,045.0","9,373.0","10,026.0","10,724.0","10,737.0","10,886.0","11,144.0","11,013.0","10,917.0","11,868.0","11,875.0","12,116.0","12,433.0","12,850.0","13,573.0","14,279.0","14,566.0","14,900.0","15,000.0","15,359.0","15,053.0","15,250.0","15,342.0","15,732.0","16,336.0","16,209.0","17,993.0","19,109.0","19,309.0","18,618.0","19,536.0","19,466.0","19,476.0","19,910.0","21,147.0","21,944.0","22,768.0","23,421.0","24,212.0","25,138.0","25,717.0","26,825.0","27,196.0","27,375.0","27,784.0","29,096.0","29,652.0","30,185.0","30,883.0","30,795.0","30,228.0","29,572.0","27,813.0","26,665.0","25,653.0","24,573.0","26,232.0","25,555.0","26,520.0","26,982.0","26,927.0","26,624.0","26,422.0","26,371.0","26,688.0","28,757.0","29,241.0","28,286.0","26,868.0","26,020.0","25,449.0","25,091.0","25,083.0","24,581.0","24,281.0","25,468.0","25,789.0","27,525.0","27,686.0","27,097.0","27,608.0","25,473.0","25,772.0","26,482.0","27,605.0","29,824.0","31,293.0","32,205.0","32,917.0","33,003.0","33,627.0","34,031.0","34,855.0","34,463.0","33,220.0","32,507.0","32,502.0","31,283.0","30,648.0","31,094.0","31,631.0","33,352.0","33,804.0","33,418.0","31,822.0","30,418.0","29,099.0","28,179.0","29,197.0","27,517.0","28,194.0","29,319.0","30,082.0","30,174.0","34,832.0","37,251.0","34,396.0","39,557.0","36,612.0","41,426.0","44,185.0","44,788.0","44,926.0","50,706.0","52,152.0","43,639.0","52,191.0","52,244.0","56,307.0","57,605.0","51,568.0","46,890.0","47,906.0","51,878.0","49,681.0","46,029.0","44,708.0","44,658.0","39,511.0","41,861.0","45,285.0","45,258.0","44,677.0","44,385.0","46,288.0","51,648.0","50,970.0","54,041.0","56,737.0","63,221.0","72,695.0","82,568.0","91,889.0","93,980.0","89,902.0","86,912.0","91,045.0","89,938.0","90,761.0","93,392.0","86,484.0","71,005.0","78,325.0","76,569.0","89,747.0","69,538.0","75,359.0","79,294.0","82,148.0","98,009.0","93,513.0","91,250.0","104,227.0"
"26","7","    Mining exploration, shafts, and wells","E318RC1","2,591.0","2,761.0","2,926.0","2,902.0","2,796.0","2,827.0","2,686.0","2,835.0","2,712.0","2,507.0","2,666.0","2,759.0","2,936.0","3,037.0","3,054.0","3,249.0","3,221.0","3,322.0","3,592.0","3,797.0","4,075.0","5,109.0","5,546.0","5,922.0","6,620.0","7,059.0","7,649.0","8,120.0","8,402.0","8,152.0","8,684.0","9,222.0","10,206.0","11,173.0","11,954.0","12,515.0","11,811.0","14,714.0","16,353.0","18,798.0","18,923.0","16,748.0","19,300.0","21,165.0","22,376.0","23,425.0","29,319.0","34,388.0","31,467.0","38,529.0","41,242.0","58,594.0","54,091.0","48,088.0","40,107.0","36,718.0","34,186.0","28,207.0","28,354.0","29,245.0","30,500.0","30,626.0","32,309.0","31,701.0","32,339.0","28,084.0","25,892.0","25,377.0","23,430.0","14,554.0","12,170.0","12,574.0","11,843.0","11,139.0","13,758.0","15,484.0","15,301.0","16,449.0","15,785.0","15,348.0","13,561.0","14,912.0","15,645.0","15,518.0","17,028.0","17,818.0","17,969.0","18,865.0","21,272.0","20,758.0","16,417.0","15,729.0","13,827.0","13,320.0","14,126.0","15,515.0","15,996.0","15,748.0","16,403.0","18,211.0","16,059.0","15,694.0","16,370.0","17,450.0","15,541.0","14,214.0","14,875.0","15,563.0","15,414.0","16,432.0","17,357.0","17,905.0","21,069.0","22,437.0","22,408.0","23,633.0","22,817.0","23,594.0","22,743.0","20,034.0","17,929.0","18,683.0","17,268.0","19,306.0","20,279.0","22,653.0","24,875.0","27,159.0","31,711.0","35,379.0","38,485.0","32,785.0","27,590.0","28,337.0","32,275.0","32,795.0","33,483.0","37,889.0","40,517.0","41,901.0","45,659.0","50,385.0","53,939.0","57,731.0","67,898.0","76,347.0","78,326.0","85,685.0","97,391.0","113,966.0","119,214.0","126,313.0","124,992.0","131,259.0","136,485.0","131,030.0","135,518.0","151,322.0","159,354.0","160,764.0","126,796.0","85,203.0","70,714.0","71,730.0","81,685.0","97,927.0","110,851.0","117,242.0","118,034.0","132,066.0","141,852.0","150,574.0","148,617.0","148,792.0","150,638.0","151,926.0"
"27","8","    Other structures \1\","W004RC1","7,389.0","7,619.0","8,110.0","7,926.0","7,772.0","7,718.0","7,659.0","7,895.0","7,917.0","7,861.0","7,836.0","7,902.0","8,285.0","8,392.0","8,589.0","8,986.0","9,308.0","9,926.0","10,191.0","10,359.0","10,128.0","10,259.0","10,280.0","10,645.0","10,016.0","10,274.0","10,134.0","10,016.0","10,686.0","10,810.0","11,119.0","11,405.0","11,769.0","12,199.0","12,657.0","13,283.0","13,461.0","15,095.0","15,998.0","16,390.0","16,593.0","18,051.0","19,407.0","19,975.0","20,512.0","20,134.0","19,426.0","19,961.0","21,045.0","21,024.0","21,864.0","20,937.0","21,136.0","21,067.0","21,051.0","22,121.0","21,651.0","23,111.0","22,895.0","25,445.0","26,618.0","28,030.0","29,063.0","28,777.0","30,439.0","32,401.0","31,651.0","32,688.0","31,872.0","29,749.0","29,946.0","31,301.0","32,461.0","33,804.0","33,955.0","34,573.0","32,838.0","32,847.0","31,717.0","32,652.0","34,034.0","33,211.0","34,434.0","35,415.0","37,551.0","38,122.0","38,354.0","36,224.0","35,521.0","33,399.0","32,501.0","31,202.0","30,150.0","31,363.0","31,793.0","30,611.0","31,547.0","34,785.0","36,061.0","35,461.0","34,606.0","35,472.0","34,918.0","34,527.0","37,197.0","38,868.0","42,202.0","44,009.0","46,776.0","47,406.0","49,472.0","52,034.0","53,533.0","56,142.0","57,539.0","61,480.0","57,848.0","62,324.0","63,696.0","64,993.0","64,772.0","66,019.0","63,327.0","64,516.0","67,442.0","69,397.0","71,212.0","69,375.0","65,816.0","66,225.0","79,282.0","64,291.0","60,957.0","60,802.0","57,893.0","57,739.0","56,635.0","60,041.0","59,390.0","59,356.0","59,598.0","63,111.0","64,432.0","64,454.0","63,825.0","62,097.0","63,276.0","65,713.0","68,734.0","74,500.0","76,121.0","79,053.0","80,081.0","88,725.0","94,596.0","99,544.0","102,187.0","106,387.0","107,093.0","103,550.0","94,247.0","90,578.0","81,024.0","71,347.0","64,502.0","61,430.0","58,571.0","56,202.0","53,375.0","56,564.0","57,918.0","59,839.0","60,365.0","62,636.0","63,019.0","63,223.0"
"28","9","  Equipment and software","B010RC1","65,206.0","66,370.0","68,007.0","68,230.0","68,658.0","69,117.0","70,027.0","67,126.0","68,888.0","71,031.0","71,710.0","74,243.0","77,564.0","79,704.0","81,777.0","87,611.0","92,786.0","98,027.0","100,144.0","102,171.0","103,610.0","106,071.0","111,086.0","112,145.0","109,316.0","110,408.0","113,275.0","116,580.0","119,844.0","123,403.0","128,429.0","134,105.0","144,454.0","150,124.0","156,065.0","165,918.0","170,336.0","185,785.0","191,996.0","199,798.0","210,883.0","212,093.0","220,466.0","221,323.0","228,763.0","218,647.0","225,296.0","232,185.0","243,047.0","249,802.0","258,644.0","259,295.0","256,564.0","249,570.0","246,490.0","242,982.0","241,919.0","253,354.0","266,829.0","289,308.0","294,324.0","308,609.0","318,210.0","327,805.0","325,614.0","333,285.0","329,943.0","337,832.0","335,532.0","343,012.0","344,436.0","350,255.0","339,916.0","348,587.0","356,663.0","354,493.0","367,561.0","378,178.0","384,044.0","394,193.0","401,803.0","412,342.0","424,207.0","417,765.0","422,738.0","413,289.0","420,600.0","421,466.0","413,306.0","411,478.0","416,610.0","416,883.0","415,710.0","436,473.0","445,982.0","460,046.0","469,112.0","485,202.0","490,031.0","513,313.0","528,583.0","533,132.0","545,291.0","571,560.0","596,322.0","598,724.0","600,643.0","615,362.0","627,012.0","640,560.0","663,515.0","672,043.0","687,062.0","706,862.0","740,540.0","738,904.0","764,264.0","778,091.0","786,548.0","815,127.0","837,911.0","866,171.0","891,534.0","888,217.0","925,708.0","957,062.0","960,203.0","959,198.0","944,677.0","905,381.0","877,066.0","865,304.0","851,658.0","843,504.0","846,024.0","829,546.0","823,412.0","841,228.0","866,754.0","883,853.0","873,802.0","903,504.0","931,526.0","956,698.0","966,791.0","988,368.0","1,010,586.0","1,016,538.0","1,060,463.0","1,066,709.0","1,075,076.0","1,084,387.0","1,100,132.0","1,112,612.0","1,115,122.0","1,122,410.0","1,118,433.0","1,099,440.0","1,071,173.0","990,912.0","912,409.0","888,890.0","891,911.0","899,759.0","923,106.0","948,618.0","976,752.0","999,799.0","1,028,391.0","1,050,982.0","1,097,568.0","1,121,982.0","1,140,780.0","1,155,212.0","1,149,900.0","1,185,618.0"
"29","10","    Information processing equipment and software","A679RC1","13,031.0","14,171.0","15,227.0","16,019.0","16,694.0","16,991.0","16,359.0","16,506.0","16,173.0","17,299.0","17,594.0","18,275.0","19,111.0","19,067.0","19,498.0","20,139.0","21,567.0","22,731.0","23,358.0","24,662.0","25,144.0","25,629.0","27,885.0","29,269.0","29,086.0","28,453.0","28,223.0","28,378.0","29,423.0","31,613.0","33,657.0","36,170.0","36,827.0","38,577.0","39,637.0","41,619.0","43,694.0","47,777.0","50,365.0","52,910.0","55,543.0","56,714.0","59,356.0","62,328.0","65,402.0","66,741.0","70,672.0","72,267.0","76,519.0","79,462.0","82,922.0","86,951.0","90,226.0","87,529.0","88,361.0","86,917.0","92,110.0","97,372.0","101,304.0","109,484.0","112,048.0","119,212.0","124,151.0","130,745.0","128,852.0","131,393.0","128,682.0","132,467.0","132,998.0","136,467.0","136,285.0","141,297.0","137,623.0","138,949.0","143,608.0","144,566.0","148,873.0","154,263.0","156,850.0","159,748.0","164,874.0","171,740.0","176,299.0","177,432.0","178,442.0","176,743.0","174,599.0","179,008.0","177,626.0","181,092.0","184,514.0","188,462.0","190,160.0","197,308.0","205,632.0","206,588.0","211,343.0","213,344.0","222,099.0","223,622.0","228,778.0","232,425.0","236,422.0","243,264.0","252,319.0","262,468.0","263,735.0","273,488.0","281,458.0","285,866.0","294,214.0","299,027.0","311,478.0","323,200.0","340,551.0","345,883.0","357,117.0","362,530.0","365,678.0","379,070.0","393,608.0","416,173.0","429,545.0","429,039.0","455,748.0","476,624.0","484,602.0","496,029.0","484,320.0","459,058.0","438,390.0","428,309.0","422,097.0","420,482.0","424,932.0","411,604.0","416,938.0","419,535.0","437,266.0","449,876.0","447,775.0","452,445.0","458,301.0","462,720.0","466,806.0","472,964.0","479,740.0","481,566.0","498,717.0","500,528.0","510,118.0","511,578.0","531,407.0","532,143.0","534,856.0","548,000.0","550,269.0","550,234.0","538,629.0","506,415.0","495,515.0","494,098.0","505,365.0","513,542.0","511,927.0","511,122.0","518,477.0","529,083.0","529,776.0","538,615.0","541,628.0","548,497.0","556,304.0","552,006.0","547,182.0","566,121.0"
"30","11","      Computers and peripheral equipment","B935RC1","2,096.0","2,408.0","2,564.0","2,696.0","3,113.0","2,950.0","2,429.0","2,396.0","2,272.0","2,793.0","2,912.0","3,119.0","3,717.0","3,446.0","3,498.0","3,231.0","3,430.0","3,666.0","3,398.0","3,662.0","3,455.0","3,188.0","4,426.0","4,403.0","4,084.0","3,535.0","3,273.0","3,452.0","3,677.0","4,391.0","4,512.0","5,028.0","5,210.0","5,629.0","5,753.0","6,068.0","6,271.0","7,343.0","7,955.0","8,683.0","9,301.0","9,828.0","10,409.0","11,118.0","10,947.0","11,872.0","13,477.0","13,796.0","15,397.0","15,858.0","17,247.0","20,010.0","20,802.0","18,118.0","18,343.0","18,221.0","21,312.0","23,297.0","25,166.0","25,789.0","27,681.0","30,127.0","32,938.0","35,690.0","33,313.0","35,044.0","32,405.0","34,174.0","33,662.0","34,348.0","32,340.0","33,290.0","34,971.0","35,082.0","36,333.0","36,662.0","36,618.0","37,729.0","38,578.0","38,897.0","40,999.0","43,749.0","44,275.0","43,347.0","40,949.0","38,612.0","36,552.0","38,458.0","36,366.0","36,522.0","37,561.0","40,367.0","40,147.0","44,507.0","45,933.0","45,465.0","47,722.0","46,737.0","49,235.0","48,046.0","50,057.0","51,417.0","52,338.0","55,728.0","59,089.0","65,840.0","67,047.0","72,464.0","72,466.0","71,489.0","73,526.0","73,691.0","76,542.0","80,365.0","84,922.0","83,673.0","87,722.0","88,608.0","86,447.0","88,773.0","94,516.0","99,863.0","99,497.0","95,051.0","97,560.0","104,882.0","105,786.0","104,486.0","99,654.0","89,963.0","79,827.0","80,779.0","82,500.0","79,259.0","80,483.0","76,657.0","76,363.0","75,062.0","77,799.0","81,346.0","78,469.0","79,331.0","80,512.0","82,535.0","77,939.0","77,802.0","78,466.0","81,348.0","83,992.0","84,072.0","86,676.0","84,821.0","88,081.0","84,672.0","86,090.0","89,286.0","90,611.0","90,846.0","84,060.0","74,162.0","73,785.0","73,368.0","71,862.0","75,100.0","73,061.0","73,279.0","71,725.0","73,141.0","72,265.0","79,044.0","80,252.0","81,572.0","84,261.0","79,344.0","71,892.0","81,897.0"
"31","12","      Software \2\","B985RC1","1,516.0","1,679.0","1,885.0","2,080.0","2,257.0","2,369.0","2,366.0","2,292.0","2,245.0","2,342.0","2,451.0","2,602.0","2,683.0","2,759.0","2,840.0","2,831.0","2,979.0","3,130.0","3,294.0","3,478.0","3,578.0","3,695.0","4,001.0","4,374.0","4,803.0","4,827.0","4,749.0","4,741.0","4,818.0","5,088.0","5,330.0","5,580.0","5,454.0","5,483.0","5,454.0","5,512.0","5,726.0","6,103.0","6,520.0","7,032.0","7,452.0","7,906.0","8,351.0","8,831.0","9,142.0","9,544.0","10,055.0","10,603.0","11,087.0","11,485.0","12,038.0","12,770.0","13,739.0","14,136.0","14,193.0","14,091.0","14,828.0","15,770.0","17,018.0","17,920.0","18,726.0","19,658.0","20,872.0","22,192.0","23,002.0","23,742.0","23,850.0","24,453.0","24,755.0","25,488.0","25,821.0","26,393.0","27,307.0","28,403.0","29,579.0","30,690.0","31,949.0","33,346.0","34,902.0","36,515.0","38,445.0","40,710.0","43,158.0","45,164.0","46,331.0","47,559.0","46,978.0","49,660.0","51,999.0","53,318.0","54,040.0","55,522.0","55,652.0","56,931.0","58,356.0","60,482.0","62,500.0","63,671.0","65,050.0","65,875.0","66,800.0","67,710.0","68,828.0","69,710.0","71,038.0","73,329.0","75,794.0","78,379.0","80,997.0","83,675.0","86,495.0","90,728.0","99,544.0","104,523.0","110,069.0","115,796.0","118,546.0","122,250.0","128,105.0","135,071.0","142,821.0","154,028.0","163,396.0","169,083.0","176,293.0","183,119.0","186,223.0","192,185.0","192,984.0","189,342.0","184,662.0","179,372.0","180,319.0","182,761.0","187,109.0","181,983.0","184,378.0","186,247.0","195,083.0","199,380.0","201,126.0","201,770.0","208,018.0","211,810.0","213,500.0","218,847.0","219,716.0","219,953.0","223,319.0","227,515.0","232,073.0","236,233.0","242,758.0","243,282.0","245,275.0","248,709.0","256,021.0","258,174.0","259,451.0","255,206.0","253,729.0","255,568.0","256,779.0","261,468.0","259,481.0","257,469.0","261,296.0","265,515.0","271,055.0","275,752.0","281,113.0","286,936.0","288,147.0","292,141.0","293,679.0","299,457.0"
"32","13","      Other \3\","A937RC1","9,419.0","10,084.0","10,778.0","11,243.0","11,324.0","11,672.0","11,564.0","11,818.0","11,656.0","12,164.0","12,231.0","12,554.0","12,711.0","12,862.0","13,160.0","14,077.0","15,158.0","15,935.0","16,666.0","17,522.0","18,111.0","18,746.0","19,458.0","20,492.0","20,199.0","20,091.0","20,201.0","20,185.0","20,928.0","22,134.0","23,815.0","25,562.0","26,163.0","27,465.0","28,430.0","30,039.0","31,697.0","34,331.0","35,890.0","37,195.0","38,790.0","38,980.0","40,596.0","42,379.0","45,313.0","45,325.0","47,140.0","47,868.0","50,035.0","52,119.0","53,637.0","54,171.0","55,685.0","55,275.0","55,825.0","54,605.0","55,970.0","58,305.0","59,120.0","65,775.0","65,641.0","69,427.0","70,341.0","72,863.0","72,537.0","72,607.0","72,427.0","73,840.0","74,581.0","76,631.0","78,124.0","81,614.0","75,345.0","75,464.0","77,696.0","77,214.0","80,306.0","83,188.0","83,370.0","84,336.0","85,430.0","87,281.0","88,866.0","88,921.0","91,162.0","90,572.0","91,069.0","90,890.0","89,261.0","91,252.0","92,913.0","92,573.0","94,361.0","95,870.0","101,343.0","100,641.0","101,121.0","102,936.0","107,814.0","109,701.0","111,921.0","113,298.0","115,256.0","117,826.0","122,192.0","123,299.0","120,894.0","122,645.0","127,995.0","130,702.0","134,193.0","134,608.0","135,392.0","138,312.0","145,560.0","146,414.0","150,849.0","151,672.0","151,126.0","155,226.0","156,271.0","162,282.0","166,652.0","164,905.0","181,895.0","188,623.0","192,593.0","199,358.0","191,682.0","179,753.0","173,901.0","168,158.0","159,278.0","158,462.0","157,340.0","152,964.0","156,197.0","158,226.0","164,384.0","169,150.0","168,180.0","171,344.0","169,771.0","168,375.0","175,367.0","176,315.0","181,558.0","180,265.0","191,406.0","188,941.0","191,369.0","190,524.0","200,568.0","204,189.0","203,491.0","210,005.0","203,637.0","201,214.0","195,118.0","177,047.0","168,001.0","165,162.0","176,724.0","176,974.0","179,385.0","180,374.0","185,456.0","190,427.0","186,456.0","183,819.0","180,263.0","179,989.0","183,896.0","180,521.0","181,611.0","184,767.0"
"33","14","    Industrial equipment","A680RC1","18,349.0","18,799.0","19,511.0","19,545.0","20,296.0","20,281.0","20,523.0","20,035.0","19,235.0","19,126.0","19,401.0","20,072.0","20,009.0","21,019.0","21,930.0","22,681.0","23,671.0","25,444.0","26,661.0","28,318.0","29,323.0","30,405.0","31,232.0","31,674.0","30,544.0","30,935.0","31,726.0","32,110.0","33,291.0","33,805.0","34,262.0","35,124.0","36,848.0","37,775.0","40,415.0","42,733.0","44,284.0","46,855.0","49,293.0","50,488.0","54,135.0","54,875.0","56,195.0","59,415.0","60,259.0","59,837.0","60,107.0","62,765.0","63,986.0","65,062.0","66,247.0","66,645.0","64,590.0","63,914.0","62,375.0","59,799.0","56,892.0","57,264.0","59,828.0","61,535.0","65,361.0","67,301.0","68,943.0","70,949.0","70,446.0","72,612.0","71,896.0","74,919.0","74,659.0","74,397.0","76,304.0","76,301.0","75,889.0","75,644.0","77,336.0","77,977.0","79,058.0","83,443.0","86,210.0","88,016.0","91,709.0","92,828.0","95,235.0","93,529.0","94,326.0","90,976.0","92,417.0","90,852.0","90,594.0","88,940.0","89,238.0","88,484.0","88,758.0","91,020.0","94,282.0","97,784.0","98,896.0","99,970.0","101,685.0","108,375.0","109,448.0","110,993.0","114,864.0","119,171.0","125,276.0","129,099.0","130,964.0","130,502.0","134,310.0","137,112.0","136,303.0","138,358.0","137,861.0","140,475.0","141,406.0","141,931.0","149,316.0","148,249.0","145,543.0","146,315.0","146,403.0","148,352.0","150,518.0","151,231.0","158,626.0","163,002.0","166,242.0","163,774.0","164,713.0","153,332.0","146,776.0","142,696.0","143,609.0","139,871.0","142,039.0","141,411.0","140,921.0","146,599.0","143,130.0","139,590.0","134,918.0","139,355.0","144,810.0","149,039.0","154,292.0","154,154.0","161,193.0","168,931.0","167,966.0","180,654.0","181,388.0","183,671.0","182,724.0","197,763.0","199,651.0","191,939.0","194,455.0","196,673.0","197,482.0","189,241.0","163,848.0","155,224.0","151,736.0","149,909.0","146,907.0","156,393.0","156,547.0","161,257.0","169,618.0","171,597.0","187,028.0","196,619.0","190,720.0","197,808.0","198,013.0","203,415.0"
