"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"21","2","    Imputations (133-134+141+147+148+150+152+153 +158+160+161+165-166+167+170+179+181)","A2023C1","105,713.0","116,211.0","126,586.0","137,522.0","149,681.0","168,698.0","192,940.0","211,066.0","234,109.0","265,068.0","295,567.0","333,741.0","375,685.0","417,995.0","471,943.0","506,107.0","558,674.0","608,309.0","647,094.0","696,993.0","742,702.0","804,539.0","864,482.0","934,200.0","988,431.0","1,040,966.0","1,073,328.0","1,119,361.0","1,172,944.0","1,242,240.0","1,342,593.0","1,445,899.0","1,530,303.0","1,598,037.0","1,656,060.0","1,764,782.0","1,887,746.0","1,980,301.0","2,093,329.0","2,230,810.0","2,245,415.0","2,284,928.0","2,343,169.0"
"22","3","    Excluding imputations (1-2)","A2026C1","878,718.0","922,115.0","1,000,231.0","1,100,363.0","1,232,588.0","1,330,754.0","1,444,760.0","1,613,517.0","1,796,021.0","2,028,694.0","2,266,661.0","2,454,402.0","2,751,152.0","2,835,199.0","3,062,663.0","3,424,788.0","3,658,796.0","3,851,758.0","4,089,260.0","4,403,429.0","4,739,444.0","4,995,988.0","5,127,612.0","5,408,106.0","5,678,919.0","6,044,194.0","6,341,327.0","6,719,095.0","7,159,418.0","7,551,255.0","8,010,891.0","8,505,583.0","8,755,864.0","9,044,279.0","9,486,152.0","10,088,472.0","10,735,213.0","11,396,914.0","11,935,346.0","12,060,733.0","11,728,266.0","12,213,994.0","12,732,498.0"
"23","4","  Personal consumption expenditures","DPCERC1","605,124.0","648,301.0","701,613.0","770,230.0","852,013.0","932,932.0","1,033,788.0","1,151,254.0","1,277,823.0","1,427,621.0","1,591,167.0","1,755,826.0","1,939,506.0","2,075,495.0","2,288,576.0","2,501,083.0","2,717,608.0","2,896,746.0","3,096,960.0","3,350,056.0","3,594,490.0","3,835,453.0","3,980,073.0","4,236,891.0","4,483,594.0","4,750,806.0","4,987,280.0","5,273,608.0","5,570,626.0","5,918,488.0","6,342,784.0","6,830,371.0","7,148,807.0","7,439,191.0","7,804,120.0","8,270,574.0","8,803,526.0","9,300,999.0","9,772,270.0","10,035,524.0","9,845,903.0","10,215,722.0","10,729,044.0"
"24","5","    Imputations (133-134+141+147+152+160+167+171 +172+173+174-177-178)","A2042C1","44,313.0","53,770.0","51,617.0","50,260.0","54,498.0","74,495.0","92,045.0","89,063.0","83,969.0","95,975.0","119,156.0","165,005.0","199,742.0","242,330.0","249,387.0","255,248.0","291,818.0","300,727.0","320,342.0","352,419.0","391,952.0","456,246.0","515,482.0","544,768.0","569,136.0","583,665.0","619,981.0","629,545.0","655,382.0","675,911.0","736,767.0","807,163.0","860,987.0","886,043.0","873,866.0","869,451.0","884,223.0","968,373.0","1,172,270.0","1,425,319.0","1,531,225.0","1,577,739.0","1,621,304.0"
"25","6","    Excluding imputations (4-5)","A2086C1","560,811.0","594,531.0","649,996.0","719,970.0","797,515.0","858,437.0","941,743.0","1,062,191.0","1,193,854.0","1,331,646.0","1,472,011.0","1,590,821.0","1,739,764.0","1,833,165.0","2,039,189.0","2,245,835.0","2,425,790.0","2,596,019.0","2,776,618.0","2,997,637.0","3,202,538.0","3,379,207.0","3,464,591.0","3,692,123.0","3,914,458.0","4,167,141.0","4,367,299.0","4,644,063.0","4,915,244.0","5,242,577.0","5,606,017.0","6,023,208.0","6,287,820.0","6,553,148.0","6,930,254.0","7,401,123.0","7,919,303.0","8,332,626.0","8,600,000.0","8,610,205.0","8,314,678.0","8,637,983.0","9,107,740.0"
"26","7","  Gross private domestic investment","A006RC1","156,444.0","152,378.0","178,168.0","207,608.0","244,489.0","249,418.0","230,219.0","291,960.0","361,340.0","437,953.0","492,875.0","479,252.0","572,381.0","517,232.0","564,300.0","735,623.0","736,181.0","746,519.0","784,951.0","821,571.0","874,948.0","860,968.0","802,891.0","864,786.0","953,345.0","1,097,288.0","1,144,044.0","1,240,191.0","1,388,657.0","1,510,784.0","1,641,508.0","1,772,210.0","1,661,928.0","1,646,957.0","1,729,656.0","1,968,557.0","2,172,282.0","2,327,135.0","2,295,233.0","2,087,587.0","1,549,290.0","1,737,329.0","1,854,941.0"
"27","8","    Imputations (177+178+179)","A2087C1","36,069.0","34,911.0","45,764.0","56,865.0","63,331.0","57,865.0","59,712.0","78,619.0","103,967.0","120,190.0","123,307.0","109,431.0","109,261.0","102,629.0","143,340.0","167,519.0","172,653.0","200,061.0","218,392.0","230,466.0","232,201.0","221,073.0","212,666.0","245,550.0","268,827.0","303,393.0","295,211.0","328,530.0","352,213.0","397,291.0","428,947.0","453,547.0","481,898.0","517,359.0","581,366.0","683,729.0","773,865.0","767,301.0","657,723.0","522,965.0","414,656.0","395,778.0","394,751.0"
"28","9","    Excluding imputations (7-8)","A2088C1","120,375.0","117,467.0","132,404.0","150,743.0","181,158.0","191,553.0","170,507.0","213,341.0","257,373.0","317,763.0","369,568.0","369,821.0","463,120.0","414,603.0","420,960.0","568,104.0","563,528.0","546,458.0","566,559.0","591,105.0","642,747.0","639,895.0","590,225.0","619,236.0","684,518.0","793,895.0","848,833.0","911,661.0","1,036,444.0","1,113,493.0","1,212,561.0","1,318,663.0","1,180,030.0","1,129,598.0","1,148,290.0","1,284,828.0","1,398,417.0","1,559,834.0","1,637,510.0","1,564,622.0","1,134,634.0","1,341,551.0","1,460,190.0"
"29","10","  Net exports of goods and services","A019RC1","1,432.0","3,950.0","621.0","-3,372.0","4,110.0","-815.0","15,977.0","-1,631.0","-23,093.0","-25,366.0","-22,546.0","-13,056.0","-12,527.0","-19,980.0","-51,650.0","-102,731.0","-115,209.0","-132,533.0","-144,950.0","-110,108.0","-87,889.0","-77,606.0","-26,960.0","-32,832.0","-64,388.0","-92,725.0","-90,690.0","-96,301.0","-101,355.0","-161,827.0","-262,078.0","-382,050.0","-370,988.0","-427,175.0","-504,114.0","-618,695.0","-722,731.0","-769,315.0","-713,071.0","-709,712.0","-388,727.0","-511,643.0","-568,070.0"
"30","11","    Imputations (14-17)","W510RC1","543.0","622.0","617.0","718.0","939.0","1,387.0","1,717.0","1,696.0","1,883.0","2,317.0","3,085.0","3,485.0","4,096.0","2,919.0","4,048.0","4,068.0","5,012.0","4,638.0","4,242.0","3,772.0","3,058.0","3,850.0","4,957.0","6,220.0","6,216.0","6,145.0","5,343.0","5,773.0","6,235.0","5,392.0","4,962.0","4,592.0","2,901.0","2,398.0","1,552.0","1,210.0","3,182.0","2,017.0","1,500.0","2,870.0","2,729.0","3,581.0","5,005.0"
"31","12","    Excluding imputations (10-11)","W511RC1","889.0","3,328.0","4.0","-4,090.0","3,171.0","-2,202.0","14,260.0","-3,327.0","-24,976.0","-27,683.0","-25,631.0","-16,541.0","-16,623.0","-22,899.0","-55,698.0","-106,799.0","-120,221.0","-137,171.0","-149,192.0","-113,880.0","-90,947.0","-81,456.0","-31,917.0","-39,052.0","-70,604.0","-98,870.0","-96,033.0","-102,074.0","-107,590.0","-167,219.0","-267,040.0","-386,642.0","-373,889.0","-429,573.0","-505,666.0","-619,905.0","-725,913.0","-771,332.0","-714,571.0","-712,582.0","-391,456.0","-515,224.0","-573,075.0"
"32","13","    Exports of goods and services","B020RC1","51,923.0","59,710.0","62,963.0","70,844.0","95,269.0","126,650.0","138,706.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,232.0","283,203.0","276,988.0","302,376.0","302,019.0","320,334.0","363,764.0","443,884.0","503,143.0","552,123.0","596,587.0","634,961.0","655,586.0","720,700.0","811,881.0","867,665.0","954,421.0","953,863.0","989,314.0","1,093,241.0","1,027,725.0","1,003,026.0","1,041,033.0","1,180,224.0","1,305,060.0","1,471,032.0","1,661,699.0","1,846,774.0","1,587,437.0","1,844,411.0","2,094,203.0"
"33","14","      Imputations (150+158+165)","W512RC1","543.0","622.0","617.0","718.0","939.0","1,387.0","1,717.0","1,696.0","1,883.0","2,317.0","3,085.0","3,485.0","4,096.0","2,919.0","4,048.0","4,068.0","5,012.0","5,320.0","5,084.0","4,554.0","4,057.0","4,911.0","6,200.0","7,555.0","7,732.0","7,964.0","7,197.0","7,568.0","8,143.0","8,052.0","7,985.0","8,279.0","7,812.0","7,963.0","7,601.0","8,180.0","7,618.0","8,967.0","9,802.0","13,243.0","13,038.0","12,199.0","13,652.0"
"34","15","      Excluding imputations (13-14)","W513RC1","51,380.0","59,088.0","62,346.0","70,126.0","94,330.0","125,263.0","136,989.0","147,819.0","157,467.0","184,568.0","227,044.0","277,288.0","301,136.0","280,284.0","272,940.0","298,308.0","297,007.0","315,014.0","358,680.0","439,330.0","499,086.0","547,212.0","590,387.0","627,406.0","647,854.0","712,736.0","804,684.0","860,097.0","946,278.0","945,811.0","981,329.0","1,084,962.0","1,019,913.0","995,063.0","1,033,432.0","1,172,044.0","1,297,442.0","1,462,065.0","1,651,897.0","1,833,531.0","1,574,399.0","1,832,212.0","2,080,551.0"
"35","16","    Imports of goods and services","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,251,392.0","1,475,291.0","1,398,713.0","1,430,201.0","1,545,147.0","1,798,919.0","2,027,791.0","2,240,347.0","2,374,770.0","2,556,486.0","1,976,164.0","2,356,054.0","2,662,273.0"
"36","17","      Imputations (166)","W555RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","682.0","842.0","782.0","999.0","1,061.0","1,243.0","1,335.0","1,516.0","1,819.0","1,854.0","1,795.0","1,908.0","2,660.0","3,023.0","3,687.0","4,911.0","5,565.0","6,049.0","6,970.0","4,436.0","6,950.0","8,302.0","10,373.0","10,309.0","8,618.0","8,647.0"
"37","18","      Excluding imputations (16-17)","W515RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,185.0","507,872.0","553,210.0","590,033.0","628,668.0","622,304.0","666,458.0","718,458.0","811,606.0","900,717.0","962,171.0","1,053,868.0","1,113,030.0","1,248,369.0","1,471,604.0","1,393,802.0","1,424,636.0","1,539,098.0","1,791,949.0","2,023,355.0","2,233,397.0","2,366,468.0","2,546,113.0","1,965,855.0","2,347,436.0","2,653,626.0"
"38","19","  Government consumption expenditures and gross investment","A822RC1","221,431.0","233,697.0","246,415.0","263,419.0","281,657.0","317,917.0","357,716.0","383,000.0","414,060.0","453,554.0","500,732.0","566,121.0","627,477.0","680,447.0","733,380.0","796,920.0","878,890.0","949,335.0","999,393.0","1,038,903.0","1,100,597.0","1,181,712.0","1,236,090.0","1,273,461.0","1,294,799.0","1,329,791.0","1,374,021.0","1,420,958.0","1,474,434.0","1,526,050.0","1,631,270.0","1,730,951.0","1,846,420.0","1,983,343.0","2,112,550.0","2,232,818.0","2,369,882.0","2,518,396.0","2,674,243.0","2,878,144.0","2,967,215.0","3,057,514.0","3,059,752.0"
"39","20","    Imputations (148+153+161+175+181)","A1684C1","24,788.0","26,908.0","28,588.0","29,679.0","30,913.0","34,951.0","39,466.0","41,688.0","44,290.0","46,586.0","50,019.0","55,820.0","62,586.0","70,117.0","75,168.0","79,272.0","89,191.0","102,883.0","104,118.0","110,336.0","115,491.0","123,370.0","131,377.0","137,662.0","144,252.0","147,763.0","152,793.0","155,513.0","159,114.0","163,646.0","171,917.0","180,597.0","184,517.0","192,237.0","199,276.0","210,392.0","226,476.0","242,610.0","261,836.0","279,656.0","296,805.0","307,830.0","322,109.0"
"40","21","    Excluding imputations (19-20)","A2089C1","196,643.0","206,789.0","217,827.0","233,740.0","250,744.0","282,966.0","318,250.0","341,312.0","369,770.0","406,968.0","450,713.0","510,301.0","564,891.0","610,330.0","658,212.0","717,648.0","789,699.0","846,452.0","895,275.0","928,567.0","985,106.0","1,058,342.0","1,104,713.0","1,135,799.0","1,150,547.0","1,182,028.0","1,221,228.0","1,265,445.0","1,315,320.0","1,362,404.0","1,459,353.0","1,550,354.0","1,661,903.0","1,791,106.0","1,913,274.0","2,022,426.0","2,143,406.0","2,275,786.0","2,412,407.0","2,598,488.0","2,670,410.0","2,749,684.0","2,737,643.0"
"41","22","    Government consumption expenditures","A955RC1","178,164.0","190,120.0","204,656.0","220,778.0","234,811.0","261,660.0","294,615.0","316,605.0","346,557.0","376,487.0","412,258.0","465,868.0","520,593.0","568,133.0","610,529.0","657,568.0","720,088.0","776,109.0","815,112.0","852,755.0","902,928.0","965,962.0","1,015,791.0","1,050,356.0","1,075,369.0","1,108,875.0","1,141,423.0","1,176,732.0","1,222,071.0","1,263,197.0","1,343,910.0","1,426,625.0","1,524,386.0","1,639,872.0","1,756,763.0","1,860,448.0","1,977,867.0","2,093,341.0","2,217,783.0","2,380,973.0","2,460,285.0","2,551,988.0","2,579,549.0"
"42","23","      Imputations (148+153+161+175+181-182)","A2097C1","-18,480.0","-16,669.0","-13,171.0","-12,962.0","-15,933.0","-21,306.0","-23,635.0","-24,707.0","-23,213.0","-30,481.0","-38,456.0","-44,433.0","-44,299.0","-42,197.0","-47,683.0","-60,080.0","-69,611.0","-70,343.0","-80,162.0","-75,813.0","-82,178.0","-92,379.0","-88,923.0","-85,443.0","-75,178.0","-73,153.0","-79,805.0","-88,713.0","-93,249.0","-99,207.0","-115,443.0","-123,729.0","-137,518.0","-151,234.0","-156,511.0","-161,978.0","-165,539.0","-182,445.0","-194,624.0","-217,515.0","-210,125.0","-197,696.0","-158,093.0"
"43","24","      Excluding imputations (22-23)","A2098C1","196,644.0","206,789.0","217,827.0","233,740.0","250,744.0","282,966.0","318,250.0","341,312.0","369,770.0","406,968.0","450,714.0","510,301.0","564,892.0","610,330.0","658,212.0","717,648.0","789,699.0","846,452.0","895,274.0","928,568.0","985,106.0","1,058,341.0","1,104,714.0","1,135,799.0","1,150,547.0","1,182,028.0","1,221,228.0","1,265,445.0","1,315,320.0","1,362,404.0","1,459,353.0","1,550,354.0","1,661,904.0","1,791,106.0","1,913,274.0","2,022,426.0","2,143,406.0","2,275,786.0","2,412,407.0","2,598,488.0","2,670,410.0","2,749,684.0","2,737,642.0"
"44","25","    Gross government investment","A782RC1","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","456,460.0","497,171.0","506,930.0","505,526.0","480,202.0"
"45","26","      Imputations (182)","A782RC1","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","456,460.0","497,171.0","506,930.0","505,526.0","480,202.0"
"46","27","      Excluding imputations (25-26)","A1680C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"47",NA,"          Gross domestic income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","28","Gross domestic income","A261RC1","981,560.0","1,031,449.0","1,115,803.0","1,228,939.0","1,374,250.0","1,489,638.0","1,621,394.0","1,801,113.0","2,008,917.0","2,267,707.0","2,515,255.0","2,742,851.0","3,090,256.0","3,248,444.0","3,484,911.0","3,899,356.0","4,175,169.0","4,392,323.0","4,703,481.0","5,109,955.0","5,426,041.0","5,716,327.0","5,912,357.0","6,232,314.0","6,531,555.0","6,976,351.0","7,362,133.0","7,812,536.0","8,346,336.0","8,878,816.0","9,424,551.0","10,085,468.0","10,389,521.0","10,664,388.0","11,125,532.0","11,875,602.0","12,718,041.0","13,619,489.0","14,040,664.0","14,293,978.0","13,855,394.0","14,475,577.0","15,043,781.0"
"49","29","    Imputations (133-134+141+147+148+150+152+153 +158+160+161+165-166+167+170+179+181)","A2023C1","105,713.0","116,211.0","126,586.0","137,522.0","149,681.0","168,698.0","192,940.0","211,066.0","234,109.0","265,068.0","295,567.0","333,741.0","375,685.0","417,995.0","471,943.0","506,107.0","558,674.0","608,309.0","647,094.0","696,993.0","742,702.0","804,539.0","864,482.0","934,200.0","988,431.0","1,040,966.0","1,073,328.0","1,119,361.0","1,172,944.0","1,242,240.0","1,342,593.0","1,445,899.0","1,530,303.0","1,598,037.0","1,656,060.0","1,764,782.0","1,887,746.0","1,980,301.0","2,093,329.0","2,230,810.0","2,245,415.0","2,284,928.0","2,343,169.0"
"50","30","    Excluding imputations (28-29)","W516RC1","875,847.0","915,238.0","989,217.0","1,091,417.0","1,224,569.0","1,320,940.0","1,428,454.0","1,590,047.0","1,774,808.0","2,002,639.0","2,219,688.0","2,409,110.0","2,714,571.0","2,830,449.0","3,012,968.0","3,393,249.0","3,616,495.0","3,784,014.0","4,056,387.0","4,412,962.0","4,683,339.0","4,911,788.0","5,047,875.0","5,298,114.0","5,543,124.0","5,935,385.0","6,288,805.0","6,693,175.0","7,173,392.0","7,636,576.0","8,081,958.0","8,639,569.0","8,859,218.0","9,066,351.0","9,469,472.0","10,110,820.0","10,830,295.0","11,639,188.0","11,947,335.0","12,063,168.0","11,609,979.0","12,190,649.0","12,700,612.0"
"51","31","  Compensation of employees, paid","A4002C1","577,589.0","617,195.0","658,888.0","725,138.0","811,236.0","890,271.0","949,188.0","1,059,379.0","1,180,587.0","1,335,555.0","1,498,361.0","1,647,670.0","1,819,820.0","1,919,834.0","2,035,707.0","2,245,657.0","2,411,963.0","2,559,437.0","2,736,994.0","2,955,022.0","3,132,603.0","3,328,564.0","3,441,082.0","3,634,394.0","3,800,415.0","4,002,549.0","4,199,268.0","4,395,489.0","4,670,024.0","5,027,805.0","5,359,150.0","5,793,539.0","5,984,534.0","6,116,389.0","6,388,293.0","6,699,555.0","7,071,450.0","7,483,609.0","7,862,992.0","8,079,070.0","7,807,199.0","7,977,171.0","8,303,245.0"
"52","32","     Imputations (170)","A2099C1","15,217.0","17,619.0","19,315.0","21,900.0","24,123.0","27,829.0","33,460.0","40,652.0","47,634.0","55,638.0","63,154.0","72,670.0","84,273.0","95,848.0","104,998.0","113,809.0","124,164.0","132,008.0","140,970.0","158,022.0","175,128.0","194,572.0","210,855.0","235,747.0","255,090.0","266,853.0","264,039.0","267,333.0","271,473.0","292,469.0","324,384.0","361,614.0","392,229.0","418,646.0","457,531.0","492,537.0","529,055.0","543,100.0","564,865.0","580,537.0","592,289.0","600,803.0","627,628.0"
"53","33","     Excluding imputations (31-32)","A2100C1","562,372.0","599,576.0","639,573.0","703,238.0","787,113.0","862,442.0","915,728.0","1,018,727.0","1,132,953.0","1,279,917.0","1,435,207.0","1,575,000.0","1,735,547.0","1,823,986.0","1,930,709.0","2,131,848.0","2,287,799.0","2,427,429.0","2,596,024.0","2,797,000.0","2,957,475.0","3,133,992.0","3,230,227.0","3,398,647.0","3,545,325.0","3,735,696.0","3,935,229.0","4,128,156.0","4,398,551.0","4,735,336.0","5,034,766.0","5,431,925.0","5,592,305.0","5,697,743.0","5,930,762.0","6,207,018.0","6,542,395.0","6,940,509.0","7,298,127.0","7,498,533.0","7,214,910.0","7,376,368.0","7,675,617.0"
