"","Table 5#6#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"33","15","Other industries","N154RC1","5,301.0","5,570.0","7,085.0","12,446.0","-356.0","-1,140.0","1,511.0","6,082.0","2,295.0","4,743.0","4,425.0","1,431.0","-4,133.0","-2,120.0","1,142.0","2,586.0"
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","16","  Change in private inventories","A014RC1","70,999.0","63,719.0","60,816.0","54,544.0","-38,283.0","12,027.0","16,375.0","64,910.0","49,953.0","59,955.0","29,123.0","-41,119.0","-154,173.0","58,360.0","36,629.0","58,073.0"
"36","17","    Durable goods industries","N355RC1","39,993.0","39,305.0","37,401.0","35,578.0","-44,449.0","17,667.0","13,047.0","37,263.0","35,220.0","25,940.0","11,176.0","-23,098.0","-118,586.0","42,544.0","37,616.0","66,734.0"
"37","18","    Nondurable goods industries","N357RC1","31,006.0","24,414.0","23,415.0","18,966.0","6,165.0","-5,640.0","3,328.0","27,648.0","14,733.0","34,015.0","17,947.0","-18,021.0","-35,587.0","15,816.0","-987.0","-8,661.0"
"38","19","  Nonfarm industries","A015RC1","67,669.0","62,453.0","63,546.0","55,943.0","-38,320.0","14,524.0","16,283.0","56,103.0","49,836.0","63,558.0","29,829.0","-42,727.0","-152,500.0","65,676.0","42,736.0","74,146.0"
"39","20","    Nonfarm change in book value \1\","B016RC1","48,951.0","39,697.0","70,055.0","79,021.0","-55,372.0","18,508.0","32,637.0","109,311.0","97,965.0","101,503.0","91,363.0","8,177.0","-158,249.0","120,904.0","125,083.0","87,924.0"
"40","21","    Nonfarm inventory valuation adjustment \2\","B017RC1","18,718.0","22,756.0","-6,509.0","-23,078.0","17,052.0","-3,984.0","-16,354.0","-53,208.0","-48,129.0","-37,945.0","-61,534.0","-50,904.0","5,749.0","-55,228.0","-82,347.0","-13,778.0"
"41","22","  Wholesale trade","N658RC1","25,330.0","21,432.0","18,910.0","18,854.0","-12,336.0","-108.0","-588.0","19,767.0","18,129.0","13,689.0","4,795.0","8,841.0","-62,689.0","30,279.0","22,447.0","25,715.0"
"42","23","    Merchant wholesale trade","N151RC1","22,654.0","19,454.0","16,309.0","14,775.0","-8,044.0","516.0","-202.0","17,845.0","14,329.0","15,181.0","6,213.0","1,007.0","-46,824.0","20,308.0","17,043.0","22,691.0"
"43","24","      Durable goods industries","N626RC1","15,223.0","15,080.0","12,410.0","10,426.0","-13,312.0","-212.0","870.0","16,771.0","10,972.0","10,546.0","1,083.0","7,353.0","-44,870.0","12,912.0","17,875.0","21,434.0"
"44","25","      Nondurable goods industries","N627RC1","7,431.0","4,374.0","3,899.0","4,349.0","5,268.0","728.0","-1,072.0","1,074.0","3,357.0","4,635.0","5,130.0","-6,346.0","-1,954.0","7,396.0","-832.0","1,257.0"
"45","26","    Nonmerchant wholesale trade","N152RC1","2,676.0","1,978.0","2,602.0","4,079.0","-4,291.0","-624.0","-386.0","1,922.0","3,800.0","-1,492.0","-1,418.0","7,834.0","-15,864.0","9,971.0","5,404.0","3,024.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1. This series is derived from the Census Bureau series ""current cost inventories.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. The inventory valuation adjustment (IVA) shown in this table differs from the IVA that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","adjusts business incomes.  The IVA in this table reflects the mix of methods (such as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","first-in, first-out and last-in, first-out) underlying inventories derived primarily from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Census Bureau statistics (see footnote 1).  This mix differs from that underlying business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","income derived primarily from Internal Revenue Service statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
