"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"14","6","    Utilities","N5006C1",136.3,137.4,146.3,140.1,129,134.2,136,138.5,136.5,134.4,137.5,138.9,144.4,148.4,149.3,154.5,158.3,160,154.7,172,185,194.4,203.5,203,199.1,197.6,206.7,190,167.7,138.2,238.9,188.1,174.6,174.7,165.6,185,196.9,169.9,177.6,153,164.1,165.2,NA
"15","7","    Construction","N5007C1",511.8,511.8,510.6,503,510.1,510.9,514.3,521.7,529.7,526.7,534.3,548.4,551.6,570.9,596.7,614.1,626.7,650.3,667.4,683.6,717.2,707.3,696.8,685.9,692.4,690,680.9,680.1,658.7,640.8,619.5,597,564,536.3,535.6,531,526.1,537.4,530.3,517.6,520.5,523.2,NA
"16","8","    Manufacturing","N5008C1",1127.6,1113.9,1060.1,986.9,1023.9,1042.3,1038.6,1047.5,1060.8,1049.5,1066,1121.5,1123.3,1159.6,1193.5,1210.2,1282.5,1286.4,1315.3,1335,1385.4,1392.8,1428.1,1397.2,1416.1,1435.3,1367.2,1417.7,1353.6,1314.9,1356.1,1307.6,1192.1,1159.8,1157.2,1179.5,1225,1253.2,1241.2,1197.2,1249,1292.9,NA
"17","9","      Durable goods","N5009C1",665.6,637.4,584.2,537,577.8,600,601.8,603.7,610.4,605.3,602.5,637.2,634.3,654.8,672.2,677.1,723.3,736.8,753.2,762.8,795.3,763.4,801.5,805.2,804.8,796.9,786.4,815.7,788.7,743.5,762.8,705.2,648.4,633,629.8,657.6,694.2,702.8,696.5,686.1,709.3,725.2,NA
"18","10","      Nondurable goods","N5010C1",462,476.5,475.9,449.9,446.2,442.3,436.7,443.8,450.4,444.2,463.4,484.3,489,504.7,521.3,533.1,559.2,549.6,562.2,572.2,590.2,629.4,626.6,592,611.3,638.5,580.8,602.1,564.8,571.4,593.2,602.4,543.7,526.9,527.4,522,530.8,550.4,544.7,511.1,539.6,567.8,NA
"19","11","    Wholesale trade","N5011C1",561.3,557,560.6,575.5,565.7,566.4,555.6,560.1,564.2,575.3,591,598.8,614.4,633.3,649.5,639.9,671.9,695.9,686.3,699.3,730.6,734.4,747.1,752.7,765.6,777,774.5,759.4,734.4,739.7,756.3,788.7,735.7,701,694.1,697.1,716.4,740.4,723.5,687,721.4,750.3,NA
"20","12","    Retail trade","N5012C1",695.3,695.4,699.1,708.8,714.6,718.6,725.1,734.5,748.8,760.5,762.5,767.3,783.7,786,790.1,797.1,822.3,862.2,861.8,892.2,896.3,890.8,908,920.2,906.9,915.7,895.5,890.5,844,840.4,838.6,824.9,830.1,830.8,827,843.7,863.9,867.4,863.4,860.2,876.4,879.6,NA
"21","13","    Transportation and warehousing","N5013C1",273.2,275.9,254.5,262.3,260.1,259.5,262.5,268.5,272.9,268.4,278.5,283.8,291.8,305,303.9,304.6,323.9,330.1,335.1,342.5,356.6,362.1,360.4,363.8,357.1,365.2,361.3,360.4,359.8,364.8,361.6,364.3,346.7,331.8,340.6,342.8,346.1,354.4,356.2,339.6,343.3,351.3,NA
"22","14","    Information","N5014C1",306.3,312.9,293.3,275.2,298.2,301.3,297.1,302.3,262.3,300.8,339.5,336.5,332,353.1,372.7,372.7,396.5,413.7,410.5,411.6,414,431,432.9,420.1,437.7,447.1,452,475.7,459.5,480.7,448.9,367.7,408.9,418.9,425.5,434.2,417.3,419.8,418,396.4,428.5,436.2,NA
"23","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1675.5,1652.5,1648.9,1644.5,1651.6,1660.4,1629,1633.4,1638.8,1665.3,1693.7,1730.7,1748.5,1764.5,1788,1839.6,1959,1938,2015.9,2081.1,2098.8,2139.2,2124.9,2200.5,2164.6,2157.4,2175.9,2143.2,2194.1,2218.3,2075.3,2034.2,2063.7,2137.2,2182.3,2228.9,2300.6,2343.4,2366.6,2360.6,2433.6,2387.1,NA
"24","16","    Professional and business services \1\","N5016C1",1150.6,1171.5,1182.1,1181,1193.5,1208.8,1221.1,1226.6,1278.1,1274.7,1263,1275.5,1299.4,1323.6,1367.4,1406.5,1450.6,1458.6,1516.6,1535.4,1591.5,1599.2,1635.3,1666.7,1661.2,1675,1691.7,1711.6,1772.7,1775.3,1786.4,1676.1,1736,1694.7,1702,1721.8,1738.1,1794.3,1770.5,1811,1816.7,1855.9,NA
"25","17","    Educational services, health care, and social assistance","N5017C1",737.7,746.4,757,770.8,793.3,810.8,826,839.4,856.5,866.6,877.6,893.2,913.5,931.1,950.1,956,970.2,990.7,1003,1010.2,1036.3,1053.9,1064.6,1082.6,1094.7,1103.9,1120.8,1139.8,1158.7,1186.8,1198.7,1213.4,1224.1,1235.9,1242.4,1264.3,1274.2,1294.9,1307.7,1305,1316.5,1328.8,NA
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",343.5,350.2,353.2,350.1,355,361,364.6,370.5,369.8,372.6,378.7,387,399.6,406.4,410.7,407.7,420.4,434.5,438,446.5,453.4,456.5,460.7,471.9,482.6,487.4,490.9,500,482.3,481.1,475.7,463.1,457.3,454.4,459,462.4,474.6,486.6,491,484.3,489.2,493.1,NA
"27","19","    Other services, except government","N5019C1",271.2,271.3,272,271.3,288.7,293.3,298.7,302,295.6,297.4,298.7,302.1,308.8,310.9,315,317.8,332.9,337.2,336.8,338.4,345.1,350.1,352.7,359,361.4,364.2,364.2,369.5,361.6,359.1,358.9,361.5,354.7,358.8,359.5,361,364.8,368.1,373.3,370.4,375.7,376,NA
"28","20","  Government","B436RC1",1046.8,1061,1083.9,1091.5,1119.8,1132,1149.2,1167.1,1199.6,1214.9,1223.2,1231.3,1258.6,1271.3,1280.3,1292.9,1321.9,1329.3,1340.6,1349.6,1376.5,1389.9,1406.3,1421.4,1449.3,1460.7,1475.2,1489.1,1519.6,1534.4,1552.9,1566.1,1581.4,1595.1,1602.5,1609.4,1627.5,1638.9,1635.2,1636.3,1643.1,1647.3,NA
"29","21","Rest of the world","A192RC1",41.1,49.6,27,89.9,51,32.8,47.4,65.2,51.8,65.6,65.6,91.8,110.6,85.8,96.8,71.6,106.8,96.2,107.1,78.4,80.5,75.5,61.9,71.7,70.3,79.5,144.8,198.6,178.6,181.3,199,117.8,132.7,140.3,163.7,172.4,169.5,196.2,207.4,184.4,227.1,261.2,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
