"","Table 2#3#2# Contributions to Percent Change in Real Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"21","12","    Other nondurable goods","DONGRZ2",0.23,0.27,0.04,0.38,0.52,-0.03,-0.25,0.32,0.12,0.5,0.41,0.13,0.17,-0.03,0.19,0.4,0.2,0.16,0.27,0.17,0.24,0.19,-0.04,0.15,0.27,0.37,0.3,0.33,0.41,0.41,0.48,0.4,0.26,0.26,0.39,0.32,0.27,0.3,0.22,0.02,-0.15,0.28
"22","13","Services","DSERRZ2",2.19,1.95,1.77,2.97,2.43,0.97,1.94,2.27,2.18,2.47,1.63,0.82,0.98,1.09,2.99,2.26,2.99,1.75,2.34,2.53,1.82,1.8,0.92,2.23,2.03,1.9,1.61,1.87,1.97,2.84,2.64,3.17,1.58,1.24,1.22,1.74,1.92,1.7,1.28,0.29,-0.9,0.64
"23","14","  Household consumption expenditures (for services)","DHCERZ2",2.17,1.86,1.67,2.87,2.42,1,1.93,2.17,2.15,2.38,1.57,0.74,0.84,0.81,2.72,1.99,2.84,1.51,2.2,2.26,1.55,1.42,0.65,1.84,1.86,1.72,1.52,1.74,2.13,2.64,2.48,2.99,1.4,1,1.1,1.75,1.99,1.43,1.17,0,-0.95,0.61
"24","15","    Housing and utilities","DHUTRZ2",0.91,0.64,0.73,0.92,0.79,0.78,0.54,0.49,0.48,0.81,0.61,0.56,0.3,0.12,0.42,0.66,0.7,0.4,0.56,0.62,0.47,0.33,0.41,0.37,0.48,0.67,0.49,0.4,0.42,0.56,0.57,0.54,0.48,0.13,0.23,0.39,0.82,0.39,0.11,0.12,0.19,0.16
"25","16","    Health care","DHLCRZ2",0.49,0.38,0.53,0.53,0.56,0.27,0.43,0.38,0.43,0.42,0.31,0.27,0.48,0.03,0.33,0.18,0.34,0.35,0.48,0.47,0.14,0.43,0.26,0.43,0.07,0.11,0.3,0.3,0.44,0.46,0.22,0.47,0.68,0.83,0.32,0.47,0.49,0.27,0.35,0.35,0.3,0.23
"26","17","    Transportation services","DTRSRZ2",0.19,0.11,0.13,0.18,0.05,0.02,0.04,0.16,0.22,0.08,0.1,-0.19,-0.12,-0.07,0.22,0.35,0.33,0.14,0.13,0.19,0.08,0,-0.16,0.16,0.18,0.31,0.26,0.29,0.28,0.16,0.21,0.18,-0.04,-0.1,0.01,0.08,0.03,-0.01,0.03,-0.18,-0.27,0.02
"27","18","    Recreation services","DRCARZ2",0.12,0.08,0.07,0.11,0.18,0.14,0.12,0.16,0.14,0.11,0.11,0.08,0.19,0.12,0.22,0.17,0.19,0.13,0.13,0.27,0.19,0.13,-0.02,0.21,0.21,0.17,0.26,0.16,0.12,0.13,0.18,0.11,0,0.02,0.12,0.19,0.07,0.13,0.15,-0.05,-0.15,0.07
"28","19","    Food services and accommodations","DFSARZ2",0.14,0.22,-0.01,0.48,0.32,-0.06,0.27,0.4,0.18,0.29,0.21,0,0.07,0.05,0.23,0.19,0.09,0.19,0.34,0.39,0.19,0.24,0,0.17,0.15,0.11,0.02,0.04,0.14,0.16,0.15,0.27,-0.01,0.09,0.22,0.24,0.22,0.2,0.08,-0.06,-0.22,0.19
"29","20","    Financial services and insurance","DIFSRZ2",0.07,0.17,0.18,0.29,0.28,0.12,0.47,0.28,0.32,0.28,0.17,0.07,-0.04,0.41,0.83,0.06,0.67,0.21,0.03,-0.01,0.25,0.15,0.44,0.2,0.6,0.05,0.04,0.28,0.26,0.5,0.67,0.8,-0.06,-0.03,0,0.19,0.27,0.2,0.26,-0.08,-0.62,-0.09
"30","21","    Other services","DOTSRZ2",0.25,0.27,0.03,0.36,0.23,-0.26,0.06,0.3,0.38,0.4,0.07,-0.04,-0.04,0.15,0.48,0.37,0.52,0.09,0.53,0.32,0.25,0.14,-0.28,0.3,0.16,0.29,0.15,0.26,0.47,0.68,0.48,0.61,0.35,0.05,0.21,0.17,0.1,0.23,0.2,-0.11,-0.17,0.03
"31","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRZ2",0.03,0.09,0.09,0.11,0.02,-0.03,0.01,0.1,0.03,0.09,0.06,0.08,0.14,0.28,0.27,0.28,0.15,0.24,0.14,0.28,0.27,0.38,0.27,0.39,0.16,0.17,0.1,0.13,-0.15,0.2,0.16,0.18,0.19,0.24,0.13,-0.01,-0.07,0.27,0.11,0.29,0.04,0.03
"32","23","    Gross output of nonprofit institutions \2\","DNPERZ2",0.29,0.28,0.42,0.37,0.18,0.07,0.24,0.35,0.25,0.38,0.2,0.21,0.3,0.32,0.3,0.27,0.28,0.39,0.32,0.45,0.3,0.5,0.33,0.5,0.23,0.2,0.12,0.25,0.15,0.46,0.33,0.36,0.45,0.57,0.16,0.2,0.16,0.32,0.26,0.31,0.17,0.21
"33","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRZ2",0.27,0.19,0.32,0.26,0.16,0.11,0.23,0.25,0.23,0.29,0.14,0.12,0.16,0.04,0.03,-0.01,0.13,0.15,0.18,0.17,0.03,0.12,0.06,0.1,0.07,0.03,0.03,0.12,0.3,0.26,0.16,0.18,0.27,0.33,0.03,0.21,0.23,0.06,0.15,0.03,0.13,0.18
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","25","  PCE excluding food and energy \4\","DPCCRZ2",3,1.65,3.42,5.52,4.93,-0.18,1.74,4.49,3.77,4.27,2.3,-0.07,1.7,1.09,5.19,4.92,4.7,3.68,2.99,3.53,2.59,1.93,0.11,3.34,3.28,3.48,2.59,3.28,3.58,5,5.06,4.87,2.63,2.55,2.61,3.14,3.11,2.79,2.18,-0.25,-1.83,1.76
"36","26","  Energy goods and services \5\","DNRGRZ2",0.31,0.25,0.2,0.32,0.29,-0.34,0.25,0.35,0.22,0.2,-0.12,-0.42,-0.13,0.05,0.21,0.14,0.17,0.15,0.16,0.23,0.11,-0.11,0.05,0.11,0.2,0.08,0.07,0.12,0.03,0.14,0.09,0.02,-0.02,0.09,0.11,0.06,0.03,-0.15,0.01,-0.23,0.03,0.09
"37","27","  Market-based PCE \6\","DPCMRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.73,2.47,1.54,-0.36,2.92,2.75,3.39,2.6,3.14,3.47,4.53,4.85,4.25,2.35,2.47,2.57,2.96,3.19,2.3,2.07,-0.57,-1.35,2.03
"38","28","  Market-based PCE excluding food and energy \6\","DPCXRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22,2.23,1.43,-0.4,2.85,2.48,3.06,2.49,2.93,3.36,4.29,4.44,4.05,2.27,2.36,2.36,2.81,2.91,2.24,1.95,-0.26,-1.29,1.76
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","4. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","5. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
