"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26"
"13","6","    Power and communication","W003RC1",1.8,2.4,2.7,2.8,3,3.1,3.6,3.3,3.3,4.1,4.5,4.4,4.3,4.4,4.1,4.1,4.4,4.8,5.4,6.3,7.1,8.3,8.7
"14","7","    Mining exploration, shafts, and wells","E318RC1",0.9,1.2,1.2,1.4,1.7,2,2.1,2.3,2.5,2.7,2.6,2.4,2.5,2.3,2.3,2.5,2.3,2.4,2.4,2.5,2.4,2.6,2.8
"15","8","    Other structures \1\","W004RC1",2.6,2.9,2.9,2.9,3.2,3.3,3.5,3.6,3.7,4,4.1,4.2,4.7,5.2,5,5.2,5.6,6.2,7.2,7.8,7.8,7.3,7.8
"16","9","  Equipment and software","B010RC1",15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67
"17","10","    Information processing equipment and software","A679RC1",1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4,3.6,4,4.9,5.3,5.7,6.5,7.4,8.5,10.7,11.3,11.9,14.6
"18","11","      Computers and peripheral equipment","B935RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4
"19","12","      Software \2\","B985RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.2,0.2,0.4,0.5,0.7,1,1.2,1.3,1.8
"20","13","      Other \3\","A937RC1",1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4,3.6,4,4.6,4.8,5.1,5.4,5.9,6.7,8,8.2,8.7,10.4
"21","14","    Industrial equipment","A680RC1",4.6,4.6,3.7,4.5,5.7,5.9,6.7,7.1,7.3,8.8,9.6,8.2,8.5,9.4,8.8,9.3,10,11.4,13.7,16.2,16.9,17.3,19.1
"22","15","    Transportation equipment","A681RC1",4.9,5.5,5.7,6.4,6.6,5.7,6.6,6,7.5,7.4,8.3,6.1,8.3,8.5,8,9.8,9.4,10.6,13.2,14.5,14.3,17.6,18.9
"23","16","    Other equipment \4\","A862RC1",4.1,5.4,4.7,5.1,5.5,5.6,5.6,5.3,6.3,6.7,6.7,6.9,7.6,7.1,7,7.5,8.8,9.9,11,12.7,12.4,13,14.4
"24","17","Residential","A011RC1",12.1,15.6,14.6,20.5,18.4,18.6,19.4,21.1,25,23.6,22.2,22.3,28.1,26.3,26.4,29,32.1,34.3,34.2,32.3,32.4,38.7,42.6
"25","18","  Structures","A012RC1",11.8,15.3,14.3,20.2,18.1,18.2,19,20.7,24.6,23.1,21.7,21.9,27.5,25.8,25.9,28.4,31.5,33.6,33.5,31.6,31.6,37.9,41.6
"26","19","    Permanent site","A943RC1",8.3,11.2,10.7,16.1,13.8,13.4,13.9,15.4,18.6,16.5,15.1,15.4,19.7,17.5,17.4,19.9,22.4,24.1,23.8,21.8,21.5,26.7,29.2
"27","20","      Single family","A944RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,16.7,14.9,14.1,15.1,16,17.6,17.8,16.6,16.8,19.5,19.7
"28","21","      Multifamily","C292RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3,2.6,3.3,4.8,6.4,6.4,6,5.2,4.7,7.2,9.5
"29","22","    Other structures \5\","A863RC1",3.5,4.2,3.7,4,4.3,4.9,5.1,5.3,6,6.6,6.6,6.4,7.9,8.3,8.5,8.5,9.1,9.5,9.7,9.8,10.1,11.1,12.4
"30","23","  Equipment","B013RC1",0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.9,1
"31",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24","  Private fixed investment in structures","A349RC1",19.9,24.8,23.5,30.1,30,30.4,32.6,34.6,39.7,41.3,40.7,39.5,45.7,45.3,45.6,49.2,52.7,57.4,61.9,62.9,63.2,71.4,79.3
"33","25","  Private fixed investment in equipment and software","A327RC1",15.6,17.6,16,18.2,20.2,20.1,21.9,21.2,24.3,26.8,29,25.4,28.9,30.3,29.6,32.8,35.4,39.9,47.1,54.7,55.6,60.7,68
"34","26","  Private fixed investment in new structures \6\","W040RC1",18.9,24.1,23,29.5,29.4,29.7,31.9,33.7,38.6,40.5,40.1,39.1,44.7,44.5,44.8,48.3,51.5,56.1,60.4,61.8,62,69.9,77.6
"35","27","    Nonresidential structures","A771RC1",7.7,9.3,9,9.9,11.9,12.2,13.5,13.8,14.9,18.2,18.9,17.6,18.2,19.7,19.9,21,21.5,24,28.4,31.3,31.3,33.4,37.5
"36","28","    Residential structures","A756RC1",11.2,14.8,13.9,19.7,17.5,17.6,18.3,19.9,23.7,22.3,21.2,21.5,26.5,24.8,25,27.3,30,32.1,32.1,30.5,30.6,36.5,40.1
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
