"","Table 1#1#11# Real Gross Domestic Product: Percent Change From Q","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89"
"18","10","      Structures","A009RO1",0.8,4.1,6.5,9.6,5.4,0.1,-7.1,-10.9,-4.9,2.3,13.2,19.4,14.3,12.5,5.7,-0.9,-1.1,-3.6,-2.2,5.6,8.6,9.9,9.6,7.4,5.4,4.1,3.3,1.1,3.1,5,8.7,11.9,11.9,13,10.1,7.2,3.1,-0.5,-1.2,-1.5,-2.5,-5.7,-7.8,-5.9,-4.4,1.9,7.4,5,9.8,7.7,4.8,9.6,4.8,1.8,1.7,-2.6,-0.3,5.1,7.8,5.7,0.2,1.2,-0.7,3.9,10.4,9,11.8,10.4,13.2,17.1,14.5,18.9,15.8,6.1,7.4,-0.9,-2.2,-3.1,-4.2,-0.6,0.3,2.3,0.6,2.5,2.1,3.8
"19","11","      Equipment and software","A010RO1",8.5,3.5,5.7,3.1,-10.9,-9.2,-12.9,-16.5,-9.4,6,24,23.4,16.1,4.6,-3.5,-3,1.9,3.1,-14,-2.2,4,2.6,24.5,7.2,-5.3,-7.4,-6.2,-3.4,3.1,14.8,16.5,20.2,13.2,4.2,-1,-4.1,2.7,2.1,4.7,0.9,-11.6,-15.7,-19.3,-11.6,4.5,13.3,18.2,12.1,10.1,8.8,0.9,-2.4,-8.9,-6.2,-0.8,8.9,15.5,13.1,12.1,6.2,5.5,5.2,9.5,13.3,13.9,13.6,12.5,11.3,17,16.8,19,20.4,18,20.1,14.6,11.9,1.9,-0.6,-2.6,-1.1,6.8,3.2,7.3,7.6,7.6,11.4
"20","12","    Residential","A011RO1",29.2,43.9,20.8,-6.3,-12.3,-18.5,-8.6,10.8,33.4,48.9,44.7,22.8,4.4,-17.6,-26.9,-22.6,-16.1,-1.3,4.4,9,7.9,6.2,3.2,-2.9,-3.3,2.7,13.2,21.4,29,22.9,13.4,2.2,-7.4,-9.3,-9.1,-6.6,-5.4,-7.2,-6.6,-5.2,-7.7,-5.2,3.2,14.3,32.6,36.9,25.2,9.9,1.5,-10.1,-11.1,-8.6,-10.8,-2.4,6,9.8,11.3,14.4,8.4,4.8,6.6,10.8,13,16.6,19.4,5.8,2.2,-2.7,-8,-2.3,-0.3,-0.7,1.2,-7.6,-11,-18.5,-22.7,-6.5,1.5,20,24.5,14.6,11.1,6.3,9.5,5.6
"21","13","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Exports","A020RO1",-20.7,-27.2,-21.5,-14.6,0.2,9.6,-1.9,-11.9,-22.6,-21,-11.6,10.4,17.8,27.9,27.7,17.1,17.4,-4.8,-14.5,-13.1,-18.9,-8.3,3.6,-0.5,-3.3,9.9,2.2,10.6,20.1,2.5,12.9,8.4,9.5,19.7,16,20.7,22.8,11.6,5,-2.5,-17.6,-14.7,-11.9,-9.5,7.1,10.2,13.3,10.6,16.8,20.2,13.5,19.1,5.1,-2.6,-0.6,0.4,0.9,12.1,6.4,1,3.6,5.6,5.9,13.6,17.8,7.2,12.4,10.2,-7.3,8.3,2.9,7.1,18,3.7,5.9,2,5.8,0.4,1.8,1.4,2.3,5.3,14.3,9.7,-6.2,12.6
"24","16","    Goods","A253RO1",-22.8,-28.6,-22.5,-15.1,0.3,9.9,-1.5,-11.4,-24.2,-22.2,-12.6,9.6,17.8,28,26.8,15,16.7,-6.8,-15.6,-12.7,-20.3,-7.6,4.6,-0.7,-2.9,12.5,1.7,11.3,22.7,0.8,13.1,7.5,9,20.4,17.3,22.2,24,12.2,4.4,-6.6,-19.4,-17.5,-14,-9.1,-6.9,-3.3,5.6,1.9,25,27.4,18,23.9,7.6,-4.4,-1.2,0.4,-1.5,12.7,7.3,-0.1,1.5,5.2,6.8,18,22.9,11.3,12.3,9.4,-10.7,6.2,0.1,6.3,23.3,2,5.7,-0.3,0.4,1.9,0,-0.4,3.4,5,14,9.4,-8.4,14.3
"25","17","    Services","A646RO1",-6,-17.6,-15,-11.7,0.2,8.1,-4,-14.9,-14.4,-15.2,-6.2,14.4,18.3,27.3,32.1,27.6,21,4.8,-9.1,-14.8,-12.5,-11.3,-0.5,0.7,-5.1,-1.2,4.6,7.3,9.6,11.2,12.1,12.6,11.6,16.5,10.5,14.1,17,8.9,7.7,16.3,-9.2,-1.5,-2.7,-11.1,67.8,63.7,44.3,44.3,-3.1,3.1,0.7,6,-2.5,3,1.4,0.4,8.6,10.1,3.9,4.4,9.8,6.7,2.6,0.8,4,-3.2,12.8,13.1,3.6,14.7,12.4,9.8,3.1,8.4,6.2,9.4,24.1,-3.5,7.4,6.6,-0.5,6.1,15.1,10.7,0.1,7.9
"26","18","  Imports","A021RO1",7.4,9.6,30,21.4,4.4,-1,-9.8,-6.9,-1.4,5.6,35.9,34.1,30.5,19.5,-11.3,-13.8,-3.8,-1,14.7,28.4,12.2,18.6,11.4,-2.8,-6.1,-2.7,-8.2,-2.6,9.5,6.2,14.9,17.9,16,9.2,8.3,-0.2,3.3,4.7,1.8,7.1,0.7,4.2,4.6,9.7,10.8,11.4,14.2,5.8,7,2.9,-1.1,-3.3,-7.3,-6.8,2.3,9.9,13.8,14.9,9.2,7.9,2.3,2.5,3.8,2.2,4.5,4.4,4.6,7.7,3.9,13.7,11.1,13.5,20.8,10.7,16.4,12.3,11.2,7.6,3.2,7.5,12,14.7,20,13,-3.3,14
"27","19","    Goods","A255RO1",4.8,6.5,25.7,23.7,3,-4.1,-8.7,-5.4,-0.7,8.8,44.4,37.3,31.9,18.9,-20.4,-24.9,-13.3,-8.4,9.9,26.5,9.7,14.8,7.6,-7.6,-9.5,-5.9,-11.2,-3.8,10.8,1.8,11.4,23.5,16,11,9.4,0.3,-1.4,3.4,2.9,7,0.1,0.8,3.7,6.4,17.3,22.1,21.8,9,5.5,0.7,-5.6,-6.7,-9.6,-9.3,6,14,19.4,21,11.4,8.6,3.4,3.7,4.5,4.5,5,5,6.2,10,5.8,18.4,15.1,16.9,25.7,10.3,16.4,12.2,9.7,4.9,-0.6,7.3,15.5,21.9,29.3,16.4,-6.1,16
"28","20","    Services","A656RO1",16.5,20.3,43.7,14.8,8.7,8.3,-12.7,-11.1,-3,-3,10,23.2,25.5,21.3,28.4,32.7,33.3,27,28.9,32.2,18.4,28.6,20.4,7.9,1.7,4.8,-1.7,-0.1,6.7,15.6,21.9,7.2,16,5.8,6.4,-1.5,13.9,7.4,-0.2,7.4,1.5,10.2,6.3,17.3,-0.5,-6.5,0.2,-0.7,10.2,7.8,9.1,4.2,-2.6,-1.8,-4.6,2.4,3.7,3.7,4.7,6.5,0,0,2.2,-2.4,3.5,3,1,2.8,0,3.5,2.3,5.9,10,11.7,16.7,12.4,14.7,14,12.7,7.8,3.8,-1.2,-0.1,4.9,3.9,8.5
"29","21","Government consumption expenditures and gross investment","A822RO1",2,6.3,7.4,13.5,14.5,14.2,13.2,6.3,1.6,-1.2,-4.1,4.3,17.4,31.4,49.1,48,37.9,25.3,13.7,9.6,9.9,8.6,6.3,4.1,-2,-7.5,-8.7,-8.9,-6.6,-4.1,-1.1,-2.7,-2.6,0.4,-1.1,3.7,5.9,3.1,4.9,4.1,0.8,4,3.8,4.2,4.7,3.7,4.3,1,-0.3,-1,0.1,1.9,5.3,4.7,4.3,5.8,6.3,6.6,7,4.8,2.4,1.7,3.7,2.6,3.6,4.4,0.2,0.8,0.2,0.8,4.2,6.8,9,9.5,8.7,8.1,10.7,8.2,6.5,5.5,2.9,4,3.1,2.5,0.9,0
"30","22","  Federal","A823RO1",0.1,5.9,8,18,16.4,13.9,10.4,-0.5,-7.1,-8.5,-10.8,4.9,31.7,56.5,90.3,84.4,60.9,37.8,20.5,13,12.5,11.7,5.9,2.7,-6.4,-14.1,-16.1,-15.8,-13.2,-10.4,-4.7,-7.2,-5.6,-0.9,-3.7,3.6,6.2,1.9,4.2,2,-3.4,1.3,0.5,1.4,3.5,2.7,5.2,1.3,-1.6,-4.3,-3.3,-1.6,2.9,4.3,4,5.5,9.5,8.9,9.1,6.7,0.4,-1,1.5,-0.7,1.3,1.5,-4.6,-3.3,-4.1,-3.2,1.5,5.8,9.6,12.3,12.3,10.2,15.1,10.5,7.9,6.8,1.6,2.3,-0.2,-0.6,-2.8,-3.6
"31","23","    National defense","A824RO1",-1.3,4.7,-1.9,2.3,5.3,8.1,9.4,-2.4,-8.7,-9.6,-3.3,17.4,55.1,90.6,115.6,106.4,68.5,43.2,21.5,13.5,13.1,8.2,4.4,0.6,-9,-13.5,-16.9,-18.2,-12.7,-12.2,-6.5,-6.4,-6.2,-0.1,-1.5,5.2,6.2,4.3,5.5,1,-0.7,-0.5,-1.4,0.6,-1.1,-3.3,-0.8,-2.8,-1.8,-2,-1.4,-1.3,3.2,4.1,3.7,6.8,7.9,7.4,6,3,-3,-3,-1.1,-2.5,-1.6,-2.5,-6.1,-5.7,-6.4,-5,-1.3,4.6,10.8,13.7,17,15.6,18.2,15.9,11.5,7.6,4,3.8,-0.7,-0.5,-4,-6
"32","24","    Nondefense","A825RO1",10.3,9.6,47.2,93.5,62,31.7,13,4.5,-2.6,-5.7,-29.6,-25.8,-27.6,-25.5,0.5,0,21.9,5.4,12.8,9.2,8.2,38.7,17.6,19.7,12.5,-17.8,-10.8,-0.5,-16.2,1.3,6.4,-11.8,-2,-5.5,-16.9,-6.2,6.3,-13.1,-5.1,8.9,-20,15,15.3,6.5,37.9,39.7,43.5,24.6,-1.1,-14.3,-12,-2.9,1.9,5.5,5.4,-0.5,17.9,16.3,24.1,24.2,16.9,8.1,12.1,6.4,12.5,17.3,1.1,5.2,4,2.5,10.8,9.7,5.6,7.9,-1.9,-6.8,4.7,-6.8,-4.9,3.7,-6.9,-3.6,2.2,-0.7,1.9,6.8
"33","25","  State and local","A829RO1",5.2,6.8,6.2,7.1,11.7,14.7,17.4,16.8,15,9.7,5.4,3.5,0,0.8,1.2,1,2.3,2.8,-0.5,2,3.9,1.5,7.2,7.2,8.8,9.4,9.5,7.4,8,9,5.9,6,2.8,2.8,3.4,3.9,5.4,4.9,5.9,7.4,7.8,8.4,9.2,8.5,6.4,5.2,3,0.7,1.6,3.8,5.2,7,8.6,5.3,4.6,6.3,2.2,3.6,4.1,2.4,5.1,5.3,6.7,7,6.6,8.1,6.4,6.1,5.5,5.7,7.6,8,8.3,6.4,4.7,5.9,5.9,5.6,4.8,4,4.5,6,7.1,6.1,5.2,4
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Final sales of domestic product","A190RO1",1.9,2,1.4,2.2,2.2,2.8,2.5,2,3.3,4.7,8.5,6.9,8.3,6,5.7,8.4,6.2,7.4,3,4.8,6.2,5.3,6.1,2.1,-0.6,-1,0.2,2.5,5.1,6,6.5,5,2.8,2.6,1.1,2.7,3.8,2.3,3,1.2,-2.2,-1.3,-0.6,1.3,6.1,7.4,7.1,4.7,3.7,2.9,1.5,2.4,1.4,1.5,2.4,4.2,5.4,6.1,6.1,4.5,3.9,3.9,4.9,5.3,6.9,6.3,5.8,5,4.3,5,5.6,8.2,8.3,6.9,5.8,3.3,2.6,3.2,2.9,3.5,4.6,4.6,5.5,5.3,4.2,3.6
"36","27","  Gross domestic purchases","A712RO1",5.1,7.9,8.6,6,1.3,-1.7,-0.8,-1.3,5.2,9,12.4,14.3,10.8,8.5,5.1,3.8,3.9,3.5,3.3,7,7.6,7.9,5.7,0.3,-2,-3,-1.3,2.3,5.9,8,8.2,6.9,3.4,1.8,0.4,0.9,2,1.5,2.8,0.7,-2.1,-1.3,-0.1,3.4,7.7,9.6,6.9,4.6,4.6,1.2,1.6,-0.4,-1.6,1.2,3,6.7,8.1,6.8,6.1,4.4,3.6,3.6,4.7,4.8,5.6,6,5.2,5,6,5.7,6.6,8.8,8.6,7.8,6.4,4.8,2.9,2.7,2.6,2.8,4.1,5.9,5.5,5.1,4.6,3.1
"37","28","  Final sales to domestic purchasers","A713RO1",4.1,4.8,4.1,4,2.4,2.2,2.3,2.4,4.6,6.2,10.5,7.7,8.7,5.6,4,7,5.2,7.7,4.4,6.7,7.8,6.5,6.4,2,-0.7,-1.5,-0.2,2,4.7,6.2,6.6,5.3,3,2.1,0.8,1.8,2.9,1.9,2.9,1.7,-1.2,-0.4,0.1,2.2,6.3,7.4,7.1,4.5,3.3,2.1,0.9,1.4,0.8,1.3,2.6,4.7,6,6.2,6.2,4.8,3.8,3.7,4.8,4.7,6.2,6.2,5.4,4.8,5,5.2,6,8.5,8.4,7.2,6.3,3.8,2.8,3.6,3,3.8,5.1,5,5.8,5.4,4.3,3.7
"38","29","  Gross national product","A001RO1",3,5,5.7,4.2,1.1,-1.1,-0.6,-1.7,3.8,7.3,10.4,13.5,10.4,9,6.9,5.3,5,3.3,1.9,5.1,6,6.7,5.3,0.4,-1.9,-2.5,-0.8,2.9,6.3,7.9,8.1,6.6,3.2,2.3,0.9,1.8,3,2,3,0.2,-3.1,-2.4,-1,2.5,7.4,9.5,6.9,4.9,5.1,2.1,2.3,0.7,-0.9,1.4,2.8,6.2,7.5,6.8,6,4.3,3.7,3.8,4.8,5.2,6.3,6.2,5.7,5.1,5.3,5.6,6.2,8.4,8.4,7.2,5.9,4.3,2.7,2.4,2.6,2.5,3.7,5.5,5.3,5,4.5,3
"39","30","  Real disposable personal income","A067RO1",1,6.8,6,7.6,3.7,0.5,-0.9,-0.5,9.2,8.3,9.3,9.5,2,4.1,3.2,2.4,2.3,2,3.4,5.2,6.7,6.8,4.3,1.7,0.9,-0.4,1.1,3.8,4.7,7.2,8,7.1,6.6,5.2,3.6,4.1,3.2,2.9,2.9,0.7,-0.3,-0.3,1.3,3.2,4.9,6,3.7,3.2,3.6,2.4,2.7,1.8,1.5,2.4,3.8,5.9,5.9,5.5,4.7,3.5,3.4,3.2,3.8,4.6,5.8,7.7,7.9,7.4,6.4,4.8,6.3,7.2,7,6.1,4.5,3.6,4.2,4.8,4.5,4.1,4.3,5.2,4.4,4.3,2.7,2.1
