"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"18","11","              Sales to other sectors","W109RL1",4.7,3.9,8.2,12.2,5.4,1.6,-1.9,3.4,5.4,5.2,5.3,0.5,3,2.1,2.7,0.2,3.1,3.3,2,2.4,2.5,2.1,3.6,3.8,4,4.7,1.9,2,2.1,3.6,1.6,5.6,4.4,1.1,0.2,0.9,1.2,0.4,1.7,0.4,2.2,3.1
"19","12","Federal consumption expenditures \1\","A957RL1",-2.2,-7.3,-5,-2.8,-5.7,-0.9,-0.8,-1.2,2,2,1.4,4.3,4.4,3.4,4.9,1.3,5.9,4.3,2.3,-0.4,1.5,1.5,0.2,-2.2,-3.2,-2.8,-2.9,-1.8,0.1,-2.1,1.3,1,4.3,6.7,6.6,3.9,0.8,1.4,0.8,6.1,6.1,4
"20","13","      Gross output of general government","W110RL1",-2.1,-7.2,-4.9,-2,-5.4,-0.6,-1.3,-1.5,2.3,2.2,1.7,4,4.1,3.3,4.7,1.4,5.9,4.3,2.4,-0.2,1.5,1.6,0.4,-2.3,-3.3,-2.4,-3.4,-1.7,-0.4,-1.8,0.9,1.2,4,6.5,6.6,3.8,1.2,1.2,0.6,6.2,6.1,4.1
"21","14","        Value added","W111RL1",0.3,-4.3,-4.6,-4.8,-3.7,-0.3,-0.6,0.2,0.3,1.3,-0.1,1.6,1.5,1.6,2.3,2.3,2.8,1.8,2.6,1.2,1.2,1.8,0.6,-2.1,-1.9,-3.3,-3.8,-2.7,-1.9,-1.1,-0.8,0.8,0.4,2,2.7,1,0.7,-0.1,0.8,3.9,5.9,3.7
"22","15","          Compensation of general government employees","B568RL1",0.3,-5.3,-5,-4.9,-3.7,0.3,-0.5,0.1,0.1,1.3,-0.6,1.3,1.1,1,1.5,1,1.4,-0.1,1.2,-0.2,0.1,1,-0.3,-3.5,-2.9,-4.3,-4.9,-3.7,-2.5,-1.5,-1.4,0.8,0.4,2.4,3.1,0.8,0.1,-1,0,3.8,6.2,3.6
"23","16","          Consumption of general government fixed capital \2\","B995RL1",0.3,-1.1,-3.4,-4.5,-3.8,-2.4,-0.8,0.5,0.9,1.1,1.7,2.6,3.2,3.9,5.2,6.7,8,8.2,7.5,5.9,4.7,4.3,3.4,2.2,1,-0.1,-0.6,-0.3,-0.2,-0.1,0.8,0.8,0.4,0.8,1.2,1.9,2.7,3.2,3.5,4.2,4.7,4
"24","17","        Intermediate goods and services purchased \3\","W113RL1",-5.6,-11.8,-5.6,3.6,-8.4,-1.1,-2.7,-4.7,6.6,4,5,8.2,8.3,5.8,8.3,0.1,10.6,8.1,2.1,-2.3,1.8,1.2,0,-2.6,-5.6,-0.9,-2.8,0.1,2.1,-3,3.7,1.7,10.1,13.6,12.1,7.7,1.8,2.8,0.5,9.2,6.3,4.6
"25","18","          Durable goods","W114RL1",-16.4,-10.9,-27,26.7,-8.2,-13.5,4,-9.5,26.1,12.3,8.6,5.3,15.2,8.8,19.2,1.3,7.1,6.7,6.4,2.9,-3.5,-2.9,-4.2,-9.2,-8.6,-13.7,-8.4,0.3,0.8,0.8,6.5,-0.4,1.2,5.5,8.7,11,2.2,8.2,9.2,17.1,6.1,4.1
"26","19","          Nondurable goods","W115RL1",0.4,-31.5,-12.9,6.2,-24.2,0.3,-11.3,-5.5,5,2.8,1.1,16,21.7,-10,6.1,-19.9,15.6,31.6,-24.9,-36.1,59.7,-8.3,4.3,-0.7,3.1,-13.3,0.6,-1.8,10.9,8,-12.8,10.5,16.3,7.4,8.3,11.3,5.4,-4.1,-0.5,7,11.2,1.9
"27","20","          Services","W116RL1",-4.6,-2.8,2.9,-1.5,-3.7,1.3,-1.5,-3.6,3.2,2.4,5.1,6.8,2,11,5.6,5.5,10.8,3.9,6.9,1.5,-1.9,3.9,0.6,-1.1,-6,3.8,-2.1,0.3,1.3,-4.9,5.5,1,10.7,15.6,13.1,6.8,1.3,3.3,-0.5,8.5,5.6,5.1
"28","21","      Less: Own-account investment \4\","W117RL1",-5.9,2.4,3.8,5.4,-6.9,-6.9,0.7,-2,-10.8,10.7,12.5,7.3,1.1,10.2,8.4,11.4,13.1,2.1,9.4,3.2,10.6,4.3,2.7,-0.1,-3,-7.9,-0.8,-5.9,-4.5,0,-10.4,-18.5,22.6,3.6,-5.4,-4,-0.5,-1.8,-4.2,7.6,3.8,4.8
"29","22","            Sales to other sectors","W118RL1",4.6,-5.2,-4.6,85.8,13.8,14.6,-21.5,-16.5,29.6,8.9,11,-7.4,-7.7,-5.7,-6.5,6.2,-0.8,4.7,8.4,9.8,-3.2,5.5,8.7,-7.4,-11.1,30.4,-29,4.9,-30.5,20.5,-25.5,33.1,-24.8,-6.1,8.9,7.1,41.6,-14.2,-13.2,16.9,6.5,11.9
"30","23","    Defense consumption expenditures \1\","A997RL1",-3.9,-9.1,-7.8,-6.1,-7.2,-3.2,-2.5,-1.7,1,1.1,1.3,3.9,5.7,6.7,5.3,3.1,6,4.6,3.7,1.1,-0.7,-0.7,-0.1,-5.2,-3.9,-4.5,-3.6,-1.4,-1.5,-2.7,1.6,-0.9,3.6,6.5,8.6,5.2,1.1,0.8,1.7,6,5.7,3
"31","24","      Gross output of general government","W085RL1",-3.9,-9.1,-7.8,-5.5,-6.8,-2.8,-3,-2.4,1.2,1.1,1.2,4,5.8,6.7,5,3.2,6,4.6,3.8,1.2,-0.7,-0.4,-0.1,-5,-3.9,-3.9,-4.3,-1.3,-1.7,-2.8,1.5,-0.9,3.7,6.6,8.5,5.1,1.2,0.8,1.6,6,5.6,2.9
"32","25","        Value added","W086RL1",0,-5.7,-6.7,-7,-5,-1.9,-1.4,-1.5,-0.5,0.6,-0.4,0.9,2.9,2.6,2.3,2.6,3.3,2.4,2.6,0.6,1.2,0.6,0.5,-3.8,-2.9,-3.9,-4.2,-3.4,-3,-2.7,-2,-0.7,0.3,1.9,2.9,1.8,0.9,-0.5,0.5,4,6.2,3.4
"33","26","          Compensation of general government employees","B237RL1",0.1,-7.3,-7.6,-7.6,-5.2,-1.5,-1.4,-2,-0.9,0.7,-0.8,0.6,3.1,2.3,1.5,1.4,1.9,0.5,0.9,-1.2,0,-0.6,-0.3,-5.9,-4.3,-5.2,-5.5,-4.2,-3.6,-3.2,-2.4,-0.7,0.7,2.7,3.6,1.8,0.3,-1.5,-0.4,3.9,6.6,3.1
"34","27","          Consumption of general government fixed capital \2\","B432RL1",-0.2,-1.6,-4.1,-5.4,-4.7,-3.2,-1.3,0.1,0.5,0.4,0.9,1.9,2.5,3.5,4.7,6.3,8,8.5,7.8,5.8,4.5,3.9,2.9,1.7,0.4,-0.8,-1.5,-1.5,-1.5,-1.6,-1.1,-0.9,-0.8,-0.1,1,1.9,2.6,2.8,3.2,4.4,4.8,4.3
"35","28","        Intermediate goods and services purchased \3\","W087RL1",-9.5,-14.5,-9.9,-2.1,-10.4,-4.7,-6.5,-4.4,5.2,2.1,4.7,10.1,10.7,13.6,9,4.1,10.1,7.8,5.4,2.1,-3.4,-2,-1.2,-6.9,-5.4,-3.9,-4.5,2.3,0.4,-2.9,7.5,-1.2,9.1,13.7,16.3,9.3,1.5,2.5,2.8,8.4,5,2.4
"36","29","          Durable goods","A998RL1",-16.6,-10.5,-28,27.8,-7.6,-13.5,3.9,-10.2,26.7,11.7,8.1,4.8,16.6,9.7,18.2,1.1,7.3,6.9,6.2,2.8,-4,-3.6,-4.6,-10,-9.1,-14.2,-8.9,-0.8,0.4,0.8,6.2,-1,0.7,4.1,9.7,10.9,1.1,8.4,10,17.3,5.9,3.5
"37","30","          Nondurable goods","A725RL1",-11.3,-30.4,-18.2,1.9,-25.7,-13.6,-17.2,-18.4,-6.6,0.8,3,9.3,5.8,-0.5,4.7,-5.3,-1.7,26.1,-2,-3.6,-3.2,-10.7,1.8,-7.5,-8.3,-9,-18.1,10.4,0.7,3.3,11.8,4.9,2.9,14.2,5.6,15.2,0.6,-3.6,3.7,2.5,5.1,-4.4
"38","31","          Services","A489RL1",-5.4,-8.8,0.1,-11.2,-6.3,1.3,-6.2,1.7,1.3,-1.3,3.6,12.7,9.9,19.9,5.9,7.7,13.6,5.7,6.1,2.6,-3.2,0,-0.3,-5.7,-3.8,0,-2,2.5,0.4,-4.3,7.4,-1.8,11.8,15.6,18.5,8.5,1.7,2.3,1.6,7.7,4.8,2.9
"39","32","      Less: Own-account investment \4\","W088RL1",6.3,5.2,-8.9,11.8,8.3,1.2,17.5,7,-7.9,6.1,13.8,0.2,9.6,19.4,12.2,15.2,16,4.8,9.1,1.1,13.4,-2.1,5,-0.9,-3,-9.9,-2.5,-7.3,-4.6,-4.9,-10.3,-17.2,27.5,33.8,-3.6,-7.8,-5.4,-2.1,-4.7,4.6,4.2,6.7
"40","33","            Sales to other sectors","W089RL1",-3.5,-6.8,-20.1,397.5,59.4,31.6,-37.1,-67,53.8,-1.3,-7.3,32.2,14.8,6.2,-53.3,34.3,-16.5,-0.1,17.4,18.9,-19.8,74.7,-11.6,24.4,6,68.2,-52.8,16.9,-23.8,-17.7,-2.9,11,-0.2,2.7,7.2,0.9,25.1,6.7,-16.7,13.4,-4.1,-2.1
"41","34","    Nondefense consumption expenditures \1\","A542RL1",5.2,-0.3,4.7,7.6,-1.2,5.6,3.3,-0.1,4.2,4.1,1.7,5.2,1.6,-4.4,3.7,-3.6,5.7,3.6,-2,-5.1,8.7,8.1,1.1,5.9,-1.4,0.9,-1.5,-2.5,3.5,-0.9,0.8,4.7,5.5,6.9,3.1,1.2,0.3,2.6,-1.1,6.4,6.9,6.2
"42","35","      Gross output of general government","W128RL1",4.9,-0.4,4.6,8.5,-1.5,5.2,2.9,0.5,4.9,4.6,2.6,4,0.7,-4.5,4.1,-3.3,5.7,3.7,-1.5,-4.4,8.3,7.3,1.7,4.7,-2.1,1,-1.6,-2.5,2.2,0,-0.3,5.1,4.7,6.3,3.1,1.4,1.1,1.9,-1.2,6.6,7,6.4
"43","36","        Value added","W129RL1",1.4,1.5,3,2.6,0.4,4.5,1.8,4.6,2.3,2.8,0.6,3.2,-1.7,-0.8,2.3,1.3,1.5,-0.1,2.6,3.2,1.4,5.1,0.8,2.2,0.5,-1.9,-2.9,-1.5,0.3,1.9,1.4,3.6,0.6,2.1,2.4,-0.5,0.3,0.7,1.2,3.8,5.3,4.1
"44","37","          Compensation of general government employees","W130RL1",0.9,1.3,3.3,2.9,0.2,5,1.8,5,2.2,2.6,-0.1,2.7,-2.9,-1.9,1.4,0.1,0.2,-1.5,1.8,2.5,0.6,5,-0.3,1.8,-0.1,-2.8,-4,-2.7,-0.6,1.2,0.2,3.1,-0.1,1.9,2.5,-1,-0.2,0,0.6,3.8,5.4,4.3
"45","38","          Consumption of general government fixed capital \2\","B546RL1",3.9,2.2,1.1,0.7,1.2,1.7,2.1,2.5,2.8,4.6,5.4,6.1,6.3,5.7,7.2,8.5,8,7.1,6.6,6.1,5.7,5.9,5.7,4.3,3.5,2.6,2.7,4.3,4.7,5.2,7,6.1,3.8,3.1,2,1.8,2.9,4.3,4.2,3.9,4.4,3.4
"46","39","        Intermediate goods and services purchased \3\","W131RL1",10,-3,7,17.5,-4.2,6.1,4.6,-5.3,8.9,7.3,5.5,5.1,4,-9.3,6.6,-9.5,12.2,8.9,-6.8,-15.6,21.5,10.8,3.3,8.7,-6,5.9,0.4,-4.1,5.5,-3,-3.4,7.8,11.9,13.3,4.2,4.2,2.4,3.6,-4.8,10.9,9.5,9.5
"47","40","          Durable goods","A543RL1",-12.8,-20.1,-4.2,7.4,-21.1,-12.9,6.9,7.3,15.3,26,20.9,16.7,-11.1,-14.2,52.3,8.5,2.2,0.9,11.7,4.5,10,14,3,8.3,-0.5,-5,-1.9,15.4,6.2,0.1,9.4,6.7,7.5,21.2,-2.1,12,15.3,6.8,0.7,14.1,9.4,11.9
"48","41","          Nondurable goods","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RL1",25.7,2.5,-4.8,12.4,-13.7,10,-24.3,26.5,14.4,16.9,0.1,-1.3,65.8,-28.7,4.7,4.5,-12.3,-11.7,13.9,-1.6,-11.2,6.6,-14.8,22.5,12.4,-14.4,15.8,-10.4,18,9.5,-28.9,8.1,33.1,7.3,12.6,13.2,7.5,-6.8,-5.4,13.6,17,9.2
"51","44","          Services","A544RL1",-2.3,13.7,9,18.4,0.4,1.1,5.3,-10.2,5.8,7.5,7,-0.6,-9,-3.8,5,1,4.6,-0.2,8.8,-1.2,1.5,13.1,2.5,8.4,-9.9,10.9,-2.4,-3.4,2.9,-5.9,2.1,6.3,8.7,15.4,3.1,3.3,0.2,5.5,-4.9,10.4,7.5,9.8
"52","45","      Less: Own-account investment \4\","W136RL1",-8.8,1.6,7.5,3.8,-11,-9.6,-5.8,-6.4,-12.5,13.3,11.7,11.3,-3.3,4.9,6,8.8,11,0.1,9.6,4.9,8.6,9,1.1,0.5,-2.9,-6.7,0.2,-5.1,-4.5,2.8,-10.5,-19.2,20,-13.7,-7.1,-0.4,3.8,-1.5,-3.7,9.9,3.6,3.3
"53","46","            Sales to other sectors","W137RL1",6.5,-4.8,-1.2,38,-6.4,1.6,-4.7,20.5,25.1,11.1,14.5,-13.3,-12.8,-9.4,11.8,1.4,3,5.8,6.5,7.7,0.9,-8.4,16.7,-17.5,-19.4,6.8,-6,-1,-34.3,46.1,-34.2,45.8,-35.5,-12.1,10.3,12.1,53.2,-26,-10.3,19.7,14.5,20.7
"54","47","State and local consumption expenditures \1\","A991RL1",6.3,6,4.9,3.8,3.5,4.6,4.9,1.4,1.9,2,0.7,-0.2,-0.4,1.5,1.1,1.9,5.2,6.3,1.2,3.4,3.3,3.2,2,2.3,2,2.5,2.3,1.8,2.7,4.2,3.6,2.2,3.4,3.3,-0.3,0,0.4,0.7,1.6,-0.2,-0.7,-1.3
"55","48","      Gross output of general government","W138RL1",6.1,5.8,5.3,4.1,3.5,4,4.4,1.7,1.9,2.4,1.3,0.1,0.2,1.7,1.4,1.7,5,5.9,1.3,3.2,3.3,3,2.2,2.7,2.5,2.7,2.5,1.8,2.9,4,3.4,2.7,3.8,2.9,-0.3,0.2,0.4,0.8,1.7,-0.2,-0.2,-0.6
"56","49","        Value added","W139RL1",4.6,4.4,4.1,3.5,3.5,3.6,3,1.3,1.5,2.3,1.8,1.3,0,0.6,-0.4,0.6,2.9,2.9,1.9,3.4,3.1,3,1.3,1.7,1.4,1.7,2,1.5,2,2.1,1.7,2.1,2.4,2,0.6,0.4,0.7,0.9,1.4,1.2,0.1,-0.9
"57","50","          Compensation of general government employees","B251RL1",4.5,4.4,4.1,3.4,3.5,3.6,3,1.1,1.4,2.3,1.7,1.2,-0.3,0.5,-0.7,0.3,2.8,2.8,1.7,3.3,2.9,2.7,0.9,1.4,1.1,1.5,1.8,1.3,1.7,1.8,1.3,1.8,2.1,1.8,0.3,0.1,0.4,0.6,1.2,1.1,-0.1,-1.4
"58","51","          Consumption of general government fixed capital \2\","B986RL1",5.4,4.8,4.1,3.6,3.5,3.5,3.2,2.8,2.3,2.2,2.4,2.6,2.2,1.8,1.9,2.6,3.5,4,3.9,4.1,4.9,5.4,4.9,4.3,3.9,3.6,3.7,3.7,4,4.8,4.9,4.7,4.3,3.8,3.2,3.7,2.7,2.7,3,2.1,2.1,2.1
"59","52","        Intermediate goods and services purchased \3\","W140RL1",11.1,10.1,9.3,6.1,3.5,5.3,8.1,2.8,3,2.5,-0.1,-3.3,0.7,4.4,6.3,4.3,10.2,13.2,-0.2,2.6,3.8,3.1,4.6,4.9,5,4.9,3.8,2.5,4.8,7.8,7,4,6.7,4.4,-1.9,-0.4,-0.2,0.6,2.2,-2.7,-0.7,0.2
"60","53","          Durable goods","B989RL1",14.3,13.1,15.6,11.3,7.9,5.1,2.6,4.3,3.6,2.5,2.2,-1,3.8,3.4,4.6,5.9,5.1,8,3.6,2.8,4.6,2.5,3.6,3,3.1,4.5,6.7,2.8,7,11.3,9.2,7.2,7.6,1.4,-1.7,0.5,0.4,1.6,2.9,-1,-0.1,-0.5
"61","54","          Nondurable goods","B337RL1",9.1,10.7,10,3.7,1.4,2.3,9.5,8.5,6.6,2.6,-0.8,-4.3,-0.4,2.4,5,5.3,6.9,9,3.1,3.1,4,3.2,4.8,4.6,4.5,5.9,4.5,2.7,4.6,7.3,7.2,4.2,6.9,3.7,-1.8,0.2,0.1,0.9,2.8,-2.7,-1.3,-0.1
"62","55","          Services","A988RL1",12.1,9.4,8.2,6.9,4.2,7.1,7.9,-1.2,0.4,2.5,0.2,-2.7,1.3,6,7.3,3.6,12.8,16,-2.2,2.3,3.7,3.1,4.5,5.3,5.4,4.4,3.2,2.3,4.7,7.7,6.8,3.6,6.5,5,-2,-0.7,-0.4,0.4,1.8,-2.8,-0.4,0.4
"63","56","      Less: Own-account investment \4\","W144RL1",0.7,1.1,0.1,-2.5,-2.9,6.4,-5.7,-11.6,-8.8,7.6,15.6,4.2,-4.4,0.7,-0.7,11,8,7.1,2.2,4.6,11.7,4.7,4.4,-1,-0.6,0.9,1.4,1.2,9.4,2.1,3.8,5.7,8.8,0,-2.7,1.8,0.9,3,1.6,1.4,-1.4,-8
"64","57","            Sales to other sectors","W145RL1",4.7,4.7,9.2,7.2,4.4,-0.1,1,5.7,3.1,4.7,4.6,1.6,4.4,3,3.5,-0.2,3.4,3.3,1.6,1.9,2.8,1.9,3.3,4.5,4.8,3.5,3.7,1.9,3.4,3.1,2.5,4.9,5.2,1.3,0,0.8,0.3,0.9,2.1,0,2,2.9
"65","58","              Tuition and related educational charges","B1065L1",10,16.5,12.6,6.2,7.9,-0.3,0.1,3.2,4.1,5.4,2.8,3.3,2.2,-0.2,3.2,-0.1,-0.1,0.8,0.7,3.1,3,2.2,1.6,1.9,-1.2,0.1,0.4,0.3,2.3,2.7,2.9,3.4,0.5,0.1,0,-3.1,0.1,0.9,1.3,0.9,1.5,2.2
"66","59","              Health and hospital charges","B1066L1",3.5,1.8,16.6,14.6,11,3.1,2.7,6.3,1.9,7,8.4,0.8,6.3,3,2.5,-2.4,2.3,2.6,0.1,0,0.8,1,4.2,5.8,5.9,4,4.5,-0.4,2.4,2.9,1.7,4.9,8.4,0.5,-1.8,0.3,-2.5,0,2.4,2.1,3.8,2.9
"67","60","              Other sales","W146RL1",3.7,2.2,2.7,2,-2.9,-2.9,-0.3,6.3,4,1.8,1,1.7,3.1,4.8,5.3,3.2,7.2,5.8,4.6,4,5.8,2.9,2.9,4.1,7,4.9,4.6,6.9,5.7,3.6,3.5,6,3.5,3.3,3,4.2,4.7,2.1,2.3,-3.4,-0.1,3.3
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
