"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","Less: Income payments to the rest of the world","A655RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,0.9,0.9,0.9,1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.9,1.8,1.8,1.9,1.9,1.9,2,2.1,2.2,2.2,2.3,2.3,2.4,2.5,2.6,2.6,2.7,2.8,2.9,3.1,3.2,3.2,3.2,3.2,3.4,3.7,4,4.1,4.2,4.8,5.4
"12","4","Equals: Gross national product","A001RC1",238.1,241.5,245.6,255.6,261.7,268.7,275.3,276.6,271.3,267.5,268.9,266.3,276.4,285.8,303.5,314.9,330.5,338.5,345.5,350.1,353.2,354.2,360.5,373.3,380.3,384,382.9,377.7,377.2,378,382.8,391.8,405,413.3,421.9,428.5,431.1,437,442.1,450.6,460.3,462.5,469.6,464,456.6,460.7,474.3,487.6,498.1,511.1,512.1,516.3,529.9,529.2,532.1,527,531.5,542.4,553,566.2,579.7,587.2,594.1,598.1,607,615.5,628.4,638.1,654.7,663.7,675.5,680.3,701.1,713.8,730.4,752.2,775.8,785,798.1,812.2,823,827.4,842.7,858.3,885.6,910.1,925.5,942.5,967.2,982.3
"13","5","Less: Consumption of fixed capital","A262RC1",25.6,26.3,27.1,27.6,27.9,28.3,28.7,28.9,29.2,29.2,29.1,29.2,29.1,29.4,30.1,31.2,32.5,33.5,34.3,34.9,35.4,35.9,36.6,37.2,37.9,38.5,38.9,39.3,39.8,40.4,40.8,41.4,41.7,42.2,43.1,44.2,45.5,46.6,47.7,48.6,49.6,50.5,51.3,51.9,52.3,52.9,53.6,54.2,54.8,55.3,55.6,55.9,56.2,56.4,56.7,57.1,57.5,57.9,58.4,58.9,59.6,60.1,60.9,61.7,62.3,63,63.7,64.4,65.1,65.9,66.8,67.7,68.8,70.1,71.3,72.7,74.1,75.7,77.2,78.8,80.4,82,83.8,85.6,87.5,89.4,91.3,93.5,95.6,98
"14","6","        Private","A024RC1",14.6,15.7,16.6,17.4,18,18.6,19.1,19.6,20,20.4,20.7,21,21.2,21.6,22.2,23.1,24.1,24.9,25.6,26,26.3,26.6,26.9,27.3,27.7,28,28.4,28.7,29,29.3,29.6,29.9,30.2,30.7,31.3,32.1,33,34,34.8,35.6,36.3,37,37.6,38.2,38.7,39.2,39.6,40.1,40.5,40.9,41.1,41.3,41.4,41.5,41.6,41.9,42.2,42.5,42.8,43.1,43.5,43.9,44.3,44.7,45.1,45.6,46.1,46.7,47.2,47.9,48.6,49.4,50.3,51.3,52.3,53.5,54.7,55.9,57.1,58.3,59.6,60.9,62.2,63.6,65.1,66.6,68.2,69.8,71.6,73.4
"15","7","          Domestic business","W276RC1",12.3,13.2,14,14.6,15.2,15.7,16.1,16.5,16.9,17.2,17.5,17.7,17.9,18.2,18.7,19.4,20.3,21,21.5,21.9,22,22.3,22.5,22.8,23.2,23.5,23.8,24,24.3,24.5,24.7,25,25.1,25.5,26,26.7,27.5,28.3,29,29.7,30.3,30.9,31.5,32,32.4,32.9,33.3,33.6,34,34.3,34.4,34.5,34.5,34.5,34.7,34.8,35,35.3,35.5,35.8,36.1,36.4,36.8,37.1,37.5,37.8,38.3,38.7,39.1,39.7,40.3,40.9,41.7,42.5,43.3,44.3,45.3,46.3,47.4,48.4,49.5,50.6,51.7,52.9,54.1,55.4,56.7,58.1,59.5,61
"16","8","            Capital consumption allowances","Y0000C1",9.1,9.8,10,10.6,11.1,11.5,12,12.5,13.1,13.4,13.7,14,14.4,14.6,15.2,15.5,16.2,16.9,17.4,18,18.3,18.6,18.9,19.4,19.9,20.6,21.3,22,22.2,22.7,23.1,23.8,24.4,25.1,26.4,26.7,27.5,27.8,27.9,28.3,29.1,29.8,30.6,31.3,31.3,31.2,31.6,32,32.6,33.4,33.5,34.1,34.7,35,35.4,35.6,36,36.5,36.8,37.1,40.2,40.6,41.2,41.6,42.1,43.1,43.7,44.5,45.3,45.6,46.4,46.9,47.9,48.9,50,50.6,51.7,52.9,53.8,55.1,55.9,57.1,58.5,59.6,60.7,62,63.1,64.6,66.6,68.1
"17","9","            Less: Capital consumption adjustment","Y0004C1",-3.1,-3.4,-3.9,-4,-4.1,-4.2,-4.1,-4,-3.9,-3.8,-3.8,-3.7,-3.4,-3.6,-3.5,-3.9,-4.1,-4.1,-4.1,-3.9,-3.8,-3.7,-3.6,-3.4,-3.3,-2.9,-2.5,-2,-2.1,-1.8,-1.6,-1.2,-0.7,-0.4,0.4,0.1,0,-0.5,-1.1,-1.4,-1.3,-1.1,-0.8,-0.7,-1.1,-1.6,-1.7,-1.7,-1.4,-0.9,-0.9,-0.4,0.2,0.4,0.7,0.8,1,1.2,1.2,1.3,4,4.2,4.4,4.5,4.6,5.3,5.4,5.8,6.1,6,6.2,6,6.2,6.4,6.7,6.3,6.4,6.5,6.5,6.7,6.4,6.5,6.8,6.7,6.6,6.6,6.4,6.5,7.1,7
"18","10","          Households and institutions","W279RC1",2.3,2.5,2.6,2.8,2.9,2.9,3,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.5,3.6,3.8,3.9,4.1,4.2,4.2,4.3,4.4,4.4,4.5,4.6,4.6,4.7,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.7,5.8,5.9,6,6,6.1,6.2,6.2,6.3,6.4,6.4,6.5,6.6,6.7,6.8,6.9,6.9,7,7.1,7.1,7.2,7.2,7.3,7.4,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.4,8.5,8.7,8.8,9,9.2,9.4,9.5,9.7,9.9,10.1,10.3,10.5,10.7,10.9,11.2,11.5,11.8,12.1,12.4
"19","11","        Government","A264RC1",11,10.6,10.5,10.3,9.9,9.6,9.6,9.3,9.2,8.8,8.4,8.2,7.9,7.8,7.8,8.1,8.4,8.5,8.7,8.9,9.1,9.4,9.7,10,10.2,10.4,10.5,10.6,10.8,11.1,11.2,11.5,11.5,11.5,11.8,12.1,12.4,12.7,12.9,13.1,13.3,13.5,13.7,13.8,13.6,13.7,14,14.1,14.3,14.4,14.5,14.7,14.8,14.9,15.1,15.2,15.3,15.5,15.6,15.8,16.1,16.3,16.6,17,17.2,17.4,17.5,17.7,17.9,18,18.1,18.3,18.5,18.8,19,19.2,19.4,19.8,20.1,20.5,20.8,21.1,21.6,22,22.5,22.8,23.1,23.6,24.1,24.5
"20","12","          General government","A265RC1",10.6,10.2,10.1,9.8,9.5,9.2,9.1,8.8,8.7,8.3,8,7.7,7.4,7.3,7.3,7.6,7.8,7.9,8.1,8.3,8.5,8.7,9.1,9.3,9.5,9.8,9.8,9.9,10.1,10.3,10.5,10.7,10.7,10.8,11.1,11.3,11.6,11.8,12,12.2,12.4,12.6,12.8,12.8,12.6,12.8,13,13.1,13.3,13.4,13.5,13.6,13.7,13.9,14,14.1,14.2,14.3,14.4,14.6,14.9,15,15.4,15.7,15.9,16.1,16.2,16.4,16.5,16.6,16.7,16.9,17,17.3,17.5,17.6,17.8,18.2,18.5,18.8,19.1,19.4,19.8,20.2,20.6,20.8,21.1,21.6,21.9,22.4
"21","13","          Government enterprises","A266RC1",0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2,2,2.1,2.2
"22","14","Equals: Net national product","A027RC1",212.5,215.2,218.5,227.9,233.8,240.5,246.5,247.6,242.1,238.3,239.8,237.1,247.3,256.5,273.5,283.7,298,305.1,311.2,315.1,317.8,318.2,323.9,336.1,342.4,345.5,344,338.4,337.5,337.6,342,350.4,363.3,371.1,378.8,384.3,385.6,390.4,394.5,402,410.6,412,418.3,412.1,404.3,407.8,420.7,433.3,443.3,455.8,456.5,460.3,473.7,472.8,475.4,469.9,474.1,484.5,494.6,507.2,520.1,527.1,533.2,536.4,544.7,552.5,564.7,573.7,589.6,597.9,608.8,612.6,632.3,643.7,659.1,679.6,701.7,709.3,720.9,733.4,742.6,745.4,758.9,772.7,798.1,820.7,834.2,849,871.6,884.3
"23","15","Less: Statistical discrepancy","A030RC1",0.8,2.6,2.4,3.3,0.7,-1.3,-0.4,-1.1,0.6,1.2,2.3,3.2,3.7,1.3,0.6,-0.1,2.5,3.9,5,2.9,3.5,2.2,2.1,3.2,3.4,3.5,3.3,5.6,2.9,2.7,3.7,3.1,4,1.7,2.4,1.4,-1,-1.8,-1.9,-2.5,-0.5,-1.4,0.9,0.6,-1.7,0.4,2.8,2.4,0.6,-1.5,2.3,0.6,0.3,-1.1,0.4,-3.4,-1.2,-0.4,0.3,-1,1,1.5,1.5,-2.8,-1.1,-2.8,0.9,-0.3,3.1,1.7,1.2,-2.9,-1.5,-1,3.3,5.2,7.5,5.5,5.8,5.9,9,4.9,3,1.1,5.8,7.7,2.7,1.1,6.6,3.3
"24","16","Equals: National income","A032RC1",211.8,212.7,216.1,224.6,233,241.8,246.9,248.7,241.5,237.1,237.5,233.9,243.6,255.2,272.8,283.8,295.5,301.1,306.2,312.3,314.3,316,321.7,332.9,339,342,340.8,332.7,334.5,334.8,338.3,347.3,359.3,369.4,376.4,382.9,386.6,392.1,396.3,404.5,411.1,413.4,417.4,411.5,406,407.5,417.9,431,442.7,457.3,454.2,459.8,473.5,473.8,475.1,473.3,475.3,484.9,494.3,508.2,519,525.6,531.7,539.2,545.8,555.3,563.8,574.1,586.5,596.2,607.6,615.5,633.8,644.8,655.8,674.4,694.1,703.8,715.1,727.5,733.6,740.5,755.9,771.6,792.2,813,831.6,848,864.9,881
"25","17","Less: Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",20.7,23.9,23.8,25.5,29.4,31.2,30.7,32.3,30.7,28.3,29.5,26.2,29.8,33.4,38.1,41.3,40.2,40.2,40.7,42.1,39.5,37.4,37.1,41.3,42,41.2,40.2,33.1,35.5,36.8,38.7,42.4,47.5,48.7,49.4,50.4,48.4,48.2,47.4,48.1,49.7,48.5,48,44.3,38.4,39.2,43.3,49,52.6,57.6,52.3,52.8,57,53.2,52.3,49.9,48.9,53.2,55.4,59.3,61.7,61,62.2,64.5,64.7,68.1,69.5,71,75.2,75.1,76.3,75.4,83.3,85.4,86.7,90.7,93.9,92.8,91.1,92.4,89.6,88.5,89.7,92.9,93.9,97.7,97.9,99.4,99.4,96.4
"26","18","      Taxes on production and imports less subsidies \1\","W254RC1",17.4,17.5,17.9,18.9,18.8,19.6,19.6,19.6,20,20.7,21,20.9,21.1,21.9,23.9,22.6,24.2,23.2,23.9,24.6,25.6,26.5,26.9,27.8,28.4,29.1,29,29.4,29,28.6,28.9,29.6,30.4,31.3,32.3,32.7,33.1,33.4,34.1,34.9,35.3,35.8,36.4,36.2,36.2,36.5,36.8,37.8,38.6,39.4,40.6,41.4,42.7,43.1,43.8,44.1,44.2,44.5,45.1,46.1,47.1,47.5,48.7,49.1,50,50.8,51.6,52.3,52.9,53.9,55.2,56.1,57.3,57.4,57.5,58.7,57.8,58.9,59.7,60.7,61.6,63,65.1,66.9,69.3,71.2,73.5,74.9,76.2,78.4
"27","19","      Contributions for government social insurance, domestic","A061RC1",6.3,6,5.2,4.8,4.8,4.6,4.6,4.5,5.2,5.1,4.8,4.5,5.3,5.3,5.5,5.8,6.6,6.7,6.6,6.7,6.9,6.8,6.9,7.1,7.1,7.1,7.2,7.1,8.1,8,8.1,8.1,8.9,9,9.2,9.3,9.9,10,10,10.1,11.4,11.4,11.5,11.3,11.3,11.3,11.4,11.5,13.7,13.9,13.9,13.9,16.4,16.5,16.5,16.4,16.7,16.9,17.1,17.3,18.9,19.1,19.2,19.3,21.3,21.5,21.8,22,22,22.3,22.5,22.7,22.9,23.2,23.6,24,30.4,30.8,31.9,32.2,33.6,34.6,35.2,36,37.6,38.4,39.1,39.7,42.9,43.7
"28","20","      Net interest and miscellaneous payments on assets","W255RC1",2.3,2.4,2.6,2.6,2.5,2.6,2.6,2.6,2.7,2.8,2.9,3,3.1,3.2,3.2,3.2,3.4,3.6,3.8,3.8,3.9,4,4.1,4.2,4.5,4.6,4.8,5,5.2,5.5,5.7,6,6.1,6.3,6.2,6.3,6.6,6.8,7.1,7,7.7,8,8.2,8.2,9,9.5,9.8,9.9,8.8,9.8,9.8,10.1,10.2,10.1,10.7,11.2,11.6,12.2,12.6,13.4,13.1,14.1,14.6,15,14.6,14.8,15.3,15.8,16.6,17.1,17.9,18.1,19,19.5,20,20,21.1,21.9,22.7,23.8,24.7,25.5,25.8,26.2,26.6,27,27.1,27.7,30.5,32.1
"29","21","      Business current transfer payments (net)","B029RC1",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.3,1.2,1.2,1.3,1.3,1.2,1.1,1,1,1,1,1.2,1.3,1.5,1.6,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2,2,2,2.1,2.2,2.2,2.3,2.3,2.6,2.6,2.7,2.8,2.9,2.9,3.3,3.4,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.6,3.7,3.8,3.9,4.1,4.3,4.4,4.6,4.9,5
"30","22","      Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,1,1.1,1,1,0.9,0.9,0.8,0.8,0.8,1,0.9,0.9,0.9,0.9,1.3,1.3,1.4,1.5,1.4,1.4,1.1,1.5,1.4,1.5,1.3,1.2,1.1,1,0.8,1,0.9,1.1,1,0.7,1.2,1.2,1.2,1.1,0.9,1
"31","23","      Wage accruals less disbursements","A062RC1",0,0,0,0,0.1,0.1,-0.2,0.1,0.1,-0.3,0,0,0,0,0,0.1,0.2,-0.1,0.8,-0.6,0.1,0.1,-0.3,0,0,-0.1,-0.1,-0.1,0,0,0,0,0.1,0.5,-0.6,0,0,0,0,0,0,0,0,0,0.6,0.6,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","24","Plus: Personal income receipts on assets","W210RC1",13.4,13.8,14.2,14.2,14.9,14.7,15.2,15.6,15.7,15.9,16,16.5,17.7,18,19,19.6,18.6,19.1,19.2,19.5,19.1,19.8,20,20.5,20.6,21.7,21.9,22.1,23,22.7,23.4,23.9,24.7,25.2,26.1,26.7,27.4,27.9,28.3,29.2,29.8,30.5,31,31.1,31.3,31.8,32.1,32.2,33,34,35.1,36.3,37.4,37.5,38.1,38.5,38.7,39.5,40.5,41.9,42,43.6,44.9,45.9,46.1,47.1,48.4,49.9,51.5,53.1,54.6,55.8,57.1,58.8,60.3,61.4,62.6,63.6,64.5,65.5,67.5,68.7,69.8,70.1,72.4,74.7,76,77.6,80.5,83
"33","25","      Personal current transfer receipts","A577RC1",9.7,9.6,13.5,10.5,10.7,10.4,10.1,9.8,10.5,11,11.5,11.8,20.2,13.8,10.8,11.1,11.1,11.4,11.6,11.6,11.4,11.5,12.3,12.3,12.4,12.3,12.5,12.9,13.5,14.1,14.5,15.2,15.3,15.6,15.9,16,16.3,16.6,17.1,17.3,18.2,19.4,19.6,20.8,22.1,23.9,24.2,23.7,24,23.9,24.2,24.8,24.6,25.3,26,27,28.8,29.7,29.9,29.4,30,30,30.4,31.2,32.6,31.7,32,32.5,33.6,33.2,33.5,33.7,35,34.6,38.1,36.9,37.8,37.9,39.6,43.1,46.1,47.2,48.7,50,52.4,55.9,57.3,58.7,60.4,61.5
"34","26","Equals: Personal income","A065RC1",187.5,185.5,193.6,196.9,202.1,208.1,214.2,214.3,208.2,206.8,206.1,206.8,221.5,222.3,231.1,240.5,249.5,256.8,260,265.3,267.4,271.3,278.1,284.1,288.8,292.8,292.9,292.1,292.2,291.8,293.9,299.3,305.1,313,320.4,325.4,330.8,336.6,341.5,349.1,353.1,357.6,362,361.4,362,364.2,372.5,377,383.4,392,394.1,399.9,406.4,411,413.2,414.5,418.6,424.6,431.6,440.4,447.1,454.5,459.1,465,470.1,474.8,481.9,491.2,500.6,509.8,519.1,527.8,538.4,547.6,561.5,574.6,586.7,596.3,609.5,622.6,633.1,640.2,653.8,665.1,684.3,703.8,721.7,736.9,751,769.1
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","27","  Gross domestic income","A261RC1",236.4,237.8,242.1,251,259.6,268.6,274.1,276.2,269.4,265,265.4,262,271.5,283.2,301.3,313.5,326.5,332.7,338.5,345,347.7,350,356.4,368.2,374.9,378.5,377.8,370.2,372.3,373.2,377.1,386.3,398.6,409.2,417,424.6,429.3,435.9,441.1,450.6,457.7,460.5,465.5,460.9,455.7,457.6,468.9,482.6,494.9,510,507,512.7,526.7,527.2,528.6,527,529.2,539.5,549.2,563.6,575,581.8,588.5,596.1,603.6,613.9,623,633.8,646.5,657.2,669.3,678.5,697.2,709.2,721.9,742.3,763.2,774.4,787.3,801.1,808.7,817.4,834,851.6,874,896.4,916.6,935.1,954.2,972.8
"37","28","  Gross national income","A023RC1",237.3,238.9,243.2,252.3,261,270.1,275.6,277.6,270.7,266.3,266.6,263.1,272.7,284.5,302.9,315.1,328,334.6,340.5,347.2,349.7,352,358.3,370.1,376.9,380.5,379.6,372.1,374.3,375.2,379.1,388.7,401,411.6,419.5,427.1,432.1,438.8,444,453.1,460.7,463.9,468.7,463.4,458.3,460.3,471.5,485.2,497.5,512.6,509.9,515.7,529.6,530.2,531.8,530.4,532.7,542.9,552.7,567.2,578.6,585.8,592.6,600.8,608.1,618.3,627.5,638.4,651.6,662.1,674.3,683.2,702.6,714.8,727.1,747.1,768.2,779.5,792.3,806.3,814,822.5,839.7,857.2,879.8,902.4,922.9,941.4,960.6,979
"38","29","  Gross national factor income \2\","X023RC1",219.3,220.7,224.6,232.6,241.4,249.7,255.3,257.3,250,245,244.9,241.4,250.9,261.8,278.2,291.5,302.7,310.1,315.4,321.3,322.8,324.2,330.2,341.1,347.2,350.1,349.4,341.6,344.3,345.7,349.3,358.1,369.4,379,385.7,392.9,397.3,403.6,408.1,416.4,423.6,426.2,430.4,425.2,420.2,422,433,445.7,456.2,470.5,466.5,471.5,484.1,484.3,485.2,483.6,485.8,495.7,504.8,518,528.4,535.2,540.7,548.4,554.3,563.6,571.8,582,594.4,603.9,614.6,622.1,640.3,652.3,664.7,683.6,705.7,716,728.3,741.2,747.9,754.7,769.9,785.6,805.2,825.7,843.8,860.9,878.5,894.6
