"","Table 6#8B# Persons Engaged in Production by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"23","16","        Furniture and fixtures","J4616C0",359,333,379,371,373,380,350,373,380,378,353,373,372,355,375,377,391,416,448,440,454,463
"24","17","        Stone, clay, and glass products","J4617C0",576,536,567,605,585,595,565,594,608,597,561,600,605,583,592,602,614,633,650,636,641,663
"25","18","        Primary metal industries","J4618C0",1234,1087,1188,1299,1229,1310,1168,1270,1304,1298,1086,1117,1154,1081,1105,1114,1163,1239,1282,1255,1252,1288
"26","19","        Fabricated metal products","J4619C0",1104,1001,1101,1210,1235,1341,1218,1280,1301,1315,1163,1222,1234,1196,1258,1275,1306,1391,1513,1558,1607,1666
"27","20","        Machinery, except electrical","J4620C0",1432,1234,1259,1514,1593,1614,1456,1480,1589,1592,1363,1467,1481,1431,1508,1545,1617,1760,1939,1985,1975,2036
"28","21","        Electric and electronic equipment","J4621C0",977,841,964,1088,1173,1304,1173,1219,1291,1314,1190,1351,1425,1435,1537,1511,1486,1596,1843,1894,1910,1963
"29","22","        Motor vehicles and equipment","J4622C0",758,734,798,837,780,901,767,876,786,757,598,668,701,630,688,731,750,831,866,819,873,909
"30","23","        Other transportation equipment","J4623C0",473,459,454,699,1001,1147,1038,991,1056,1127,1014,1020,942,926,987,997,972,1005,1177,1246,1255,1219
"31","24","        Instruments and related products","J4624C0",273,250,273,323,352,384,362,367,390,403,377,397,404,397,408,412,410,439,494,514,532,548
"32","25","        Miscellaneous manufacturing industries","J4625C0",441,405,423,425,417,446,421,422,425,407,381,396,399,389,402,401,408,429,447,443,446,452
"33","26","      Nondurable goods","J4626C0",7370,7050,7191,7329,7259,7352,7059,7143,7167,7142,6823,7020,7062,6981,7119,7127,7185,7444,7723,7831,7970,8105
"34","27","        Food and kindred products","J4627C0",1840,1805,1800,1829,1813,1800,1761,1745,1747,1738,1671,1685,1705,1687,1680,1667,1669,1694,1711,1730,1728,1743
"35","28","        Tobacco manufactures","B4628C0",100,102,97,105,104,104,101,99,95,92,90,90,90,87,87,86,88,86,83,84,82,79
"36","29","        Textile mill products","J4629C0",1333,1190,1247,1224,1144,1135,1022,1027,1002,959,891,919,896,866,879,866,867,907,947,949,980,991
"37","30","        Apparel and other textile products","J4630C0",1233,1200,1215,1214,1219,1235,1165,1187,1181,1168,1107,1165,1177,1155,1205,1217,1234,1292,1343,1341,1353,1362
"38","31","        Paper and allied products","J4631C0",471,452,483,505,498,524,523,538,555,556,543,568,577,583,599,606,608,629,657,673,682,707
"39","32","        Printing and publishing","J4632C0",804,794,796,810,812,823,823,830,841,859,843,859,884,890,903,906,922,954,988,1021,1037,1060
"40","33","        Chemicals and allied products","J4633C0",637,603,621,691,712,750,733,749,777,797,762,782,797,796,808,824,836,875,931,971,999,1028
"41","34","        Petroleum and coal products","J4634C0",220,214,216,227,231,235,232,231,229,232,219,209,202,194,189,185,180,178,179,179,183,186
"42","35","        Rubber and miscellaneous plastics products","J4635C0",323,298,321,346,347,367,339,367,375,379,353,384,386,379,424,433,446,485,529,536,575,615
"43","36","        Leather and leather products","J4636C0",409,392,395,378,379,379,360,370,365,362,344,359,348,344,345,337,335,344,355,347,351,334
"44","37","    Transportation and public utilities","A4637C0",4318,4135,4172,4377,4390,4438,4226,4283,4389,4377,4099,4083,4100,3993,3989,3976,4008,4108,4240,4330,4394,4488
"45","38","      Transportation","J4638C0",3039,2847,2899,3063,3046,3054,2841,2882,2936,2900,2661,2679,2682,2586,2590,2578,2592,2643,2722,2766,2807,2822
"46","39","        Railroad transportation","B4639C0",1503,1349,1373,1432,1382,1359,1205,1196,1183,1117,952,917,881,807,788,763,746,730,719,689,661,637
"47","40","        Local and interurban passenger transit","J4640C0",424,408,389,385,380,372,350,332,324,322,308,300,302,298,293,290,287,290,294,302,306,301
"48","41","        Trucking and warehousing \2\","B4641C0",655,659,720,785,811,851,835,883,930,939,915,962,981,968,997,1010,1025,1073,1113,1127,1161,1193
"49","42","        Water transportation","J4642C0",257,238,228,255,249,242,225,235,244,253,222,226,226,219,216,214,220,218,232,234,233,218
"50","43","        Transportation by air \2\","J4643C0",91,89,88,97,111,117,119,128,147,163,163,170,186,189,191,195,205,221,247,289,320,341
"51","44","        Pipelines, except natural gas","B4644C0",30,29,27,28,29,28,27,26,26,26,25,24,23,22,21,20,19,19,18,18,18,18
"52","45","        Transportation services","J4645C0",79,75,74,81,84,85,80,82,82,80,76,80,83,83,84,86,90,92,99,107,108,114
"53","46","      Communication","A4646C0",742,739,720,750,776,804,802,814,860,879,828,801,809,798,794,793,810,846,892,926,938,1004
"54","47","        Telephone and telegraph","J4647C0",48,51,54,59,61,65,71,73,76,79,80,82,85,87,88,90,93,98,103,109,113,118
"55","48","        Radio and television","J4648C0",694,688,666,691,715,739,731,741,784,800,748,719,724,711,706,703,717,748,789,817,825,886
"56","49","      Electric, gas, and sanitary services","J4649C0",537,549,553,564,568,580,583,587,593,598,610,603,609,609,605,605,606,619,626,638,649,662
"57","50","    Wholesale trade","J4650C0",2839,2783,2818,2980,3056,3103,3092,3164,3307,3318,3295,3351,3421,3419,3448,3480,3555,3648,3782,3849,3920,4041
"58","51","    Retail trade","J4651C0",7851,7839,7971,8302,8409,8483,8379,8593,8820,8867,8775,8911,9075,8934,8985,9019,9294,9565,9833,9973,10259,10596
"59","52","    Finance, insurance, and real estate","J4652C0",1855,1868,1941,2045,2141,2247,2349,2433,2525,2594,2628,2668,2754,2784,2836,2909,2969,3075,3166,3332,3493,3653
"60","53","      Banking","J4653C0",407,411,419,448,473,497,513,530,555,587,597,614,646,662,680,705,725,751,783,840,889,956
"61","54","      Credit agencies other than banks","J4654C0",110,117,131,142,155,168,180,197,217,223,224,235,254,265,276,294,306,321,329,338,341,352
"62","55","      Security and commodity brokers","J4655C0",66,64,69,74,78,80,84,96,105,106,113,124,133,145,150,141,143,147,159,178,214,251
"63","56","      Insurance carriers","B4656C0",495,519,546,572,603,645,675,702,734,778,800,795,807,804,802,823,839,866,876,923,954,956
"64","57","      Insurance agents, brokers, and service","J4657C0",162,171,181,197,212,226,248,246,250,257,264,265,275,279,285,290,297,307,314,327,333,344
"65","58","      Real estate","J4658C0",603,574,584,600,606,617,633,645,646,623,611,615,615,603,616,629,632,652,670,690,720,746
"66","59","      Holding and other investment offices","B4659C0",12,12,11,12,14,14,16,17,18,20,19,20,24,26,27,27,27,31,35,36,42,48
"67","60","    Services","J4660C0",7707,7688,7911,8033,8006,8097,8019,8382,8720,9006,9158,9430,9817,10005,10310,10597,10920,11306,11874,12443,12821,13313
"68","61","      Hotels and other lodging places","J4661C0",634,605,606,630,645,665,653,634,642,656,649,666,692,701,722,758,797,835,875,911,944,996
"69","62","      Personal services","J4662C0",1243,1216,1209,1210,1200,1187,1173,1168,1185,1221,1198,1185,1222,1229,1241,1268,1289,1318,1373,1394,1390,1394
"70","63","      Business services","J4663C0",382,383,395,422,451,481,496,542,604,653,679,755,819,870,942,995,1071,1162,1284,1402,1491,1624
"71","64","      Auto repair, services, and parking","B4664C0",340,325,312,305,307,305,301,311,324,336,351,361,391,398,404,423,440,450,465,487,492,504
"72","65","      Miscellaneous repair services","J4665C0",266,249,248,264,272,262,244,253,261,270,262,258,264,275,275,284,289,295,302,301,305,315
"73","66","      Motion pictures","J4666C0",230,228,224,219,212,202,197,192,187,181,168,165,162,160,154,154,155,160,166,174,176,182
"74","67","      Amusement and recreation services","J4667C0",292,288,283,276,269,271,267,273,278,281,285,294,310,314,324,335,342,343,351,378,389,404
"75","68","      Health services","J4668C0",1132,1160,1222,1272,1305,1354,1402,1455,1520,1600,1675,1730,1777,1803,1856,1929,2012,2123,2286,2450,2612,2796
"76","69","      Legal services","J4669C0",217,227,237,242,244,249,252,253,257,262,271,292,304,308,321,322,336,343,362,373,373,390
"77","70","      Educational services","J4670C0",462,469,473,470,469,477,485,505,519,557,583,595,623,654,692,724,743,794,839,889,927,964
"78","71","      Social services and membership organizations","A4671C0",678,717,737,766,782,816,840,886,927,966,1004,1107,1217,1285,1360,1391,1430,1477,1573,1670,1731,1779
"79","72","        Social services","B4672C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","73","        Membership organizations","J4673C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","74","      Miscellaneous professional services","J4674C0",257,250,255,290,326,345,348,362,409,434,419,430,439,444,461,482,503,530,572,622,664,730
"82","75","      Private households","B4675C0",1574,1571,1710,1667,1524,1483,1361,1548,1607,1589,1614,1592,1597,1564,1558,1532,1513,1476,1426,1392,1327,1235
"83","76","  Government","A4376C0",6744,7207,7432,9267,10043,10013,9855,9745,9840,10035,10077,10343,10621,10983,11391,11599,11939,12316,13293,14006,14456,14716
"84","77","    Federal","A4377C0",3460,3684,3783,5535,6175,5989,5669,5393,5270,5263,5062,5010,5055,5157,5409,5351,5360,5389,5988,6450,6531,6484
"85","78","      General government","A4378C0",2922,3114,3230,4957,5555,5390,5070,4796,4667,4641,4429,4367,4394,4479,4721,4660,4663,4675,5206,5630,5700,5640
"86","79","        Civilian","B4379C0",1378,1397,1417,1753,1843,1760,1643,1651,1678,1674,1632,1656,1704,1705,1764,1782,1767,1787,1889,2023,2039,2019
"87","80","        Military \3\","B4380C0",1544,1717,1813,3204,3712,3630,3427,3145,2989,2967,2797,2711,2690,2774,2957,2878,2896,2888,3317,3607,3661,3621
"88","81","      Government enterprises","B4381C0",538,570,553,578,620,599,599,597,603,622,633,643,661,678,688,691,697,714,782,820,831,844
"89","82","    State and local","A4382C0",3284,3523,3649,3732,3868,4024,4186,4352,4570,4772,5015,5333,5566,5826,5982,6248,6579,6927,7305,7556,7925,8232
"90","83","      General government","A4383C0",3073,3302,3415,3486,3584,3732,3893,4052,4268,4467,4695,4958,5178,5432,5582,5840,6155,6491,6860,7107,7455,7745
"91","84","        Education","B4384C0",1350,1420,1463,1506,1576,1650,1726,1824,1925,2027,2131,2384,2530,2650,2743,2930,3125,3339,3573,3729,3928,4112
"92","85","        Other","B4385C0",1723,1882,1952,1980,2008,2082,2167,2228,2343,2440,2564,2574,2648,2782,2839,2910,3030,3152,3287,3378,3527,3633
"93","86","      Government enterprises","B4386C0",211,221,234,246,284,292,293,300,302,305,320,375,388,394,400,408,424,436,445,449,470,487
"94","87","Rest of the world","A4387C0",7,-15,-4,-55,-68,-78,-127,-138,-142,-133,-128,-134,-143,-125,-91,-72,-63,-21,-15,-15,-16,-22
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","1. Equals the number of full-time equivalent employees plus the number of self-employed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","persons.  Unpaid family workers are not included.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2. Beginning with 1987, reflects the reclassification of air couriers from trucking and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","3. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
