"","Table 4BU1# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33"
"12","3","A     Wood product manufacturing","KS321M0",3464,3475,3644,3744,3572,3816,3869,3907,4030,3887,3858,4119,4021,3979,4048,4049,3999,4062,3960,3979,4101,3975,3846,3748,3818,3817,3678,3871,3899,3841
"13","4","A     Nonmetallic mineral product manufacturing","KS327M0",3202,3251,3260,3319,3259,3259,3349,3330,3366,3338,3387,3442,3413,3496,3508,3521,3543,3511,3496,3467,3442,3406,3339,3297,3311,3299,3262,3124,3147,3148
"14","5","A     Primary metal manufacturing","KS331M0",6373,6391,6561,6703,6845,7265,7587,7632,7602,7411,7420,7593,7713,7675,7504,7264,7428,7252,6964,6857,6617,6574,6684,6700,6731,6245,5844,5579,5806,6298
"15","6","A     Fabricated metal product manufacturing","KS332M0",10761,10718,10856,11139,11179,11663,11700,11540,11364,11552,11854,11923,11807,12189,12204,12247,12167,12081,11923,11742,12172,11824,11971,11737,11624,11424,11265,11144,11260,11291
"16","7","A     Machinery manufacturing","KS333M0",11720,12026,12210,12431,12814,12937,13087,12617,13220,12994,12986,13276,12740,13436,13781,14014,14085,13784,13250,13045,12637,11972,11430,11281,10715,10582,10019,9861,9790,9855
"17","8","A     Computer and electronic product manufacturing","KS334M0",16019,16819,17829,18288,18865,18851,19019,18465,19451,19757,20366,21856,22979,25115,26401,27845,28042,27281,25764,24420,23439,22397,22002,21459,20524,19672,18845,18788,18797,18958
"18","9","A     Electrical equipment, appliance, and component manufacturing","KS335M0",4712,4970,5048,5077,5220,5193,5113,5163,5135,5172,5270,5312,5359,5316,5711,5829,5887,5893,5684,5553,5335,5220,5069,4914,4902,4834,4677,4720,4512,4455
"19","10","A     Transportation equipment manufacturing","KS336M0",16260,16488,17185,16998,18599,19306,19199,19501,19622,19856,19608,19856,19017,19354,19470,20036,19338,18634,18326,18278,18417,18336,17971,17688,17738,17629,17201,17139,17514,17403
"20","11","D       Motor vehicle and parts manufacturing","KS3MVM0",9916,10026,9965,10021,10384,11352,11102,10899,10890,11259,11051,12056,11915,11577,11712,11391,10893,10855,10656,10359,10262,10143,10181,9930,9792,9823,9758,9712,9829,9833
"21","12","D       Other transportation equipment manufacturing","KS3OTM0",6331,6450,7217,6972,8218,7951,8096,8600,8731,8596,8557,7800,7100,7778,7758,8645,8445,7784,7676,7917,8150,8185,7789,7755,7939,7801,7442,7426,7682,7567
"22","13","A     Furniture and related product manufacturing","KS337M0",3235,3366,3361,3407,3394,3460,3439,3412,3401,3417,3410,3536,3473,3634,3687,3635,3645,3602,3554,3443,3413,3450,3324,3318,3214,3225,3111,3053,2944,3193
"23","14","A     Miscellaneous durable goods manufacturing","KS339M0",5084,5100,5170,5307,5354,5494,5651,5729,5835,5792,5872,5901,5894,5895,5982,6004,6003,6033,5865,6001,6148,6250,6304,6143,5924,5925,5936,5829,5799,5987
"24","15","A   Nondurable goods industries","KS30NM0",62011,62112,62614,62944,63941,63468,63356,62673,62973,63590,64099,65798,65938,65743,65330,63822,63900,63188,62997,62961,63439,63326,63235,62164,62216,61327,60599,58929,59026,58182
"25","16","A     Food manufacturing","KS311M0",9907,9907,10186,10143,10337,10260,10268,10327,10618,10847,10697,11095,11117,10828,10835,10690,10689,10628,10649,10604,10460,10760,10515,10230,10173,9847,9656,9408,9226,8633
"26","17","A     Beverage and tobacco product manufacturing","KS312M0",7212,7311,7256,7064,7226,7103,7238,7130,6928,6752,6669,6847,6608,6547,6599,6206,6287,6459,6421,6338,6447,6401,6423,6341,6113,6067,6136,5789,5835,5720
"27","18","A     Textile mills","KS313M0",2323,2264,2288,2308,2344,2312,2243,2196,2154,2211,2240,2267,2195,2150,2158,2154,2109,2040,2013,1909,1838,1796,1847,1786,1803,1720,1675,1622,1634,1614
"28","19","A     Textile product mills","KS314M0",1290,1286,1289,1258,1227,1222,1196,1195,1255,1276,1258,1281,1308,1416,1471,1496,1490,1457,1462,1503,1450,1476,1521,1507,1535,1529,1495,1606,1604,1627
"29","20","A     Apparel manufacturing","KS315M0",2799,2824,2802,2730,2786,2718,2632,2633,2553,2574,2620,2692,2634,2563,2545,2500,2426,2341,2225,2027,2018,1959,1923,1938,1889,1885,1823,1793,1763,1742
"30","21","A     Leather and allied product manufacturing","KS316M0",485,517,526,538,532,534,561,517,514,511,487,498,495,487,455,466,481,482,474,428,416,393,401,423,413,417,411,428,413,414
"31","22","A     Paper manufacturing","KS322M0",7965,7653,7699,7906,7947,8078,7938,7572,7720,7909,8344,8358,8498,8496,8298,8014,7883,7647,7613,7713,7832,7957,8054,8143,8121,8077,7852,7654,7376,7392
"32","23","A     Printing and related support activities","KS323M0",2416,2420,2261,2504,2409,2362,2330,2113,2083,2173,2417,2533,2651,2502,2470,2313,2353,2173,2096,2265,2155,2407,2387,2349,2240,2261,2210,2153,2133,2216
"33","24","A     Petroleum and coal product manufacturing","KS324M0",5037,4975,4877,5070,4902,4469,4616,4807,4795,4512,4695,4856,4829,5022,4668,4249,4349,4611,4762,5040,4953,4775,4721,4666,4682,4994,5418,4858,5180,5141
"34","25","A     Chemical manufacturing","KS325M0",15842,16201,16568,16417,17088,17050,17073,17002,17123,17426,17129,17676,17903,18035,18294,18289,18348,18130,18118,18162,18206,17937,18055,17641,18000,17612,17034,16588,16775,16804
"35","26","A     Plastics and rubber product manufacturing","KS326M0",6825,6840,6914,7093,7156,7187,7177,7250,7282,7326,7531,7688,7694,7686,7525,7438,7474,7251,7216,7081,7773,7561,7487,7251,7337,7007,6991,7142,7160,7007
