"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Disbursements","W269RC1",518.3,551.5,583.9,638.8,708.8,772.8,814.8,899.7,994.1,1120.4,1253.6,1373.6,1511.5,1587.7,1678.1,1844.9,1983,2104.1,2257.6,2440.6,2584.3,2743.5,2817.3,2976.5,3079.9,3234.9,3422.1,3620.5,3881,4186.2,4465.2,4832.4,4957.4,5002.9,5145.3,5431.8,5707.4,6075.5,6428.8,6566.4,6281.9
"12","5","      To persons","W270RC1",518.1,551.3,583.7,638.5,708.5,772.4,814.4,899.3,993.7,1119.9,1253.1,1373,1510.8,1587,1677.4,1844.1,1982.1,2101.4,2255.3,2438.8,2582,2740,2813.2,2971.7,3074.8,3228.9,3415.8,3614.2,3874.3,4179.2,4457.3,4824.9,4949.3,4994.5,5136.8,5422.9,5698.1,6066,6418.8,6556,6271.2
"13","6","      To the rest of the world","B4189C1",0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,2.7,2.4,1.9,2.3,3.5,4,4.8,5.1,6,6.3,6.3,6.7,7,8,7.5,8.1,8.4,8.5,9,9.3,9.5,10.1,10.4,10.8
"14","7","    Wage accruals less disbursements","A062RC1",0,0,0.6,0,-0.1,-0.5,0.1,0.1,0.1,0.3,-0.2,0,0.1,0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,-15.8,6.4,17.6,16.4,3.6,-2.9,-0.7,5.2,0,0,0,15,-15,5,1.3,-6.3,-5,5
"15","8","  Supplements to wages and salaries","A038RC1",59.3,65.7,74.4,86.4,102.5,118,134.3,159.6,186.4,214.9,245,274.2,308.3,332.1,358,400.5,429.2,455.3,479.4,514.4,548.3,585.1,623.9,673.6,714.1,750.1,760.8,771.4,792,842.3,888.8,961.2,1027.1,1113.5,1228,1282.7,1359.1,1406.9,1440.4,1506.8,1532.6
"16","9","Taxes on production and imports","W056RC1",83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.8,806.8,863.4,930.2,986.8,1027.2,1045.1,1024.7
"17","10","Less: Subsidies \1\","A107RC1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.4,54.6,52.8,60.3
"18","11","Net operating surplus","W271RC1",225.5,219.3,243.3,275.4,310.2,314.1,351,392.3,444,508.8,546.4,560.6,652.9,669.2,756.1,910.6,971,995.9,1078.1,1199,1270.6,1298.6,1317.3,1400.3,1486.7,1641.9,1770.3,1959,2134.7,2227.4,2342.6,2444.9,2479.8,2521.6,2625.4,2926.3,3236,3539.7,3437.5,3322.8,3294.9
"19","12","  Private enterprises","W260RC1",224.4,219.3,243.6,274.9,310.6,315,354.3,394.1,446.7,511,549.3,565.7,658.5,673.6,759.3,912.6,970.4,995.1,1078,1196.4,1265.6,1297,1311.6,1392,1478,1632.3,1757.2,1944.7,2120.6,2214.1,2328.5,2435.7,2475.7,2515.3,2618.5,2925,3239.4,3544,3449.3,3339.5,3308.1
"20","13","    Net interest and miscellaneous payments, domestic industries","W272RC1",33.2,39.9,44.2,48.9,57.5,72.7,83.2,85.2,99.8,116.2,141.5,183,228.9,267,283.1,327.1,352.8,387.2,395.7,418.1,474,483.6,462,428.7,407,412.1,417.5,437.2,487.3,560.2,569.9,642.5,656.9,609.6,595.5,569.3,678.9,830.1,952.1,1042.3,982.5
"21","14","    Business current transfer payments (net)","B029RC1",4.9,4.5,4.3,4.9,6,7.1,9.4,9.5,8.5,10.8,13.3,14.7,17.9,20.6,22.6,30.3,35.2,36.9,34.1,33.6,39.2,40.1,39.9,40.7,40.5,41.9,45.8,53.8,51.3,65.2,69,87,101.3,82.4,76.1,81.7,95.9,83,103.3,121.7,134
"22","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",77.5,78.5,84.7,96,113.6,113.5,119.6,132.2,146,167.5,181.1,173.5,181.6,174.8,190.7,233.1,246.1,262.6,294.2,334.8,351.6,365.1,367.3,414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1090.4,1102,1011.9
"23","16","    Rental income of persons with capital consumption adjustment","A048RC1",20.9,21.1,22.2,23.1,23.9,24,23.4,22.1,19.6,20.9,22.6,28.5,36.5,38.1,38.2,40,41.9,33.8,34.2,40.2,42.4,49.8,61.6,84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,143.7,222,274
"24","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",87.9,75.4,88.2,101.9,109.6,97.7,118.7,145.1,172.7,195.6,190.7,166,193.6,173.1,224.8,282,294.4,274.7,319.8,369.6,358.4,358.4,380.8,423.1,466.8,550.3,623.2,699.5,777.3,709.7,734.8,673.6,614.5,714.3,812,1041.9,1216.6,1351.5,1159.8,851.5,905.7
"25","18","      Taxes on corporate income","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.3,445.5,308.4,254.9
"26","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",47.9,40.6,50.1,59.6,59.6,44.9,67,79.8,98.3,110.7,100.7,78.8,109.3,106.6,144.1,184.5,195,165,189.4,228,212.4,212.9,242.2,274.4,295.7,357.1,405.4,468.1,531.9,461.3,476,408.5,411.2,522,568.3,735.8,804.3,878.2,714.3,543.1,650.8
"27","20","        Net dividends","A449RC1",20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98,126.4,144.1,156.4,160,182.3,197.6,221.6,257.3,284,309.2,295.7,348.5,330.1,351.2,392.8,488,296.5,626.9,649.7,611.5,611.6
"28","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",27.5,20.3,29.7,37.6,36.5,21.4,40.6,49.7,64.6,71.1,59.2,31.4,50.9,45.3,72.8,106,109.3,76.7,93.8,130,86,68.8,85.9,114.5,113.4,159.6,183.8,210.7,247.9,152.1,180.3,60.1,81.1,170.8,175.5,247.8,507.8,251.3,64.6,-68.4,39.2
"29","22","  Current surplus of government enterprises \1\","A108RC1",1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.7,-2.2,-2.9,-5.1,-5.6,-4.5,-3.2,-1.9,0.6,0.9,0.2,2.6,4.9,1.6,5.7,8.2,8.7,9.6,13.1,14.4,14.1,13.3,14.1,9.1,4,6.3,7,1.2,-3.5,-4.2,-11.8,-16.7,-13.2
"30","23","Consumption of fixed capital","A262RC1",99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1767.5,1849.2,1861.1
"31","24","  Private","A024RC1",74.5,81.7,89.5,97.7,109.5,127.8,150.4,165.5,186.1,212,244.5,282.3,323.2,356.4,369.5,387.5,412.8,439.1,464.5,497.1,529.6,560.4,585.4,599.9,626.4,661,704.6,743.4,789.7,841.6,907.2,986.8,1051.6,1094,1135.9,1200.9,1290.8,1391.4,1476.2,1536.9,1535.8
"32","25","  Government","A264RC1",24.7,26.6,28.2,29.4,31.3,35.9,39.9,42.6,45.6,49.5,54.4,61.8,70.1,77.1,81.6,86.9,92.7,99.4,106.6,113.9,121.8,130.8,138.9,144.5,151.6,158.2,164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,291.3,312.3,325.3
"33",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Statistical discrepancy","A030RC1",2.9,6.9,11,8.9,8,9.8,16.3,23.5,21.2,26.1,47,45.3,36.6,4.8,49.7,31.5,42.3,67.7,32.9,-9.5,56.1,84.2,79.7,110,135.8,108.8,52.5,25.9,-14,-85.3,-71.1,-134,-103.4,-22.1,16.6,-7.8,-79.7,-220.6,21.1,136.6,179.1
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
