"","Table 1#1#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"15","5","    Nondurable goods","DNDGRJ2",NA,1.22,2.26,3.77,1.92,1.2,1.26,-1.16,-1.67,-1.44,-1.27,-0.85,-0.75,0.59,3.38,2.66,4.95,1.02,-0.24,1.36,0.09,-0.44,0.18,0.43,-0.48,-0.46,0.25,0.01,0.41,0.4,-0.42,-0.5,0.03,-0.28,0.14,-0.01,0.33,0.99,1,0.32,0.92,0.52,1.05,0.37,1.61,0.18,-0.31,-0.5,0.36,0.08,0.46,0.37,-0.17,0.7,0.29,0.57,0.17,-0.7,0.19,-0.19,0.37,0.25,0.09,0.49,0.14,-0.09,0.68,0.19,0.55,-0.02,0.28,0.38,0.29,0.86,0.5,0.2,1.21,0.77,0.64,0.57,-0.03,0.14,0.94,0.6,0.92,0.84,0.85,0.94,0.66,1.23
"16","6","  Services","DSERRJ2",NA,0.6,2.53,2.44,0.7,1.07,1.61,0.41,-0.05,0.25,0.38,0.76,0.45,0.46,1.69,1.43,2.04,0.82,0.6,1.54,0.72,0.79,1.07,0.78,1.03,0.77,1.33,1.03,0.63,0.24,0.23,0.49,0.65,0.4,0.51,0.61,0.59,0.6,0.89,0.64,0.99,0.52,0.97,0.88,0.95,0.38,0.43,0.35,0.48,0.58,0.93,0.98,0.6,0.7,0.81,0.63,0.29,0.51,0.57,0.51,0.72,0.58,0.43,0.38,0.56,0.34,0.39,0.63,0.59,0.61,0.61,0.54,0.52,0.51,0.61,0.75,0.74,1.09,1.1,1.18,0.83,0.87,0.94,1.14,1.43,1.44,1.39,1.5,1.56,1.68
"17","7","Gross private domestic investment","A006RJ2",NA,2.2,1.77,0.56,0.68,1.32,1.89,0.33,-0.26,-0.18,-0.72,-0.37,-0.24,0.86,2.02,1.87,3.17,1.22,0.28,0.54,0.11,0.12,0,-0.24,0,0.28,0.43,-0.21,-0.07,0.13,-0.12,-0.02,-0.07,0.43,0.84,0.97,1.49,0.79,1.2,0.51,0.62,0.27,0.42,0.24,-0.51,0.27,0.05,0.11,-0.03,0.23,0.17,0.1,0.09,0.11,-0.05,-0.12,-0.13,0,-0.04,0.01,0.05,0.04,-0.01,-0.07,0.01,-0.13,-0.21,0.15,-0.19,0.5,0.08,0.63,0.03,0.14,0.11,0.77,-0.26,1.11,0.02,0.78,0.25,0.25,0.35,0.76,0.64,0.62,0.38,1.37,0.68,0.71
"18","8","  Fixed investment","A007RJ2",NA,2.16,1.41,1.19,0.57,1.31,1.88,0.61,-0.24,-0.22,-0.83,-0.4,-0.22,0.87,1.9,1.37,2.46,1,0.45,0.53,0.14,0.15,-0.01,-0.15,0.04,0.27,0.41,-0.2,-0.11,0.14,-0.1,-0.01,-0.07,0.41,0.8,0.91,1.43,0.77,1.17,0.49,0.6,0.27,0.41,0.23,-0.55,0.22,0.06,0.13,0.11,0.24,0.17,0.1,0.08,0.11,-0.04,-0.12,-0.14,0.03,-0.04,0.01,0.06,0.06,-0.01,-0.06,0.03,-0.1,-0.2,0.14,-0.19,0.52,0.07,0.64,0.03,0.13,0.11,0.75,-0.28,1.09,0.01,0.74,0.24,0.26,0.37,0.73,0.62,0.58,0.37,1.35,0.67,0.68
"19","9","    Nonresidential","A008RJ2",NA,1.2,0.98,0.61,0.1,1.02,1.32,0.51,-0.37,-0.17,-0.28,-0.39,-0.16,0.23,0.79,1.4,1.52,0.7,0.32,0.34,0.03,-0.03,-0.2,-0.02,0.02,0.25,0.24,-0.11,0.02,0.09,-0.35,-0.01,-0.2,0.19,0.61,0.87,1.21,0.42,1.11,0.57,0.64,0.22,0.28,0.31,-0.46,0.2,0.06,0.11,0.08,0.22,0.18,0.08,0.01,0.04,-0.04,-0.15,-0.08,-0.04,-0.04,0.03,0.02,0.06,0,-0.03,0.03,-0.02,0.03,0,0,0.18,0.01,0.21,0.05,0.1,0.13,0.23,-0.04,0.45,0.11,0.41,0.22,0.22,0.28,0.41,0.32,0.42,0.36,0.67,0.32,0.41
"20","10","      Structures","B009RJ2",NA,0.15,0.41,0.37,0.25,0.28,0.28,0.06,-0.31,-0.28,-0.16,-0.07,-0.14,-0.1,0.28,0.62,0.68,0.39,0.22,0.07,0.01,-0.13,-0.07,0.02,0.07,0.19,0.15,-0.08,-0.3,-0.23,-0.04,-0.01,0.02,0.13,0.24,0.41,0.8,0.06,0.52,0.21,0.19,0.21,0.09,-0.05,-0.46,0.09,0.05,0.04,-0.09,0.09,0.06,0.01,0.05,-0.09,-0.07,-0.1,0,0.03,0.02,0.05,0.02,0.05,-0.01,0.04,0.04,0.03,0.04,0.01,-0.02,0.16,0.02,0.23,0.03,0.11,0.04,0.32,-0.04,0.35,0.02,0.2,0.06,0.08,0.11,0.21,0.22,0.19,0.12,0.37,0.21,0.25
"21","11","      Equipment and software","B010RJ2",NA,1.06,0.57,0.24,-0.14,0.75,1.04,0.45,-0.06,0.11,-0.12,-0.32,-0.02,0.34,0.51,0.77,0.84,0.31,0.1,0.27,0.02,0.1,-0.13,-0.04,-0.05,0.05,0.09,-0.03,0.32,0.31,-0.3,0,-0.23,0.06,0.37,0.46,0.42,0.36,0.58,0.36,0.45,0,0.19,0.35,0,0.12,0.01,0.07,0.17,0.14,0.12,0.07,-0.04,0.12,0.03,-0.05,-0.08,-0.07,-0.06,-0.03,0,0.02,0.02,-0.08,-0.01,-0.05,-0.01,-0.02,0.02,0.02,-0.01,-0.02,0.03,-0.01,0.09,-0.09,0,0.1,0.09,0.21,0.16,0.14,0.18,0.2,0.11,0.23,0.24,0.3,0.12,0.16
"22","12","    Residential","A011RJ2",NA,0.96,0.43,0.58,0.46,0.28,0.56,0.1,0.13,-0.06,-0.55,-0.01,-0.06,0.64,1.11,-0.03,0.94,0.3,0.13,0.19,0.11,0.18,0.19,-0.13,0.01,0.02,0.17,-0.09,-0.12,0.05,0.25,0.01,0.13,0.22,0.19,0.05,0.22,0.36,0.06,-0.08,-0.05,0.05,0.13,-0.07,-0.09,0.02,0,0.02,0.04,0.02,-0.01,0.02,0.06,0.08,0,0.02,-0.06,0.08,0.01,-0.02,0.03,0,-0.01,-0.03,0.01,-0.08,-0.23,0.14,-0.2,0.34,0.06,0.43,-0.03,0.02,-0.01,0.53,-0.24,0.64,-0.1,0.33,0.01,0.04,0.09,0.32,0.3,0.16,0.01,0.68,0.34,0.27
"23","13","  Change in private inventories","A014RJ2",NA,0.04,0.36,-0.63,0.11,0.02,0,-0.28,-0.02,0.04,0.11,0.02,-0.02,-0.01,0.12,0.5,0.71,0.22,-0.18,0.01,-0.03,-0.03,0.01,-0.08,-0.04,0.01,0.02,-0.01,0.04,-0.01,-0.03,-0.01,0.01,0.02,0.04,0.05,0.06,0.02,0.04,0.01,0.03,0,0.01,0.01,0.04,0.05,-0.01,-0.01,-0.14,-0.01,-0.01,0.01,0.01,-0.01,-0.01,0,0.01,-0.03,0,0,-0.01,-0.02,0,-0.01,-0.02,-0.04,-0.01,0.01,0,-0.02,0.01,-0.01,0,0.01,0,0.02,0.02,0.01,0.02,0.04,0.02,-0.01,-0.02,0.04,0.02,0.03,0.01,0.01,0.01,0.03
"24","14","Net exports of goods and services","A019RJ2",NA,1.45,1.04,0.47,0.06,-0.04,-0.04,-0.09,-0.12,-0.35,-0.36,-0.33,-0.63,-0.3,-0.35,-0.47,-0.27,-0.18,0.18,0.38,0.24,0.27,0.27,0.23,0.13,0.09,0.03,-0.03,-0.16,-0.02,-0.04,0.1,0.39,0.17,0.15,0.14,0.14,0.11,0.17,0.09,0.26,0.18,0.19,0.15,0.22,0.13,0.07,0.07,-0.01,0.01,0.1,0.02,0.04,-0.05,0,-0.02,0.09,0.3,-0.01,0.16,0.23,-0.22,0.05,-0.06,-0.13,-0.11,-0.15,-0.08,-0.11,-0.1,0.19,0.18,0.33,0.01,-0.1,-0.26,0.26,-0.02,0.29,0.23,0.35,0.01,-0.03,0.11,0.03,0.29,-0.3,0.01,0.22,-0.05
"25","15","  Exports","A020RJ2",NA,2.32,1.68,0.84,0.28,-0.07,-0.24,-0.36,-0.45,-0.51,-0.42,-0.29,-0.38,0,0.15,0.33,1.14,0.74,0.6,0.33,-0.59,-0.12,-0.1,-0.1,-0.03,-0.09,-0.08,-0.07,-0.05,-0.02,0.02,0.05,0.12,0.12,0.12,0.14,0.15,0.2,0.22,0.23,0.29,0.15,0.05,-0.04,-0.21,-0.1,-0.05,-0.01,-0.15,-0.01,0.13,0.18,0.04,-0.02,0.1,-0.06,0.1,0.27,-0.03,0.15,0.04,-0.19,-0.01,0.03,0.03,-0.03,-0.05,0.02,0.05,-0.01,0.17,0.23,0.46,-0.06,0.02,-0.08,0.34,0.17,0.25,0.36,0.37,-0.02,-0.02,0.12,0.15,0.43,-0.26,0.15,0.3,0.03
"26","16","    Goods","A253RJ2",NA,2.53,1.8,0.89,0.28,-0.07,-0.25,-0.36,-0.45,-0.51,-0.41,-0.28,-0.34,-0.01,0.13,0.29,1.05,0.66,0.53,0.27,-0.57,-0.14,-0.11,-0.09,0.01,-0.07,-0.06,-0.06,-0.05,-0.02,0.01,0.03,0.09,0.1,0.11,0.13,0.15,0.18,0.19,0.19,0.21,0.1,0.01,-0.05,-0.17,-0.06,0,0.06,0.1,-0.07,0.01,0.14,-0.02,-0.02,0.08,-0.06,0.14,0.24,-0.07,0.12,-0.06,-0.21,-0.02,0.01,0.06,-0.03,-0.06,-0.01,0.09,-0.06,0.13,0.2,0.42,-0.06,0,-0.1,0.33,0.13,0.21,0.32,0.35,-0.07,-0.06,0.06,0.08,0.39,-0.29,0.1,0.24,-0.05
"27","17","    Services","A646RJ2",NA,-0.21,-0.12,-0.06,0,0,0.01,0.01,0,0,-0.01,-0.01,-0.03,0.01,0.02,0.04,0.09,0.08,0.08,0.06,-0.02,0.02,0.01,-0.01,-0.03,-0.02,-0.02,-0.01,0,0,0.01,0.01,0.03,0.02,0.02,0.02,-0.01,0.02,0.03,0.04,0.08,0.05,0.04,0.01,-0.04,-0.03,-0.05,-0.06,-0.25,0.06,0.11,0.05,0.05,0,0.03,0,-0.04,0.03,0.04,0.03,0.1,0.02,0.01,0.01,-0.03,0,0.02,0.03,-0.04,0.05,0.04,0.03,0.05,-0.01,0.02,0.02,0.01,0.04,0.04,0.04,0.02,0.05,0.04,0.05,0.08,0.04,0.03,0.06,0.05,0.08
"28","18","  Imports","A021RJ2",NA,-0.87,-0.64,-0.37,-0.23,0.03,0.21,0.27,0.33,0.15,0.07,-0.04,-0.25,-0.3,-0.5,-0.79,-1.41,-0.91,-0.43,0.06,0.82,0.39,0.37,0.33,0.16,0.18,0.11,0.04,-0.11,0,-0.06,0.05,0.27,0.05,0.03,0,0,-0.09,-0.06,-0.14,-0.03,0.03,0.14,0.19,0.42,0.23,0.11,0.07,0.14,0.02,-0.03,-0.16,0.01,-0.03,-0.11,0.04,-0.01,0.02,0.02,0.01,0.2,-0.03,0.06,-0.09,-0.16,-0.08,-0.1,-0.1,-0.16,-0.09,0.02,-0.05,-0.13,0.08,-0.12,-0.19,-0.09,-0.2,0.04,-0.13,-0.02,0.03,-0.01,-0.01,-0.12,-0.15,-0.04,-0.14,-0.08,-0.08
"29","19","    Goods","A255RJ2",NA,-0.91,-0.67,-0.39,-0.18,0.02,0.2,0.28,0.33,0.18,0.1,0,-0.25,-0.25,-0.46,-0.77,-1.37,-0.92,-0.45,0.02,0.89,0.32,0.29,0.22,0.07,0.1,0.05,0.01,-0.05,0.01,-0.06,0.05,0.21,0.04,0.03,0.02,0.03,-0.05,-0.01,-0.11,0.03,0.03,0.11,0.14,0.32,0.19,0.12,0.13,0.26,0.04,-0.01,-0.15,-0.02,-0.02,-0.04,0.08,0.03,0.04,0.01,0.01,0.19,0.02,0.09,0.02,-0.07,-0.05,-0.08,-0.07,-0.18,-0.07,0.04,-0.03,-0.04,0.1,-0.09,-0.14,-0.01,-0.2,0.04,-0.13,0.03,0.04,-0.01,0,-0.09,-0.11,0.02,-0.12,-0.08,-0.05
"30","20","    Services","B656RJ2",NA,0.03,0.03,0.02,-0.04,0.01,0,-0.01,0.01,-0.03,-0.04,-0.04,0,-0.04,-0.03,-0.02,-0.04,0.01,0.02,0.04,-0.06,0.07,0.08,0.11,0.09,0.08,0.06,0.03,-0.07,-0.01,0,0.01,0.06,0.01,0,-0.02,-0.03,-0.04,-0.04,-0.03,-0.06,0,0.03,0.05,0.1,0.04,-0.01,-0.05,-0.12,-0.02,-0.02,-0.01,0.03,-0.01,-0.07,-0.03,-0.04,-0.02,0.01,0,0.01,-0.05,-0.03,-0.11,-0.08,-0.03,-0.02,-0.02,0.02,-0.02,-0.02,-0.02,-0.09,-0.03,-0.03,-0.05,-0.07,0,0,0,-0.05,0,-0.01,-0.01,-0.03,-0.04,-0.05,-0.02,0,-0.03
"31","21","Government consumption expenditures and gross investment","A822RJ2",NA,0.16,-0.91,0.73,0.93,0.52,1.4,0.44,1.2,-0.57,-0.99,0.5,-0.61,-0.51,0.94,0.87,3.3,-0.63,0.54,1.06,-1.1,1.28,1.09,0.99,-0.71,0.14,-0.53,0.35,0.47,0.73,0.65,0.58,0.46,1.34,0.93,0.88,1.29,1.23,0.82,0.39,1.63,0.77,0.55,0.48,0.57,0.91,0.78,0.49,0.05,-0.15,-0.36,0.2,0.32,0.3,0.91,0.74,0.09,0.5,0.19,0.6,0.94,0.33,0.4,0.81,0.54,0.28,-0.09,1.42,0.56,0.38,0.87,0.18,0.56,0.37,0.84,1.22,0.6,0.74,1.58,0.64,0.64,1.05,1.11,1.49,1.13,1.13,1.28,1.5,0.76,1.58
"32","22","  Federal","A823RJ2",NA,-0.22,-1.4,-0.01,0.12,0.04,0.52,0.05,1.47,-0.12,-0.93,0.72,-0.25,-0.68,0.1,0.03,2.28,-1.12,0.04,0.71,-1.1,0.98,0.57,1.06,-0.98,0.24,-0.51,0.43,0.58,0.08,0.51,0.42,0.71,1.23,0.45,0.53,0.63,0.82,0.3,0.08,1.3,0.3,0.41,0.51,0.64,0.59,0.57,0.35,-0.36,-0.2,-0.36,0.14,-0.01,0.14,0.74,0.6,-0.11,0.14,-0.07,0.29,0.44,0.17,0.33,0.58,0.23,0.07,-0.18,1.1,0.39,0.18,0.68,0,0.16,0.15,0.5,0.9,0.07,0.07,1.01,0.11,-0.04,0.61,0.52,0.99,0.44,0.6,0.89,0.68,0.08,0.69
"33","23","    National defense","A824RJ2",NA,-0.01,-2.52,0.03,0.45,0.24,0.51,0.15,0.67,-0.19,-0.37,0.27,-0.17,-0.42,0.38,0.43,1.3,-0.78,0.13,0.76,-1.39,0.88,0.48,0.97,-0.99,0.23,-0.45,0.36,0.72,-0.03,0.58,0.39,0.49,1.13,0.61,0.52,0.62,0.71,0.18,0.14,1.19,0.17,0.38,0.4,0.56,0.42,0.58,0.26,-0.49,-0.17,-0.26,0.14,-0.03,0.14,0.51,0.54,-0.19,0.18,-0.09,0.27,0.27,0.17,0.31,0.33,0.34,0.02,-0.22,0.98,0.17,0.01,0.52,0,0.13,0.18,0.44,0.74,-0.05,0.03,0.91,0.01,-0.08,0.52,0.46,0.9,0.21,0.48,0.72,0.52,0.06,0.61
"34","24","    Nondefense","A825RJ2",NA,-0.21,1.13,-0.04,-0.33,-0.2,0,-0.11,0.8,0.07,-0.56,0.46,-0.07,-0.26,-0.28,-0.4,0.98,-0.34,-0.09,-0.05,0.3,0.1,0.09,0.09,0.01,0.01,-0.06,0.07,-0.14,0.11,-0.07,0.03,0.22,0.1,-0.16,0,0,0.12,0.12,-0.06,0.11,0.13,0.03,0.11,0.08,0.17,-0.01,0.08,0.13,-0.03,-0.11,0,0.02,-0.01,0.23,0.05,0.09,-0.04,0.02,0.03,0.17,-0.01,0.02,0.25,-0.11,0.04,0.04,0.12,0.22,0.18,0.17,0,0.03,-0.03,0.06,0.16,0.12,0.03,0.1,0.1,0.04,0.1,0.06,0.09,0.23,0.12,0.17,0.16,0.02,0.08
"35","25","  State and local","A829RJ2",NA,0.38,0.49,0.74,0.81,0.48,0.88,0.39,-0.27,-0.45,-0.06,-0.22,-0.37,0.17,0.84,0.84,1.02,0.49,0.5,0.35,0,0.3,0.52,-0.07,0.27,-0.1,-0.02,-0.08,-0.11,0.65,0.14,0.16,-0.25,0.1,0.48,0.35,0.67,0.41,0.52,0.31,0.32,0.47,0.14,-0.03,-0.08,0.32,0.21,0.14,0.41,0.06,0,0.06,0.32,0.16,0.16,0.14,0.19,0.36,0.26,0.31,0.5,0.17,0.07,0.23,0.31,0.21,0.09,0.31,0.18,0.2,0.18,0.17,0.39,0.23,0.33,0.32,0.53,0.67,0.56,0.53,0.68,0.44,0.58,0.5,0.69,0.53,0.39,0.82,0.68,0.89
