"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"21","12","  Gross national income \2\","A023RX1",4246,4272.4,4302.1,4295.6,4264.8,4264,4300.3,4255.5,4346.8,4379.6,4413.6,4470.6,4533.3,4593,4672.2,4797.5,4890.2,4919.3,4938.9,4994.4,4960.8,4937.5,4911.5,4840,4775.1,4818.3,4920.3,4977.1,5077,5110.7,5147.2,5165.7,5221.7,5351.3,5454.4,5480.8,5516.4,5674,5715.6,5771.4,5821.9,5796.3,5817.9,5857.1,5858.8,5742.3,5768.6,5900.4,5954.9,5949,6045,5978.8,5931.1,5966.8,5927.6,5897.2,5965,6066.5,6152.2,6281.5,6442.9,6563.3,6637.1,6704.1,6746.4,6790.3,6859.2,6905,6972.1,6978,7023,7062.4,7123.8,7240.2,7347,7453.8,7547.2,7629.3,7687.4,7794.3,7836.4,7815,7852.1,7871.1,7933.8,7989.1,7973.4,7963.9,7930.3,7936.1,7946.8,7983.2,8105.1,8167,8187.8,8271.7,8282.9,8365.6,8396.5,8513.3,8619.1,8718.4,8807.6,8911.7,8969.5,9015.6,9102.5,9172,9264.6,9397.9,9484.9,9612.3,9704.1,9825.5,9975.9,10087.3,10204.8,10345.3,10480.6,10584.4,10739.1,10816.7,10910.8,11109.8,11329.8,11396.2,11475.2,11479.9,11578.5,11546.8,11468.5,11482.5,11581.3,11624.5,11626.2,11692,11709.4,11840.8,11940.4,12096.2,12212.4,12303.1,12443.4,12506.8,12671.9,12752.5,12856.7,12978.1,13182.5,13220.6,13269.3,13365.6,13284.5,13298.2,13294.2,13423.7,13444.4,13345.3,13282,12980.5,12817.3,12772.2,12805.3,13010.4,13163.6,13209.2
"22","13","  Net domestic product","A362RX1",3959.3,3967,3989.6,3963.5,3951.3,3955.2,3991.5,3942.5,4059.1,4080.3,4112.4,4121.5,4200,4306.6,4346.8,4420.1,4538.8,4590.2,4556.4,4598.5,4547.7,4555.1,4499.2,4474.2,4408.1,4441.5,4521.7,4584,4697.4,4732.4,4753.3,4786.7,4843.3,4945.5,5038.6,5030.5,5042.8,5259.5,5309.5,5380.1,5381.2,5378,5413,5421.4,5432.7,5298.2,5279.2,5383.5,5504.1,5446.5,5514.2,5427.2,5316.1,5341.3,5310.3,5308.6,5379.1,5511.8,5629.6,5755.2,5874.4,5980.8,6036.6,6081.3,6134.2,6181.6,6280.4,6324.1,6383.6,6402.9,6462.9,6488.1,6518.4,6587.2,6642.3,6762.1,6792.6,6882.4,6913.1,7008.2,7072.9,7123,7177.1,7185,7260.2,7283.8,7275.2,7195.2,7148.6,7196.4,7223.7,7248.6,7331.6,7413.6,7494.6,7579.2,7584.6,7629.5,7665.2,7770.3,7846.5,7957.9,8005.4,8094.8,8105.6,8113.1,8177.7,8229.3,8279.6,8427.8,8496.3,8586.2,8645.6,8774.2,8881.4,8940.3,9016.9,9089,9204.7,9364.4,9437.6,9499.5,9614.4,9787.6,9795.6,9988.9,9976.5,10024.1,9968.3,10026.9,9982.2,10010.2,10094.8,10144.6,10190.8,10182.6,10219.4,10303.2,10489.8,10585.3,10657.4,10732.2,10809.6,10903,11013.3,11053.6,11135,11186.1,11340.8,11371.7,11359.6,11439,11450.7,11539.9,11599.7,11680.8,11643.8,11650.2,11501.9,11261.3,11093.3,11068.1,11116.7,11271.2,11384.8,11432.7
"23","14","  Net domestic income \3\","W256RX1",3929,3952.1,3979.1,3966.9,3929.2,3923.3,3958.3,3912.7,3997,4024.9,4059.1,4112.6,4172.4,4230.1,4303.8,4427.1,4510.2,4530.4,4536.8,4587.6,4537.5,4511.1,4484.2,4412.3,4347.6,4387.2,4485.7,4532.2,4633.3,4661.4,4693.7,4706.1,4750.8,4880.5,4981.8,5008.9,5030.6,5197.3,5228.1,5269.4,5311.5,5268,5267.5,5300.5,5292.2,5169,5193.6,5338.3,5384,5374,5462.6,5376.5,5322,5342.5,5306.4,5270.6,5336.4,5431.7,5512.7,5637,5802,5917.4,5984.4,6049.9,6093.6,6124.3,6193.3,6225.5,6290.8,6298.6,6331.5,6372.2,6422.4,6525.8,6627,6724.5,6803.4,6882.2,6936,7032.9,7066.8,7036.6,7061.7,7062.8,7120.1,7166.5,7149.1,7099.9,7075.7,7089.9,7098.3,7117.8,7235.6,7293,7312.9,7392.6,7384,7467,7481.1,7610.5,7699.9,7796.2,7879.3,7974.8,8009.8,8041.2,8134.5,8178,8251,8383,8460.7,8568.7,8656.6,8753.6,8897.8,8999.9,9089,9214.4,9346.1,9428.2,9549.5,9600.3,9676.7,9842.8,10048.4,10087.9,10150.2,10108,10204.5,10147.7,10081.1,10013.7,10142.2,10194.1,10168.5,10204.6,10227.1,10334.8,10424.7,10541.3,10626.2,10732.2,10849.4,10926.1,11042.6,11121.6,11202.2,11338.8,11529.3,11557,11604,11675.2,11579.5,11569.1,11489.5,11556,11571.4,11475.9,11375.5,11132.5,10965.3,10911.5,10909.3,11112.2,11236.4,11270.3
"24","15","  Net domestic purchases","W367RX1",4061.5,4063.7,4089.8,4051.9,4036.5,4034,4071.5,4022.8,4138.2,4179.1,4207.1,4220.6,4311.7,4418.3,4449.4,4525.7,4639.7,4666.5,4620.9,4647.4,4576,4584.2,4544.1,4503.8,4390.4,4406.1,4524.4,4584.1,4726.1,4775.3,4801.7,4846,4933,5028.7,5111.7,5124.9,5161.2,5334.3,5386.1,5444.8,5443.7,5442.2,5449.1,5436.8,5433,5240.3,5177.4,5315.5,5449.2,5390.1,5462.7,5391.3,5289.5,5301.7,5321.5,5321.5,5396.4,5568.6,5723.1,5868,6026.8,6148.3,6210.5,6265.1,6302.3,6384.9,6484.4,6540.6,6583.4,6627.5,6696.1,6707.4,6732.7,6799,6845.2,6961.5,6954,7015.5,7053.4,7153.1,7201.1,7223.9,7268.5,7280.1,7350,7361.5,7343.9,7233.8,7172.4,7206.9,7239.3,7264.3,7338.6,7434.6,7511.2,7612.4,7635.4,7688.7,7739.3,7854.6,7944.9,8064,8105.7,8203.9,8220.7,8225.4,8250.7,8301.7,8375.5,8531.9,8629.4,8677.6,8767,8893,9019.6,9108.3,9227.6,9343.2,9482.4,9644,9760.9,9854.6,9992.9,10174.6,10224.2,10432.3,10447.2,10503.4,10438.9,10488.5,10466.1,10508,10613.4,10685.5,10750.4,10782.1,10809.6,10920.6,11098.1,11203.3,11292.1,11419.7,11515.5,11629.5,11728.2,11762.9,11856.3,11931.6,12073.4,12104.6,12116.5,12134.2,12147.8,12237,12266.9,12239.7,12171.6,12141.6,12016.4,11732.2,11474.7,11403.2,11496.9,11592,11715,11876.3
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
