"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Industrial supplies and materials","A639RC1",11.7,13.8,12.6,13.9,19.7,29.9,29.3,31.6,33.2,38.4,53.3,68,65.7,61.8,57.1,61.9,59.4,59,67.4,84.2,95.4,101.9,106.2,105.2,102.9,115.4,141,141.3,153,143.3,142.4,166.6,155.3,153.5,168.3,199.5,227.5,267.3,316.2,386.9,293.7
"12","5","    Durable goods","B686RC1",4.7,5.6,4.3,4.7,7.4,10.3,9.7,10.3,10.3,13.1,18.6,24.8,20.8,17.6,17,17.7,16.9,17.7,21,28.8,33.4,35.8,37.2,36.9,37.7,41.4,49.9,51.1,55.3,53.9,54.3,63.6,57.1,53.5,57.3,70.1,82.2,101.3,113.9,128.6,96.2
"13","6","    Nondurable goods","B687RC1",7,8.2,8.4,9.2,12.4,19.6,19.6,21.4,22.9,25.4,34.7,43.2,44.9,44.2,40.2,44.2,42.5,41.3,46.4,55.4,62,66.2,69.1,68.3,65.3,74,91,90.2,97.7,89.3,88.1,103,98.2,100,111,129.4,145.3,166,202.3,258.3,197.5
"14","7","  Capital goods, except automotive","A640RC1",12.4,14.7,15.4,16.9,22,30.9,36.6,39.1,39.8,47.5,60.2,76.3,84.2,76.5,71.7,77,79.3,82.8,92.7,119.1,136.9,153,166.6,176.4,182.7,205.7,234.4,254,295.8,299.8,311.2,357,321.7,290.4,293.7,327.5,358.4,404,433,457.7,390.5
"15","8","    Civilian aircraft, engines, and parts","B688RC1",1.3,1.5,1.9,1.7,2.3,3.4,3.2,3.2,2.8,7.3,10.6,14.1,13.9,10.1,11.1,10.2,13.5,15.4,16.4,21.2,26.9,32.2,36.6,37.7,32.8,31.5,26.1,30.8,41.4,53.5,52.9,48.1,52.6,50.4,46.7,46.1,55.9,64.5,73,74,74.8
"16","9","    Computers, peripherals, and parts","B850RC1",0.8,1.2,1.3,1.3,1.7,2.2,2.2,2.6,3.3,4.3,5.7,7.8,8.9,9.4,11.1,14.2,14.7,15.7,18.8,24,24.1,25.9,27.3,28.8,29.3,33.3,39.7,43.7,49.4,45.2,46.7,55.5,47.6,38.6,39.9,42.8,45.5,47.6,45.5,43.9,37.7
"17","10","    Other","B689RC1",10.4,11.9,12.2,13.9,18,25.3,31.2,33.3,33.8,35.9,43.9,54.4,61.4,57.1,49.5,52.6,51.1,51.7,57.5,73.9,85.9,94.9,102.7,109.9,120.6,140.9,168.6,179.4,205.1,201,211.6,253.4,221.6,201.5,207,238.7,257,291.9,314.5,339.8,278
"18","11","  Automotive vehicles, engines, and parts","B641RC1",3.9,3.9,4.7,5.5,7,8.8,10.8,12.2,13.5,15.2,17.9,17.4,19.7,17.2,18.5,22.4,24.9,25.1,27.6,33.4,35.1,36.2,39.9,46.9,51.6,57.5,61.4,64.4,73.4,72.5,75.3,80.4,75.4,78.9,80.6,89.2,98.4,107.3,121.3,121.5,81.7
"19","12","  Consumer goods, except automotive","A642RC1",2.6,2.8,2.9,3.6,4.8,6.4,6.6,8,8.9,11.4,14,17.8,17.7,16.1,14.9,15.1,14.6,16.7,20.3,27,35.9,43.5,46.6,51.2,54.5,59.7,64.2,69.3,77,79.4,80.9,89.4,88.3,84.4,89.9,103.2,115.3,129.1,146,161.3,150
"20","13","    Durable goods","B690RC1",1.2,1.2,1.3,1.7,2.4,3.3,3.1,4,4.2,5.9,7.3,9.8,9,7.8,6.8,6.7,6.4,7.6,9.5,13.3,19.5,23.6,24.3,26.4,28.2,30.3,32.5,35,39.5,40.8,41.8,46.7,46.4,43.9,46.1,53.9,62.1,71.1,82.7,90.7,76
"21","14","    Nondurable goods","B691RC1",1.4,1.6,1.6,1.9,2.4,3.1,3.4,4.1,4.8,5.5,6.7,8,8.7,8.4,8.1,8.3,8.2,9.1,10.8,13.6,16.4,19.9,22.2,24.9,26.3,29.4,31.6,34.3,37.5,38.6,39.1,42.7,42,40.4,43.9,49.3,53.2,58,63.3,70.6,74
"22","15","  Other","A643RC1",2.9,3.6,3.8,4.4,5.2,6.4,7.1,6.9,8.5,7.3,8.2,10.1,13,11.1,13,17,19.4,18.8,24.3,28.3,29.7,26.9,28.5,28,27.8,29.4,31.5,33.4,36.4,39.1,41.4,43.1,41,43.5,39.3,41,47.5,50.8,61.3,59.4,53.2
"23","16","Exports of services \1\","A646RC1",13.7,15.2,17.4,19,21.3,25.7,29.1,31.7,35.7,41.5,46.1,55,66.1,68.2,69.7,76.7,79.8,94.3,106.2,118.1,133.8,155.5,173,187,195.7,210.6,228.6,249.3,266.7,273,292.1,308.9,296.5,302.7,314.2,363.2,399,446.6,499.7,548.3,515.3
"24","17","  Transfers under U.S. military agency sales contracts","B267RC1",4.1,4.2,5.5,5.9,5.4,5.2,6.3,5.8,7.6,8.2,7,9,10.7,12.6,12.5,10,8.7,8.5,11.1,9.3,8.5,9.9,10.7,11.9,12.7,12.2,13.9,15.7,16.1,16.8,15.2,12.8,11.8,11.3,12.5,14.8,18.1,22.7,15.8,13.3,15.6
"25","18","  Travel","B493RC1",2,2.3,2.5,2.8,3.4,4,4.7,5.7,6.2,7.2,8.4,10.6,12.9,12.4,10.9,17.2,17.8,20.4,23.6,29.4,36.2,43,48.4,54.7,57.9,58.4,63.4,69.8,73.4,71.3,74.8,82.4,71.9,66.6,64.4,74.5,81.8,85.8,96.9,110,93.9
"26","19","  Passenger fares","B533RC1",0.5,0.5,0.6,0.7,1,1.1,1,1.2,1.4,1.6,2.2,2.6,3.1,3.2,3.6,4.1,4.4,5.6,7,9,10.7,15.3,15.9,16.6,16.5,17,18.9,20.4,20.9,20.1,19.8,20.7,17.9,17,15.9,18.9,21,22,25.6,31.4,26.4
"27","20","  Other transportation","B683RC1",2.7,3.1,3.3,3.6,4.5,5.7,5.8,6.7,7.1,8.1,10,11.6,12.6,12.3,12.6,13.8,14.7,15.4,17,19.3,20.5,22,22.6,21.5,22,23.8,26.1,26.1,27,25.6,26.9,29.8,28.4,29.2,31.4,37,41.3,46.2,40.3,43.7,35.4
"28","21","  Royalties and license fees","B684RC1",2,2.3,2.5,2.8,3.2,3.9,4.4,4.5,5,6,6.3,7.2,7.4,5.6,5.8,6.2,6.7,8.1,10.2,12.1,13.8,16.6,17.8,20.8,21.7,26.7,30.3,32.5,33.2,35.6,39.7,43.2,40.7,44.5,47,56.7,64.4,70.7,84.6,93.9,89.8
"29","22","  Other private services","B720RC1",0.9,1,1.3,1.5,1.7,3,3.7,4.5,4.9,6.2,7.3,8.6,13.2,16.9,17.6,18.6,19.4,28.3,29.6,31.4,37,40.6,48.1,50.3,53.5,60.8,65,73.3,83.9,91.8,103.9,107.9,113.9,122.2,131.6,149.3,160,186,222.4,238.9,238.3
"30","23","  Other","B980RC1",1.4,1.6,1.7,1.8,2.2,2.8,3.2,3.2,3.6,4.2,5,5.4,6.2,5.2,6.6,6.9,8.1,7.9,7.7,7.5,7,8,9.5,11.1,11.4,11.7,11,11.5,12.1,11.8,11.8,12,11.9,11.9,11.5,12.1,12.4,13.1,14,17,15.8
"31","24","    Imports of goods and services","B021RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1251.4,1475.3,1398.7,1430.2,1545.1,1798.9,2027.8,2240.3,2375.7,2553.8,1964.7
"32","25","Imports of goods \1\","A255RC1",36.8,40.9,46.6,56.9,71.8,104.5,99,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1047.7,1246.5,1171.7,1193.9,1289.3,1501.7,1708,1884.9,2001.6,2148.8,1587.8
"33","26","  Foods, feeds, and beverages","B647RC1",5.2,6.1,6.4,7.3,9.1,10.6,9.6,11.5,14,15.8,18,18.6,18.6,17.5,18.8,21.9,21.8,24.4,24.8,24.9,24.9,26.4,26.2,27.6,27.9,31,33.2,35.7,39.7,41.3,43.6,46,46.6,49.7,55.8,62.1,68.1,74.9,81.7,89,81.6
"34","27","  Industrial supplies and materials, except petroleum and products","A649RC1",11.7,12.2,13.6,16,19.2,27,23.6,28.5,33.4,39.3,45,47.3,52,45.4,51.1,62.6,59.2,62.5,66.1,76.6,78.8,78.2,75.7,82.4,88.7,105,119.6,124.6,134.7,142.2,148.3,173.6,165.8,159.6,175.7,226.4,266,291.4,295.7,316.5,195.2
"35","28","    Durable goods","A820RC1",7.1,7.5,8.3,9.9,12.1,17.1,14.1,16.3,19.9,23.6,26.7,26.5,28.4,22.3,26.3,32.8,30.5,33.4,34,39.6,40.2,38.5,35.6,39.2,43.1,53.5,59.7,63,69.1,76,79.2,89.2,81,82.1,85.1,120.5,136,163.1,158.5,160.1,94.6
"36","29","    Nondurable goods","B696RC1",4.5,4.8,5.3,6.1,7,9.9,9.5,12.2,13.5,15.7,18.3,20.8,23.7,23.1,24.8,29.8,28.7,29.1,32.1,37,38.6,39.7,40,43.2,45.6,51.5,59.9,61.6,65.6,66.3,69.1,84.4,84.8,77.5,90.6,105.9,130,128.3,137.1,156.4,100.6
"37","30","  Petroleum and products","B648RC1",2.6,2.9,3.7,4.7,8.4,26.6,27,34.6,45,42.6,60.4,79.5,78.4,62,55.1,58.1,51.4,34.3,42.9,39.6,50.9,62.3,51.7,51.6,51.5,51.3,56,72.7,71.8,50.9,67.8,120.3,103.6,103.5,133.1,180.5,251.9,302.4,347.6,477.6,267.4
"38","31","  Capital goods, except automotive","A650RC1",3.4,4,4.3,5.9,8.3,9.8,10.2,12.3,14,19.3,24.6,31.6,37.1,38.4,43.7,60.4,61.3,72,85.1,102.2,112.3,116.4,121.1,134.8,153.2,185,222.1,228.4,253.6,269.8,295.7,347,298.4,283.9,296.4,344.5,380.7,420,446,455.2,369.7
"39","32","    Civilian aircraft, engines, and parts","B932RC1",0.2,0.2,0.2,0.5,0.6,0.6,0.5,0.4,0.6,0.8,1.4,3.1,3.9,3.5,3.2,3.7,5.3,6.1,6.6,7.9,9.4,10.5,11.7,12.6,11.3,11.3,10.7,12.7,16.6,21.8,23.8,26.4,31.4,25.5,24.1,24.3,25.8,28.4,34.4,35.4,30.6
"40","33","    Computers, peripherals, and parts","B852RC1",0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.7,1,1.2,1.5,1.9,2.7,5.5,8.3,8.4,11,14.8,18.4,21.5,22.9,26,31.7,38,46.2,56.3,61.5,70.2,72.5,81.5,89.8,74,75.2,76.5,88.6,93.3,101.3,105.2,100.9,93.9
"41","34","    Other","B853RC1",3.1,3.6,3.9,5.2,7.3,8.8,9.2,11.3,12.7,17.5,22,27,31.3,32.2,35,48.4,47.6,54.9,63.7,76,81.4,83,83.4,90.5,103.8,127.6,155.2,154.2,166.8,175.5,190.5,230.9,193,183.3,195.8,231.6,261.7,290.2,306.5,318.9,245.3
"42","35","  Automotive vehicles, engines, and parts","B651RC1",5.1,5.7,7.6,9,10.7,12.4,12.1,16.8,19.4,25,26.6,28.3,31,34.3,43,56.5,64.9,78.1,85.2,87.9,87.4,88.2,85.5,91.5,102.1,118.1,123.7,128.7,139.4,148.6,179,195.9,189.8,203.7,210.1,228.2,239.4,256.6,256.7,231.2,157.6
"43","36","  Consumer goods, except automotive","A652RC1",6.5,7.4,8.4,11.1,12.9,14.4,13.2,17.2,21.8,29.4,31.3,34.3,38.4,39.7,47.3,61.1,66.3,79.4,88.8,96.4,103.6,105,107.7,122.4,133.7,145.9,159.7,172.5,195.2,218.5,243.5,284.2,286.5,310.7,337.7,377.1,411.5,446.1,478.2,484.7,430.7
"44","37","    Durable goods","B697RC1",4,4.4,5,6.9,8.1,9.2,7.7,9.6,13.4,18,19.1,21.1,23.4,23.4,27.4,34.9,38.3,45.6,49,52.8,57,55.7,56.9,63.9,70.2,77.2,83.7,90.9,100.8,113.6,127.9,151.7,148.7,163.4,174.8,201.7,224,243.8,263.4,264.9,225.4
"45","38","    Nondurable goods","B698RC1",2.5,3,3.3,4.2,4.8,5.2,5.5,7.6,8.4,11.3,12.2,13.2,15,16.2,19.8,26.2,28,33.7,39.8,43.6,46.6,49.3,50.8,58.5,63.5,68.7,76,81.6,94.4,104.9,115.6,132.5,137.9,147.3,162.9,175.4,187.5,202.3,214.8,219.8,205.3
"46","39","  Other","A653RC1",2.3,2.5,2.7,3,3.3,3.7,3.3,3.8,5.1,6,6.8,9.1,12.3,13.3,13.6,15.8,18.3,19.5,21.8,24.3,26.9,31.7,32.9,34.6,35.8,40.6,43.1,44.7,51.2,59.4,69.8,79.6,80.9,82.7,80.4,82.9,90.3,93.5,95.8,94.5,85.6
"47","40","Imports of services \1\","B656RC1",13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,203.7,228.8,227,236.3,255.9,297.3,319.8,355.4,374,405,376.9
"48","41","  Direct defense expenditures","B752RC1",4.9,4.9,4.8,4.8,4.6,5,4.8,4.9,5.8,7.4,8.3,10.9,11.6,12.5,13.1,12.5,13.1,13.7,15,15.6,15.3,17.5,16.4,13.8,12.1,10.2,10,11.1,11.7,12.2,13.3,13.5,14.8,19.1,25.3,29.3,30.1,31,27.9,28.3,30.5
"49","42","  Travel","B768RC1",3.4,4,4.4,5,5.5,6,6.4,6.9,7.5,8.5,9.4,10.4,11.5,12.4,13.2,22.9,24.6,25.9,29.3,32.1,33.4,37.4,35.3,38.6,40.7,43.8,44.9,48.1,52.1,56.5,59,64.7,60.2,58.7,57.4,65.8,69,72.1,76.3,79.7,73.2
"50","43","  Passenger fares","B769RC1",1.1,1.2,1.3,1.6,1.8,2.1,2.3,2.6,2.7,2.9,3.2,3.6,4.5,4.8,6,5.7,6.4,6.5,7.3,7.7,8.2,10.5,10,10.6,11.4,13.1,14.7,15.8,18.1,20,21.3,24.3,22.6,20,21,24.7,26.1,27.5,28.4,32.6,26
"51","44","  Other transportation","B770RC1",2.5,2.8,3.1,3.5,4.7,5.9,5.7,6.9,8,9.1,10.9,11.8,12.5,11.7,12.2,14.8,15.6,17.8,19,20.9,22.2,25,25,23.8,24.5,26,27,27.4,29,30.4,34.1,41.4,38.7,38.4,44.7,54.2,61.9,65.3,53.5,53.7,41.6
"52","45","  Royalties and license fees","B908RC1",0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.8,1,0.9,0.8,0.8,0.9,1.2,1.2,1.4,1.9,2.6,2.5,3.1,4,5.2,5,5.9,6.9,7.8,9.2,11.2,13.1,16.5,16.5,19.4,19,23.3,24.6,23.5,24.9,25.8,25.2
"53","46","  Other private services","B909RC1",0.6,0.6,0.7,0.8,0.9,1.9,2.3,2.9,3.2,3.9,4.6,5.1,6.3,7.4,7.3,8.2,9.4,13.8,17.3,18.4,19.9,23.3,26.8,25.4,27.8,31.6,35.2,39.7,43.2,47.6,55.5,60.5,66,72.6,79.8,90.3,97.8,125.5,151.9,173.7,168.9
"54","47","  Other","B910RC1",1.1,1.2,1.2,1.3,1.4,1.5,1.7,1.8,2,2.3,2.5,2.6,2.8,3.1,3.3,3.4,3.7,3.7,4.2,4.5,4.6,4.9,5.2,5.6,5.7,6.1,6.3,6.6,6.9,7.1,7.3,7.9,8.1,8.2,8.7,9.8,10.2,10.5,11,11.2,11.5
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","A332RC1",23.7,27.1,27.5,31,41.4,56.5,63.8,69,72,85.3,108,133.3,140.1,124.7,120.4,132.4,137.2,142.6,162.9,208.8,239.8,262,282.3,300.5,314,349.6,394,421.1,482.3,486.6,503.3,569.2,521.1,488.5,497.3,561.2,624.9,709.1,781.6,828.2,671
"57","49","  Exports of nondurable goods","A339RC1",14.6,17.4,18,20.8,32.6,44.5,45.8,48.7,51.6,60.1,76,92.5,99,90.3,86.9,93.2,85,83.4,94.6,117,129.5,134.7,141.3,147.4,146,160.4,189.3,197.2,205.4,194.3,193.9,215.1,210.1,211.8,229.5,255.8,281.2,315.3,380.5,466.9,392.1
"58","50","  Exports of agricultural goods \2\","B181RC1",6.1,7.4,7.8,9.5,18,22.4,22.2,23.4,24.3,29.9,35.5,42,44.1,37.3,37.1,38.4,29.6,27.2,29.5,38.3,41.1,40.2,40.1,44.1,43.6,47.1,57.2,61.5,58.5,53.2,49.7,52.8,54.9,54.5,60.9,62.9,64.9,72.9,92.1,118,101
"59","51","  Exports of nonagricultural goods","A182RC1",32.2,37.2,37.7,42.3,55.9,78.6,87.4,94.4,99.3,115.5,148.6,183.7,195,177.7,170.2,187.2,192.6,198.8,228,287.5,328.3,356.4,383.5,403.9,416.3,463,526,556.8,629.2,627.7,647.5,731.5,676.3,645.8,665.9,754,841.2,951.5,1069.9,1177.1,962.1
"60","52","  Imports of durable goods","A333RC1",20.8,22.8,26.6,33.3,40.8,50.3,45.6,56.8,69.2,89,100.4,111.9,126,125.1,147.3,192.4,204.2,238.8,264.2,294.8,310.3,314.5,315.5,346.7,386.4,454,510.8,533.4,588.5,637.7,716.7,823.6,758.3,774.5,806.6,936.3,1025.4,1130.2,1172.5,1158.7,890.1
"61","53","  Imports of nondurable goods","A340RC1",16.1,18.1,19.9,23.6,31,54.2,53.4,67.8,83.4,88.4,112.3,136.6,141.8,125.4,125.4,143.9,139.1,131.2,150.6,157.3,174.5,193.5,185.2,198.2,206.4,222.8,246.7,274.1,297.1,293,331,422.9,413.4,419.3,482.6,565.4,682.6,754.7,829.1,990.1,697.7
"62","54","  Imports of nonpetroleum goods","A187RC1",34.2,37.9,42.9,52.3,63.4,77.9,72,90.1,107.6,134.9,152.4,169.1,189.4,188.6,217.6,278.3,291.9,335.7,371.8,412.5,433.9,445.8,449,493.4,541.3,625.5,701.4,734.7,813.9,879.8,979.9,1126.2,1068.1,1090.4,1156.2,1321.2,1456.1,1582.5,1654.1,1671.2,1320.4
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
