"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"22","14","Net exports of goods and services","A019RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.1,-114.7,-81.9,-81.5,-101.6,-108.9,-134.4,-98,-125,-123.3,-141.8,-169.3,-210,-250.9,-273.1,-276.4,-319,-350.9,-374.4,-382.2,-424.1,-439.4,-467.2,-475.6,-466.8,-456.3,-476.6,-488.7,-510.5,-534.9,-554.3,-595.6,-585.3,-612.7,-603.1,-614.7,-632.5,-687.1,-705.7,-726.7,-714.8,-709.4,-721.4,-745.3,-732.6,-732.8,-756.5,-694.9,-696.4,-696.2,-666.6,-560.4,-529.9,-493.8,-514.8,-477.7,-389.2,-342,-390.8,-330.1,-338.4,-449
"23","15","  Exports","A020RX1",136.1,166.7,162.7,168.3,169.8,177.2,176.6,178.3,178.9,178.6,185.9,170.3,188.4,182.9,193.9,202.2,217,227.4,228.2,239.4,242.5,254.3,240.5,246.8,248.6,241.3,237.3,250.7,249,251.5,258.8,261.4,257.2,264.1,266.2,257.6,263.7,291.2,294.4,306.1,306.3,307.1,318.2,338.2,347.7,354.2,353.5,351.3,357.9,359.9,352.2,353.9,338.5,340.6,325.5,310.6,315.6,316.5,321.3,327.8,334.6,343,350.5,357.6,357.9,356.6,351.4,362,373.4,377.5,386.1,400.5,400.8,416.7,434.6,450.7,475.7,488.8,497.9,513.1,528.2,551.2,557.2,566,590.7,598.7,603.1,608.2,612.5,634.6,649.1,663.9,675.7,675.8,690.4,694,695.5,704.1,701.8,724.2,731.1,755.2,784.1,801.5,816.2,827.4,863.4,875.9,886.9,901.8,909.1,966.1,984.5,1023.5,1047.2,1045.3,1050.3,1038.2,1033.3,1072.3,1064.1,1076.3,1104.5,1132.2,1151.7,1184.4,1213.3,1203.8,1188,1149.2,1090.1,1059.3,1076.2,1105.5,1113.2,1101.8,1091.6,1088.2,1117.6,1169.7,1197.3,1216,1225,1252.9,1276.2,1303.5,1303.9,1336.7,1388.8,1412.1,1414.1,1473.2,1496.4,1521.3,1578,1622,1644.7,1696.6,1675,1574.5,1451.6,1447.8,1490,1573.5,1616.4,1652.1
"24","16","    Goods","A253RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555.6,564.9,586.6,594.7,607.2,613.6,625,658.9,681.7,713.4,734.3,735.4,737.4,719.9,721.3,750.1,735.4,743.7,767.9,793.1,810.8,836.2,871.7,858.7,847.2,808.9,764.7,747.3,746.7,772.9,776.4,758.1,761.3,761,775.5,810.9,824,837.7,848.3,861.6,879.2,908.1,905.7,931.3,970.3,987.8,988.3,1019.2,1050.5,1070,1102.7,1129.1,1155.3,1195.1,1181.9,1094.1,985.8,976.4,1019.1,1091.7,1128,1159.2
"25","17","    Services","A646RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.7,264.3,279.3,283.8,281.5,290.5,285.4,309.2,303.5,310.2,312.6,309.4,312.5,318.7,312.2,322.2,329.2,333.1,336.9,339.1,340.7,348,340.9,344.5,340.2,340,325.2,311.8,329.5,332.4,336.6,343.8,330.3,327.2,342,358.8,373.4,378.3,376.8,391.4,397,395.4,398.2,405.4,418.5,424.3,425.8,453.9,445.9,451.3,475.3,492.9,489.4,501.5,493.1,480.5,465,470.4,470.5,482,488.9,493.6
"26","18","  Imports","A021RX1",199.6,238.9,235.8,233.2,232.5,237.1,236.5,240.2,237.4,255.3,260.9,243.2,278.8,268.9,274.5,286.8,300.1,291.4,283.4,285.5,275.8,290.4,285.4,282.5,254.2,233.8,253.3,266.8,283.5,295.8,307.9,318,333.1,336.2,331.5,336.2,358.7,359.9,364.6,369.6,368.6,370.6,364.9,372.9,373.2,346.1,321.2,338.4,352.9,353.4,349.4,359.4,349.2,343.4,359.4,345.3,353.2,380.3,410,430.1,464.6,484.1,496.6,511.2,499.9,524.5,519.4,539.8,539.3,562.2,577.8,582.3,578.8,593.2,604.8,618.7,615.8,608.7,623.1,642,645,648.1,647.2,658.9,679.8,678.7,675.9,657.8,650.3,661.9,680.5,695.5,700.6,712.1,723.3,740.6,756.7,772.3,782.5,813.9,832.9,863.9,888.2,913.2,933.2,942.1,945.4,957.4,988.6,1010.7,1043.5,1064,1109.5,1146.7,1189,1214.7,1260.2,1289.1,1306.5,1348.7,1383.1,1427.2,1478.9,1514.4,1575.8,1623.9,1680.6,1679.3,1654.8,1605.5,1566.7,1548,1586.8,1640.4,1667.4,1697.4,1676.9,1700.9,1720.7,1784.4,1829.8,1903.1,1930.7,1979.7,1991,2012.9,2025.2,2082,2121.3,2144.9,2170.5,2168.1,2192.7,2217.5,2244.6,2182.4,2174.6,2190.4,2189.8,2052.2,1840.8,1789.9,1880.8,1903.6,1954.8,2101.1
"27","19","    Goods","A255RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755.3,765.7,767.4,776,803.6,823.9,851.8,872.5,910,944.6,979,1001.1,1038.1,1062.4,1074.5,1114.1,1144.4,1184.6,1231,1263.9,1312.8,1354.2,1402,1402.4,1381.3,1326,1300.6,1288.9,1314.3,1370.2,1395.5,1413.5,1397.9,1434.5,1440.3,1491,1526.4,1592.9,1618.8,1660.7,1675,1694.9,1706.3,1755.7,1782.7,1804.7,1829.3,1818.6,1848.9,1870.5,1893.9,1835.4,1820.1,1840.9,1836.1,1689.3,1493.3,1452,1542.7,1566.1,1611,1753.9
"28","20","    Services","B656RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.8,178.5,180.3,184,187,188.5,193.2,192.5,200.4,202.6,210.5,214,222.7,227.2,232.6,235,238.9,242.6,247.8,250.2,262.8,269.4,278.2,276.4,273,280.1,266.2,259,272.5,270,271.8,283.8,278.9,266.6,280.3,293.2,303.1,310.1,311.9,319,316,318,318.9,326.2,338.6,340.1,341.3,349.5,343.8,346.9,350.6,347.1,355,349.6,353.8,363.7,347.4,337.5,338.7,338.3,344.6,348.3
"29","21","Government consumption expenditures and gross investment","A822RX1",1272,1266.7,1268.5,1249.8,1243.1,1227.1,1232.4,1232.4,1212.4,1208.5,1207.8,1198.8,1203.1,1210.6,1185.6,1193.1,1204.8,1197.6,1182.3,1191,1215.9,1224.1,1225.9,1230.2,1245.2,1235.7,1257.4,1268,1271.2,1257.3,1250.7,1249.7,1261,1274.1,1276.5,1272.3,1274.4,1308.8,1319.3,1331.2,1319.2,1333.2,1335.1,1343.8,1365.4,1369.7,1350.8,1349.4,1367.3,1370.4,1367.3,1379.9,1378.5,1386.5,1396,1420.1,1430.8,1443,1468,1443.2,1457.8,1489.2,1500.2,1532.3,1549.9,1584.7,1625.8,1635.5,1653.2,1688.3,1726.6,1716.6,1723.7,1734.6,1734.6,1755.6,1747.1,1751.7,1750.7,1786.2,1775.2,1802.8,1819.7,1829.4,1857.6,1860.4,1859.8,1878.3,1885.9,1892.5,1883.5,1875.6,1889.9,1887.6,1897.3,1897.9,1877.9,1876.5,1874.6,1883.9,1859.9,1867.7,1900.5,1884.1,1891.6,1897.9,1893.7,1872.5,1884.5,1911.6,1909.7,1925.9,1929.4,1946,1948.2,1951.5,1939.7,1981.9,2000.2,2018.1,2028.4,2036.9,2063.3,2095.9,2078.7,2106.4,2099.8,2106.2,2137.3,2181.7,2177.8,2216.4,2250.4,2272,2290.4,2305.7,2300.9,2335.1,2342,2343.7,2354.9,2363.5,2372.1,2357.6,2359.9,2362.4,2383.9,2373.4,2397.1,2399.1,2402.7,2409.4,2406.7,2426.8,2447.9,2455.3,2469.2,2489.4,2521.5,2530.7,2511.5,2549.3,2559.3,2550.3,2540.2,2564.9
"30","22","  Federal","A823RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715.3,712.5,707.6,681.1,695.3,705.2,692.7,690.7,681.4,693.5,691.3,690.3,668.8,687.2,681.5,688.1,683.6,683.6,697.9,713.4,685.2,712.6,698.8,695.6,710.4,725.6,730.5,739.3,756.9,774.4,786.7,800,800.2,838.8,839.6,845.7,856.6,861.4,876.4,865.6,869.2,870,890.4,875.6,900.5,892.8,892,894.4,883.6,898.9,919.7,922.2,937.6,955.3,987.5,1006.9,994.1,1029.2,1043.5,1043.6,1048.4,1071.5
"31","23","    National defense","A824RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484,483.2,477.4,462.4,471.4,477.8,467.7,464.7,449.7,460.3,458.1,460.6,433.2,449.8,455.4,451.8,446.3,446.6,459.8,470.7,442.8,463.3,453.7,454.1,462.1,468.5,472.8,479.3,489.7,500.9,509.4,521.2,517.1,560.7,554.1,565.1,573.5,576.5,593.2,578.4,583.6,588,603.7,580.9,595.6,597.2,594.3,606.5,595.3,607.3,622.3,622.4,632.7,643.4,673,681.6,666.8,693.2,708.3,703.8,704.4,717.1
"32","24","    Nondefense","A825RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.4,229.5,230.3,218.9,224,227.5,225.2,226.2,231.7,233.2,233.1,229.7,235.3,237.3,226.2,236.3,237.1,236.9,238.1,242.7,242.1,249.1,244.9,241.3,248.1,256.8,257.4,259.7,267,273.2,277,278.6,282.8,278,285.4,280.6,283.1,284.9,283.2,287.1,285.6,282,286.7,294.7,305,295.7,297.7,287.8,288.2,291.5,297.3,299.8,304.8,311.9,314.2,325.2,327.3,335.9,335.2,339.8,344,354.5
"33","25","  State and local","A829RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1174.8,1184.1,1184.8,1190.7,1188.2,1205.4,1216.3,1234.6,1247.6,1252.1,1256.6,1260.9,1271.1,1294.7,1319,1330.2,1345.2,1353.7,1365.7,1382.7,1394,1394.2,1401.4,1411,1427.3,1456.5,1447.7,1477.6,1494,1498.1,1504.2,1506.3,1501.2,1496.6,1502.7,1498.2,1498.4,1502.2,1495.7,1492,1490.7,1492.4,1493.5,1497.7,1496.6,1506.3,1510.8,1515,1522.9,1527.8,1528.4,1533.3,1532.2,1535.1,1536.2,1526.8,1520.1,1523.8,1520,1511.2,1496.8,1499.1
"34","26","Residual","A960RX1",-130,-116.4,-115.1,-118,-121.4,-114.5,-113.9,-121.9,-100,-94.9,-90.3,-101.5,-84.5,-79.6,-70.3,-71.2,-58.2,-42.2,-46.9,-33.5,-43.9,-44.5,-63.8,-55.8,-80.9,-83.2,-85.9,-80.7,-72.7,-66.4,-66.6,-69.3,-70.8,-52.6,-37.5,-53.8,-56,-28.9,-21.7,-12.5,-10.8,-14,-11.7,-11.4,-10.9,-13.2,-15,-4,15.5,0.9,17.6,-1.7,-36.9,-34.2,-56.7,-85.2,-80.9,-74.7,-74.3,-52.9,-40.5,-41.2,-38.8,-50.5,-59.6,-68.1,-78.1,-72.1,-71.2,-87.3,-102.9,-98.5,-90.6,-92,-90.3,-73.8,-79.2,-67.6,-68.2,-71.1,-57.1,-57.1,-60,-64.6,-65.2,-63,-65.8,-73.5,-78.5,-77.8,-73.5,-66.5,-69.7,-62.6,-61.2,-59.7,-56.4,-56.3,-58,-52.7,-45.1,-38.1,-43.5,-35.7,-179.7,-184.5,-176.5,-163.5,-167.4,-159.9,-147.8,-141.1,-135.7,-124.5,-109.1,-105.4,-93.7,-95.2,-91.5,-71.5,-67.6,-50.4,-40.1,-40.3,-24.4,-24.9,-23.6,-24.1,-23.6,-33.8,-37.9,-21.5,-25.7,-21.8,-14.6,-18.1,-17.3,-13.6,-10.4,-7.6,-6.7,-4.9,-2.1,-0.3,-1,0.1,0.2,0.6,-2.3,-1.8,-1.4,-1.5,-3,0.3,1,-0.9,5.5,6.2,17,36.2,36.1,41.9,40.4,33.8,26.5,15.2
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
