"","Table 7#3#5# Farm Sector Output, Gross Value Added, and Net Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Livestock","B1006C1",28.6,29.5,30.5,35.6,45.8,41.3,43.1,46.3,47.6,59.2,69.2,68,69.2,70.3,69.6,72.9,69.8,71.6,76,79.6,83.6,89.1,85.8,85.8,90.5,88.3,87.2,92.9,96.5,94.2,95.7,99.6,106.7,94,107,123.5,125.1,118.7,138.7,141.6,119.9
"12","5","  Farm products consumed on farms","B1008C1",0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4
"13","6","  Other farm income","B1009C1",0.6,0.5,0.6,0.6,0.7,0.8,1,1.1,1.1,1.7,2.1,2.4,3,4.8,4.1,3.5,4.6,4.4,5.1,5.4,5.2,4.9,5.1,4.7,5.1,5.1,6.3,6.1,7.4,8.5,9.4,8.4,9.6,9.6,10.7,12.3,11.3,13.1,12.5,14.6,12.7
"14","7","  Change in farm finished goods inventories","W248RC1",0,-0.8,1.7,0.3,1.5,-2.8,3.4,-0.8,4.5,1.4,3.6,-6.1,8.8,5.8,-15.4,5.7,5.8,-1.5,-6.4,-11.9,0,2.4,-1.1,5,-5.9,10.8,-9.2,7.8,2.8,0.8,-1.6,-2,0.6,-3.7,0.3,9,-0.2,-3.3,-0.5,2.1,3.8
"15","8","    Crops","B1010C1",-0.2,-1.5,1.2,-0.2,-0.3,-3.2,4.4,-0.2,5.8,2.6,2.7,-7.5,8.5,6.4,-15,7.4,7.6,0,-5.6,-10.3,0.7,1.9,-2.1,4,-7,9.7,-9.4,8.9,3.2,1.1,-0.9,-1.4,1,-3.2,1.2,8.4,-1.5,-3.8,-0.1,3.7,4.6
"16","9","    Livestock","B1011C1",0.2,0.7,0.5,0.4,1.8,0.5,-1,-0.7,-1.2,-1.3,0.9,1.3,0.3,-0.6,-0.4,-1.6,-1.8,-1.5,-0.8,-1.6,-0.7,0.4,1,1,1.1,1.1,0.2,-1.1,-0.4,-0.3,-0.7,-0.6,-0.4,-0.6,-0.8,0.6,1.3,0.5,-0.4,-1.6,-0.8
"17","10","Less: Intermediate goods and services consumed","A2003C1",26.7,28.1,30.1,33.7,44.5,47.7,48.8,53.1,56,66.9,80.4,86.4,87.7,86.6,85.1,90.7,84.2,79.7,85.6,92.9,98.2,102.6,104.7,102.2,110.8,113.6,122.8,122.5,131.4,128.6,128.8,130.7,136.1,129.6,137.4,143.7,149.5,159.6,187.9,206.7,195.1
"18","11","      Other than rent","W249RC1",24.4,25.8,27.7,30.3,39.1,42.7,43.8,48.6,51.5,61.5,73.5,78.9,79.7,78.6,77.9,80.6,74.5,72.2,77,84.1,87.6,91.5,93.9,91.1,99.9,102.5,111.3,110.2,118.4,116.5,119,120.6,125.3,120.3,129,135.4,141.5,151.8,180.5,197,184.6
"19","12","        Intermediate goods and services purchased, other than rent","B1012C1",24.4,25.8,27.7,30.3,39.1,42.7,43.8,48.6,51.5,61.5,73.5,78.9,79.7,78.6,77.9,80.6,74.5,72.2,77,84.1,87.6,91.5,93.7,92.4,99.7,103.7,109.4,111.1,118.8,116.9,117.8,121.2,124.8,121.5,128.8,135.2,141.8,151.5,180.3,196.5,184.6
"20","13","        Less: Change in farm materials and supplies inventories","W250RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,1.3,-0.3,1.2,-1.9,0.9,0.5,0.5,-1.1,0.6,-0.6,1.2,-0.2,-0.2,0.3,-0.3,-0.2,-0.5,0.1
"21","14","      Rent paid to nonoperator landlords","B1013C1",2.3,2.3,2.4,3.4,5.4,5,5,4.5,4.4,5.3,6.8,7.6,8,8,7.2,10.2,9.8,7.5,8.6,8.8,10.5,11.1,10.7,11.1,10.9,11.1,11.5,12.3,13.1,12.2,9.8,10.1,10.8,9.3,8.4,8.3,7.9,7.8,7.4,9.6,10.5
"22","15","Equals: Gross farm value added","B359RC1",22.8,23.7,25.4,29.7,46.8,44.2,45.6,43,43.5,50.7,60.1,51.4,65,60.4,44.9,64.2,63.4,59.5,61.5,60.7,73.8,77.3,70.6,80.4,71.4,83.9,69.1,93.3,87.9,79.2,71.2,73.6,76.2,72.3,92.4,118.3,102,93.1,114.9,131.1,104
"23","16","Less: Consumption of fixed capital","B366RC1",4.8,5.1,5.4,5.8,6.3,7.5,8.9,10,11.2,12.5,14.2,16.3,18,19,18.9,18.6,18.2,17.8,17.4,17.3,17.6,17.9,18.2,18.2,18.2,18.7,19.4,20.2,21,22,22.8,23.3,23.9,24.7,25.8,27.4,29.5,31.3,32.9,35,35.9
"24","17","Equals: Net farm value added","A365RC1",18.1,18.6,19.9,23.8,40.4,36.8,36.7,33.1,32.4,38.3,45.9,35,47,41.4,26,45.5,45.3,41.7,44.1,43.5,56.2,59.3,52.4,62.2,53.2,65.2,49.7,73.1,67,57.2,48.4,50.4,52.3,47.7,66.7,90.9,72.5,61.8,82,96.2,68
"25","18","          Compensation of employees","A2006C1",4,4.2,4.2,4.3,5.1,6,6.5,7.3,7.8,8.2,8.9,9.2,9,10,9.7,9.7,9.9,9.3,9.4,10.6,11.4,13.4,13.2,13,14.2,14.4,15.5,16,17.1,18.2,18.9,19.7,20.9,20.8,20.5,22.3,22.6,23.1,26,26.6,27.6
"26","19","            Wage and salary accruals","B1019C1",3.8,3.9,3.9,4,4.7,5.5,5.8,6.5,6.9,7.2,7.9,8.2,8,9.1,8.8,8.8,8.9,8.3,8.4,9.5,10,11.7,11.3,11.1,11.9,12.2,13.1,13.8,14.9,15.9,16.2,17,17.9,17.9,17.6,19.1,19.6,20,22.2,22.9,23.8
"27","20","            Supplements to wages and salaries","B1020C1",0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.9,0.9,1,1,0.9,0.9,0.9,1,1,0.9,1,1.1,1.4,1.8,1.9,1.9,2.3,2.2,2.4,2.3,2.2,2.3,2.7,2.7,3,2.9,2.9,3.2,3,3.1,3.9,3.6,3.8
"28","21","          Taxes on production and imports","B1017C1",1.7,1.8,1.8,1.9,2,2.1,2.2,2.5,2.6,2.6,2.8,2.8,3.1,2.9,3.1,3,3.1,3,3.3,3.3,3.5,3.8,3.8,4.1,3.8,4,4.2,4.2,4.4,4.2,4.8,4.7,4.7,4.8,5.1,5.2,5.2,5.7,6.6,6.6,6.1
"29","22","          Less: Subsidies to operators","B1018C1",3.3,3.3,2.8,3.5,2.3,0.5,0.7,0.7,1.7,2.5,1,1,1.5,2.2,7.5,7,6.3,9.5,13.5,11.7,9.3,7.6,6.9,7.7,11.3,6.6,6.1,6.2,6.4,10.5,18.6,20,20,10.8,14.2,11.1,20.9,13.5,10.2,10.3,10.7
"30","23","          Net operating surplus","W251RC1",15.7,15.9,16.7,21.1,35.7,29.1,28.7,23.9,23.7,30,35.2,24,36.4,30.6,20.8,39.9,38.6,39,44.9,41.3,50.6,49.8,42.2,52.9,46.5,53.4,36.1,59,51.7,45.3,43.3,45.9,46.7,32.8,55.2,74.4,65.6,46.4,59.5,73.3,45.1
"31","24","            Net interest","B1021C1",2.1,2.3,2.5,2.7,3.2,4,4.5,5.3,6.2,7.4,9.6,12.1,14.9,16.5,17.1,16.5,14.9,13,11.8,10.9,10.4,10,9.1,8.5,7.7,8.1,8.6,8.9,9.1,9,9.4,9.9,8.8,8.4,7.2,7,8.4,8.7,9.2,9,8.8
"32","25","            Current transfer payments","W252RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.4,0.6,0.3,0.2,0.3,0.3,-0.3,0.6,1.2,0.3,-0.3,-0.3,-0.2,0.1,-0.1,0.7,0.9,0.4,1.4,1.4,-0.3
"33","26","            Proprietors' income and corporate profits with inventory valuation and capital consumption adjustments","A1024C1",13.6,13.6,14.2,18.4,32.5,25.1,24.2,18.6,17.4,22.5,25.5,11.9,21.5,14,3.7,23.3,23.7,25.9,33.1,30.9,39.8,39.1,32.8,44.2,38.5,44.9,27.9,49.5,41.5,36,34.2,36.4,38.1,24.3,48.1,66.8,56.3,37.4,48.9,63,36.6
"34","27","              Proprietors' income","B042RC1",12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,27.5,35.8,32,35.6,23.4,38.4,32.6,28.9,28.5,29.6,30.5,18.5,36.5,49.7,43.9,29.3,37.8,50.8,30.5
"35","28","              Corporate profits","B1023C1",0.7,0.7,0.8,1.3,3.4,1.7,2.2,1.4,1.5,2.6,3.4,0.2,2.5,0.7,-2.5,2.4,2.7,3.1,4.2,4.1,6.8,7,5.3,8.4,6.5,9.3,4.5,11.1,8.9,7.1,5.7,6.8,7.6,5.8,11.6,17.1,12.4,8,11.1,12.2,6.2
"36",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","29","  Change in farm inventories \1\","B018RC1",0,-0.8,1.7,0.3,1.5,-2.8,3.4,-0.8,4.5,1.4,3.6,-6.1,8.8,5.8,-15.4,5.7,5.8,-1.5,-6.4,-11.9,0,2.4,-1.3,6.3,-6.2,12,-11.1,8.6,3.3,1.3,-2.7,-1.4,0,-2.5,0.1,8.8,0.1,-3.6,-0.7,1.6,3.8
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
