"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"22","13","  Command-basis net national product \4\","C027RA3",36.555,36.59,36.791,36.562,36.445,36.488,36.757,36.277,37.402,37.599,37.827,37.909,38.63,39.557,39.943,40.677,41.753,42.095,41.904,42.347,41.629,41.445,40.842,40.579,39.98,40.276,41.089,41.739,42.728,43.054,43.21,43.6,44.079,44.849,45.525,45.626,45.725,47.532,47.985,48.796,48.742,48.737,48.97,48.804,48.571,47.21,47.008,47.86,48.906,48.416,49.174,48.533,47.539,47.912,47.581,47.578,48.302,49.544,50.627,51.862,52.892,53.823,54.381,54.781,55.238,55.696,56.438,56.778,57.23,57.505,57.982,58.05,58.315,58.899,59.343,60.456,60.786,61.542,61.917,62.703,63.293,63.659,64.252,64.371,64.91,65.297,65.006,64.253,63.966,64.442,64.728,65.036,65.681,66.4,66.998,67.815,68,68.322,68.773,69.591,70.375,71.272,71.587,72.392,72.596,72.624,73.128,73.761,74.321,75.589,76.054,76.906,77.518,78.792,79.78,80.28,81.265,81.973,82.963,84.434,85.259,85.688,86.592,88.079,87.972,89.815,89.625,90.274,89.717,90.56,90.103,91.221,91.61,91.682,92.244,92.297,92.227,93.346,95.009,96.111,96.79,97.169,97.878,98.265,99.593,99.734,100.338,100.335,101.783,102.016,101.841,102.865,102.948,103.819,104.898,105.227,104.213,103.831,102.914,101.112,100.457,100.199,100.744,101.426,102.338,103.346
"23","14","  Net national product","A027RA3",35.653,35.711,35.901,35.668,35.566,35.609,35.93,35.47,36.556,36.762,37.019,37.116,37.83,38.777,39.162,39.815,40.926,41.41,41.175,41.554,41.182,41.218,40.671,40.382,39.724,40.025,40.77,41.4,42.399,42.73,42.921,43.23,43.803,44.706,45.532,45.4,45.583,47.429,47.917,48.621,48.645,48.687,49.126,49.195,49.311,48.049,47.837,48.64,49.755,49.206,49.846,49.142,48.114,48.416,48.031,47.994,48.616,49.84,50.904,52.048,53.065,54.018,54.511,54.844,55.209,55.66,56.464,56.897,57.378,57.448,58.016,58.147,58.443,59.114,59.599,60.694,61.041,61.811,62.052,62.931,63.504,63.938,64.447,64.594,65.24,65.462,65.323,64.892,64.323,64.613,64.816,65.132,65.869,66.595,67.281,68.047,68.183,68.504,68.891,69.65,70.411,71.36,71.756,72.549,72.753,72.85,73.27,73.856,74.373,75.601,76.176,77.035,77.473,78.706,79.58,80.038,80.816,81.434,82.328,83.773,84.546,85.151,86.145,87.798,87.823,89.584,89.43,90.101,89.461,90.065,89.439,90.308,90.682,90.949,91.503,91.598,91.793,92.672,94.334,95.431,96.242,96.67,97.458,98.055,99.353,99.61,100.421,100.615,102.01,102.237,102.007,102.802,102.886,103.758,104.837,106,105.603,105.51,104.404,101.635,100.108,99.942,100.675,102.038,103.257,103.718
"24",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Real gross domestic product","A191RL1",6.5,1.2,2.6,-1.9,-0.6,0.7,3.6,-4.2,11.5,2.3,3.2,1.1,7.3,9.8,3.9,6.8,10.6,4.7,-2.1,3.9,-3.5,1,-3.9,-1.6,-4.8,3.1,6.9,5.3,9.4,3,2,2.9,4.7,8.2,7.3,-0.1,1.4,16.7,4,5.4,0.7,0.4,2.9,1.1,1.3,-7.9,-0.7,7.6,8.6,-3.2,4.9,-4.9,-6.4,2.2,-1.5,0.3,5.1,9.3,8.1,8.5,8,7.1,3.9,3.3,3.8,3.4,6.4,3.1,3.9,1.6,3.9,1.9,2.2,4.3,3.5,7,2.1,5.2,2.1,5.5,3.8,3,3.2,0.9,4.2,1.6,0,-3.5,-1.9,2.7,1.7,1.6,4.5,4.3,4.2,4.3,0.7,2.6,2.1,5.4,4,5.6,2.6,4.5,1,0.9,3.4,2.8,2.8,7.1,3.5,4.4,3.1,6.1,5.1,3.1,3.8,3.6,5.4,7.1,3.6,3.2,5.2,7.4,1.1,8,0.3,2.4,-1.3,2.6,-1.1,1.4,3.5,2.1,2,0.1,1.6,3.2,6.9,3.6,2.8,2.9,3,3.5,4.1,1.7,3.1,2.1,5.4,1.4,0.1,3,0.9,3.2,2.3,2.9,-0.7,0.6,-4,-6.8,-4.9,-0.7,1.6,5,3.7,1.7
"26","16","    Command-basis gross domestic product","C191RL1",6.8,0.9,2.6,-1.8,-0.8,0.7,3,-4.3,11.6,2.1,2.9,0.9,7.3,9.4,3.8,7.4,10.1,3.3,-1.7,4.4,-6.2,-0.8,-4.3,-1.3,-4.3,3,7.5,5.5,9.2,3,1.7,3.6,3.9,7,6.1,1.8,0.7,16.3,3.7,6.2,0.1,0.1,1.4,-0.6,-1.2,-8.7,-0.7,8.1,8.2,-2.8,5.9,-4.5,-6.3,2.7,-1.2,0.6,5.9,9.5,8.3,9.2,8.1,6.9,4.4,3.8,4.5,3.4,5.9,2.5,3.7,2.9,3.3,1.6,2,3.8,3.3,7.2,2,5.2,2.9,4.9,3.9,2.6,3.7,0.7,3.6,2.5,-0.8,-5.2,-0.4,3.8,2.2,1.5,4,4.3,3.7,4.6,1,2.6,2.5,5.7,4.1,5.3,2.2,4.6,1,0.5,3.8,3,3,7.3,3,4.4,4,6.3,5.6,3.3,4.8,4,5.8,7.2,3.8,2.4,4.8,6.6,0.5,8.4,0.2,2.3,-1,3.6,-0.4,2.4,3.5,1.4,2,-0.1,0.6,4.2,6.8,3.6,2.3,2.7,2.7,2.7,4.1,1.3,2.3,1.4,5.6,1.5,0.3,3.8,0.9,3.2,2.3,0,-2.8,-0.4,-3.4,-3.7,-1.9,-1,0.9,2.6,2.7,3.7
"27","17","    Real gross national product","A001RL1",6.4,1.1,2.4,-1.9,-0.6,0.8,3.5,-4.4,11.9,2.4,2.9,1.3,7.4,9.7,4.1,6.7,11,4.9,-1.5,3.9,-2.7,0.8,-4.3,-2.1,-5.3,3.1,7.1,5.9,9.2,3.2,2,3,5.2,8,7.2,-0.5,1.9,15.7,4.3,5.9,0.8,0.9,3.8,1,1.4,-8.2,-1,6.5,8.8,-3.4,5.2,-4.3,-6.6,2.7,-2.3,0.2,5,9.5,8.1,8.6,7.5,7,3.9,2.8,3.1,3.6,5.8,3.3,3.6,1,4.1,1.4,2.4,4.7,3.5,7.2,2.5,5,1.9,5.6,3.8,2.9,3.3,1.3,4.1,1.7,-0.3,-1.9,-2.7,1.9,1.5,2.1,4.4,4.3,4,4.3,1.2,2.1,2.5,4.4,4.4,5.3,2.5,4.5,1.5,1,2.6,3.4,3.1,6.6,3.3,4.7,2.7,6.4,4.7,2.8,4.3,3.5,4.7,7.2,4.1,3.4,5,7.8,0.9,8.2,0.2,3.4,-1.9,3,-2,3.9,1.9,1.4,2.6,0.7,1.1,3.7,6.8,4.6,3.5,2,3.3,2.6,5.2,1.3,3.4,1.1,5.4,1.3,-0.3,3.2,0.8,3.5,4.1,4.4,-0.9,0.1,-3.2,-8.6,-4.9,-0.5,2.6,4.9,4.4,1.8
"28","18","    Command-basis gross national product","CB22RL1",6.8,0.8,2.5,-1.8,-0.7,0.8,2.9,-4.5,12.1,2.3,2.6,1.1,7.3,9.3,4,7.3,10.5,3.5,-1.1,4.4,-5.5,-1.1,-4.7,-1.9,-4.8,3,7.7,6.1,9,3.1,1.7,3.7,4.4,6.8,6,1.3,1.3,15.3,4,6.7,0.2,0.5,2.3,-0.6,-1.1,-9,-1,7,8.4,-3,6.1,-4,-6.4,3.3,-1.9,0.4,5.8,9.7,8.3,9.3,7.7,6.9,4.3,3.3,3.7,3.6,5.4,2.7,3.4,2.3,3.5,1,2.2,4.1,3.2,7.3,2.4,5,2.7,5.1,3.9,2.6,3.8,1.1,3.5,2.6,-1.2,-3.7,-1.2,3,1.9,2,3.9,4.2,3.5,4.6,1.5,2.2,2.8,4.7,4.5,5,2,4.5,1.5,0.7,3,3.7,3.3,6.8,2.8,4.7,3.5,6.6,5.2,3,5.2,3.9,5.1,7.3,4.3,2.6,4.6,7,0.3,8.5,0,3.3,-1.5,3.9,-1.3,4.9,2,0.7,2.6,0.6,0.1,4.7,6.8,4.5,2.9,1.8,3,1.8,5.3,0.9,2.6,0.4,5.6,1.3,-0.1,4.1,0.8,3.5,4.1,1.5,-3,-0.9,-2.7,-5.6,-2,-0.8,2,2.5,3.3,3.7
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Deflator is the gross domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","4. Deflator is the net domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
