"","Table 3#15#6# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"26","19","  Transportation","W625RX1",17.1,18.4,19.1,18.4,19.8,18,18.5,18.8,19.6,19.4,19.2,20.6,25,27.1,25.4,25.4,25.6
"27","20","  Space","W631RX1",18.7,19,18.8,18.8,17.6,17.3,18.3,18.1,17.2,16.4,16.3,16.6,15.8,16,16.5,16.1,15.7
"28","21","  Other economic affairs","W632RX1",42.8,40.1,46.7,45.8,43.3,43.1,42.4,42.4,40.7,45.8,48.7,46.7,49,47.3,47.2,46.6,48.2
"29","22","Housing and community services","W633RX1",0.8,0.8,0.7,1.9,0.9,0.7,0.8,0.9,1.6,2.3,1.3,1.2,1,1.3,0.4,1.9,1.1
"30","23","Health","W634RX1",39.2,41.1,43,44.4,45.7,45.4,45.8,46.5,48,46.9,50.1,53.3,55.6,59.6,57.7,56.6,56
"31","24","Recreation and culture","W635RX1",2.5,2.7,2.9,2.9,2.9,2.8,2.8,3.4,3.6,3.3,3.7,3.7,3.8,3.8,3.8,3.7,3.5
"32","25","Education","W636RX1",3.4,3.7,3.8,3.8,4.3,4.6,4.9,5,5.3,5.7,6,6.8,6.7,6.8,6.8,6.7,5.7
"33","26","Income security","W640RX1",7.2,7.4,9.2,8.5,8.9,8.3,7.9,8.1,8.9,8.2,8.5,8.4,10.9,11.4,11.3,14.4,20
"34","27","      State and local","A829RX1",868.4,886.8,906.5,919.5,943.3,968.3,990.5,1025.9,1063,1113.2,1142.8,1179,1215.4,1217.8,1215.8,1219.6,1239
"35","28","General public service","W646RX1",99,100.2,105.4,108.1,109.7,109.7,111.1,115.2,125.1,133.4,134.7,137.4,144.9,143.5,140.8,136.1,134.3
"36","29","Public order and safety","W650RX1",125.2,129.2,132,135.7,140.5,146.2,151.7,157.1,163.7,170,171.3,176.3,181.2,178.3,178.6,183.1,189.1
"37","30","Economic affairs","W655RX1",154.1,155.2,157.7,161.8,165.3,163.8,164.1,169.2,172.8,182.3,188.9,196.3,200.9,202.7,196.8,194.7,196.8
"38","31","  Transportation","W660RX1",119.6,120.7,122.4,126.6,130.5,128.8,129.4,133.7,137,144.3,149.4,155.8,157.3,158.5,155.7,152.9,153.9
"39","32","  Other economic affairs","W665RX1",34.4,34.4,35.2,35.1,34.7,35,34.7,35.5,35.8,38,39.5,40.6,43.6,44.2,41.1,41.9,42.9
"40","33","Housing and community services","W666RX1",33.2,34.6,34.4,31.5,30,30.7,32.4,33.2,32.9,34.1,32.4,35.1,37.8,38.7,37.8,37.5,39.2
"41","34","Health","W671RX1",39.7,41.8,42.8,42.2,41,38.8,38.3,35.6,31.5,35.5,33.3,29.5,32.9,35.2,38.2,45.8,52.6
"42","35","Recreation and culture","W672RX1",17.7,17.9,17.9,17.6,17.9,18.7,19.5,20.4,21,21.8,23.1,24.5,25.8,25.4,25.1,24.9,25.5
"43","36","Education","W673RX1",366.5,373.4,379.8,384.7,398.1,417.9,430.2,449.1,466.1,483.7,504.7,522.1,529.9,533.3,539.5,538.3,541.5
"44","37","  Elementary and secondary","W674RX1",290.3,295.8,301,301.5,309.9,326.1,336.5,351.2,363.4,377.7,393.8,407.1,411.1,416.5,417.4,414.8,417.4
"45","38","  Higher","W675RX1",61.4,63,64.2,68,72.3,75.3,76.7,80.5,84.8,87.4,91.3,94.7,97.9,95.8,101.1,101.6,101.5
"46","39","  Libraries and other","W677RX1",15.4,15.1,15.1,15.4,15.8,16.4,17,17.4,17.9,18.6,19.6,20.3,21,20.9,21.2,22.2,22.9
"47","40","Income security","W678RX1",35.3,37.1,38.8,40.3,42.8,43.7,44.3,46.6,49.8,52.6,54.3,57.7,62.1,60.9,59.4,60,61.2
"48","41","Residual","W687RX1",1,0.4,-0.1,-0.2,-0.2,0.1,-0.1,0,0.2,-0.2,0.2,-0.1,-0.1,-0.1,-0.1,-0.5,-0.9
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Note. Government consumption expenditures and gross investment is net of sales to other sectors.  Thus, growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","in the prices or quantities of sales to other sectors may partially, exactly, or more than offset the growth in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","the prices or quantities of gross consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","    The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
