"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30"
"32","24","        Food and beverage and tobacco products","N402RC1",22.3,30.4,28.8,30.3,27.9,25.7,25.5,20.6,20.6,23.6,23.1,27,26.6,22.9,24.4,22.6,28.9,26.7,28,27.7,26.7,27.9,30.4,31.8,30.1,35.4,NA
"33","25","        Petroleum and coal products","N404RC1",34.4,33.3,32.3,18.6,4.8,0.8,-0.2,0.9,18.2,15,26.9,33.3,41.4,46.6,40.7,66.9,74.9,81.5,94.5,108.4,102.2,125.6,128.7,85.2,94.9,136.5,NA
"34","26","        Chemical products","N403RC1",5.6,14,16.2,14.6,16.4,16.4,18.2,22.8,17.2,17.5,22.1,21,20.6,26.5,32.6,21.8,42.2,26.2,24.2,26.1,36.5,41.5,40.6,31.7,41,41.8,NA
"35","27","        Other nondurable goods \4\","N405RC1",8.3,7.2,10.1,5.7,9.4,11,11.7,20.5,14.3,12.4,16.5,18.8,18.1,15.1,17.8,13.1,18,20.7,18.8,17.2,17.6,21.2,17.9,24.3,20,16.1,NA
"36","28","    Wholesale trade","N414RC1",46.7,47.8,53.8,60.2,48.5,52.6,45.3,50.7,47.3,47.2,61,65.4,69,79.6,91.4,76.8,89,107.4,87.2,97.4,93.3,85.4,118.1,91.1,97.8,104.9,NA
"37","29","    Retail trade","N415RC1",66.7,66.3,72.3,78.6,75.7,79.7,80.2,82.1,80.9,89.7,89.5,87.3,96.2,91.1,87.7,89.2,99.6,122.6,108.5,126.9,119.4,119.6,126.9,132.1,134.3,134.4,NA
"38","30","    Transportation and warehousing","N417RC1",2.9,4.1,3.3,-5.2,-1.3,-3.8,-2,3.4,3.5,8.6,8,9,13.9,20,13,9.6,25,29.8,31.1,26.7,34,45.9,47.7,40,39.1,45.8,NA
"39","31","    Information","N502RC1",-21.5,-21.1,-25.4,-34.4,-17.5,-11.4,-7.8,2.7,-5.1,1.8,11.3,4.8,13.1,45.7,64.3,52.3,62.2,74.1,79.7,83.2,85.3,83.2,81.5,91.5,109.5,92.9,NA
"40","32","    Other nonfinancial \5\","N420RC1",149.8,154.9,151.5,127.4,133.8,148.4,162.1,179.2,181,168.7,165.7,171.2,203.8,207.1,229,239,293.8,309.4,311.3,323.6,348.1,336.7,334.5,296.7,268.7,249.5,NA
"41","33","Rest of the world","B394RC1",160.1,171,146.6,201.2,155,147.1,154.6,166.5,149.2,158.9,163.1,190.6,201.9,187.7,205,179,204,211.6,240.4,216.6,242.1,259.4,249.8,277.8,297.9,314.6,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","transportation equipment; furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4. Consists of textile mills and textile product mills; apparel; leather and allied products;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","paper products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","estate and rental and leasing; professional, scientific, and  technical services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","administrative and waste management services; educational services; health care and social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","assistance; arts, entertainment, and recreation; accommodation and food services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Note. Estimates in this table are based on the 1997 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
