"","Table 3#24U# Federal Grants-in-Aid to State and Local Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90"
"11","3","National defense","G170570",296,344,284,276,312,268,320,312,339,320,340,243,330,368,314,274,303,310,310,283,311,322,306,278,291,264,252,309,396,372,396,415,530,477,540,306,378,354,400,372,432,491,573,492,471,648,558,600,667,300,578,529,635,588,536,548,221,801,815,656,571,589,828,689,727,830,1036,672,732,815,871,628,608,658,706,665,669,654,704,652,638,678,636,680,729,686,756
"12","4","Public order and safety","G170580",1156,1124,924,1060,1064,1276,1064,1104,1352,1228,1432,968,1228,1084,1312,1636,3272,2140,2040,2616,3700,3764,3964,2532,3716,4072,3684,4088,4576,4048,3936,5472,5532,4540,4556,5064,3704,4924,3872,2728,2618,3509,3368,4014,3452,3692,4616,4375,4980,5006,5551,5918,5548,6621,5848,5192,5212,5272,5453,5139,4544,5308,5038,5540,3530,5932,6806,7389,6064,6587,7037,7240,5390,6648,6733,8091,6387,7040,8593,8182,7062,7591,8543,7074,6208,6638,7849
"13","5","Economic affairs","G170590",6675,6994,7698,7460,7844,7620,7689,8118,7766,7579,8390,7866,7476,6758,7666,7071,7320,7069,8044,7318,6885,7017,8219,7390,7080,7169,8346,7798,7714,7282,7995,8344,7682,8140,8753,9081,7855,9521,9341,10511,8690,10262,8861,10982,8633,12486,11433,11225,9424,12034,9579,11146,11226,12248,9845,8820,9336,10021,9821,9216,9140,10561,10371,11147,11526,13239,12118,12518,16279,10677,15482,15626,16044,18141,17028,16235,15276,15773,13247,13155,9697,12941,11210,11390,10276,34577,11696
"14","6","  Transportation","G170640",36,44,40,40,40,44,48,64,64,60,68,36,40,40,40,32,28,28,32,32,28,28,36,20,20,20,20,8,8,8,8,0,0,0,0,0,0,16,0,0,0,0,-4,0,0,0,-16,0,-4,16,0,0,0,8,0,0,0,0,0,0,-4,0,0,116,98,110,122,137,115,138,156,136,113,122,134,125,122,127,131,160,138,156,153,145,134,141,144
"15","7","  Space","G170650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","8","  Other economic affairs","W695RC0",6639,6950,7658,7420,7804,7576,7641,8054,7702,7519,8322,7830,7436,6718,7626,7039,7292,7041,8012,7286,6857,6989,8183,7370,7060,7149,8326,7790,7706,7274,7987,8344,7682,8140,8753,9081,7855,9505,9341,10511,8690,10262,8865,10982,8633,12486,11449,11225,9428,12018,9579,11146,11226,12240,9845,8820,9336,10021,9821,9216,9144,10561,10371,11030,11428,13130,11995,12380,16164,10538,15326,15490,15931,18019,16893,16110,15154,15646,13116,12995,9559,12785,11057,11245,10142,34436,11552
"17","9","    General economic and labor affairs","G170600",3404,3760,4076,3948,4072,4412,4312,4468,4360,4324,4216,4124,4428,3908,4064,4080,4136,4232,4496,4372,4132,4384,4372,4288,4340,4312,4536,4608,4744,4360,4328,5108,3952,4560,4716,5620,5436,5308,5596,5632,5219,5364,5005,5346,4662,8346,6120,5408,4842,6193,4268,5541,5205,5734,4622,3547,4048,3723,4051,3676,3434,3661,3920,3673,4018,5261,5475,6197,8360,1065,5881,5205,6543,5857,6286,5437,5120,4652,5023,5491,4102,5694,4697,5132,4384,25712,4250
"18","10","    Agriculture","G170610",1397,1045,1169,1657,1737,1373,1401,1239,1250,1248,1356,1991,1070,1037,1146,923,906,920,877,816,809,840,868,793,788,882,836,694,679,807,681,633,765,786,746,696,774,903,760,682,766,855,762,702,782,846,755,744,693,864,826,729,811,872,846,785,830,1049,977,777,1176,1094,893,925,951,1576,1425,817,858,980,1239,956,1023,1301,1556,1330,986,1641,1398,1278,1084,1005,1656,1149,926,1223,2144
"19","11","    Energy","G170620",434,481,453,459,451,519,440,519,500,479,498,487,474,477,488,444,454,449,442,446,424,429,427,453,472,459,490,411,446,451,454,515,501,494,463,489,501,550,601,573,596,611,610,639,614,596,605,602,592,579,697,647,688,704,643,657,664,703,725,536,535,590,617,972,1186,1050,1214,1928,2099,3034,4405,4612,4679,5630,4786,5375,4428,3673,2511,1920,12,602,144,443,973,954,572
"20","12","    Natural resources","G170630",1404,1664,1960,1356,1544,1272,1488,1828,1592,1468,2252,1228,1464,1296,1928,1592,1796,1440,2196,1652,1492,1336,2516,1836,1460,1496,2464,2076,1836,1656,2524,2088,2464,2300,2828,2276,1144,2744,2384,3624,2109,3433,2488,4294,2576,2698,3968,4471,3301,4382,3788,4229,4521,4931,3735,3831,3793,4546,4068,4226,3999,5216,4941,5460,5274,5243,3882,3438,4846,5459,3801,4717,3686,5230,4264,3968,4620,5680,4184,4305,4362,5484,4560,4521,3859,6548,4586
"21","13","Housing and community services","G170660",3328,3616,3896,4108,4364,4760,5264,6048,6024,6032,6196,6184,6316,6596,6520,6484,6816,7020,7044,10444,10740,11292,11584,11272,11472,11912,12100,12424,13048,12928,13088,12828,13076,13008,12868,13388,13656,14176,14528,14812,14299,14468,13994,14769,13646,14086,14518,13977,14227,14216,14339,13374,14126,14015,14318,17062,17036,24172,21359,20295,18596,16158,17460,16910,16025,15410,16398,20011,22110,24101,25256,24450,24684,24559,24415,21280,21659,20342,19946,20029,20166,18866,18607,19181,21200,19850,18089
"22","14","Health","G170670",78072,80831,85251,88178,84002,86255,87978,89829,95218,94484,93858,92181,94539,102461,99672,97609,98691,98642,101001,105738,103992,106287,106646,110762,114027,113559,120524,121904,121898,123319,133626,129622,138716,145774,143219,153809,155186,159254,163064,166930,165090,170331,187722,183178,189310,194271,187138,192533,198616,199297,195776,198168,191514,187938,197913,189964,209019,199831,204590,207700,208459,214404,213658,220148,262554,282833,274001,277767,278678,286971,299270,315825,290106,283512,253867,254443,255690,266892,269312,272987,271031,274946,289613,284557,305544,308996,348790
"23","15","  Medicaid","GRNMED0",73888,76036,80604,84100,78948,81772,82892,85540,90524,90540,89280,87568,88772,96376,94872,93892,95980,94924,97108,101384,99444,101608,102260,103952,107100,107208,113428,114620,114852,116168,125392,121748,129388,132128,133364,143652,144476,148560,152180,154888,153364,157747,175227,170795,176749,182514,173992,177821,183117,185475,180148,183614,175220,176242,187014,178404,199302,189841,194212,197604,198482,202464,205566,211141,252476,273683,264009,267308,267049,269104,285826,303620,278612,271112,242286,243843,243658,255193,256289,262715,257328,261782,276766,271975,293326,296079,337320
"24","16","  Prescription drug plan \1\","GRNCLW0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7408,-7112,-7376,-6988,-6720,-6824,-7096,-7044,-6860,-7168,-7344,-7328,-7708,-7636,-7616,-5644,-236,-4473,-5800,-6503,-6291,-7550,-8120,-8158,-8321,-8698,-8555,-8942,-8394,-8771,-8995,-9086,-8086,-8738
"25","17","  Other","GRNOTH0",4184,4795,4647,4078,5054,4483,5086,4289,4694,3944,4578,4613,5767,6085,4800,3717,2711,3718,3893,4354,4548,4679,4386,6810,6927,6351,7096,7284,7046,7151,8234,7874,9328,13646,9855,10157,10710,10694,10884,12042,11726,12584,12495,12383,12561,11757,13145,14712,15499,13822,15628,14555,16294,19104,18011,18936,16705,16710,17202,17193,17021,18800,15260,16351,17406,16858,17628,18075,17273,18103,17916,18004,17996,18690,19132,18719,20190,20020,21721,18827,22646,21559,21618,21577,21304,21003,20208
"26","18","Recreation and culture","G170680",120,88,104,120,136,120,128,100,128,100,116,124,296,280,244,220,232,240,220,144,208,164,160,424,184,212,296,228,256,280,252,248,268,304,284,276,368,352,360,384,327,306,477,420,415,446,532,440,434,460,568,258,299,800,572,430,440,439,533,504,386,443,535,495,459,442,500,376,463,484,629,558,477,454,552,530,414,454,480,438,344,376,474,413,346,342,452
"27","19","Education","G170690",14243,13456,12397,14178,13767,14197,13828,15008,13892,14132,14151,12550,15892,15874,14812,15394,14000,15106,15560,16155,17029,14749,16727,17784,18442,16353,18748,21058,18334,19065,19585,20482,21202,22550,20680,21914,24619,24628,24320,27087,32047,33343,31439,28821,36825,34776,34007,38475,36342,36932,37695,37396,37521,40224,40034,38402,36355,37796,37607,36703,39811,37780,38904,39035,31492,66822,61442,66584,73508,70046,69447,60091,64818,73331,54988,48576,45124,42078,44245,42547,35703,39856,40786,38691,35786,39950,38302
"28","20","Income security","G170700",44020,44052,45780,49080,49876,49368,50020,50876,49879,50035,50356,50355,49073,50026,50075,49429,50268,51490,51255,51748,52094,51135,51723,54195,55472,53589,55446,57094,56247,58160,58792,60968,64374,65271,65478,63726,65893,69528,71976,73558,71640,75344,75079,69604,71244,70595,72142,75331,74517,71953,75150,75782,75858,77336,76064,72161,76187,77974,76906,78272,80475,81450,80709,86606,88616,88620,87998,91031,92193,90879,97602,92918,90702,91522,92064,91031,90100,87375,88541,91659,90234,91383,88802,84143,86228,90868,89031
"29","21","  Disability","G170710",924,948,956,924,932,956,972,1152,1168,1192,1208,1216,1232,1256,1272,1372,1388,1412,1420,1332,1344,1364,1372,1632,1644,1668,1672,1612,1616,1640,1644,1640,1648,1664,1676,1736,1748,1764,1776,1764,1774,1788,1808,1822,1838,1851,1871,1935,1951,1965,1989,1976,1994,2010,2039,1849,1870,1889,1924,1858,1886,1911,1951,2146,2184,2217,2268,2370,2438,2438,2438,2735,2735,2735,2735,2592,2592,2592,2592,2509,2509,2509,2509,2621,2621,2621,2621
"30","22","  Welfare and social services","G170730",37748,37484,39052,42872,41292,42724,42700,43928,43055,43735,44444,44107,42433,43342,43215,42561,43848,44542,44975,45312,45486,44515,44687,45659,47796,46105,48246,49514,49215,50560,52072,54308,55974,57003,56946,55218,57025,59596,62524,65098,61212,64691,62718,62063,62752,62092,62767,64348,63650,63164,63632,64324,64168,64850,65183,63029,66465,67469,67194,67786,69549,70918,69973,72614,74222,75392,75550,78309,79822,78034,84661,81207,78885,79061,78406,77680,77465,74948,76412,77704,76381,78357,77234,74020,75646,79766,77648
"31","23","  Unemployment","G170740",3812,3332,3680,3576,3380,2708,3360,3360,3464,3188,3392,3320,3260,3480,3196,3412,3072,3152,3276,3136,3228,3136,3460,3504,3604,3416,3492,3164,3124,3684,3056,2392,3760,3440,3216,2620,3992,3684,3380,3188,3642,3765,3634,3074,3412,3296,3666,3314,3588,3184,3450,3382,3504,3266,3600,3179,3179,3179,3179,3380,3380,3380,3380,3781,3781,3781,3781,4982,4982,4982,4982,4416,4416,4416,4416,4398,4398,4398,4398,4244,4244,4244,4244,3479,3526,3526,3526
"32","24","  Other","G170750",1536,2288,2092,1708,4272,2980,2988,2436,2192,1920,1312,1712,2148,1948,2392,2084,1960,2384,1584,1968,2036,2120,2204,3400,2428,2400,2036,2804,2292,2276,2020,2628,2992,3164,3640,4152,3128,4484,4296,3508,5012,5101,6918,2646,3243,3356,3838,5733,5327,3640,6080,6100,6191,7210,5243,4103,4674,5437,4608,5248,5660,5242,5405,8065,8428,7230,6399,5370,4951,5425,5521,4560,4666,5310,6506,6361,5645,5436,5139,7202,7100,6273,4815,4023,4436,4955,5236
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Includes the Medicare prescription drug ""phased-down state contribution""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","paid by the states to the federal government (commonly known as ""clawback""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","payments).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
