"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"35","26","  Energy goods and services \5\","DNRGRX0",499991,500026,496087,504118,509357,513927,517902,511041,514712,496317,499633,504009,492060,481324,489013
"36","27","  Market-based PCE \6\","DPCMRX0",6909228,7240781,7428660,7629398,7868469,8168699,8457300,8695597,8897854,8848180,8705503,8880066,9096737,9289657,9512161
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRX0",5759383,6067126,6245198,6432748,6647477,6923632,7179494,7402342,7590867,7571962,7436306,7590198,7814206,8016825,8225238
"38",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","      Personal consumption expenditures","DPCERX0",7775909,8170682,8382636,8598775,8867559,9208180,9531811,9821691,10041554,10007182,9846969,10036322,10263452,10449674,10699696
"40","30","Household consumption expenditures \7\","DPHCRX0",7632939,8014757,8211707,8407174,8662884,9000034,9324831,9586573,9800106,9733684,9570953,9757997,9987905,10160521,10398865
"41","31","  Food and beverages purchased for off-premises consumption","DFXARX0",668124,684549,693975,697031,713257,729766,757613,780821,791281,781866,769958,786471,795145,801642,809410
"42","32","  Clothing, footwear, and related services","DCAFRX0",263435,275668,277575,284696,297381,309795,324969,335399,341252,338689,321609,337500,350179,352525,356018
"43","33","  Housing, utilities, and fuels","DHUFRX0",1581232,1629091,1671687,1683168,1705639,1746701,1813843,1846911,1864756,1880502,1905264,1926432,1946457,1956162,1981415
"44","34","  Furnishings, household equipment, and routine household maintenance","DFHHRX0",315969,336220,344874,360766,384105,413768,435063,452391,458032,443844,409812,429354,451423,467543,491306
"45","35","  Health","DHLTRX0",1404382,1465143,1542691,1634624,1691349,1755423,1812491,1869431,1925627,1966873,2000918,2027527,2078482,2139447,2192638
"46","36","  Transportation","DTRNRX0",905299,930124,949714,965257,980979,1004729,1003607,989810,999711,921808,866981,870358,880517,902891,929508
"47","37","  Communication","DCMCRX0",129713,149055,157624,160963,167228,177265,185388,200667,222637,234354,230566,240263,257869,271763,287978
"48","38","  Recreation","DRRLRX0",524313,569083,588627,618369,661022,718155,770873,826411,878243,885977,861781,911418,964859,1017677,1073879
"49","39","  Education","DEDURX0",229484,236756,240282,234907,232845,227758,226973,228286,230245,230580,229051,233937,233746,231329,232842
"50","40","  Food services and accommodations","DFSARX0",511361,534650,533653,541717,561600,584207,605102,624667,632592,626109,600334,609606,625260,641136,655364
"51","41","  Financial services and insurance","DIFSRX0",598668,659236,645974,641679,643080,668733,704086,720065,742536,737423,718955,733929,747155,713749,728518
"52","42","  Other goods and services","DOISRX0",579988,600065,607642,616536,642765,667972,685674,705388,715794,705694,672713,680289,694211,703091,711481
"53","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRX0",-27339,-19508,-6428,-4086,-603,1187,-2720,896,-11881,-22414,-16989,-27533,-31494,-27877,-35130
"54","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",150098,162643,176070,194166,206318,210320,209946,236607,242909,273598,276017,278284,275181,289251,301228
"55","45","  Gross output of nonprofit institutions \2\","DNPERX0",777738,807254,845853,896040,914422,938378,961660,999078,1022197,1055206,1072564,1086020,1097052,1131214,1151408
"56","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",638548,653495,676959,706713,710687,730999,755626,764112,780883,781544,796547,807713,821586,842016,850758
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","5. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","7. Consists of household purchases of goods and services from business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
