"","Table 5#4#4BU# Price Indexes for Private Fixed Investment in Str","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"11","3","  Commercial and health care","W001RG3",86.784,87.357,88.35,89.288,90.478,91.419,92.572,93.717,94.702,95.675,96.506,97.327,98.731,99.594,100.409,101.266,102.117,102.896,104.188,105.069,105.363,106.01,106.393,107.617,109.121,108.887,109.088,110.332,112.349,114.696,117.468,120.427,122.917,125.455,128.421,131.21,133.482,135.627,137.311,140.114
"12","4","    Office\1\","W031RG3",84.798,86.074,87.638,89.052,89.823,90.669,91.835,93.115,94.388,95.544,96.49,97.362,98.794,99.604,100.325,101.068,101.865,102.538,103.704,104.452,104.63,105.204,105.547,106.748,108.317,108.094,108.257,109.409,111.285,113.615,116.519,119.774,122.833,125.81,128.966,132.026,134.551,136.736,138.2,140.744
"13","5","    Health care","W032RG3",87.775,88.065,88.841,89.613,90.508,91.249,92.253,93.303,94.334,95.315,96.197,97.096,98.517,99.505,100.476,101.502,102.781,103.836,105.222,105.986,105.784,106.066,106.25,107.449,109.161,109.117,109.447,110.774,112.83,115.021,117.452,119.86,121.673,123.653,126.097,128.75,131.212,133.343,134.771,137.252
"14","6","      Hospitals and special care","C311RG3",87.535,88.012,88.964,89.905,90.498,91.246,92.258,93.312,94.333,95.315,96.198,97.098,98.516,99.505,100.476,101.503,102.779,103.836,105.223,105.988,105.786,106.066,106.249,107.448,109.152,109.115,109.452,110.78,112.835,115.025,117.451,119.854,121.673,123.652,126.097,128.75,131.212,133.343,134.771,137.252
"15","7","        Hospitals","W033RG3",87.593,88.051,88.997,89.933,90.504,91.252,92.268,93.329,94.372,95.351,96.222,97.099,98.447,99.42,100.395,101.444,102.803,103.894,105.293,106.049,105.782,106.035,106.205,107.403,109.13,109.109,109.453,110.786,112.848,115.032,117.448,119.833,121.604,123.558,125.983,128.625,131.085,133.214,134.64,137.118
"16","8","        Special care","W034RG3",87.393,87.986,88.992,89.944,90.502,91.224,92.21,93.248,94.28,95.264,96.153,97.063,98.503,99.503,100.484,101.519,102.808,103.854,105.234,105.996,105.795,106.091,106.283,107.482,109.171,109.115,109.475,110.853,112.996,115.232,117.664,120.034,121.747,123.665,126.071,128.702,131.164,133.294,134.721,137.201
"17","9","      Medical buildings","W035RG3",88.668,88.216,88.358,88.619,90.531,91.279,92.276,93.312,94.331,95.298,96.171,97.067,98.511,99.504,100.481,101.512,102.808,103.857,105.236,105.993,105.771,106.054,106.237,107.431,109.157,109.089,109.403,110.738,112.818,115.033,117.503,119.95,121.789,123.8,126.261,128.929,131.395,133.529,134.958,137.443
"18","10","    Multimerchandise shopping","W036RG3",88.095,88.192,88.774,89.33,90.995,92.109,93.327,94.412,95.159,95.965,96.667,97.396,98.676,99.532,100.402,101.365,102.238,103.088,104.513,105.571,106.13,106.978,107.469,108.709,110.036,109.657,109.795,111.05,113.158,115.585,118.441,121.484,124.153,126.824,129.771,132.731,135.269,137.466,138.938,141.496
"19","11","    Food and beverage establishments","W037RG3",88.024,88.217,88.759,89.254,91.128,92.208,93.378,94.414,95.124,95.908,96.606,97.351,98.722,99.595,100.459,101.395,102.208,103.012,104.41,105.459,106.049,106.917,107.418,108.658,109.957,109.615,109.802,111.141,113.387,115.897,118.802,121.837,124.48,127.122,130.045,133.001,135.545,137.746,139.221,141.784
"20","12","    Warehouses","W038RG3",88.144,88.18,88.762,89.314,90.969,92.087,93.311,94.403,95.155,95.963,96.667,97.395,98.665,99.521,100.395,101.365,102.249,103.109,104.544,105.608,106.17,107.018,107.509,108.744,110.041,109.666,109.809,111.08,113.199,115.645,118.526,121.596,123.177,125.122,128.93,130.631,132.697,134.722,137.395,141.446
"21","13","    Other commercial\2\","W039RG3",87.95,88.227,88.955,89.628,91.121,92.212,93.401,94.46,95.202,96.003,96.696,97.418,98.698,99.549,100.406,101.347,102.191,103.019,104.423,105.47,106.014,106.865,107.358,108.585,109.92,109.58,109.738,110.992,113.105,115.595,118.505,121.593,124.271,126.957,129.894,132.83,133.647,135.716,138.393,142.384
"22","14","  Manufacturing","B307RG3",87.909,88.485,89.44,90.301,91.128,92.114,93.261,94.338,95.302,96.136,96.85,97.568,98.774,99.581,100.382,101.255,102.118,102.926,104.284,105.258,105.726,106.46,106.803,107.841,108.862,108.173,107.988,108.882,110.585,112.542,114.864,117.301,119.299,121.424,123.944,126.615,129.037,131.133,132.536,134.976
"23","15","  Power and communication","W003RG3",94.625,95.465,95.873,96.08,96.45,96.472,96.624,96.752,96.383,96.439,97.11,97.774,98.679,99.752,100.328,101.241,101.859,102.497,103.473,103.742,104.269,104.766,105.735,106.127,106.665,107.235,108.024,109.001,110.902,115.086,118.237,120.698,121.767,122.838,123.34,124.987,126.637,128.151,129.733,131.65
"24","16","    Power","W028RG3",91.622,92.513,93.205,93.915,94.334,94.486,94.638,94.834,95.112,95.559,96.24,97.415,98.556,99.664,100.452,101.327,101.908,102.571,103.135,103.694,104.302,105.128,106.039,106.929,107.181,107.594,108.179,109.105,111.106,115.986,119.974,123.454,126.151,127.836,128.378,130.087,132.096,134.407,136.565,138.177
"25","17","      Electric","B571RG3",92.062,92.973,93.702,94.401,95.001,95.052,95.193,95.416,95.403,95.611,96.172,97.243,98.488,99.556,100.369,101.354,101.933,102.619,103.282,104.05,105.059,105.803,106.562,107.305,107.219,107.665,108.449,109.728,111.384,113.383,115.439,117.941,119.177,120.28,120.842,122.054,123.918,126.07,127.934,129.368
"26","18","      Other power","W029RG3",90.76,91.597,92.208,92.951,93.107,93.397,93.546,93.675,94.325,95.193,96.137,97.605,98.512,99.817,100.582,101.089,101.313,101.867,102.182,102.168,101.88,103.269,104.72,105.976,106.85,107.234,107.446,107.804,111.401,122.594,130.566,136.329,142.239,145.303,145.785,148.634,150.982,153.674,156.638,158.737
"27","19","    Communication","B314RG3",98.958,99.713,99.717,99.19,99.451,99.235,99.378,99.377,98.009,97.56,98.211,98.301,98.86,99.862,100.108,101.086,101.746,102.389,104.037,103.898,104.299,104.201,105.23,104.79,105.792,106.681,107.89,108.909,110.477,112.959,114.291,114.593,112.511,112.475,112.927,114.461,115.474,115.699,116.306,118.686
"28","20","  Mining exploration, shafts, and wells","B318RG3",85.062,87.717,89.424,92.116,98.662,102.564,101.273,99.782,98.675,96.506,95.333,96.607,96.301,96.962,101.158,105.58,113.05,122.193,127.663,126.55,133.502,142.785,150.036,154.353,156.015,155.855,158.965,160.266,162.07,162.485,167.5,177.087,190.542,198.516,213.626,236.244,252.697,267.06,271.46,271.179
"29","21","    Petroleum and natural gas","B319RG3",84.791,87.596,89.353,92.156,99.031,103.114,101.718,100.116,98.954,96.618,95.309,96.549,96.022,96.604,100.915,105.477,113.397,122.965,128.654,127.492,134.608,144.428,152.147,156.666,158.422,158.292,161.569,162.89,164.671,164.96,170.088,180.067,194.144,202.405,218.288,242.257,259.73,275.005,279.609,279.083
"30","22","    Mining","B320RG3",87.44,88.061,89.092,90.06,90.635,91.351,92.324,93.338,94.324,95.281,96.145,97.033,98.457,99.456,100.448,101.502,102.838,103.912,105.299,106.049,105.777,106.036,106.224,107.443,109.218,109.155,109.439,110.69,112.661,114.776,117.163,119.574,121.431,123.453,125.92,128.586,131.045,133.174,134.599,137.077
"31","23","  Other structures","W004RG3",88.415,89.053,89.924,90.846,91.298,91.997,92.898,93.82,94.706,95.581,96.387,97.239,98.57,99.509,100.409,101.512,102.662,103.606,104.901,105.75,105.752,106.162,106.425,107.528,108.966,108.903,109.171,110.324,112.137,114.087,116.308,118.471,120.073,121.865,124.092,126.442,128.55,130.395,131.753,134.023
"32","24","    Religious","C309RG3",87.358,87.958,88.975,89.94,90.474,91.207,92.21,93.26,94.343,95.334,96.223,97.125,98.532,99.513,100.476,101.496,102.778,103.82,105.203,105.975,105.776,106.076,106.27,107.471,109.192,109.133,109.46,110.772,112.822,115.011,117.455,119.895,121.749,123.768,126.235,128.904,131.369,133.503,134.932,137.416
"33","25","    Educational and vocational","W044RG3",87.282,87.955,89.022,90.011,90.841,91.753,92.841,93.885,94.756,95.642,96.435,97.255,98.726,99.593,100.383,101.177,102.071,102.906,104.287,105.279,105.761,106.532,106.945,108.1,109.342,108.873,108.876,109.948,111.825,113.917,116.329,118.813,120.801,122.919,125.45,128.143,130.594,132.715,134.136,136.605
"34","26","    Lodging","W045RG3",87.623,88.035,88.931,89.83,90.379,91.121,92.15,93.242,94.325,95.348,96.258,97.168,98.563,99.543,100.51,101.535,102.826,103.876,105.26,106.027,105.812,106.106,106.299,107.501,109.248,109.182,109.461,110.71,112.668,114.81,117.221,119.665,121.571,123.632,126.123,128.799,131.263,133.395,134.823,137.305
"35","27","    Amusement and recreation","W046RG3",87.754,88.569,89.528,90.638,90.487,91.167,92.155,93.225,94.307,95.342,96.27,97.198,98.617,99.604,100.562,101.577,102.813,103.826,105.192,105.962,105.783,106.092,106.287,107.478,109.172,109.097,109.414,110.729,112.778,114.976,117.425,119.867,121.723,123.746,126.212,128.878,131.343,133.477,134.906,137.389
"36","28","    Transportation","W047RG3",92.219,92.477,92.859,93.21,93.953,94.604,95.182,95.756,96.317,96.628,97.152,97.784,98.798,99.563,100.397,101.242,102.456,103.672,105.087,106.048,106.048,106.348,106.669,107.581,108.624,109.189,109.7,110.602,111.927,112.655,113.446,113.878,114.252,114.853,115.953,117.159,117.891,118.463,119.532,120.929
"37","29","      Air","W048RG3",87.529,88.492,89.569,90.739,90.65,91.298,92.244,93.255,94.263,95.227,96.103,97.011,98.326,99.309,100.314,101.428,102.884,104.016,105.398,106.151,105.851,106.082,106.236,107.43,109.167,109.144,109.491,110.83,112.9,115.091,117.536,119.966,121.866,123.856,126.296,128.954,131.417,133.551,134.984,137.486
"38","30","      Land\3\","W049RG3",93.401,93.506,93.747,93.942,94.856,95.509,96.008,96.488,96.946,97.086,97.496,98.025,98.901,99.59,100.375,101.134,102.305,103.595,105.04,106.079,106.129,106.437,106.801,107.635,108.523,109.23,109.774,110.584,111.744,112.19,112.673,112.78,112.948,113.367,114.297,115.331,115.869,116.262,117.288,118.59
"39","31","    Farm","B316RG3",87.377,87.976,88.993,89.959,90.52,91.257,92.257,93.304,94.311,95.296,96.177,97.077,98.449,99.434,100.412,101.44,102.801,103.898,105.303,106.066,105.789,106.04,106.215,107.424,109.125,109.081,109.445,110.825,112.935,115.165,117.588,119.934,121.664,123.572,125.958,128.587,131.046,133.175,134.6,137.078
"40","32","    Other\4\","W050RG3",90.212,91.619,92.448,93.567,92.93,92.991,93.488,94.005,94.618,95.252,95.944,97.06,98.274,99.606,100.552,101.568,102.423,103.01,103.512,104.244,104.922,105.508,106.079,106.576,107.114,107.617,108.31,109.239,110.14,112.408,115.688,119.001,120.805,123.178,125.706,127.937,129.37,131.024,133.434,136.176
"41","33","    Brokers' commissions on sale of structures","B321RG3",95.045,96.385,96.574,96.576,97.815,98.592,98.623,98.188,97.631,98.068,98.227,98.355,98.545,98.737,98.96,103.847,104.078,103.808,105.522,105.396,105.518,105.703,105.796,106.232,106.296,106.327,106.325,106.323,106.319,106.846,107.25,107.252,107.256,107.259,107.759,107.262,106.889,106.889,106.889,106.889
"42","34","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","Residential","B012RG3",88.734,89.187,89.979,90.667,90.924,91.565,92.484,93.369,94.312,95.368,96.19,96.96,98.665,99.624,100.424,101.286,102.665,103.956,105.732,106.483,106.252,106.84,107.262,109.121,111.653,111.741,112.485,114.639,117.575,120.166,122.376,124.091,124.766,125.92,128.069,130.063,131.293,132.236,132.182,133.441
"44","36","  Permanent site","B943RG3",87.594,87.888,89.034,89.938,90.239,90.887,91.939,93.02,94.131,95.213,96.061,96.873,98.799,99.672,100.353,101.176,102.56,103.699,105.88,107.049,106.64,107.174,107.481,109.717,112.846,112.549,113.116,115.643,119.263,122.214,124.551,126.024,126.196,127.133,128.944,130.869,132.247,133.034,132.781,134.747
"45","37","    Single-family structures","B944RG3",88.162,88.41,89.5,90.277,90.293,90.758,91.713,92.783,94.015,95.199,96.122,96.957,98.802,99.671,100.373,101.226,102.717,103.938,106.166,107.34,106.858,107.339,107.625,109.878,113.05,112.825,113.49,116.139,119.92,122.973,125.354,126.801,126.866,127.728,129.493,131.398,132.782,133.572,133.318,135.292
"46","38","    Multifamily structures","B292RG3",83.256,83.874,85.422,87.224,89.529,91.581,93.462,94.681,94.866,95.195,95.509,96.214,98.912,99.855,100.381,100.912,101.316,101.731,103.476,104.574,104.766,105.674,106.097,108.121,110.734,109.772,109.487,110.926,113.207,115.288,117.284,119.01,120.086,121.675,123.881,125.973,127.3,128.058,127.814,129.707
"47","39","  Other structures","A863RG3",90.399,91.078,91.37,91.755,91.946,92.577,93.3,93.894,94.584,95.601,96.388,97.095,98.458,99.553,100.534,101.455,102.824,104.35,105.504,105.623,105.661,106.332,106.929,108.221,109.838,110.515,111.53,113.108,114.96,116.988,119.003,121.113,122.607,124.12,126.832,128.948,129.92,131.133,131.404,131.586
"48","40","    Manufactured homes","B945RG3",93.718,94.313,94.618,94.822,94.893,95.35,95.833,96.404,96.964,98.142,98.738,99.185,99.376,99.918,100.347,100.608,100.562,101.228,102.155,102.868,102.717,103.384,103.549,103.502,103.436,104.604,105.441,107.327,107.326,112.749,117.5,120.644,122.265,124.111,125.119,126.262,127.216,130.47,132.377,132.521
"49","41","    Dormitories","B295RG3",88.137,88.408,89.515,90.303,90.288,90.722,91.656,92.714,93.912,95.09,96.02,96.879,98.805,99.716,100.446,101.32,102.76,103.944,106.15,107.315,106.831,107.317,107.615,109.888,113.063,112.864,113.576,116.321,120.228,123.328,125.674,126.965,126.896,127.627,129.324,131.192,132.573,133.362,133.109,135.08
"50","42","    Improvements","B946RG3",90.036,90.775,91.106,91.44,91.59,92.198,92.888,93.607,94.524,95.554,96.445,97.103,98.705,99.668,100.418,101.21,102.331,103.479,104.829,105.416,105.229,105.678,106.043,107.459,109.565,109.766,110.452,112.369,115.011,117.66,119.757,121.479,122.762,124.318,126.595,128.729,130.072,131.874,132.343,133.1
"51","43","    Brokers' commissions on sale of structures","B758RG3",90.122,90.682,90.916,91.481,91.781,92.501,93.372,93.765,94.101,95.065,95.728,96.599,97.798,99.268,100.797,102.087,104.149,106.544,107.381,106.541,107.051,108.126,109.196,110.442,111.372,112.8,114.363,115.38,116.119,116.938,118.651,121.28,123.101,124.533,127.987,130.161,130.547,130.607,130.398,129.54
"52","44","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","45","  Private fixed investment in new structures\5\","W040RG3",88.276,88.876,89.788,90.625,91.36,92.165,93.022,93.892,94.753,95.609,96.365,97.148,98.656,99.54,100.41,101.394,102.771,104.132,105.951,106.749,106.986,107.858,108.505,110.248,112.478,112.367,112.988,114.923,117.749,120.424,122.953,125.192,126.704,128.404,131.059,134.145,136.448,138.434,139.107,140.864
"55","46","    Nonresidential structures","A771RG3",87.993,88.795,89.761,90.759,92.091,93.111,93.886,94.645,95.283,95.863,96.5,97.323,98.481,99.371,100.467,101.681,103.187,104.838,106.535,107.08,108.087,109.485,110.648,112.03,113.344,113.288,113.946,115.119,117.026,119.26,122.206,125.736,129.243,132.119,136.29,141.714,145.953,149.726,151.683,153.733
"56","47","    Residential structures","A756RG3",88.528,88.966,89.835,90.541,90.789,91.417,92.344,93.303,94.337,95.408,96.257,97.013,98.79,99.675,100.368,101.167,102.442,103.572,105.49,106.483,106.141,106.653,106.974,108.932,111.716,111.586,112.192,114.542,117.844,120.746,123.049,124.608,125.089,126.195,128.109,130.072,131.433,132.51,132.478,134.071
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
