"","Table 6#19B# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"30","23","      Instruments and related products","B3223C0",120,102,156,157,161,169,216,233,249,242,229,314,280,282,351,392,429,606,762,717,731,766,570,541,660,721,662,779,980,1094,1315,1218,1234,1516,567,728,1060,402,15,248
"31","24","      Miscellaneous manufacturing industries","B3224C0",216,150,240,187,145,135,141,184,188,174,158,200,157,167,207,208,237,298,303,310,295,258,200,210,373,485,401,556,608,677,709,758,504,725,512,-104,688,640,317,755
"32","25","    Nondurable goods","A3225C0",6397,4827,6342,5304,4614,5116,5377,6750,6996,6504,5804,7290,7088,6721,7076,7498,8616,10195,11333,10948,11155,10579,10096,10952,11738,16163,21154,21088,25021,25977,30283,38704,42338,51288,42547,35126,31168,31735,6824,23061
"33","26","      Food and kindred products","B3226C0",935,926,1023,758,716,798,811,962,932,894,1039,1167,1160,1170,1225,1422,1487,1664,1863,1735,1670,1635,1780,1971,1847,2485,2811,4067,3984,4004,4213,3983,4309,4551,3945,4091,3633,3473,3471,6094
"34","27","      Tobacco manufactures","B3227C0",142,155,150,124,118,139,155,184,192,208,246,269,282,306,304,320,319,324,343,360,345,372,440,500,470,400,483,593,661,721,1009,1064,1190,1008,1083,1464,1598,1467,1479,477
"35","28","      Textile mill products","B3228C0",911,385,670,435,213,219,112,285,299,247,213,404,330,293,369,378,484,635,619,514,582,497,438,488,566,707,407,334,661,757,1082,928,824,748,492,964,613,596,1207,1401
"36","29","      Apparel and other textile products","B3229C0",179,97,174,75,95,79,84,122,126,100,113,164,157,184,232,225,298,365,455,433,462,403,383,450,664,658,493,741,795,946,983,865,1042,1071,1210,1561,930,692,1109,1309
"37","30","      Paper and allied products","B3230C0",492,341,548,535,419,434,461,575,685,540,456,586,535,522,530,571,652,769,920,818,876,943,744,687,999,1555,1913,1467,1894,1928,2142,2996,2227,2110,1994,1865,2680,2334,2839,4075
"38","31","      Printing and publishing","B3231C0",367,342,334,302,309,308,317,413,423,434,374,489,484,453,512,560,758,924,1082,961,964,1026,973,1084,1243,1436,1544,1805,2028,2543,2959,3104,3028,3153,3189,3690,4125,4751,4219,4637
"39","32","      Chemicals and allied products","B3232C0",933,912,1310,1037,857,872,1053,1422,1379,1375,1190,1651,1558,1519,1562,1797,2105,2566,2773,2352,2477,2223,2033,2272,2776,3576,3985,3708,4626,4286,4491,4982,3887,5330,2330,3114,4196,2598,2046,7509
"40","33","      Petroleum and coal products","B3233C0",2225,1526,1814,1817,1680,2067,2188,2492,2673,2455,1915,2226,2303,1985,1997,1871,2102,2469,2709,3204,3114,2894,2987,2952,2495,4521,8795,7626,9431,9646,12151,19558,24886,32017,27094,16714,11657,13945,-10678,-4040
"41","34","      Rubber and miscellaneous plastics products","B3234C0",134,89,226,177,144,147,135,215,214,177,198,247,211,223,262,258,300,343,420,406,502,476,245,433,562,718,617,572,642,936,968,910,531,902,823,1308,1450,1668,1066,1221
"42","35","      Leather and leather products","B3235C0",79,54,93,44,63,53,61,80,73,74,60,87,68,66,83,96,111,136,149,165,163,110,73,115,116,107,106,175,299,210,285,314,414,398,387,355,286,211,66,378
"43","36","  Transportation and public utilities","A3236C0",1957,1758,2430,2282,2336,2373,2212,2806,2886,2761,2799,3401,3611,3699,4255,4895,5497,6290,6825,6054,5503,5451,4359,4958,5748,5983,6562,7986,12109,14629,16589,15170,16269,17894,18134,21917,29338,22951,20065,23992
"44","37","    Transportation","A3237C0",985,673,1114,941,848,751,391,688,652,465,325,450,300,308,489,714,898,1287,1353,729,382,114,-481,189,748,720,1761,389,2071,2734,2984,2758,1967,711,-1232,1388,4156,65,-183,1508
"45","38","      Railroad transportation","B3238C0",690,380,713,553,550,457,116,315,307,255,78,136,91,86,110,231,223,323,405,-45,-37,-66,-404,-243,-103,-93,516,-202,181,452,103,746,1290,164,-313,298,1756,606,331,384
"46","39","      Local and interurban passenger transit","B3239C0",43,21,24,36,31,22,16,26,20,23,28,53,45,43,44,50,64,87,75,61,67,48,6,-34,21,14,32,38,71,84,89,133,163,126,114,183,185,104,18,-6
"47","40","      Trucking and warehousing","B3240C0",116,108,156,106,101,112,101,128,90,105,97,151,93,160,225,203,234,345,333,244,342,314,270,496,628,554,566,505,861,994,1160,937,645,874,515,1351,1502,1314,1833,1216
"48","41","      Water transportation","B3241C0",71,80,73,105,48,45,11,63,97,2,15,18,19,37,41,68,98,86,113,80,77,2,-33,-53,-30,-15,225,101,153,132,77,149,74,-74,-432,-455,-597,-814,-618,-102
"49","42","      Transportation by air","B3242C0",-2,15,48,51,34,39,52,60,32,-31,-4,-19,-68,-116,-25,55,170,320,286,205,-161,-274,-451,-139,53,130,165,-323,450,758,1042,-97,-1001,-1293,-1929,-748,648,-1619,-1971,-530
"50","43","      Pipelines, except natural gas","B3243C0",38,43,70,59,55,51,64,59,66,72,72,83,76,67,69,84,73,87,89,96,75,76,100,118,122,105,177,189,209,179,370,617,604,720,680,602,413,514,335,525
"51","44","      Transportation services","B3244C0",29,26,30,31,29,25,31,37,40,39,39,28,44,31,25,23,36,39,52,88,19,14,31,44,57,25,80,81,146,135,143,273,192,194,133,157,249,-40,-111,21
"52","45","    Communication","A3245C0",254,270,417,432,480,560,631,826,882,935,1107,1340,1415,1528,1802,1964,2104,2353,2617,2591,2471,2720,2542,2327,2427,2755,2803,3389,4267,4915,6192,5978,6096,6854,7151,8229,9478,10519,11874,12072
"53","46","      Telephone and telegraph","B3246C0",225,251,385,391,435,523,593,749,798,865,1029,1234,1288,1435,1661,1824,1977,2171,2412,2455,2380,2587,2417,2194,2175,2522,2537,3093,3699,4168,5335,5165,5455,6257,6746,7945,8838,10310,12918,12740
"54","47","      Radio and television","B3247C0",29,19,32,41,45,37,38,77,84,70,78,106,127,93,141,140,127,182,205,136,91,133,125,133,252,233,266,296,568,747,857,813,641,597,405,284,640,209,-1044,-668
"55","48","    Electric, gas, and sanitary services","B3248C0",718,815,899,909,1008,1062,1190,1292,1352,1361,1367,1611,1896,1863,1964,2217,2495,2650,2855,2734,2650,2617,2298,2442,2573,2508,1998,4208,5771,6980,7413,6434,8206,10329,12215,12300,15704,12367,8374,10412
"56","49","  Wholesale trade","B3249C0",1534,968,1709,1343,1034,935,842,1307,1442,1327,1247,1582,1371,1419,1601,1659,2121,2539,2760,2631,2998,3301,3330,3599,5881,9374,12821,11309,11202,12910,15600,19865,19262,19430,15709,18025,21816,13384,13445,14623
"57","50","  Retail trade","B3250C0",2239,1623,2111,1516,1373,1227,1213,1588,1525,1445,1420,1815,1493,1775,2077,2203,2956,3392,3352,3919,4363,4442,4305,5037,5132,5938,5754,7123,8347,10208,11712,11124,9309,8826,10142,13761,14853,15322,14854,15963
"58","51","  Finance, insurance, and real estate","A3251C0",2424,2810,2607,2661,3063,3344,3480,3836,3948,3911,3962,5008,5196,5177,5455,5066,4996,5941,7030,6773,7484,7519,8208,9855,10716,10916,9853,10173,13357,19120,23415,22024,14803,9131,5989,15220,10040,13910,19393,21215
"59","52","    Banking","B3252C0",1141,1146,1159,1311,1334,1417,1317,1790,2124,2090,1796,2408,2487,2324,2381,2684,2422,3300,3646,3539,4339,5348,5410,5220,5671,6102,6935,7637,7843,7763,8821,9404,7455,7283,9360,14240,14079,20031,23555,23149
"60","53","      Federal Reserve banks","B3253C0",61,42,-7,39,54,51,46,44,66,82,71,-177,45,86,64,74,-447,45,36,46,38,56,32,-45,113,135,131,228,2,172,639,154,92,369,40,357,379,-1450,-2288,-2026
"61","54","      Commercial and mutual banks","B3254C0",1080,1104,1166,1272,1280,1366,1271,1746,2058,2008,1725,2585,2442,2238,2317,2610,2869,3255,3610,3493,4301,5292,5378,5265,5558,5967,6804,7409,7841,7591,8182,9250,7363,6914,9320,13883,13700,21481,25843,25175
"62","55","    Credit agencies other than banks","B3255C0",308,382,466,486,688,657,741,852,952,1023,1117,1215,1294,1487,1548,1395,1429,1500,1331,1360,1443,1364,1324,1946,2345,2726,2440,2384,3273,4365,5251,4171,-420,-6556,-7404,-748,-219,662,1147,4712
"63","56","    Security and commodity brokers","B3256C0",0,11,12,-1,4,16,39,9,6,8,8,30,29,49,-1,22,41,75,103,181,235,-63,-289,-37,-44,85,-24,157,-372,-286,109,-182,22,-589,-1197,-267,-1411,-647,-1310,158
"64","57","    Insurance carriers","B3257C0",586,847,542,488,663,830,927,757,464,321,569,806,847,887,842,460,399,459,1179,1090,825,572,1522,2528,2959,2347,881,406,2796,6124,7288,7061,7234,7832,5302,1595,-2150,-7173,-6342,-5415
"65","58","    Insurance agents, brokers, and service","B3258C0",46,41,41,38,46,45,46,44,61,60,68,84,93,67,94,116,145,154,191,174,202,196,278,319,288,328,313,398,397,861,867,876,793,821,733,531,605,870,1279,2284
"66","59","    Real estate","B3259C0",418,451,460,391,372,419,466,432,346,355,412,446,405,322,365,388,510,567,682,652,781,562,302,401,150,-45,-366,-292,195,1062,1169,1073,-194,-1628,-2320,-1387,-2772,-3660,-3929,-2379
"67","60","    Holding and other investment offices","B3260C0",-75,-68,-73,-52,-44,-40,-56,-48,-5,54,-8,19,41,41,226,1,50,-114,-102,-223,-341,-460,-339,-522,-653,-627,-326,-517,-775,-769,-90,-379,-87,1968,1515,1256,1908,3827,4993,-1294
"68","61","  Services","A3261C0",381,359,317,305,317,286,287,319,369,377,340,452,446,391,419,573,797,1024,1296,1475,1382,1113,991,1215,1766,2471,2287,3020,4067,5826,6630,7146,7523,8703,8791,8658,8139,8153,8612,8617
"69","62","    Hotels and other lodging places","B3262C0",78,69,58,51,56,41,38,28,34,30,8,6,-21,-38,-45,-45,-41,7,46,122,128,125,22,-23,60,23,-93,-22,135,235,497,589,504,330,187,123,-188,-440,-827,-877
"70","63","    Personal services","B3263C0",49,50,43,42,42,43,44,48,63,68,72,80,83,78,71,106,144,184,192,199,223,197,157,162,191,206,282,297,340,366,419,447,463,507,590,492,564,405,378,601
"71","64","    Business services","B3264C0",83,84,93,90,90,95,89,112,148,188,180,202,209,212,189,260,302,384,506,515,371,234,162,316,538,822,477,836,1080,1877,1847,1814,1620,1950,2292,1601,2383,1911,2360,2280
"72","65","    Auto repair, services, and parking","B3265C0",13,10,15,15,17,17,11,15,13,0,14,33,27,34,50,41,58,76,77,72,105,118,65,63,107,160,127,165,271,346,293,229,216,275,210,229,32,-279,13,-256
"73","66","    Miscellaneous repair services","B3266C0",8,6,2,2,0,-5,-16,-8,-3,-9,-14,-7,9,14,17,14,33,37,45,35,37,56,48,42,57,63,117,110,119,168,213,167,196,254,171,180,307,228,321,421
"74","67","    Motion pictures","B3267C0",69,70,60,45,44,36,73,63,34,15,-11,6,24,-15,-4,19,82,104,114,117,143,20,90,57,83,127,186,221,343,390,660,670,547,492,590,290,-112,26,-40,-880
"75","68","    Amusement and recreation services","B3268C0",35,22,-1,3,13,7,-4,-5,-4,-1,6,32,14,9,5,0,30,23,62,45,57,68,93,135,54,125,182,195,269,356,406,394,361,403,218,-48,-696,-356,-426,-781
"76","69","    Other services","A3269C0",46,48,47,57,55,52,52,66,84,86,85,100,101,97,136,178,189,209,254,370,318,295,354,463,676,945,1009,1218,1510,2088,2295,2836,3616,4492,4533,5791,5849,6658,6833,8109
"77","70","      Health services","B3270C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,56,58,60,128,145,140,250,316,448,579,717,920,1003,1295,1497,1808,2369,2909,3078,3917,3968,4350,4432,4876
"78","71","      Legal services","B3271C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,7,1,5,2,6,27,42,40,63,68,92,110,149,182,276,293,401,621,788,834,907,1248,1435
"79","72","      Educational services","B3272C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,21,11,26,17,11,-3,-38,-18,-13,25,17,67,62,101,143,99,207,119,145,141,186,173,79,302
"80","73","      Other \1\","B3273C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,111,133,167,220,160,152,115,123,201,278,207,139,335,543,473,653,747,1063,689,945,861,1228,1074,1496
"81","74","Rest of the world \2\","A3274C0",1261,1125,1269,1744,1888,1798,1962,2354,2821,3092,2523,2718,3137,3316,3772,4081,4469,4706,4528,4775,5636,6595,7100,7855,9534,14898,17469,14631,16548,19113,22869,34611,35471,29679,32583,35059,36566,38105,39474,48012
"82","75","  Receipts from the rest of the world","B3275C0",1652,1554,1767,2249,2345,2288,2442,2890,3356,3630,3078,3382,3790,4045,4494,4885,5379,5782,5656,5990,6996,8047,8656,9781,11751,17575,20398,17906,20938,23790,29001,42560,43845,38078,36669,41103,46103,46805,48718,58923
"83","76","  Less: Payments to the rest of the world","B3276C0",391,429,498,505,457,490,480,536,535,538,555,664,653,729,722,804,910,1076,1128,1215,1360,1452,1556,1926,2217,2677,2929,3275,4390,4677,6132,7949,8374,8399,4086,6044,9537,8700,9244,10911
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","their incorporated foreign affiliates, and earnings of unincorporated foreign affiliates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","(line 75), net of corresponding payments (line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
