"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","4","            Compensation of general government employees","A194RL1",4.7,1.2,-2.2,6,14.4,6.8,18.8,-6,8.2,1.3,4.5,22.7,49,60.6,14.7,-4.4,-55.7,-24.1,1.8,4.8,5.3,26.6,8.3,-0.2,-1.7,-0.3,1.9,2.2,0.8,0.9,3.5,3.7,3.9,2.8,3.5,3.6,7.1,5.6,4.1,2.7,0.3,0.4,0.1,0.7,2.4,1.7,0.8,1,2,0.9,1.2,0.2,0.7,0.1,0.6,2.3,1.8,1.5,2.1,1.9,2.2,0.5,-0.2,-0.2,-0.3,-0.2,-0.1,0.6,0.9,0.7,1.5,1.7,1.8,1.1,0.3,0.6,0.3
"12","5","            Consumption of general government fixed capital \2\","A265RL1",4.7,5.2,4,2.9,3.7,5.3,6.2,4.9,5.7,5.7,6.2,24,73.9,81.6,51.1,19.9,-4.4,-15.2,-14.4,-10.8,-8.3,-0.5,8.6,9.1,6.1,2.6,1.5,1.6,1.5,2.8,3.3,2.8,3.9,3.7,3.1,2.5,2.9,3.8,3.2,1.8,0.8,-0.8,-1.6,-1,0.1,1,1.5,1.5,1.6,2,2.6,2.7,2.9,3.7,4.9,6.1,6.4,6,5.1,4.8,4.7,4,3.1,2.2,1.5,1.3,1.5,1.9,2.2,2.8,2.9,2.7,2.6,2.1,2.3,2.6,2.8
"13","6","          Intermediate goods and services purchased \3\","W104RL1",14.4,10.4,2.8,19.1,26.4,-6.5,22.2,-9.7,17.7,10.3,-6.1,51,176.7,46.3,20.6,-5.3,-73.5,-33.8,30.4,29.6,-2.7,54.3,37.8,13.7,-17.2,-2.7,-5.2,13.8,3.1,1.7,-3.6,3,14,5.9,0.6,5.2,15.5,13.9,6.8,-0.3,-4,0.6,4.7,-3,2,2.8,-0.8,4.6,3.2,2.3,2.2,4.5,5.1,7.3,2.1,10.5,10.6,1.1,0.3,2.4,2.3,2.6,1.7,0.1,2.4,1.2,1.4,4,3.9,6.5,3.2,6.7,7.8,3.6,4.2,1.3,3.3
"14","7","            Durable goods","W105RL1",1,9.4,-8.8,50.4,59.7,10.5,39.6,-11.3,24.4,-1,-7.7,333.5,379.7,82.9,8.8,9.5,-95.5,-32.7,76.4,17.2,57.2,122.4,72.9,11.6,-26,-14.8,-4.6,5.4,3.2,-26.4,-13.1,-14.4,22.8,2.7,-10.8,6.6,36.8,-1.3,13.8,-12.6,-7,-18.6,22.3,-3.9,-7.8,3.5,-4.7,17.8,9.1,6.7,3.5,11.9,7.4,15.6,2.3,6.7,7,5.8,2.8,-1.6,-1.5,-2.1,-5.7,-5.1,-7.5,-2.7,1.2,3.4,3.7,5.7,2.2,3.6,3.2,4.3,6.8,2.5,4.2
"15","8","            Nondurable goods","W106RL1",19.5,13.2,6.2,16,24.3,-9.6,27,-10.9,20.4,15.3,-7.8,8.9,168.2,25.4,21.2,-27.8,-72.3,-11.1,32.1,56.6,-25.2,18.4,23,65.8,-18.7,-17.2,-26.2,9.1,8.8,51.1,-20.6,-0.5,26.9,-3.3,4.8,7.3,7.7,34.3,14.5,3.9,-13.4,-0.2,4.7,-8.8,1.6,2.5,4.3,6.2,2.6,-0.3,1.5,7.1,-2.3,5.4,-3.4,9.4,15.6,-6.1,-6.9,12.9,0.6,4.7,3.5,3.2,3.5,2.5,2.7,4.8,6.9,5.7,5.3,7,6.3,-0.6,3.6,1.2,1.5
"16","9","            Services","W107RL1",11.2,7.7,0.7,19.3,24.4,-6.1,14.3,-8,13.6,7.8,-3.8,38.2,52.6,11.8,68,9,-21.7,-45.2,20.9,11.7,5.4,53.5,25.4,-12,-6.3,20.5,7.4,20.5,0.9,-3.7,11.5,10.3,6.6,11.1,2,3.9,13.9,9.9,1.5,0.8,1.7,5,1.9,-0.4,3.9,2.8,-2.4,1.8,2.4,2.7,2.3,1.7,8.7,6.4,4.6,11.8,9.7,2.6,2,0.2,3.7,2.7,2.5,0,3.6,1.3,1,3.8,2.9,6.9,2.6,6.9,8.8,5,4.2,1.3,3.9
"17","10","        Less: Own-account investment \4\","W108RL1",11.8,-5.7,-26.6,514.9,98,6.2,94.7,-25.5,32.1,-10.4,-18.8,-14.5,-31.5,-64.2,-59.9,35.6,-62.8,35.3,38.1,31.6,9.7,34.5,30.1,-0.7,-4.5,-8.2,6.8,5.1,8,24.2,-5.1,4.6,4.1,4.7,-1.8,3,7.1,-7.7,1,-1,1.4,1,-0.5,-4,3,-4.3,-9.3,-9.3,8.4,14.8,5,-3,3.3,1.9,11.1,9.5,5.6,4.3,4.2,11.4,4.6,3.9,-0.7,-1.3,-1.7,0.8,-0.8,5.6,1.4,0.7,0.4,11.5,0.5,-3.5,-0.7,1.4,4.2
"18","11","              Sales to other sectors","W109RL1",17.1,10.5,0.8,2,6.3,0.9,-17.2,5.1,7.9,7.1,6.5,11.4,29.6,60.2,45.9,61.8,-4.3,-67.2,-12.4,-0.3,16.8,9.5,-15.3,2.9,10.6,38.2,-13.2,17.1,7,-0.8,1.5,4,11.1,10.4,8.4,11,12.8,4.4,8.4,4.7,3.9,8.2,12.2,5.4,1.6,-1.9,3.4,5.1,5.1,5.3,0.5,2.9,2.1,2.7,0.3,3.1,3.4,2,2.4,2.5,2,3.6,3.8,4,4.7,1.9,2,2,4.7,1.7,5.8,5.9,3.1,-0.1,1,2.3,1.8
"19","12","Federal consumption expenditures \1\","A957RL1",6.6,-2.5,-3.9,17.2,34.3,-8.4,76.9,-11.6,13.8,11.2,5.1,88,197.4,75.5,24.3,-5.4,-66.2,-26.7,3.3,5.2,-4.6,50.7,27.7,7.6,-11.6,-5.8,-1.8,5.4,-2,-0.4,-1.5,1.8,9.5,2.6,-0.6,1.3,10.9,11.4,3.4,-2.2,-7.3,-5,-2.8,-5.7,-0.9,-0.8,-1.2,2,2,1.4,4.3,4.5,3.4,4.9,1.3,5.9,4.4,2.4,-0.3,1.4,1.5,0.3,-2.1,-3.4,-2.9,-2.9,-1.9,0.3,-2,1.7,1.3,4.1,6.6,6.9,4,0.9,1.4
"20","13","      Gross output of general government","W110RL1",5.6,-3.1,-4.3,38.9,29.3,3.4,52.4,-12.2,10.8,10.9,4.9,81.7,190,74.8,25,-2.6,-63.2,-34.3,2.1,4.4,-3.8,51,26.2,7.5,-11.4,-4.4,-2.8,6.1,-1.9,-0.7,-1.6,1.7,9.4,2.6,-0.7,1.4,11.3,10.5,3.3,-2.2,-7.2,-4.9,-2,-5.4,-0.6,-1.3,-1.5,2.3,2.2,1.7,4,4.1,3.3,4.7,1.4,5.9,4.3,2.5,-0.1,1.4,1.6,0.4,-2.2,-3.5,-2.5,-3.4,-1.8,-0.3,-1.9,1.3,1.5,3.8,6.4,6.8,3.9,1.1,1.3
"21","14","        Value added","W111RL1",7.2,-4.1,-4.5,23.4,33.1,10.9,65.2,-13.3,13,2,9.4,52.3,102,93.9,26.6,0.1,-53.1,-29.4,-7.6,-4.4,0,31.5,11.4,0.4,-2.5,-2.3,-1.1,-0.3,-2.8,-0.8,1.9,2.1,4.1,0.9,1,0.7,6.6,6.5,1.7,0.3,-4.3,-4.6,-4.9,-3.7,-0.3,-0.6,0.2,0.3,1.3,-0.1,1.6,1.5,1.6,2.3,2.3,2.8,1.8,2.6,1.2,1.2,1.8,0.6,-2.1,-1.9,-3.3,-3.8,-2.7,-1.9,-1.1,-0.8,0.9,0.5,2,2.7,1,0.6,-0.3
"22","15","          Compensation of general government employees","B568RL1",9.2,-5.3,-5.4,27.5,36.8,10.2,72,-15.2,13.4,1.3,9.3,50.5,91.9,87.4,18.5,-5.7,-65,-36.8,1.2,2.8,7.1,49.5,11.8,-3.1,-6.1,-4.1,-1.8,-0.7,-4.2,-2.1,1.6,2.2,4.5,0,0.5,0.5,8.6,7.9,1.5,0.3,-5.3,-5,-4.9,-3.7,0.3,-0.5,0.1,0.1,1.3,-0.6,1.3,1.1,1,1.5,1,1.4,-0.1,1.2,-0.2,0.1,1,-0.3,-3.5,-2.9,-4.3,-4.9,-3.7,-2.5,-1.5,-1.4,0.8,0.4,2.4,3.1,0.7,0.1,-1.1
"23","16","          Consumption of general government fixed capital \2\","B995RL1",-1.1,1.5,0.2,2.5,9.4,15.9,15.6,8.5,9.5,7.6,10.7,65.2,166.6,127.9,64.6,23.3,-4.8,-17.3,-17.3,-13.9,-11.4,-1.9,10.1,10.6,6.4,1.7,0.4,0.4,0,1.9,2.5,1.9,3.4,3,1.9,1.1,1.5,2.8,2,0.2,-1.1,-3.4,-4.7,-3.8,-2.4,-0.8,0.4,0.9,1.1,1.7,2.6,3.1,3.9,5.2,6.7,8,8.2,7.5,5.8,4.7,4.3,3.4,2.2,1,-0.1,-0.6,-0.2,-0.2,-0.1,0.9,0.9,0.9,0.8,1.1,1.8,2.6,2.5
"24","17","        Intermediate goods and services purchased \3\","W113RL1",1.8,-0.6,-3.7,84.9,21.4,-12.4,18.1,-7.9,3,45,-7.1,162.1,323.7,58.3,23.2,-6,-80.6,-56.8,74.2,38.3,-13.8,108.1,53.8,17.3,-21.9,-7.4,-5.6,17,-0.6,-0.4,-7.5,1,19.4,5.5,-3.3,2.7,19.6,16.7,5.6,-5.6,-11.8,-5.6,3.6,-8.4,-1.1,-2.6,-4.7,6.6,4,5,8.2,8.3,5.8,8.3,0.1,10.6,8.1,2.3,-2.1,1.8,1.3,0.1,-2.3,-6.1,-1.1,-2.8,-0.2,2.5,-3,4.9,2.6,9.3,13.3,12.7,7.9,1.8,3.3
"25","18","          Durable goods","W114RL1",47.2,0.4,-9.1,201.5,85.9,36.4,-13,-5.1,6.8,8.9,21.1,746.6,426.8,84.9,8.9,9.5,-95.9,-40.5,88,19,65.9,133.8,75.8,11.8,-26.9,-15.2,-5.3,4.6,3.3,-28.5,-14.7,-16.6,24.9,2.3,-13,5.7,41.5,-2.1,13.5,-16.4,-10.9,-27,26.7,-8.2,-13.5,4,-9.5,26.1,12.3,8.6,5.3,15.2,8.8,19.2,1.3,7.1,6.7,6.4,2.9,-3.5,-2.9,-4.2,-9.2,-8.7,-13.3,-8.3,0.1,0.8,1,5.7,-0.1,1.7,4.8,9.1,10.2,3.1,5.7
"26","19","          Nondurable goods","W115RL1",13.2,-5.1,-15.1,114,23.4,-11.8,30.1,-3.2,-0.4,88.8,-12.9,37.5,442.9,35.2,25,-31,-83.6,-36.5,125.3,88.2,-50.6,74.5,44.6,110.2,-25.2,-29.7,-38,15.6,-2.8,82.2,-39.4,-9.5,62.4,-11.7,2,7.4,11.6,68.5,19.2,0.4,-31.5,-12.9,6.2,-24.2,0.3,-11.3,-5.5,5,2.8,1.1,16,21.7,-10,6.1,-19.9,15.6,31.6,-24.9,-36.1,59.7,-8.3,4.3,-0.7,-2.3,-7.7,-8.4,2.5,5.5,2.2,-5.6,11.1,10.4,16.8,5.1,9.6,0.7,-6.5
"27","20","          Services","W116RL1",-5.3,1.6,2.6,62.1,10.4,-23.8,21.8,-11.9,4.6,24.6,-7.1,119.6,105.7,31.2,114.2,9.8,-28.8,-66.9,46.2,11.5,-4.2,107.5,39.7,-16.2,-10.9,23.8,11.8,26.5,-2.4,-3.4,14.5,11.5,7.9,12.4,-1.5,0.5,15.4,9.8,-2.2,-4.6,-2.8,2.9,-1.5,-3.7,1.3,-1.5,-3.6,3.2,2.4,5.1,6.8,2,11,5.6,5.5,10.8,4,7.3,1.7,-1.9,4,0.7,-0.7,-6,2.5,-1.1,-0.5,2.4,-4.3,5.9,2.2,10.3,14.1,14.1,7.5,1.8,4.4
"28","21","      Less: Own-account investment \4\","W117RL1",8.6,26.3,25.4,1465.6,5.3,76.7,-25.6,-17.7,-13.3,6.8,3.4,5,20.8,-40.5,-55.8,39.3,-82.9,-9.5,73.1,28.4,19.8,81.8,45.5,4,-13.5,-16.9,-0.7,11.6,9.4,8,-3.1,4.3,0.5,-9.1,-2.9,3.4,10.4,-17.5,-9.8,-5.9,2.4,3.8,5.4,-6.9,-6.9,0.7,-2,-10.8,10.7,12.5,7.3,1.1,10.2,8.4,11.4,13.1,2.1,9.4,3.2,10.6,4.3,2.7,-0.1,-3,-7.9,-0.8,-5.9,-4.5,0,-10.4,-18.5,22.6,3.6,-5.4,-3.7,-0.2,1
"29","22","            Sales to other sectors","W118RL1",-24.5,-42.9,-61.8,3.1,43.6,-33.1,-22,74.5,13.6,24.1,-15,352.7,321.9,214.9,83.1,88.4,-4.9,-86.2,-41.8,-49.2,77.2,63.3,-64.9,-3.7,49.3,216.9,-50.7,68.1,-5.5,-22.7,-10.1,-12.6,11.3,14.6,0.4,8.7,42.3,-31.9,-4.5,4.6,-5.2,-4.6,85.8,13.8,14.6,-21.5,-16.5,26.5,8.3,11.3,-7.6,-8.3,-5.8,-6.2,6.9,-0.8,4.7,8.4,9.7,-3.2,4.8,7.9,-7.7,-10.9,30.3,-29,6,-31.2,11.6,-21.8,37.7,-25.6,-6.2,9.1,5.5,37.2,-8.2
"30","23","    Defense consumption expenditures \1\","A997RL1",4.4,-3,1.4,-6,-14.5,27.5,4.5,-2.8,6.6,12.2,55.1,306.3,264.4,84.1,23.6,-4.3,-69.7,-31.7,-4.4,0.1,2.2,69.9,29.2,4.5,-12.9,-6.5,0.2,6.8,-2.2,-7.6,1.2,2.4,6.9,1.1,-2.6,0.4,14.1,13.1,4.2,-3.9,-9.1,-7.8,-6.1,-7.2,-3.2,-2.5,-1.7,1,1.1,1.3,3.9,5.7,6.7,5.3,3,6,4.6,3.7,1.1,-0.7,-0.7,-0.1,-5.2,-4.3,-4.5,-3.5,-1.7,-1.3,-2.5,1.5,-1,3.9,6.8,8.6,5.4,1.2,1.2
"31","24","      Gross output of general government","W085RL1",2.7,-4.1,0.4,-5.8,-14,27,4.2,-2.4,6.5,11.9,54.9,307.9,263.8,84.1,24,-2.3,-67.4,-39,-3.9,0,2.2,71.7,27.7,4.5,-12.9,-5.9,0,7,-1.9,-8.1,1.3,2.2,7,1,-2.5,0.6,14.6,12,4,-3.9,-9.1,-7.8,-5.5,-6.8,-2.8,-3,-2.4,1.2,1.1,1.3,4,5.7,6.7,5,3.2,6,4.6,3.8,1.2,-0.7,-0.4,-0.1,-5,-4.2,-3.9,-4.2,-1.6,-1.5,-2.6,1.4,-1,4,6.9,8.6,5.3,1.3,1.2
"32","25","        Value added","W086RL1",1.8,-2.3,-5.4,-9.5,-2.1,16.3,1.2,4.9,5.6,7,60.5,206.4,162.9,100.6,29.1,-0.6,-56.9,-34.7,-11.1,-4.6,-2.4,42.5,14,1.7,-2.2,-2.8,-1.5,-0.8,-3.8,-1,0.9,2,3.9,-0.3,0.4,0,6.9,6.7,1.4,0,-5.8,-6.7,-7.1,-5,-1.9,-1.4,-1.5,-0.5,0.6,-0.4,0.9,2.9,2.6,2.4,2.6,3.3,2.4,2.6,0.6,1.1,0.6,0.5,-3.8,-3,-3.9,-4.2,-3.4,-3,-2.7,-2,-0.7,0.5,1.9,2.8,1.8,0.8,-0.7
"33","26","          Compensation of general government employees","B237RL1",2.9,-2.7,-6.3,-11.5,-2.6,21.3,0.1,5.6,5.8,7.9,74.4,223.7,149.7,91.8,20.8,-6.5,-69.3,-45.5,-2.8,5.7,5.6,73.2,15.1,-2.1,-6.2,-5.1,-2.6,-1.4,-5.9,-2.7,-0.1,2,4.3,-1.8,0,0.1,10.1,8.8,1.3,0.1,-7.3,-7.6,-7.6,-5.2,-1.5,-1.4,-2,-0.9,0.7,-0.8,0.6,3.1,2.3,1.5,1.4,1.9,0.5,0.9,-1.2,0,-0.6,-0.3,-5.9,-4.3,-5.2,-5.5,-4.2,-3.6,-3.1,-2.4,-0.7,0.7,2.7,3.6,1.8,0.3,-1.6
"34","27","          Consumption of general government fixed capital \2\","B432RL1",-1.9,-0.9,-2.1,-1.5,-0.1,0.7,5.5,2.1,4.9,3.8,11.7,119.9,262.6,153.7,70.4,24.5,-5.2,-18.3,-18.5,-15.2,-12.6,-2.3,11.3,11.7,7,2,0.5,0.4,0,2.1,2.7,1.9,3.2,2.5,1.2,-0.1,0.2,1.9,1.5,-0.3,-1.7,-4.1,-5.5,-4.7,-3.2,-1.4,0,0.5,0.4,1,1.9,2.4,3.5,4.8,6.3,8,8.5,7.7,5.8,4.4,3.9,2.9,1.7,0.4,-0.8,-1.5,-1.5,-1.5,-1.6,-1.1,-0.8,-0.2,-0.1,0.8,1.8,2.5,2.3
"35","28","        Intermediate goods and services purchased \3\","W087RL1",5.7,-10.4,24,5.7,-46.5,79,14.2,-24.8,10.3,32.1,35.8,655.3,404.4,69.5,18.4,-4.6,-86.2,-67.5,81,25.2,21.2,162.1,50.6,8.1,-25.9,-10.8,2.7,20.1,0.8,-18.8,2.1,2.8,12.9,3.2,-7.6,1.7,29.9,20.6,7.9,-9.5,-14.5,-9.9,-2.1,-10.4,-4.7,-6.5,-4.4,5.2,2.1,4.7,10.1,10.7,13.6,9,4.1,10.1,7.8,5.4,2.1,-3.4,-2,-1.2,-6.9,-6.2,-4.1,-4.3,1.5,1.2,-2.6,7.3,-1.4,9.6,14.4,16.5,9.7,1.8,3.5
"36","29","          Durable goods","A998RL1",58.8,7,-5.9,27.4,-6.5,-7.8,85,8.7,-1.7,32.3,51.2,1539,504.9,86.7,9.4,9,-96.6,-50,131.4,22.9,71,139.8,77.3,11.9,-27.2,-15.2,-5.4,4.7,3.6,-28.5,-15,-17.9,23.8,0.8,-15.5,3.7,45.6,-1.3,15.8,-16.6,-10.5,-28,27.8,-7.6,-13.5,3.9,-10.2,26.7,11.7,8.1,4.8,16.6,9.7,18.2,1.1,7.3,6.9,6.2,2.8,-4,-3.6,-4.6,-10,-9,-14.2,-9.1,-0.8,0.4,1.1,6.1,-0.8,0.9,3.9,10,10,2.4,5.8
"37","30","          Nondurable goods","A725RL1",19.9,18.2,21.3,-5.4,-75,295.6,3.5,-61.6,41.3,-2.4,82.7,478.9,598.4,61.9,9.3,-25.3,-90.2,-62.9,92.5,18.9,5.9,162.4,30.7,60.6,-34.3,-54,-1.4,20.9,1.8,-16.4,7.2,23.4,26.6,-7,10.4,8,42.6,53.8,14.5,-11.3,-30.4,-18.2,1.9,-25.7,-13.6,-17.2,-18.4,-6.6,0.8,3,9.3,5.8,-0.5,4.7,-5.3,-1.7,26.1,-2,-3.6,-3.2,-10.7,1.8,-7.5,-8.3,-9,-17.9,10.4,0.7,3.5,11.4,4.9,4.7,20,2.8,12.7,-3,-11.6
"38","31","          Services","A489RL1",-6.3,-30.6,33.6,12.7,-28.2,31.8,12.2,1.5,2.7,49.3,14.5,388.4,127.9,8.3,202.1,2.4,-35.9,-73.2,51.3,31,-3.4,186.2,35,-19.6,-15.9,30.5,12.3,33.9,-1.4,-10.3,13.6,9.4,4.9,7.4,-8.6,-1,19.2,18.9,1.6,-5.4,-8.8,0.1,-11.2,-6.3,1.3,-6.2,1.7,1.3,-1.3,3.6,12.7,9.9,19.9,5.9,7.7,13.6,5.7,6.1,2.6,-3.2,0,-0.3,-5.7,-5,-0.2,-1.7,1.3,1.4,-3.9,7.2,-2.2,12.2,16,19,9.3,2.2,4.9
"39","32","      Less: Own-account investment \4\","W088RL1",7.2,33.4,31.5,1.9,-11.5,44.7,0.9,-3.9,-0.4,0.9,94.1,269,163.8,-39.9,-55.3,34.9,-81.3,-16.7,68.5,30.8,20.2,74.3,45.8,4.9,-12.1,-15.6,0.5,12.4,10.6,-26.1,4.4,1.8,4.6,-7,-0.6,5.2,16.1,-61.4,1.2,6.3,5.2,-8.9,11.8,8.3,1.2,17.5,7,-7.9,6.2,13.8,0.2,9.6,19.4,12.2,15.2,16,4.8,9.1,1.1,13.4,-2.1,5,-0.9,-3,-9.9,-2.5,-7.3,-4.6,-4.9,-10.3,-17.2,27.5,33.8,-3.6,-7.6,-5.5,1.6
"40","33","            Sales to other sectors","W089RL1",-27.5,-42.1,-63.7,3.6,37.8,-35.1,-33.9,86.2,13.4,-11.4,-51.1,1237.7,372,201.2,63.8,76.1,-11.4,-99.8,1093,-51.6,-17.1,1017,-97.2,68,107.9,646.6,-24.4,35.2,32.2,-50.8,24.6,-26.1,23.3,-19.2,33.9,37.7,79.8,-60.7,-48.1,-3.5,-6.8,-20.1,397.5,59.4,31.6,-37.1,-67,53.8,-1.3,-7.3,32.2,14.8,6.2,-53.3,34.3,-16.4,-0.1,17.4,18.9,-19.8,74.7,-11.6,24.4,6,68.2,-52.8,16.9,-23.8,-17.7,-2.9,11,-0.2,2.7,7.1,-1.6,21.7,13.2
"41","34","    Nondefense consumption expenditures \1\","A542RL1",9.6,-1.9,-10.6,50.4,76.6,-23.7,126.4,-14.3,16.2,10.9,-10.3,-28.5,-14,-26.8,48.4,-37.1,76.2,7.8,40.6,21.9,-22.4,-16.5,17.4,30.4,-3.8,-1.8,-12.2,-3.1,-0.1,44.6,-12.3,-1,21.8,8.9,7,4.6,0.5,4.7,0.1,5.1,-0.3,4.7,7.6,-1.2,5.6,3.3,-0.1,4.2,4.1,1.7,5.2,1.6,-4.4,3.7,-3.6,5.7,3.7,-1.5,-4.8,8.6,8.1,1.2,6.2,-1.3,0.8,-1.5,-2.2,3.4,-1.1,2,5.8,4.5,6.2,3.6,1.3,0.1,1.9
