"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"15","7","Q1TFD1 B   Food","Q1TFD10",784373,783327,787925,802154,821842,827097,834711,845248,865556,893579,925164,940244,958396,995069
"16","8","Q1TCS1 B   Clothing and shoes","Q1TCS10",188154,188752,199226,207383,218500,227383,238694,245967,263097,282678,297712,303747,316697,330204
"17","9","Q1GFO1 B   Gasoline, fuel oil, and other energy goods","Q1GFO10",158448,156726,162798,166882,169668,172973,176179,179660,186299,192667,191482,193391,196047,197345
"18","10","Q1GAO1 B     Gasoline and oil","Q1GAO10",141842,140282,145958,149666,151658,154463,157894,162773,170283,176273,175656,178257,180699,181957
"19","11","Q1FUL1 B     Fuel oil and coal","Q1FUL10",16746,16584,16974,17351,18186,18702,18432,16940,16035,16408,15826,15157,15371,15414
"20","12","Q1TON1 B   Other","Q1TON10",360985,359274,366047,379027,397709,414132,432947,456638,481144,508597,532858,549243,566316,589586
"21","13","Q1TSS1 A Services","Q1TSS10",2851667,2899952,3000806,3085708,3176621,3259873,3356012,3467984,3614961,3758010,3928836,4023246,4128617,4220277
"22","14","Q1HOS1 B   Housing","Q1HOS10",802176,820060,832742,841770,869326,887543,901110,922477,948846,978557,1006456,1033731,1061982,1076052
"23","15","Q1HOP1 B   Household operation","Q1HOP10",266367,269851,277407,291069,303314,312884,327271,340359,357087,371876,390110,390968,394144,400241
"24","16","Q1GEL1 B     Electricity and gas","Q1GEL10",117401,121084,120424,126783,128772,130154,134738,133729,136678,138143,143300,140893,144716,147211
"25","17","Q1HLU1 B     Other household operation","Q1HLU10",149401,149179,157427,164750,175032,183184,192977,206991,220672,233782,246809,250198,249383,252969
"26","18","Q1TOT1 B   Transportation","Q1TOT10",195691,186344,194199,202459,218376,231774,247502,263198,272002,283405,291254,287969,279872,277699
"27","19","Q1TMD1 B   Medical care","Q1TMD10",797618,824521,863632,877196,887095,906399,922489,942809,970667,988975,1026813,1075248,1139270,1184326
"28","20","Q1REC1 B   Recreation","Q1REC10",170598,171612,183965,195388,204796,219189,228634,235652,244950,257819,268265,274894,281531,290330
"29","21","Q1OSR1 B   Other","Q1OSR10",621880,631273,653209,680907,696183,704470,730654,764651,821927,877615,945940,960318,971149,990692
"30",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","22","Q1NRG1 B   Energy goods and services","Q1NRG10",276193,278496,283451,294268,299035,303598,311623,313749,323082,330474,334783,334134,340769,344666
"32","23","Q1XEF1 B   Personal consumption expenditures excluding food and energy","Q1XEF10",3715274,3722233,3869082,4009136,4174998,4307327,4477080,4675819,4939379,5215323,5479432,5636034,5824307,6015704
"33",NA,"Real PCE by Major Type of Expenditure (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","24","Q1PCE1 A     Personal consumption expenditures","Q1PCE10",4770267,4778421,4934842,5099822,5290681,5433489,5619428,5831786,6125825,6438600,6739378,6910356,7123388,7355559
"35","25","Q1FTB1 C Food and tobacco","Q1FTB10",867123,862114,869220,882650,903627,909860,918522,929423,948543,972984,1003707,1018271,1034400,1068436
"36","26","Q1FXA1 C   Food excluding alcoholic beverages","Q1FXA10",681686,685695,692349,706997,725188,730038,736456,745519,763261,789062,816488,830883,848176,880917
"37","27","Q1ALC1 C   Alcoholic beverages","Q1ALC10",102808,97568,95530,95152,96660,97056,98262,99738,102299,104509,108676,109358,110221,114155
"38","28","Q1TOB1 C   Tobacco products","Q1TOB10",87704,81372,84939,83183,84224,85453,86661,86719,84309,79543,78543,78060,76281,74164
"39","29","Q1CAJ1 C Clothing, accessories, and jewelry","Q1CAJ10",247726,244130,257761,269714,284397,297619,313831,324128,348326,375994,396953,400986,416832,433612
"40","30","Q1PCR1 C Personal care","Q1PCR10",68520,68256,70821,72302,75097,79265,82800,87996,90024,91584,93372,92660,93120,93665
"41","31","Q1HOS1 B Housing","Q1HOS10",802176,820060,832742,841770,869326,887543,901110,922477,948846,978557,1006456,1033731,1061982,1076052
"42","32","Q1HHO1 C Household operation","Q1HHO10",484959,485714,501322,526778,553118,572768,597483,621269,650508,686349,719278,723817,738792,763780
"43","33","Q1MED1 C Medical care","Q1MED10",905897,932055,971469,988026,1003121,1028852,1053658,1085737,1129743,1164710,1218341,1279624,1355551,1414604
"44","34","Q1PBU1 C Personal business","Q1PBU10",330009,349012,358899,381002,382630,386959,402329,426346,453921,495312,539098,532877,531270,547319
"45","35","Q1TRN1 C Transportation","Q1TRN10",590145,548976,581099,607632,643220,654605,687112,727445,779291,831555,853428,872041,888973,910958
"46","36","Q1USE1 C   User-operated transportation","Q1USE10",546578,506072,538347,564422,596348,606135,635267,673892,723233,773447,793776,815692,833354,854444
"47","37","Q1PLT1 C   Purchased local transportation","Q1PLT10",10909,10810,10665,10776,11229,11235,10959,10954,11819,12093,12227,12107,11762,11130
"48","38","Q1PIT1 C   Purchased intercity transportation","Q1PIT10",32539,31853,31965,32396,35523,37098,40812,42537,44182,46015,47425,44112,43632,45302
"49","39","Q1RCR1 C Recreation","Q1RCR10",276538,280890,296605,322926,350906,383571,415047,447806,488671,540940,585712,612221,645988,689570
"50","40","Q1TED1 C Education and research","Q1TED10",125594,127140,130509,132553,134784,138457,142730,145678,151899,157286,163771,170029,173738,174695
"51","41","Q1RAW1 C Religious and welfare activities","Q1RAW10",121229,122763,131339,133425,140703,142427,149909,149417,157771,162090,172284,181227,191501,193747
"52","42","Q1FTO1 C Foreign travel and other, net","Q1FTO10",-13133,-21452,-27770,-27714,-25202,-30483,-33131,-28618,-17740,-17654,-13023,-7424,-9142,-8512
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","  the Survey of Current Business monthly (NIPA table 2.8.5 and table B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","  of Current Business monthly (NIPA table 2.3.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","  Business annually (NIPA table 2.5.6 and table B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
