"","Table 6#18A# Taxes on Corporate Income by Industry              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"61","54","    Banking","A3152C0",66,34,11,5,3,5,8,19,14,15,17,25,57,64,128,220,321,344,310
"62","55","    Security and commodity brokers, and services","B3156C0",41,9,2,2,4,3,7,11,2,2,2,4,3,2,9,7,18,13,6
"63","56","    Credit agencies (other than banks) and holding and other investment companies","B3155C0",70,27,10,9,12,31,47,97,100,66,62,101,159,118,74,73,88,105,110
"64","57","    Insurance carriers","B3157C0",38,28,22,21,12,21,23,22,24,30,26,22,27,104,119,80,67,54,44
"65","58","    Insurance agents, brokers, and service","B3158C0",5,4,3,3,2,3,3,3,3,4,4,7,12,15,12,12,11,15,21
"66","59","    Real estate","B3159C0",62,49,34,28,24,34,37,44,49,37,38,53,78,98,103,117,169,220,230
"67","60","  Services","A3161C0",28,24,11,9,9,16,17,27,31,29,31,44,81,180,308,303,322,297,260
"68","61","    Hotels and other lodging places","B3162C0",2,1,1,1,0,1,1,1,2,2,3,4,8,22,48,48,55,49,46
"69","62","    Personal services","B3163C0",2,2,1,1,1,1,1,2,2,3,3,5,9,18,24,26,24,24,27
"70","63","    Business services","B3164C0",9,7,3,3,3,6,6,8,9,8,8,12,19,26,34,39,45,44,49
"71","64","    Miscellaneous repair services","B3166C0",1,1,0,0,0,0,0,1,1,0,1,1,3,6,8,8,3,2,4
"72","65","    Motion pictures","B3167C0",10,9,4,3,3,4,5,10,10,11,11,14,26,77,149,138,139,127,90
"73","66","    Amusement and recreation services","B3168C0",2,2,1,0,1,2,2,3,4,3,3,5,10,12,23,28,44,38,27
"74","67","    Other services","A3169C0",2,2,1,1,1,2,2,2,3,2,2,3,6,19,22,16,12,13,17
"75","68","      Health services","B3170C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","69","      Legal services","B3171C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","70","      Educational services, n.e.c.","B3172C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","71","      Social services and membership organizations","B3173C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","72","Rest of the world","B3174C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Consists of taxes on corporate income paid to federal, state, and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","n.e.c.  Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
