"","Table 5#3#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","    Commercial and health care","W001RL1",15.4,1.3,9.3,9.2,4.5,-6.3,-22.1,-1.4,5.3,13.9,19.2,10,8.2,8.9,-2.9,21.7,15.5,-7.1,-3.6,3,-1.3,-4,-22.3,-7.1,4,4.6,5.9,7.7,10.5,6.2,3.6,6.7,-4.8,-15.3,-6.3,2.5,-0.9,6,10,-3.7,-30.7,-24.9,-0.4,7.9
"12","5","    Manufacturing","C307RL1",5.1,-3.4,-17.4,-12.7,23.9,14,-4.1,-7.6,2.7,33.3,22.9,-16.4,13.6,-3.5,-27.7,3.4,11.9,-16,-2.5,5.5,19.8,13.3,-7.9,-8.2,-21.5,18.4,17.9,5.1,-4.5,3.4,-16.6,3.1,-2.8,-41.6,-7.3,2.9,13.6,6.6,18.2,24.8,4.6,-27.5,-4.1,15.1
"13","6","    Power and communication","W003RL1",0,9.4,0.8,4.3,6.4,-6.3,-7.9,9.1,-1.5,4.8,3.8,1,2.6,-5.6,-14,2.2,-1.1,6.7,-11,-5.7,3.8,-7,18.8,6,-4.6,-9.3,2,-14,-3.6,17.4,18,15.3,3.2,-2.4,-7.9,-16.5,3.6,6.1,39.3,10,1.4,-16.1,-7.8,18.9
"14","7","    Mining exploration, shafts, and wells \1\","E318RL1",4.2,-5.9,-7.5,7.3,6.8,18.9,16.8,7.9,12.9,14,6.5,40.5,16.3,-7.6,-17.2,13.7,-10.9,-41.4,-2.2,9.7,-9.6,15.5,-2.2,-17.2,16.2,-2.8,-15.1,6.6,17.6,-12.5,-15.4,24.8,17.9,-26.9,14.3,6.1,9.4,8,-1.6,7.3,-28.6,17.1,24.2,13.8
"15","8","    Other structures \2\","W004RL1",-0.8,-6,-6.2,1.1,7.8,-8.6,-11.8,5,5.5,13.6,9.9,-2.9,-3.2,-5.6,5.5,17.2,10,-6,5.9,-6.8,2.1,6.2,-13.2,-7.4,7.9,-2.2,11.9,17.6,13.5,5.4,0.1,3,-4.6,-15.5,-3.7,1.4,-5.3,9.6,15.1,12.7,-18.3,-26.7,-7.5,8
"16","9","  Equipment","Y033RL1",8.3,-1.8,0.8,12.7,18.5,2.1,-10.5,6.1,15.5,15.1,8.2,-4.4,3.7,-7.6,4.6,19.4,5.5,1.1,0.4,6.6,5.3,-2.1,-4.6,5.9,12.7,12.3,12.1,9.5,11.1,13.1,12.5,9.7,-4.3,-5.4,3.2,7.7,9.6,8.6,3.2,-6.9,-22.9,15.9,12.7,7.6
"17","10","    Information processing equipment","Y034RL1",20.1,10.6,6.7,14.4,18.4,14.4,-3.3,14.7,24.5,30.9,20.4,16.6,15.6,1,16.2,26.9,9.8,7.3,4.4,9.2,9.7,1.4,2,14.6,13.7,13.8,20.4,20.8,20.6,23.7,22,20.7,-1.2,-4.7,9.4,10.1,8.6,12.9,11.5,0.4,-8.9,9.9,2.3,2.7
"18","11","      Computers and peripheral equipment","B935RL1",50,33.3,25,60,6.3,35.3,0,47.8,47.1,96,62.2,57.9,55.4,2.1,52,63.5,25.5,15,25.6,14.3,21.6,-1.2,8.6,36.8,28.2,24.3,50.8,44.4,45,45.4,42.1,21.3,2.5,4.8,9.8,12.2,11.4,23.3,13.1,5.9,-0.4,10.3,-1.5,5.4
"19","12","      Other \3\","A937RL1",15.9,7.7,1.2,6,21.2,10.6,-4,9.5,20.3,19.2,12.3,7.6,5.7,0.7,5.1,13.9,3.2,4.1,-4,6.9,4.5,2.5,-0.6,6.1,7.7,9.3,7.6,9.6,8.6,12.6,11.5,20.3,-3.1,-9.1,9.1,9.1,7.4,8.6,10.9,-1.8,-12.2,9.8,3.8,1.7
"20","13","    Industrial equipment","A680RL1",6.6,1.4,-8.2,7.8,18.2,7.7,-15.2,0.5,6,11.3,7.1,-4.3,-1.6,-8.7,-7.9,14.4,4.6,-0.5,-2.5,5,7,-5.8,-6.4,1.8,8.5,8.9,9.8,3.7,2.2,4.4,0.6,8.6,-7.4,-6.7,0.4,-1.8,8.6,8.4,3.1,-4.8,-22.2,-0.5,15.7,5.5
"21","14","    Transportation equipment","A681RL1",4,-17.9,8,16.2,20.3,-9.5,-13.8,11.2,21.5,10.5,4.4,-18.4,-2.8,-11.4,12.6,19.1,3.9,-3.8,-4.9,5.9,-9.9,-1.3,-2.7,2.3,19.1,17.2,7.5,3.3,7.2,8.1,18,-2,-9.4,-9.6,-7.4,14,12.2,7.4,-4.2,-23,-55,94,32.2,22.2
"22","15","    Other equipment \4\","A862RL1",6.8,4.3,-0.3,13.3,16.9,-1.3,-7.4,0.8,12.5,10.2,2,-10.1,2.7,-13.5,-3.6,13.2,1,-1.8,2.8,4.8,11.6,-3.8,-14.5,-0.5,9.5,8.1,5.4,3.8,9.7,10.2,2.6,5.6,-0.8,-0.7,6.8,7.3,9.6,4.1,-1.2,-4.8,-19.8,8.6,12.2,3.9
"23","16","  Intellectual property products","Y001RL1",5.4,-0.1,0.4,7,5,2.9,0.9,10.9,6.6,7.1,11.7,5,10.9,6.2,7.9,13.7,9,7,3.9,7.1,11.7,8.4,6.4,6,4.2,4,7.3,11.3,13,10.8,12.4,8.9,0.5,-0.5,3.8,5.1,6.5,4.5,4.8,3,-1.4,1.9,4.4,3.4
"24","17","      Software \5\","B985RL1",34.7,27.6,6.3,17.4,13.7,17,17.3,8.6,4.2,18.5,24.5,18,16.3,15.5,17.9,26.4,18.8,11.9,14,19.2,28.9,17.9,13.3,17.5,11.8,9.8,10,17.3,29.5,20.8,23.3,13.8,0.7,-0.1,6.8,10,6.4,4.1,6,4.9,0.2,-1,6.1,5.9
"25","18","      Research and Development \6\","Y006RL1",6.5,0.4,-0.1,4.7,6.7,0.4,-1.6,6.3,5.3,7.8,7.4,6.7,6.4,5.2,5.6,10.2,8.6,4.1,1.9,4.1,6.5,5.3,4.5,0.3,-0.6,0,5.1,8.8,5.6,5,6.1,5,1.3,-2.6,-0.7,1,5.9,6.3,6,3.4,-2.8,2.4,3.2,1.6
"26","19","      Entertainment, literary, and artistic originals","Y020RL1",-5.7,-12.3,-1.3,7.6,-4.3,1.4,-3.2,27.1,11.6,-1.7,14.7,-9.4,20.8,0.8,5.4,11.5,-0.5,10.4,-1.6,1,4.5,3.5,1.1,4.8,5.4,5.3,8.3,7.3,2.9,4.7,3,5.9,-3,5,7.5,1.5,8.4,1.1,-2.4,-4.6,-2.9,11.6,2.6,0.3
"27","20","Residential","A011RL1",3.1,-5.2,26.6,17.4,-0.6,-19.6,-12.1,22.1,20.5,6.7,-3.7,-20.9,-8.2,-18.1,42,14.8,2.3,12.4,2,-0.9,-3.2,-8.5,-8.9,13.8,8.2,9,-3.4,8.2,2.4,8.6,6.3,0.7,0.9,6.1,9.1,10,6.6,-7.6,-18.8,-24,-21.2,-2.5,0.5,12.9
"28","21","  Structures","A012RL1",2.9,-5.5,27,17.3,-0.9,-20.1,-12.2,22.6,20.8,6.6,-4,-21.4,-8.4,-18.5,43,14.9,2.2,12.5,1.9,-1,-3.3,-8.6,-9,14.1,8.3,9.1,-3.5,8.3,2.5,8.7,6.2,0.6,0.9,6.1,9.1,10,6.6,-7.7,-19,-24.3,-21.4,-2.7,0.4,13.1
"29","22","    Permanent site","A943RL1",2.9,-9.5,34.8,21,-0.5,-27.6,-23.4,31.4,29,4.6,-6.4,-29.7,-7.8,-22.1,63.4,17.5,-1.3,11.6,1.3,-3.6,-2.5,-9.7,-13.9,16.6,6.7,12,-6.6,9.4,0.5,9.5,7.4,0.8,0.6,4,9.8,11.6,7.1,-8.7,-25.6,-33.6,-40,-4,-3.6,24.2
"30","23","      Single family","A944RL1",-5.1,-13.1,38.8,18.9,-2.2,-23.3,-8.7,39.3,28.5,3.3,-11.4,-34.3,-9,-23.3,73.6,16,-0.9,14.5,8,-1.2,-2.9,-9.1,-12.4,21.5,9.5,10.7,-9.2,9.2,-0.3,10.9,7.4,1.1,0.1,3.9,10.7,12,6.8,-9.8,-27.4,-37.2,-40.9,8.6,-4.6,21
"31","24","      Multifamily","C292RL1",24.4,-2.1,27.3,25.2,2.8,-35.6,-55.4,-3.1,32.6,12.7,22.1,-10.5,-3.8,-18.5,36.9,22.2,-2.6,3,-21.1,-14.7,-0.3,-12.8,-22.9,-15,-19.4,29.2,24,10.6,7.7,-1.1,7.9,-1.7,4.3,5.3,2.6,7.8,10,0.7,-11.5,-12.1,-36.4,-49.8,4.4,47.6
"32","25","    Other structures \7\","A863RL1",2.9,2.6,13.2,9.4,-2,-1.4,8,11.4,8.4,10.3,0.2,-7.9,-9.3,-14.1,20,10.8,7.7,13.8,2.7,2.7,-4.5,-7.2,-2.7,11.2,10.2,5.8,0.4,7.1,4.8,7.7,4.7,0.3,1.3,8.7,8.3,8,6,-6.3,-10.4,-14.1,-5.8,-2,2.4,7.7
"33","26","  Equipment","B013RL1",14,8.9,12.2,19.8,12.5,1.9,-6.9,5.2,9.4,8.8,9.6,0.1,-0.1,-3.9,11.6,10.8,7.9,8.2,4.1,3.4,0.5,-3,-3.9,3.1,2,0.7,1.3,-0.5,-0.8,7,10.5,6.4,1.8,3,6.2,11.4,4.4,2,-2.9,-5.3,-10.1,6,4.5,3
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Private fixed investment in structures","A349RL1",4,-2.8,13,11.2,2.7,-12.5,-11.4,12.8,13.5,9.7,2.8,-9.2,0.2,-8.8,9.8,14.4,4.6,0.9,-0.2,-0.3,-1.1,-4.2,-10,4.9,4.8,6.3,0.2,7.3,4.4,7.2,3.8,3.3,-0.1,-3.3,4.7,6.8,5.2,-3.3,-8.2,-11.2,-20.1,-10,1.2,12.9
"36","28","  Private fixed investment in new structures","W040RL1",4.1,-3.2,12.7,11,2.6,-13.4,-13,12.8,13.5,9.6,3.4,-8.3,1.4,-8.3,7.8,14.7,4,0.1,-0.2,-1,-0.5,-3.9,-11.1,4.3,4.8,6.5,0.3,6.8,3.6,6.2,3.4,3.7,-0.8,-4.9,3.3,5.3,4.4,-1.9,-6.6,-9.7,-21.5,-10.9,0.8,12.5
"37","29","    Nonresidential structures \8\","A771RL1",5.5,0.5,-1.4,3.1,8,-2.3,-10.5,2.5,3.9,14.4,12.8,5.9,8.1,-1.7,-10.7,13.9,7,-10.9,-2.9,0.6,2,1.6,-11,-6,-0.4,1.7,6.3,5.5,6.9,5.5,0.1,7.8,-2.4,-16.8,-3.7,-0.7,1.4,7.2,13,6,-18.9,-16.3,2.1,12.6
"38","30","    Residential structures \9\","A756RL1",2.8,-6.8,27.4,17.5,-1.3,-22.2,-15.6,24.1,22.1,6,-4.1,-21.6,-7.1,-18.5,42,15.6,0.6,12.9,2.2,-2.3,-2.6,-9.1,-11.2,14.9,9.2,10.2,-3.8,7.9,1.1,6.8,6,0.5,0.5,4.7,7.8,8.7,6.1,-6.7,-19.3,-24.6,-25,-2.9,-0.8,12.3
"39","31","  Private fixed investment in information processing equipment and software","A679RL1",21.7,12.7,6.7,14.8,17.7,14.8,-0.4,13.7,21.2,29.1,21,16.8,15.7,3.1,16.4,26.9,11.3,8.2,6.2,11.2,13.9,5.3,5.1,15.4,13.2,12.6,17.3,19.8,23.3,22.8,22.5,18,-0.4,-2.8,8.2,10.1,7.6,8.9,9,2.5,-4.6,4.4,4.1,4.3
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Research and development investment excludes expenditures for software development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Software development expenditures are included in software investment on line 17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","7. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","brokers' commissions on the sale of residential structures and adjoining land, and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","8. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","9. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
