"","Table 2#3#2# Contributions to Percent Change in Real Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"15","6","    Recreational goods and vehicles","DREQRZ2",0.18,0.19,0.09,0.43,0.3,0.01,0.2,0.26,0.2,0.19,0.15,-0.11,0.07,0.01,0.38,0.43,0.3,0.42,0.34,0.28,0.13,0.07,0.09,0.17,0.39,0.44,0.41,0.46,0.47,0.59,0.64,0.54,0.3,0.36,0.42,0.49,0.45,0.44,0.37,0.11,-0.05,0.32,0.29,0.31
"16","7","    Other durable goods","DODGRZ2",0.06,0.07,0.07,0.08,0.19,0.07,0.09,0.16,0.09,0.09,-0.02,-0.14,0.02,0,0.13,0.17,0.11,0.17,0.06,0.06,0.02,0.01,-0.07,0.03,0.08,0.07,0.04,0.1,0.08,0.15,0.19,0.14,-0.03,0.09,0.14,0.14,0.12,0.12,0.08,-0.06,-0.08,0.07,0.09,0.1
"17","8","  Nondurable goods","DNDGRZ2",0.99,0.79,0.66,1.38,0.97,-0.84,0.3,1.59,0.75,1.15,0.82,-0.06,0.41,0.33,1,1.22,0.87,0.97,0.46,0.69,0.7,0.3,-0.08,0.5,0.63,0.94,0.59,0.68,0.69,0.86,1.14,0.73,0.39,0.41,0.76,0.72,0.74,0.73,0.38,-0.25,-0.4,0.5,0.44,0.31
"18","9","    Food and beverages purchased for off-premises consumption","DFXARZ2",0.44,0.44,0.19,0.31,-0.27,-0.31,0.28,0.73,0.22,-0.06,0.19,0.14,-0.05,0.25,0.32,0.24,0.34,0.23,-0.07,0.28,0.13,0.21,-0.01,-0.04,0.08,0.26,0.05,0.09,0.08,0.12,0.34,0.2,0.11,0.03,0.18,0.18,0.29,0.23,0.1,-0.09,-0.12,0.17,0.12,0.1
"19","10","    Clothing and footwear","DCLORZ2",0.14,-0.08,0.29,0.49,0.5,-0.13,0.17,0.29,0.33,0.64,0.35,0.18,0.36,0.1,0.38,0.45,0.24,0.4,0.2,0.16,0.28,-0.04,0,0.26,0.21,0.27,0.19,0.22,0.15,0.27,0.28,0.2,0.04,0.12,0.18,0.17,0.19,0.12,0.07,-0.02,-0.16,0.16,0.12,0.04
"20","11","    Gasoline and other energy goods","DGOERZ2",0.18,0.16,0.14,0.2,0.22,-0.37,0.11,0.25,0.08,0.07,-0.14,-0.5,-0.08,0.01,0.11,0.12,0.08,0.18,0.06,0.09,0.05,-0.06,-0.03,0.12,0.07,0.04,0.05,0.04,0.05,0.07,0.05,-0.07,0,0.02,0,0.02,-0.01,-0.01,-0.01,-0.17,0.01,-0.03,-0.09,-0.05
"21","12","    Other nondurable goods","DONGRZ2",0.23,0.27,0.04,0.38,0.52,-0.03,-0.26,0.32,0.12,0.5,0.42,0.13,0.17,-0.03,0.19,0.4,0.2,0.16,0.27,0.17,0.24,0.19,-0.04,0.15,0.27,0.37,0.3,0.33,0.41,0.4,0.47,0.39,0.25,0.24,0.4,0.35,0.27,0.38,0.21,0.03,-0.14,0.19,0.28,0.23
"22","13","Services","DSERRZ2",2.18,1.96,1.77,2.95,2.43,0.98,1.94,2.27,2.18,2.46,1.63,0.86,0.95,1.11,2.98,2.23,3.04,1.89,2.64,2.68,1.91,1.82,1,2.53,1.95,1.95,1.9,1.87,2.04,2.96,2.66,3.19,1.43,1.17,1.4,2.06,2.06,1.75,1.31,0.49,-0.56,0.84,1.43,1.08
"23","14","  Household consumption expenditures (for services)","DHCERZ2",2.17,1.86,1.67,2.87,2.42,1,1.93,2.17,2.16,2.39,1.57,0.78,0.81,0.83,2.7,1.95,2.9,1.66,2.5,2.42,1.65,1.43,0.73,2.13,1.78,1.78,1.8,1.75,2.21,2.77,2.49,3,1.23,0.92,1.24,2.01,2.07,1.45,1.24,0.18,-0.58,0.82,1.42,0.94
"24","15","    Housing and utilities","DHUTRZ2",0.91,0.64,0.73,0.92,0.79,0.78,0.54,0.49,0.48,0.81,0.61,0.59,0.27,0.14,0.4,0.62,0.73,0.45,0.51,0.63,0.46,0.34,0.39,0.38,0.5,0.6,0.56,0.43,0.39,0.56,0.54,0.58,0.47,0.12,0.24,0.45,0.73,0.35,0.18,0.19,0.21,0.23,0.24,0.14
"25","16","    Health care","DHLCRZ2",0.49,0.38,0.53,0.53,0.56,0.27,0.43,0.38,0.43,0.42,0.31,0.27,0.48,0.03,0.33,0.18,0.34,0.35,0.48,0.47,0.14,0.43,0.26,0.43,0.07,0.11,0.3,0.3,0.44,0.46,0.22,0.47,0.68,0.84,0.4,0.53,0.5,0.35,0.38,0.35,0.28,0.22,0.44,0.44
"26","17","    Transportation services","DTRSRZ2",0.19,0.11,0.13,0.18,0.05,0.02,0.04,0.16,0.22,0.08,0.1,-0.19,-0.12,-0.07,0.22,0.35,0.33,0.14,0.14,0.19,0.08,0,-0.16,0.16,0.18,0.31,0.26,0.29,0.28,0.17,0.22,0.19,-0.03,-0.11,0.02,0.09,0.03,0.01,0.03,-0.17,-0.31,-0.03,0.07,0.04
"27","18","    Recreation services","DRCARZ2",0.12,0.08,0.07,0.11,0.18,0.14,0.12,0.16,0.14,0.11,0.11,0.08,0.2,0.12,0.22,0.17,0.19,0.13,0.13,0.27,0.19,0.13,-0.02,0.21,0.21,0.18,0.26,0.17,0.12,0.12,0.18,0.11,-0.01,0.02,0.12,0.19,0.09,0.13,0.15,-0.03,-0.13,0.05,0.08,0.05
"28","19","    Food services and accommodations","DFSARZ2",0.14,0.22,-0.01,0.48,0.32,-0.06,0.27,0.4,0.18,0.29,0.21,0,0.07,0.05,0.23,0.19,0.09,0.19,0.34,0.39,0.19,0.24,0,0.18,0.15,0.1,0.01,0.04,0.13,0.16,0.15,0.27,-0.01,0.09,0.22,0.24,0.22,0.2,0.08,-0.06,-0.25,0.09,0.24,0.22
"29","20","    Financial services and insurance","DIFSRZ2",0.07,0.17,0.18,0.29,0.28,0.12,0.47,0.28,0.32,0.28,0.17,0.07,-0.04,0.41,0.83,0.06,0.69,0.32,0.37,0.15,0.35,0.15,0.54,0.48,0.5,0.18,0.25,0.26,0.39,0.68,0.77,0.81,-0.17,-0.05,0.02,0.3,0.41,0.18,0.24,-0.05,-0.19,0.15,0.22,-0.1
"30","21","    Other services","DOTSRZ2",0.25,0.27,0.03,0.36,0.23,-0.26,0.06,0.3,0.38,0.4,0.07,-0.04,-0.04,0.15,0.48,0.38,0.52,0.08,0.53,0.32,0.24,0.14,-0.28,0.3,0.17,0.3,0.16,0.27,0.45,0.61,0.42,0.57,0.29,0.01,0.21,0.2,0.08,0.23,0.19,-0.04,-0.19,0.09,0.13,0.15
"31","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRZ2",0.02,0.1,0.09,0.09,0.01,-0.03,0.01,0.1,0.03,0.08,0.05,0.08,0.14,0.29,0.27,0.28,0.14,0.23,0.14,0.26,0.27,0.38,0.27,0.39,0.16,0.17,0.1,0.12,-0.17,0.19,0.16,0.19,0.19,0.26,0.16,0.05,0,0.3,0.07,0.32,0.02,0.02,0.01,0.14
"32","23","    Gross output of nonprofit institutions \2\","DNPERZ2",0.28,0.29,0.42,0.35,0.18,0.08,0.24,0.35,0.26,0.37,0.19,0.21,0.3,0.33,0.3,0.27,0.27,0.38,0.32,0.43,0.3,0.5,0.32,0.5,0.23,0.2,0.12,0.24,0.13,0.44,0.31,0.35,0.44,0.57,0.21,0.26,0.25,0.39,0.23,0.32,0.17,0.14,0.14,0.31
"33","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRZ2",0.27,0.19,0.33,0.26,0.16,0.11,0.23,0.25,0.23,0.29,0.14,0.12,0.16,0.04,0.03,-0.01,0.13,0.15,0.18,0.17,0.03,0.12,0.06,0.11,0.07,0.03,0.03,0.12,0.3,0.25,0.15,0.16,0.25,0.31,0.04,0.21,0.25,0.08,0.16,0.01,0.15,0.11,0.13,0.18
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","25","  PCE excluding food and energy \4\","DPCCRZ2",2.99,1.66,3.42,5.5,4.93,-0.18,1.74,4.5,3.78,4.26,2.3,-0.03,1.67,1.12,5.17,4.89,4.75,3.83,3.29,3.68,2.68,1.96,0.19,3.64,3.2,3.54,2.87,3.28,3.66,5.11,5.05,4.86,2.44,2.43,2.86,3.61,3.17,2.86,2.11,-0.06,-1.48,1.75,2.55,2.2
"36","26","  Energy goods and services \5\","DNRGRZ2",0.31,0.25,0.2,0.32,0.29,-0.34,0.25,0.35,0.22,0.2,-0.12,-0.42,-0.13,0.05,0.21,0.14,0.17,0.15,0.16,0.23,0.11,-0.11,0.05,0.11,0.2,0.08,0.07,0.12,0.03,0.12,0.07,0,-0.04,0.07,0.05,0.04,0.04,-0.07,0.04,-0.22,0.04,0.05,-0.13,-0.1
"37","27","  Market-based PCE \6\","DPCMRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.74,2.46,1.55,-0.37,2.95,2.78,3.32,2.67,3.17,3.43,4.51,4.78,4.25,2.29,2.38,2.77,3.37,3.11,2.48,2.05,-0.49,-1.42,1.77,2.35,2.1
"38","28","  Market-based PCE excluding food and energy \6\","DPCXRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23,2.22,1.44,-0.41,2.88,2.5,2.99,2.56,2.96,3.32,4.27,4.37,4.05,2.22,2.28,2.54,3.14,2.78,2.33,1.9,-0.19,-1.34,1.56,2.35,2.1
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","4. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","5. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
