"","Table 6#20D# Net Corporate Dividend Payments by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"73","66","  Administrative and waste management services","N3368C0",7874,4417,5167,5184,6474,7540,8448,9633,11104,13277,13973,10620,11501,11134,13072
"74","67","    Administrative and support services","N3369C0",4436,3209,4450,4576,5869,6647,6969,8368,9148,11132,11790,8892,8436,NA,NA
"75","68","    Waste management and remediation services","N3370C0",3438,1208,717,608,604,894,1479,1265,1956,2145,2183,1728,3065,NA,NA
"76","69","  Educational services","N3371C0",320,524,537,681,510,1075,1163,1129,1240,1358,2177,1539,2463,2193,2251
"77","70","  Health care and social assistance","N3372C0",5862,6988,7736,9930,11648,13368,14609,16441,18873,26758,24753,27015,26820,29566,35543
"78","71","    Ambulatory health care services","N3373C0",3746,4877,6041,8029,9248,11246,12096,13065,15757,17773,19565,22037,21393,NA,NA
"79","72","    Hospitals and nursing and residential care facilities","N3377C0",1341,1336,772,658,665,655,1016,1405,1047,5381,1816,1562,2105,NA,NA
"80","73","    Social assistance","N3378C0",775,776,922,1243,1735,1467,1497,1972,2069,3604,3372,3415,3322,NA,NA
"81","74","  Arts, entertainment, and recreation","N3379C0",2309,2900,3261,2986,3364,3767,4799,5361,4437,6980,5529,4677,4277,4422,5792
"82","75","    Performing arts, spectator sports, museums, and related activities","N3380C0",1254,1468,1445,1568,2073,1842,2361,3336,2743,5003,3743,3321,3138,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3381C0",1055,1432,1816,1418,1291,1925,2438,2025,1694,1977,1786,1356,1139,NA,NA
"84","77","  Accommodation and food services","N3382C0",5192,5588,5521,5720,5721,6199,7841,9560,11982,12771,7905,8891,8180,9833,11638
"85","78","    Accommodation","N3383C0",1767,1907,1365,1293,1281,1088,2206,2650,3963,4695,520,1019,-458,NA,NA
"86","79","    Food services and drinking places","N3384C0",3425,3681,4156,4427,4440,5111,5635,6910,8018,8075,7386,7872,8637,NA,NA
"87","80","  Other services, except government","N3385C0",3437,3063,3508,3839,3579,3549,3812,4492,5733,6660,8174,5034,5505,6471,6593
"88","81","Rest of the world","A3374C0",42270,41526,29240,40667,47901,32094,62318,260861,77902,140430,180513,111872,121416,156432,156781
"89","82","  Receipts from the rest of the world \6\","B3375C0",83247,92488,86157,87206,92651,101013,135643,363340,186016,248982,316366,230891,247994,292594,297892
"90","83","  Less: Payments to the rest of the world \7\","B3376C0",40977,50962,56917,46539,44750,68919,73325,102479,108114,108552,135853,119019,126579,136163,141111
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","6. Consists of (1) receipts by U.S. residents of dividends from foreign corporations, plus (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","earnings distributed by unincorporated foreign affiliates to their U.S. parents.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","7. Consists of (1) payments by U.S. corporations of dividends to foreign residents, plus (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","earnings distributed by unincorporated U.S. affiliates to their foreign parents.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
