"","Table 5#8#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74"
"12","4","Manufacturing","N376RX1",NA,NA,NA,518.6,523.4,530.5,536.8,545,555.1,560.1,562.4,564.8,568.8,570.3,575.3,582.8,581.7,586.3,588.1,591.6,585.4,579.5,572,562.3,557,556.5,560.1,561.2,561.2,558.3,553,552.3,551.6,553.7,554.8,558.7,570.2,571.5,574.2,581.6,587.4,592.5,597.7,600.6,602.9,608.1,612.1,618.1,623,617,609.8,600.3,594.3,583.8,574,574,576.5,577.7,586.6,596.1,601.1,608.8,609,617.1,621.9,622.6,631.2,626.8,628.3,631.1,636.2
"13","5","  Durable goods industries","N377RX1",NA,NA,NA,293.3,295.8,300.4,304.5,309.5,318.2,323.1,325.9,328.4,330.2,329.1,332.2,336,335.5,338.3,339.6,343.4,339.2,335.5,328.8,320.5,317.3,315.8,315.8,316.6,317,314.1,309.8,310.9,309.9,311.7,312.7,315.1,322.5,324.8,328.4,332.9,335.6,338.5,343.2,345.6,349,350.1,352.1,358.3,357.5,350.5,349.2,353.1,348,338.8,330.7,329,331.3,335.6,341,345.9,352,357.3,360.4,365.8,370,372.4,378.1,378.9,380.2,382.2,386.5
"14","6","  Nondurable goods industries","N378RX1",NA,NA,NA,225.5,227.8,230.3,232.4,235.4,236.2,235.8,235,234.6,236.9,239.9,241.7,245.5,245,246.6,247.1,246.5,244.7,242.6,242,241.2,239.1,240.4,244.2,244.6,244,244.3,243.4,241.4,241.8,242.1,242,243.6,247.6,246.5,245.5,248.4,251.5,253.7,254.3,254.7,253.5,257.7,259.6,259.6,265,265.5,260,247.1,246.3,245,243.3,244.9,245.2,242.4,245.8,250.4,249.6,252.1,249.6,252.3,253.2,251.7,254.7,250,250.2,251,252
"15","7","Wholesale trade","N379RX1",NA,NA,NA,333.7,339.6,349.6,354.6,363.6,373,377.1,385.6,390.1,396.9,399.4,406,413.7,418.7,426.2,430.4,436.9,435.1,433.2,426.1,421.6,419.5,421.2,422.6,422,420.3,419,419.1,423.9,427.9,432.9,441.5,448.1,460.1,466.6,470,479,484.9,492.6,500.5,502.8,506.1,510,515.7,518.7,522.5,530.3,534.3,537,519.3,497.2,476.9,475.1,476.5,480.4,494.1,499.9,501.5,510.5,510.1,519.8,525.3,528.5,536.5,538.9,541.3,542,546.2
"16","8","  Durable goods industries","N380RX1",NA,NA,NA,184.4,188.5,195.4,197.6,202.6,209.4,211.8,217.8,221.2,225.6,228.7,231.6,237,240.2,246.3,248.8,252.2,250.4,244.4,238.3,233.1,230.6,231,233.2,231.3,232.6,232.2,230.7,234.2,238.6,244,251.6,255.5,263.4,268.9,271.1,277.8,280.6,287.6,294.3,296.7,300,298.4,297.8,299.9,303.1,303.9,309.4,308.5,292.2,276.7,264.2,258.9,260.8,261,266,269.3,274.9,283.8,291.3,297.5,303.1,309.3,314.8,318.4,321.2,322.6,327.8
"17","9","  Nondurable goods industries","N381RX1",NA,NA,NA,151.2,152.9,155.6,158.5,162.7,164.6,166.4,168.4,169.3,171.6,170.4,174.3,176.4,178.1,179,180.8,183.8,184.1,189.1,188.6,189.9,190.6,192,190.9,192.4,189.1,188.2,190,191.2,190.5,189.9,190.6,193.3,197.2,198,199.2,201.4,204.6,205.2,206.3,206.2,206,211.6,217.9,218.7,219.5,226.1,224.9,228.4,227.1,220.5,212.7,216.1,215.7,219.2,227.8,230.3,226.8,227.5,220.7,224.3,224.5,222.3,225,224.2,224.1,223.5,223
"18","10","Retail trade","N382RX1",NA,NA,NA,354.6,356.3,362.6,367.1,370.4,378.2,378.9,381.3,386.6,397.1,401,403.3,414.1,416.3,425.9,431.6,435.9,429.9,431.7,434.6,424.6,430.3,437.7,443.1,452.3,459.8,461.9,466.4,471.4,479.8,487.6,490.9,496.6,500.7,498,496.3,501.8,504.4,506.4,509.8,511.5,509.5,512.8,517.2,518.1,508.1,502.7,497.4,487.9,473.4,458.6,442.2,438.2,441.3,448.1,456.5,456.6,458,454.6,454.1,455.1,461.9,469.1,475.6,481.8,486.1,491,495.5
"19","11","  Motor vehicle and parts dealers","N864RX1",NA,NA,NA,99.1,99.3,101,102.3,104.2,106.7,105.1,104.1,106,112.2,112.3,113,118.4,118.9,124.7,128.6,130.1,123.6,125.9,128,120.9,125.7,130.3,131,138.1,142.3,145.3,147.2,151,154.7,158.1,158.5,158.5,159.3,154.5,152.6,155.6,155.8,155.9,156,154.9,152.7,153.5,158.1,157.9,154.6,152.3,148.4,145.6,134.9,125.4,114.4,112.7,115.3,119.8,125.7,124.4,124.4,122.2,121.8,122.6,129,134.3,139.8,143.3,144.8,148.4,149.6
"20","12","  Food and beverage stores","N239RX1",NA,NA,NA,36.9,37,37.2,37.6,37.4,37.7,38.3,38.3,38.7,39.3,39.8,40.4,40.7,40.6,40,40.2,39.9,40.2,40.4,40.4,40.5,40.6,40.8,41.6,41.5,41.3,40.4,40.8,40.1,40.2,40.4,40.5,40.4,40.5,40.5,39.9,40.2,40.6,41,41.1,41.2,41,41.4,42,42.4,42.2,42.3,42.1,41.9,42.6,42.3,42.2,41.6,41.9,41.7,41.9,41.9,41.4,41.8,42,42,42.4,42.1,42.2,42.3,42.5,42.7,42.8
"21","13","  General merchandise stores","N240RX1",NA,NA,NA,67.2,67.1,68,67.7,67.4,67.4,67.3,68,67.8,68.7,69.3,69.9,70.9,71,71.7,71.5,72.1,73.5,73.7,73.7,72.2,71.9,72,73.2,74.6,74.8,75.1,75.7,76,77.7,78.6,78.9,80.9,82.6,82.9,83.5,84,83.3,82.9,84.2,85.1,85.2,85.4,84.6,84.8,83,82.4,82.2,80.8,80,79.3,77.9,77.9,78.1,78.8,79.9,80.1,81.4,80.8,80.9,81.1,80.9,80.9,80.7,82,83.5,83.7,84.4
"22","14","  Other retail stores","N865RX1",NA,NA,NA,153.9,155.4,158.9,161.9,163.7,168.6,170.6,173.6,176.8,179.1,181.9,182.5,186.2,187.8,190.8,192.4,194.7,194.3,193.2,193.8,192.9,193.5,195.7,198.5,198.7,201.7,201,202.5,204,206.7,209.9,212.4,216.2,217.8,219.9,220.2,221.8,224.5,226.6,228.4,230.4,230.7,232.7,232.5,233,228.3,225.7,224.7,219.7,215.9,211.6,207.7,206.1,206,207.8,208.9,210.3,210.9,209.8,209.5,209.4,209.7,211.8,213,214.3,215.6,216.4,219
"23","15","Other industries","N385RX1",NA,NA,NA,95.6,98,99.3,100.3,101.8,102.8,104.4,106,108.4,110.6,113.2,115.2,116.8,119.9,123.8,129.1,131.1,131.6,131.4,131.1,130.7,129.9,130.4,130.2,129.9,129.8,130.8,131.1,131.6,132.8,133.8,135.1,136.2,136.9,137.7,137.7,138.7,139.3,140.9,142.2,143,143.2,143.6,143.2,142.8,143,142.7,142.7,144.6,143.3,141.1,139.6,139.1,138.8,138.3,138.1,138,139.2,139.7,139.7,140.9,140.7,144.3,146.1,147.7,147.5,147.4,147.2
"24","16","Residual","N968RX1",NA,NA,NA,-16.4,-15.9,-15.6,-16,-15.7,-14.7,-15.2,-14.9,-14.3,-12.6,-11.9,-11.4,-9.3,-8.3,-6,-5,-4,-6.1,-6.9,-6.9,-9.9,-8.8,-7.6,-7,-5.6,-4.4,-4,-3.9,-3.5,-2.6,-2,-1.6,-1.7,-1.6,-1.9,-2.1,-1.9,-1.3,-0.2,0.3,0.7,1,0.9,0.8,0.7,0.9,1.3,1.3,0.3,0.7,0.5,0.4,0.2,0.2,0,0.1,-0.2,-1.3,-1.6,-3.3,-3.7,-5.5,-7.4,-9.2,-11,-10.7,-9.7,-9.3
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Private inventories","A371RX1",NA,NA,NA,1517.3,1530.2,1558.4,1578.6,1602.2,1634.1,1646.5,1663.4,1681.1,1705.5,1716.8,1729.7,1756.6,1762.5,1789.7,1806.8,1822.8,1813.3,1810.1,1800.9,1776.6,1775.6,1782.2,1790.3,1799.1,1808.2,1808.1,1810,1821.7,1835.8,1856.2,1874,1893.1,1920.9,1929.2,1933.7,1957.4,1977.1,1998.2,2018.7,2029,2033.9,2046.3,2058.8,2064.6,2059.5,2052.9,2047.7,2030.9,1994.8,1947.2,1895.7,1883.3,1885.8,1898,1927,1941.5,1947,1957.8,1955,1975.2,1997.5,2011.7,2031,2032.8,2043.3,2057.5,2079
"27","18","    Durable goods industries","N241RX1",NA,NA,NA,634.7,642.2,656.3,665,677.5,696.7,702.9,711.8,720.9,735.4,738.7,746.1,762.9,767.7,783.9,792.9,802.6,790.2,783.3,773.8,752.7,754.9,759.7,764,772.7,780.7,781.5,779.4,789.1,798.7,812.2,822.5,831.2,848.9,854.4,859.7,875.9,882.7,894.2,907.6,911.5,915.8,916.8,920.4,927.5,922.8,911.6,909.6,903.3,868.1,831.8,798.2,786.3,791.8,800.5,816.7,824,835.4,846.7,855.9,866.9,883.2,899.6,917.6,926.7,931.8,938.9,950.7
"28","19","    Nondurable goods industries","N242RX1",NA,NA,NA,888.6,893.5,907.1,918.7,929.2,940.9,946.9,954.5,962.8,971.8,980.2,985.3,994.4,995,1005.3,1013.2,1019.1,1023.1,1027.7,1028.7,1027.1,1023.5,1025.1,1028.9,1028.3,1029,1028,1032.3,1034,1038.3,1045,1052.2,1062.5,1072.4,1075,1074.2,1081.6,1094.5,1104.1,1111,1117.6,1118.1,1129.4,1138.3,1137,1136.6,1140.7,1137.7,1127.4,1126.4,1115.2,1097.3,1096.8,1093.8,1097.5,1110.5,1117.9,1112.8,1112.8,1101.9,1111.3,1118.3,1117.3,1119.7,1113.6,1119.2,1126.3,1136.4
"29","20","  Nonfarm industries","A373RX1",NA,NA,NA,1345.9,1360.7,1386.7,1404.5,1426.3,1456.6,1469.4,1485.4,1502.7,1527.1,1538,1553.1,1580.4,1590.6,1616,1633.4,1647.5,1636.6,1634.2,1624.7,1601.7,1600.1,1609.1,1618,1627.1,1635.4,1635.6,1637.4,1649.6,1662.3,1678.7,1694.4,1712,1741,1749,1752.7,1775.9,1795.1,1817.8,1839.7,1851.3,1855.4,1868.7,1881.7,1887.8,1884,1876.8,1870.4,1852.8,1816.8,1769.5,1719.1,1706.8,1710.1,1723.7,1755.4,1772.7,1779.9,1792.7,1791,1812.4,1835.5,1851.7,1876,1881.1,1886.6,1894.8,1909.6
"30","21","  Wholesale trade","N379RX1",NA,NA,NA,333.7,339.6,349.6,354.6,363.6,373,377.1,385.6,390.1,396.9,399.4,406,413.7,418.7,426.2,430.4,436.9,435.1,433.2,426.1,421.6,419.5,421.2,422.6,422,420.3,419,419.1,423.9,427.9,432.9,441.5,448.1,460.1,466.6,470,479,484.9,492.6,500.5,502.8,506.1,510,515.7,518.7,522.5,530.3,534.3,537,519.3,497.2,476.9,475.1,476.5,480.4,494.1,499.9,501.5,510.5,510.1,519.8,525.3,528.5,536.5,538.9,541.3,542,546.2
"31","22","    Merchant wholesale trade","N802RX1",NA,NA,NA,283.7,289.4,298.5,303.1,310.6,318.8,322.8,330.7,334.6,340.7,342.1,347.7,354.8,358.8,364.6,367.4,373,372,371.2,366.6,363.1,362.2,363.2,364.4,364.2,363.3,362.2,362.4,366.6,370.2,374.4,381.8,388.6,396.6,401.5,404.4,410.4,414.3,421.2,427.5,428.3,430,432.4,435.9,438.2,436,439.7,443.9,444.1,431.3,413.6,397.6,398,398,401.1,413.3,418.6,418.2,424.5,422.1,430,434.8,438,444,447.3,450.9,450.4,454.5
"32","23","      Durable goods industries","N803RX1",NA,NA,NA,160.7,164.5,171,173.1,177,183,185.4,190.9,193.7,197.8,200.2,202.8,207.8,210.3,215.6,217,219.7,218.6,213.2,208.6,204.3,202.2,202.1,203.7,201.8,203.5,203.3,202.2,204.8,209.1,214.2,220.8,225.1,230.8,235.5,237.1,242.4,245,251,255.8,257.5,259.5,258.4,258.1,260.1,262,262.7,267.9,266.7,252.5,238.9,227.6,222.2,224.1,224.9,230.4,235,237.9,244.5,248.7,253,258,263.2,267.7,271.2,275.2,276.2,280.6
"33","24","      Nondurable goods industries","N804RX1",NA,NA,NA,124.3,125.9,128.1,130.8,134.6,136.4,138,140.2,141,143,141.5,144.6,146.6,148,148.2,149.6,152.6,152.8,158.3,158.6,159.9,161.3,162.5,161.9,163.9,161.1,160.1,161.6,163.1,162.3,161.1,161.7,164,166.2,166.3,167.6,168.1,169.5,170.3,171.7,170.7,170.4,173.9,177.7,178,174.1,177,176,177.4,178.9,174.8,169.9,175.8,173.9,176.2,182.8,183.6,180.6,180.7,174.8,178.4,178.5,176.9,178.7,178.8,178.7,177.3,177.4
"34","25","    Nonmerchant wholesale trade","N805RX1",NA,NA,NA,50.5,50.8,51.7,52,53.6,54.7,54.8,55.4,56.1,56.7,57.9,58.9,59.5,60.5,62.2,63.6,64.5,63.7,62.5,60,59,57.8,58.5,58.7,58.3,57.5,57.2,57.1,57.8,58.1,58.9,60.1,60,64,65.5,66,69,70.9,71.8,73.4,74.9,76.3,77.9,80,80.7,86.4,90.4,90.4,92.9,88,83.5,79.3,77.1,78.5,79.3,80.8,81.3,83.2,85.8,87.8,89.5,90.2,90.3,92.1,91.3,90.3,91.4,91.5
"35","26","    Final sales of domestic business \2\","A809RX1",NA,NA,NA,582.2,587.4,591.7,603.8,607.2,612.3,624.3,632.3,645.5,651.1,661.3,670.4,679.4,689,696.4,700.1,703.5,705.7,706.4,703.2,708.6,708.4,709.7,712.3,710.9,715.8,725.2,742.6,749.6,754.1,758.7,767.2,775.3,782.8,794,801.7,802,815.5,818.4,818.5,830.1,833.1,838.6,844.9,850.6,843.8,849.4,838.5,814.3,803,801.1,804.1,801.4,802.1,809.8,812.5,827.9,829.5,836.4,844.9,852.7,862.6,869.1,873.4,883.8,885.4,892.5,899.3
"36","27","    Final sales of goods and structures of domestic business \2\","A810RX1",NA,NA,NA,325.9,329.7,331.9,340.8,342.2,344.7,352.1,358.2,367.8,370.7,377.5,382.3,387.2,392.8,396.5,398.5,399.6,400.5,401.8,398.8,403.8,400.8,399.4,400.9,398.2,402.3,408.7,423.2,427.6,427.7,430.3,436,440,445.9,454.1,458.7,457,468.3,467,465,471.1,470.6,474.1,477.2,480.4,474.1,478.5,471.1,448.2,439.9,438.8,442.2,438.3,438.2,442.8,442.1,452.8,451.7,456.4,463.2,470.3,476.4,481.1,485,493.3,493.3,498.6,505.6
"37",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","28","  Private inventories to final sales","A811RX2",NA,NA,NA,2.61,2.61,2.63,2.61,2.64,2.67,2.64,2.63,2.6,2.62,2.6,2.58,2.59,2.56,2.57,2.58,2.59,2.57,2.56,2.56,2.51,2.51,2.51,2.51,2.53,2.53,2.49,2.44,2.43,2.43,2.45,2.44,2.44,2.45,2.43,2.41,2.44,2.42,2.44,2.47,2.44,2.44,2.44,2.44,2.43,2.44,2.42,2.44,2.49,2.48,2.43,2.36,2.35,2.35,2.34,2.37,2.35,2.35,2.34,2.31,2.32,2.32,2.31,2.33,2.3,2.31,2.31,2.31
"39","29","  Nonfarm inventories to final sales","A812RX2",NA,NA,NA,2.31,2.32,2.34,2.33,2.35,2.38,2.35,2.35,2.33,2.35,2.33,2.32,2.33,2.31,2.32,2.33,2.34,2.32,2.31,2.31,2.26,2.26,2.27,2.27,2.29,2.28,2.26,2.2,2.2,2.2,2.21,2.21,2.21,2.22,2.2,2.19,2.21,2.2,2.22,2.25,2.23,2.23,2.23,2.23,2.22,2.23,2.21,2.23,2.28,2.26,2.21,2.14,2.13,2.13,2.13,2.16,2.14,2.15,2.14,2.12,2.13,2.13,2.13,2.15,2.13,2.13,2.12,2.12
"40","30","  Nonfarm inventories to final sales of goods and structures","A813RX2",NA,NA,NA,4.13,4.13,4.18,4.12,4.17,4.23,4.17,4.15,4.09,4.12,4.07,4.06,4.08,4.05,4.08,4.1,4.12,4.09,4.07,4.07,3.97,3.99,4.03,4.04,4.09,4.06,4,3.87,3.86,3.89,3.9,3.89,3.89,3.9,3.85,3.82,3.89,3.83,3.89,3.96,3.93,3.94,3.94,3.94,3.93,3.97,3.92,3.97,4.13,4.13,4.03,3.89,3.89,3.9,3.89,3.97,3.91,3.94,3.93,3.87,3.85,3.85,3.85,3.87,3.81,3.82,3.8,3.78
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Inventories are as of the end of the quarter.  The quarter-to-quarter changes calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","from this table are at quarterly rates, whereas the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","component of GDP is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","institutions, compensation paid to domestic workers, and imputed rental of owner-occupied nonfarm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","housing. It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
