"","Table 6#20B# Net Corporate Dividend Payments by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"23","16","      Stone, clay, and glass products","B3316C0",104,116,143,137,140,163,178,192,245,232,227,242,275,237,251,259,260,276,257,261,283,282
"24","17","      Primary metal industries","B3317C0",270,270,408,368,359,379,345,506,494,532,495,536,519,618,544,479,564,570,640,661,652,531
"25","18","      Fabricated metal products","B3318C0",179,171,197,198,183,183,187,196,200,214,195,192,211,216,246,240,245,293,367,396,476,485
"26","19","      Machinery, except electrical","B3319C0",288,280,334,320,328,325,300,309,340,372,324,333,378,389,422,464,402,611,671,765,813,876
"27","20","      Electric and electronic equipment","B3320C0",137,140,220,208,229,259,269,302,342,333,328,361,367,339,343,384,447,503,596,636,674,688
"28","21","      Motor vehicles and equipment","B3321C0",243,430,717,460,457,462,514,704,668,673,601,634,638,674,848,1294,1466,1640,1611,1395,1571,1573
"29","22","      Other transportation equipment","B3322C0",84,81,92,89,95,108,134,156,161,159,156,168,137,139,145,163,179,260,243,302,333,355
"30","23","      Instruments and related products","B3323C0",44,48,59,54,67,71,76,97,105,113,109,124,140,130,146,163,171,204,259,247,286,279
"31","24","      Miscellaneous manufacturing industries","B3324C0",72,65,71,67,57,52,54,64,72,70,64,69,70,84,77,52,63,69,80,73,76,98
"32","25","    Nondurable goods","A3325C0",1715,1760,1887,1835,1806,1937,1800,2032,2256,2432,2328,2515,2695,2500,3116,3049,3815,4705,4506,4464,4967,4914
"33","26","      Food and kindred products","B3326C0",407,391,415,426,408,467,417,427,406,440,452,467,518,534,580,587,647,749,770,746,810,784
"34","27","      Tobacco manufactures","B3327C0",84,88,90,89,91,94,98,100,115,121,138,146,155,168,180,188,196,218,224,199,227,231
"35","28","      Textile mill products","B3328C0",254,190,219,213,163,151,119,135,137,136,111,119,127,118,133,135,153,170,188,194,227,208
"36","29","      Apparel and other textile products","B3329C0",55,42,46,34,31,30,27,27,28,21,23,29,32,45,50,43,72,83,114,84,93,107
"37","30","      Paper and allied products","B3330C0",145,118,154,185,170,194,202,220,267,255,243,246,248,259,275,266,314,336,355,363,372,385
"38","31","      Printing and publishing","B3331C0",131,122,120,108,107,112,111,125,131,145,146,148,163,162,180,189,307,293,294,295,333,336
"39","32","      Chemicals and allied products","B3332C0",339,390,503,456,483,450,550,668,681,713,710,796,816,851,1235,968,1394,1938,1311,1326,1597,1428
"40","33","      Petroleum and coal products","B3333C0",243,354,279,285,294,392,208,254,399,504,409,444,529,276,380,553,607,766,1085,1059,1137,1246
"41","34","      Rubber and miscellaneous plastics products","B3334C0",18,29,25,6,30,20,41,45,60,66,61,92,70,59,70,74,85,104,122,154,126,131
"42","35","      Leather and leather products","B3335C0",39,36,36,33,29,27,27,31,32,31,35,28,37,28,33,46,40,48,43,44,45,58
"43","36","  Transportation and public utilities","A3336C0",1052,1104,1387,1529,1636,1719,1877,2161,2332,2463,2599,2815,2950,3167,3264,3457,3847,4186,4505,4665,4933,4928
"44","37","    Transportation","A3337C0",296,256,350,375,358,399,387,466,484,480,459,449,511,485,479,547,636,745,770,780,803,727
"45","38","      Railroad transportation","B3338C0",197,152,200,250,241,260,266,305,332,333,282,269,291,297,291,318,373,408,432,370,388,352
"46","39","      Local and interurban passenger transit","B3339C0",30,29,27,31,33,29,33,29,31,25,29,30,34,46,34,41,43,47,47,52,63,45
"47","40","      Trucking and warehousing","B3340C0",19,21,26,22,20,27,24,29,27,30,28,38,36,41,43,46,53,80,83,85,86,82
"48","41","      Water transportation","B3341C0",31,30,34,39,36,32,28,49,29,30,30,30,38,20,34,32,37,30,28,24,28,18
"49","42","      Transportation by air","B3342C0",-1,-2,5,7,8,9,10,13,14,10,11,13,13,10,5,12,24,56,51,77,99,80
"50","43","      Pipelines, except natural gas","B3343C0",9,15,47,16,10,31,14,25,31,32,57,47,74,45,36,77,80,95,103,117,109,109
"51","44","      Transportation services","B3344C0",11,11,11,10,10,11,12,16,20,20,22,22,25,26,36,21,26,29,26,55,30,41
"52","45","    Communication","A3345C0",217,236,289,321,361,415,462,513,621,700,724,867,872,985,1060,1103,1283,1336,1496,1561,1654,1751
"53","46","      Telephone and telegraph","B3346C0",208,231,273,314,353,409,455,501,605,676,704,831,839,945,1001,1048,1229,1265,1433,1487,1589,1662
"54","47","      Radio and television","B3347C0",9,5,16,7,8,6,7,12,16,24,20,36,33,40,59,55,54,71,63,74,65,89
"55","48","    Electric, gas, and sanitary services","B3348C0",539,612,748,833,917,905,1028,1182,1227,1283,1416,1499,1567,1697,1725,1807,1928,2105,2239,2324,2476,2450
"56","49","  Wholesale trade","B3349C0",365,316,379,349,311,243,217,214,246,250,227,235,261,281,317,221,365,428,506,516,534,551
"57","50","  Retail trade","B3350C0",558,511,582,545,529,507,498,543,554,552,531,596,628,667,707,717,859,954,999,1071,1306,1268
"58","51","  Finance, insurance, and real estate","A3351C0",518,567,688,560,590,700,674,663,664,819,916,1140,1207,1180,999,1432,1307,1074,1372,1423,1653,1875
"59","52","    Banking","J3352C0",296,328,380,374,394,423,453,498,520,576,642,721,736,764,828,834,914,995,1067,1121,1272,1276
"60","53","      Federal Reserve banks","B3353C0",12,12,13,14,15,16,16,18,19,20,21,11,14,18,24,29,31,32,34,35,37,39
"61","54","      Commercial and mutual banks","J3354C0",284,316,367,360,379,407,437,480,501,556,621,710,722,746,804,805,883,963,1033,1086,1235,1237
"62","55","    Credit agencies other than banks","J3355C0",95,89,110,109,142,179,173,166,173,215,186,213,268,326,305,323,277,321,276,278,376,389
"63","56","    Security and commodity brokers","B3356C0",-2,-3,-3,-5,0,-4,-3,-3,-7,-1,1,0,10,15,9,5,8,18,21,22,24,30
"64","57","    Insurance carriers","B3357C0",-43,-1,-7,-82,-99,-36,-59,-99,-140,-117,-72,-41,-69,-114,-162,-190,-211,-188,-164,-223,-294,-99
"65","58","    Insurance agents, brokers, and service","B3358C0",16,12,14,12,9,13,10,9,11,9,8,15,21,23,15,38,49,49,48,54,61,41
"66","59","    Real estate","B3359C0",195,201,209,194,182,192,171,179,204,189,199,248,252,250,233,314,312,395,295,366,524,498
"67","60","    Holding and other investment offices","B3360C0",-39,-59,-15,-42,-38,-67,-71,-87,-97,-52,-48,-16,-11,-84,-229,108,-42,-516,-171,-195,-310,-260
"68","61","  Services","A3361C0",129,137,121,131,133,108,105,112,122,121,116,131,191,122,125,201,204,241,298,403,457,470
"69","62","    Hotels and other lodging places","B3362C0",19,16,19,17,24,16,16,27,22,19,14,19,16,16,10,17,21,36,32,90,60,70
"70","63","    Personal services","B3363C0",13,13,14,11,12,11,12,13,16,14,11,17,26,25,23,42,32,34,43,46,70,55
"71","64","    Business services","B3364C0",27,32,32,30,31,31,28,31,34,47,46,53,102,26,43,65,65,88,117,137,155,156
"72","65","    Auto repair, services, and parking","B3365C0",2,2,3,2,2,6,2,3,5,5,8,7,10,17,10,19,21,24,30,24,13,31
"73","66","    Miscellaneous repair services","B3366C0",1,1,2,3,2,1,1,3,2,2,1,1,2,3,2,3,4,5,9,5,6,11
"74","67","    Motion pictures","B3367C0",45,52,29,43,36,21,19,10,14,8,10,-2,6,-12,-1,0,5,-24,-13,-2,18,41
"75","68","    Amusement and recreation services","B3368C0",15,15,16,17,16,14,19,16,18,14,14,22,16,28,22,20,27,38,32,31,50,45
"76","69","    Other services","A3369C0",7,6,6,8,10,8,8,9,11,12,12,14,13,19,16,35,29,40,48,72,85,61
"77","70","      Health services","B3370C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,11,12,28,43,21
"78","71","      Legal services","B3371C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,7,6,4,9
"79","72","      Educational services","B3372C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,-1,3,0,1
"80","73","      Other \1\","B3373C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,24,30,35,38,30
"81","74","Rest of the world","A3374C0",836,832,984,1162,1099,1135,1422,1579,1813,1886,1734,1862,1956,2395,2671,2674,3203,3331,2842,3180,3368,3836
"82","75","  Receipts from the rest of the world \2\","B3375C0",1071,1118,1292,1498,1422,1462,1740,1928,2181,2267,2133,2293,2433,2884,3178,3240,3784,4046,3625,3948,4233,4849
"83","76","  Less: Payments to the rest of the world \3\","B3376C0",235,286,308,336,323,327,318,349,368,381,399,431,477,489,507,566,581,715,783,768,865,1013
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Consists of (1) receipts by U.S. residents of dividends from foreign corporations, plus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","(2) earnings distributed by unincorporated foreign affiliates to their U.S. parents.  Prior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","to 1982, all earnings of unincorporated foreign affiliates were treated as distributed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Reinvested earnings of unincorporated foreign affiliates were $1,571 million in 1982.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","3. Consists of (1) payments by U.S. corporations of dividends to foreign residents, plus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","(2) earnings distributed by unincorporated U.S. affiliates to their foreign parents.  Prior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","to 1980, all earnings of unincorporated U.S. affiliates were treated as distributed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Reinvested earnings of unincorporated U.S. affiliates were -$123 million in 1980,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","-$163 million in 1981, and -$735 million in 1982.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
