"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"23","16","          Nonfarm nonresidential properties","B2610C1",0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2,1.9,1.9,1.9
"24","17","        Proprietors' income","B1619C1",0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1,1.2,1.3,1.5,1.5,1.5,1.5,1.6,1.7,1.8,1.9,1.9,2,2,2.1,2.2,2.2,2.3,2.3,2.3,2.3,2.2,2.3,2.3,2.2,2.2,2.2,2.3,2.4,2.5,2.6,2.5,2.6,2.6,2.7
"25","18","  Households and institutions","W279RC1",15.2,16.5,18.2,20.3,23.3,27,30.9,34.3,39.6,46.6,54.4,62.2,68.5,72.9,76,80.9,86.2,93.4,101.8,109.9,118.2,125.1,130.6,136.3,145.7,155.3,164.8,172.7,182.1,194.5,210.9,230.1,250.2,266.6,290.8,323.4,362.1,396.2,413.7,414.6,403.3,400.5,402.9,409.9
"26","19","    Owner-occupied housing","B2607C1",11.6,12.4,13.7,15.3,17.5,20.2,22.9,25.5,29.9,35.6,41.8,47.9,52.5,55.4,57.5,61.2,65.3,71.3,78,84.1,90.3,94.8,98.1,101.7,109.1,117,124.6,131.3,138.6,147.9,160.1,174.3,190.1,202.4,221.6,248.2,280.2,307.5,318.1,312.4,297.4,292.6,290.8,292.6
"27","20","    Nonprofit institutions serving households","B1621C1",3.7,4.1,4.5,5.1,5.8,6.9,8,8.8,9.8,11,12.5,14.3,16,17.4,18.5,19.7,20.8,22.2,23.8,25.8,28,30.3,32.5,34.6,36.6,38.3,40.2,41.4,43.5,46.7,50.8,55.7,60.1,64.2,69.2,75.1,81.9,88.7,95.7,102.2,105.9,107.9,112.1,117.3
"28","21","Government","A264RC1",35.4,38.5,41.2,43.4,46.6,53,58.7,62.7,67.2,72.9,80.4,91,103.1,113.9,121.8,130.8,140.2,150.6,161.6,174.1,186,197.8,208.8,215.6,223.6,231.2,240.2,245,249.9,255.3,264.9,277.7,286.3,294.1,304.9,322.4,346.7,371,399.4,426.5,442.7,458.1,478.1,493.6
"29","22","  General government","A265RC1",33.2,36.1,38.4,40.3,43.1,48.7,53.7,57.2,61.2,66.3,72.8,82.3,93.1,103.1,110.3,118.7,127.3,136.8,147,158.5,169.3,180,189.9,195.8,202.5,208.9,216.6,220.4,224.6,228.9,236.9,247.7,254.9,261.2,270.3,284.9,305.6,326.6,351.4,375.5,390.3,403.8,421.2,434.2
"30","23","    Federal","B995RC1",25.5,27.2,28.6,29.6,31.2,34,37,39.8,42.8,46.4,50.6,56.6,63.8,71,77.2,84.6,91.4,98.2,105.4,114,121.6,128.3,134.8,138.1,141.7,144.5,148,148.3,148.9,149.2,152,156.3,158,159.8,165.1,173.3,183.8,194.8,206.7,220.1,228.1,238.8,249.7,255.3
"31","24","    State and local","B986RC1",7.8,8.8,9.9,10.7,11.9,14.7,16.7,17.4,18.4,19.9,22.2,25.7,29.4,32.1,33.1,34.1,35.9,38.6,41.6,44.5,47.7,51.6,55.1,57.6,60.8,64.3,68.6,72,75.7,79.8,84.9,91.4,96.9,101.4,105.2,111.6,121.8,131.7,144.7,155.5,162.1,164.9,171.4,178.8
"32","25","  Government enterprises","A266RC1",2.2,2.5,2.8,3.1,3.5,4.3,5.1,5.5,6,6.7,7.6,8.8,10,10.9,11.5,12.2,12.9,13.8,14.6,15.6,16.7,17.9,18.8,19.8,21.1,22.4,23.6,24.6,25.3,26.4,28,30,31.4,32.9,34.6,37.5,41,44.4,48,51,52.5,54.3,57,59.4
"33","26","    Federal","B833RC1",0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1,1,1.2,1.3,1.5,1.7,1.8,1.8,2,2.1,2.2,2.3,2.6,2.8,3.1,3.3,3.6,3.8,3.9,4.1,4.2,4.4,4.8,5.2,5.3,5.2,5.2,5.3,5.6,5.9,6.1,6.3,6.4,6.5,6.7,6.9
"34","27","    State and local","B846RC1",1.9,2.1,2.4,2.7,3,3.6,4.3,4.6,5,5.6,6.4,7.5,8.5,9.2,9.7,10.3,11,11.7,12.5,13.3,14.2,15.1,15.8,16.5,17.5,18.6,19.7,20.6,21.1,22,23.2,24.8,26.1,27.6,29.4,32.2,35.4,38.6,41.9,44.7,46.1,47.8,50.3,52.5
"35",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","  Nonfarm business","B1667C1",71.6,79.2,86.8,94.4,105.3,122.9,144,157.7,176.3,199.7,229.7,265.2,305.4,339.3,355.3,376.2,405,434.1,461.7,496.7,531,563.8,592.3,609.4,637.1,672.7,721.8,762.7,812.1,864.7,930.4,1013.7,1075.8,1110.7,1141.8,1197.6,1286.4,1383.7,1468.2,1540.4,1540.7,1542.3,1591.4,1659.9
