"","Table 6#5D# Full-Time Equivalent Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9"
"81","74","    Health care and social assistance","N4374C0",11185,11452,11707,12266,12638,12940
"82","75","      Ambulatory health care services","N4375C0",3907,3967,4027,4136,4271,4411
"83","76","      Hospitals","N4390C0",3427,3475,3524,3740,3855,3923
"84","77","      Nursing and residential care facilities","N4391C0",2209,2267,2325,2412,2457,2497
"85","78","      Social assistance","N4392C0",1642,1742,1831,1979,2055,2110
"86","79","    Arts, entertainment, and recreation","N4393C0",1363,1418,1493,1587,1600,1579
"87","80","      Performing arts, spectator sports, museums, and related activities","N4394C0",378,392,413,415,416,410
"88","81","      Amusements, gambling, and recreation industries","N4395C0",985,1026,1081,1173,1185,1169
"89","82","    Accommodation and food services","N4396C0",8118,8381,8626,8325,8357,8469
"90","83","      Accommodation","N4397C0",1551,1614,1659,1688,1643,1634
"91","84","      Food services and drinking places","N4398C0",6567,6767,6967,6637,6714,6836
"92","85","    Other services, except government","N4399C0",5283,5407,5489,5629,5766,5787
"93","86","  Government","A4376C0",18703,18849,19128,19474,19851,20011
"94","87","    Federal","A4377C0",4207,4167,4198,4107,4135,4184
"95","88","      General government","A4378C0",3416,3370,3416,3342,3379,3436
"96","89","        Civilian","B4379C0",1845,1821,1869,1794,1802,1834
"97","90","        Military \8\","B4380C0",1571,1549,1547,1548,1577,1602
"98","91","      Government enterprises","B4381C0",791,797,782,765,756,748
"99","92","    State and local","A4382C0",14496,14682,14930,15367,15716,15827
"100","93","      General government","A4383C0",13581,13762,14000,14394,14696,14794
"101","94","        Education","B4384C0",7234,7372,7572,7647,7739,7772
"102","95","        Other \9\","B4385C0",6347,6390,6428,6747,6957,7022
"103","96","      Government enterprises \9\","B4386C0",915,920,930,973,1020,1033
"104","97","Rest of the world \10\","A4387C0",-401,-441,-388,-536,-566,-572
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","1. Full-time equivalent employees equals the number of employees on full-time schedules plus",NA,NA,NA,NA,NA,NA,NA,NA
"107","the number of employees on part-time schedules converted to a full-time basis.  The number",NA,NA,NA,NA,NA,NA,NA,NA
"108","of full-time equivalent employees in each industry is the product of the total number of",NA,NA,NA,NA,NA,NA,NA,NA
"109","employees and the ratio of average weekly hours per employee for all employees to average",NA,NA,NA,NA,NA,NA,NA,NA
"110","weekly hours per employee on full-time schedules.",NA,NA,NA,NA,NA,NA,NA,NA
"111","2. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA
"112","3. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA
"113","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA
"114","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA
"115","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA
"116","4. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA
"117","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA
"118","5. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA
"119","6. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA
"120","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA
"121","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA
"122","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA
"123","7. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA
"124","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA
"125","8. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA
"126","9. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA
"127","10. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA
"128","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA
"129","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA
"130","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA
