"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Nonfarm \2\","B358RG3",14.295,14.469,15.131,15.1,15.391,15.6,15.902,16.128,15.991,15.931,15.863,15.825,15.831,15.862,16.064,16.318,16.728,16.924,17.097,17.265,17.313,17.403,17.494,17.616,17.667,17.755,17.845,17.948,17.98,18.003,17.981,17.994,18.085,18.138,18.296,18.465,18.647,18.78,19.014,19.14,19.375,19.502,19.594,19.697,19.776,19.794,19.856,19.919,20.043,20.083,20.161,20.262,20.283,20.327,20.407,20.475,20.493,20.534,20.549,20.559,20.653,20.728,20.75,20.733,20.843,20.849,20.843,20.971,21.028,21.093,21.199,21.268,21.339,21.368,21.456,21.533,21.595,21.822,21.987,22.242,22.349,22.473,22.666,22.881,23.12,23.372,23.523,23.849,24.134,24.406
"12","4","  Farm","B359RG3",103.563,105.467,88.428,115.82,108.895,107.624,107.642,91.733,92.691,87.989,82.798,81.298,76.631,81.291,92.112,97.954,111.14,109.103,100.366,105.477,100.319,96.764,98.391,92.469,88.644,83.071,82.39,78.071,81.355,78.704,77.168,75.091,74.575,74.373,72.724,68.27,69.454,72.87,72.225,71.642,71.198,71.181,76.258,76.47,81.173,82.533,80.966,76.867,72.957,73.673,74.373,72.221,71.41,74.282,72.237,73.531,72.941,70.789,72.41,75.281,75.115,73.345,74.334,75.595,73.279,72.135,74.038,71.083,70.927,70.065,69.516,70.868,71.517,77.711,75.779,78.907,84.556,82.19,84.477,77.761,74.155,72.671,73.995,73.619,74.965,76.814,79.359,79.746,76.221,82.802
"13","5","Households and institutions","B193RG3",7.15,7.539,7.767,7.797,7.762,7.868,8.018,7.99,8.053,8.103,8.059,8.254,8.272,8.263,8.347,8.507,8.673,8.709,8.795,8.927,8.998,9.099,9.261,9.308,9.434,9.576,9.691,9.685,9.723,9.796,9.847,10.003,9.889,9.922,10.011,10.142,10.104,10.133,10.263,10.353,10.392,10.463,10.544,10.559,10.627,10.785,10.76,10.767,10.869,10.938,11.018,11.123,11.161,11.232,11.272,11.343,11.37,11.442,11.483,11.53,11.595,11.662,11.728,11.776,11.842,11.906,11.944,12.034,12.114,12.151,12.189,12.254,12.293,12.391,12.46,12.566,12.616,12.729,12.86,12.999,13.128,13.207,13.275,13.338,13.442,13.546,13.682,13.883,14.028,14.228
"14","6","  Households","B701RG3",9.12,9.385,9.768,9.883,9.881,9.987,10.13,10.136,10.142,10.195,10.216,10.466,10.494,10.455,10.578,10.609,10.882,10.922,11.118,11.114,11.085,11.466,11.777,11.735,11.77,12.035,12.247,12.281,12.269,12.344,12.396,12.536,12.493,12.425,12.541,12.687,12.695,12.692,12.787,12.827,12.87,12.972,13.079,13.101,13.106,13.314,13.336,13.34,13.378,13.46,13.577,13.678,13.715,13.758,13.827,13.868,13.894,13.965,14,14.013,14.088,14.115,14.174,14.209,14.267,14.307,14.335,14.392,14.44,14.484,14.532,14.56,14.603,14.675,14.713,14.765,14.856,14.912,14.961,15.078,15.161,15.205,15.273,15.398,15.548,15.697,15.802,15.946,16.082,16.218
"15","7","  Nonprofit institutions serving households \3\","B702RG3",4.336,4.89,4.901,4.818,4.742,4.844,4.997,4.928,5.061,5.104,4.979,5.095,5.098,5.129,5.157,5.488,5.507,5.536,5.468,5.791,6.004,5.708,5.656,5.832,6.087,6.053,6.027,5.964,6.074,6.143,6.194,6.376,6.154,6.339,6.39,6.501,6.392,6.469,6.657,6.825,6.859,6.886,6.928,6.932,7.1,7.183,7.087,7.098,7.301,7.352,7.378,7.492,7.532,7.648,7.644,7.763,7.791,7.865,7.917,8.018,8.069,8.201,8.279,8.348,8.426,8.529,8.585,8.727,8.859,8.887,8.909,9.032,9.066,9.207,9.326,9.514,9.507,9.704,9.96,10.133,10.334,10.467,10.537,10.51,10.55,10.593,10.773,11.052,11.211,11.501
"16","8","General government \4\","B765RG3",5.978,5.998,5.731,5.795,5.868,5.956,6.047,6.107,6.227,6.21,6.2,6.297,6.293,6.24,6.373,6.304,6.59,6.477,6.497,6.593,6.68,6.755,6.836,6.915,6.927,6.972,6.944,7.007,7.042,7.159,7.196,7.253,7.318,7.508,7.539,7.603,7.726,7.848,7.904,7.958,8.076,8.178,8.25,8.354,8.515,8.626,8.69,8.737,8.83,8.861,8.883,8.905,8.992,9.007,9.152,9.21,9.253,9.324,9.364,9.398,9.482,9.501,9.546,9.692,9.793,9.831,9.847,10.023,10.116,10.172,10.259,10.322,10.424,10.478,10.609,10.769,10.908,11.009,11.138,11.19,11.262,11.406,11.54,11.826,11.993,12.145,12.417,12.612,12.716,12.871
"17","9","  Federal","B766RG3",8.19,8.181,7.603,7.607,7.609,7.675,7.692,7.704,7.985,8.011,7.973,8.205,8.19,8.015,8.176,7.942,8.398,8.125,8.076,8.19,8.324,8.408,8.472,8.577,8.549,8.63,8.595,8.675,8.706,8.822,8.813,8.892,9.005,9.346,9.376,9.438,9.561,9.76,9.784,9.825,9.993,10.098,10.184,10.348,10.605,10.766,10.891,10.965,11.098,11.136,11.168,11.178,11.21,11.169,11.408,11.462,11.471,11.494,11.492,11.479,11.542,11.566,11.655,11.894,11.985,11.997,12,12.28,12.438,12.496,12.621,12.707,12.779,12.846,13.027,13.305,13.406,13.467,13.583,13.548,13.489,13.642,13.743,14.191,14.341,14.454,14.858,15.041,15.088,15.164
"18","10","  State and local","B767RG3",4.151,4.216,4.295,4.441,4.607,4.732,4.919,5.038,4.991,4.924,4.942,4.912,4.921,4.982,5.1,5.201,5.328,5.398,5.518,5.607,5.646,5.725,5.847,5.905,5.975,5.977,5.954,6.005,6.054,6.191,6.294,6.332,6.346,6.377,6.414,6.49,6.63,6.681,6.78,6.856,6.93,7.042,7.106,7.159,7.235,7.305,7.315,7.34,7.402,7.429,7.443,7.479,7.626,7.695,7.763,7.83,7.908,8.03,8.112,8.192,8.303,8.32,8.326,8.396,8.516,8.581,8.609,8.703,8.745,8.803,8.863,8.909,9.042,9.089,9.185,9.256,9.435,9.576,9.722,9.851,10.041,10.185,10.357,10.522,10.713,10.906,11.084,11.299,11.456,11.683
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009G3",9.301,9.499,9.675,9.84,10.003,10.131,10.234,10.319,10.391,10.463,10.538,10.619,10.71,10.809,10.92,11.04,11.176,11.302,11.424,11.542,11.642,11.77,11.912,12.067,12.25,12.398,12.526,12.633,12.714,12.786,12.846,12.894,12.923,12.965,13.009,13.057,13.12,13.174,13.231,13.29,13.338,13.4,13.463,13.527,13.606,13.665,13.717,13.765,13.781,13.866,13.914,13.991,14.023,14.051,14.116,14.167,14.191,14.263,14.307,14.31,14.379,14.4,14.456,14.475,14.533,14.576,14.603,14.665,14.695,14.725,14.771,14.795,14.83,14.876,14.907,14.954,15.031,15.088,15.119,15.22,15.294,15.343,15.409,15.506,15.62,15.747,15.854,15.982,16.101,16.24
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
