"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Tenant-occupied","DTENRC1",4.5,4.5,4.3,3.9,3.4,3.3,3.3,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,4.8,4.7,4.9,5.3,5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16,17,18.2,19.2,20.4,22.2,24
"12","5","  Farm housing","DFARRC1",0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3
"13","6","Less: Intermediate goods and services consumed","B1027C1",1.4,1.3,1.2,1,0.9,1,1.1,1.2,1.3,1.2,1.3,1.4,1.6,1.5,1.4,1.4,1.5,2.3,2.9,3.4,3.7,4.2,4.6,4.9,5.3,5.4,5.6,5.8,5.9,6.1,6,6,6,6.2,6.4,6.8,7.2,7.5,7.7,9,10.1
"14","7","Equals: Gross housing value added","A2009C1",9.9,9.6,9,8,7,6.6,6.6,6.7,7.2,7.6,7.7,8,8.5,9.3,9.9,10.4,10.8,11.3,12.3,13.7,15.1,16.8,18.8,21.1,23.6,25.8,27.7,29.7,32.1,34.6,37.6,40.7,43.6,46.9,49.8,52.7,56.1,59.7,63.8,67.9,73.6
"15","8","  Nonfarm housing","B499RC1",9,8.7,8.2,7.4,6.4,6,6,6.1,6.5,6.9,7,7.3,7.8,8.6,9.1,9.5,9.8,10.1,11,12.4,13.8,15.4,17.3,19.5,21.9,24.2,26.1,28.1,30.4,32.9,35.8,38.7,41.6,44.8,47.6,50.5,53.9,57.3,61.3,65.3,70.8
"16","9","    Owner-occupied","B1300C1",5.1,4.9,4.5,3.9,3.4,3.2,3.1,3.2,3.3,3.5,3.6,3.7,4,4.4,4.9,5.3,5.7,5.9,6.5,7.3,8.4,9.5,11,12.8,14.7,16.5,18.1,19.8,21.6,23.5,25.6,27.8,29.9,32.2,34.2,36.3,38.8,41.4,44.2,47,51.1
"17","10","    Tenant-occupied","B1301C1",3.9,3.9,3.7,3.4,3,2.8,2.8,2.9,3.1,3.4,3.5,3.6,3.8,4.1,4.2,4.2,4,4.2,4.5,5,5.5,5.9,6.3,6.8,7.3,7.7,8,8.2,8.8,9.4,10.2,10.9,11.7,12.6,13.4,14.2,15.1,15.9,17.1,18.4,19.8
"18","11","  Farm housing","B1302C1",0.9,0.8,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.2,1.3,1.4,1.3,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.9,1.9,2,2.1,2.2,2.3,2.3,2.4,2.5,2.6,2.8
"19","12","Less: Consumption of fixed capital","A1028C1",1.9,1.9,1.7,1.4,1.3,1.5,1.5,1.6,1.7,1.8,1.8,1.9,2.1,2.3,2.4,2.6,2.8,3.1,3.9,4.5,4.7,5,5.7,6.1,6.4,6.7,7.2,7.7,8.1,8.4,8.8,9.3,9.7,10.1,10.5,11.2,12,13,13.9,15.2,17.1
"20","13","Equals: Net housing value added \2\","B952RC1",8,7.7,7.3,6.6,5.6,5.1,5.1,5.2,5.4,5.9,5.9,6.1,6.4,7.1,7.5,7.8,8,8.2,8.4,9.3,10.4,11.7,13.1,15.1,17.2,19.1,20.5,21.9,24,26.2,28.9,31.4,33.9,36.8,39.3,41.6,44.1,46.7,49.9,52.7,56.5
"21","14","  Compensation of employees","B1033C1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1,1,1,1,1,1,1.1
"22","15","  Taxes on production and imports","B1031C1",2,2.1,2.1,2,1.7,1.7,1.8,1.8,1.8,1.9,1.8,1.9,1.9,2,2.1,2.1,2.2,2.1,2.2,2.4,2.7,2.8,3.2,3.5,3.8,4.1,4.6,5.1,5.6,6.2,6.7,7.4,8.2,8.9,9.8,10.7,11.7,12.6,14.1,15.8,17.6
"23","16","  Less: Subsidies \3\","W154RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5
"24","17","  Net operating surplus","W165RC1",5.8,5.4,5,4.5,3.7,3.1,3.1,3.2,3.4,3.8,3.9,3.9,4.2,4.8,5.2,5.4,5.5,5.8,5.9,6.6,7.4,8.5,9.6,11.1,12.8,14.4,15.4,16.3,17.8,19.4,21.7,23.5,25.1,27.2,28.7,30.1,31.7,33.4,35.1,36.1,38.3
"25","18","    Net interest","B1037C1",1.7,1.7,1.7,1.7,1.6,1.5,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.4,1.6,1.8,2.1,2.4,2.8,3.1,3.6,4.1,4.8,5.6,6.4,7.2,8,8.9,10,11,12.2,13.4,14.5,15.4,16.7,18.5
"26","19","    Current transfer payments","W166RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0
"27","20","    Proprietors' income with inventory valuation and capital consumption adjustments","B1034C1",-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,0,-0.1,-0.1,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4
"28","21","    Rental income of persons with capital consumption adjustment","B1035C1",4.4,4,3.5,3,2.3,1.9,1.9,2,2.3,2.7,2.9,2.9,3.2,3.9,4.2,4.6,4.7,4.6,4.6,5,5.6,6.4,7.1,8.2,9.6,10.7,11.1,11.4,11.9,12.7,13.8,14.7,15.3,16.1,16.6,16.7,17,17.4,18,17.6,17.8
"29","22","    Corporate profits with inventory valuation and capital consumption adjustments","B1036C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5
"30","23","    Current surplus of government enterprises \3\","W153RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Equals personal consumption expenditures for housing excluding expenditures for group housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","as shown in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Equals housing national income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3. Prior to 1959, subsidies and the current surplus of government enterprises are not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","separately;  subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
