"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"12","5","    Final sales","A325RA3",5.513,4.988,4.641,3.987,3.944,4.394,4.767,5.507,5.796,5.612,6.021,6.557,7.552,8.255,9.775,10.393,10.251,10.305,11.03,10.967,11.143,11.671,12.194,12.587,13.287,13.291,14.381,14.805,15.213,14.632,15.591,16.196,16.445,17.355,18.186,19.477,20.84,22.472,22.888,23.907,24.71
"13","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","7","  Durable goods","A354RA3",2.709,2.019,1.598,1.019,1.159,1.515,1.861,2.406,2.631,2.067,2.486,3.067,4.257,5.066,7.27,7.989,6.907,6.037,6.406,6.484,6.279,7.43,8.038,7.859,8.735,8.078,9.653,9.637,9.834,8.687,10.107,10.499,10.45,11.755,12.513,13.732,15.291,17.167,16.956,17.778,18.621
"15","8","    Final sales","A326RA3",2.241,1.847,1.497,1.073,1.053,1.297,1.588,1.986,2.216,1.842,2.12,2.553,3.432,4.27,6.243,6.909,6.041,4.825,5.924,5.991,6.067,6.651,7.052,7.303,8.085,7.832,8.793,8.9,9.192,8.409,9.261,9.74,9.849,10.764,11.549,12.591,13.845,15.28,15.549,16.358,17.043
"16","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","  Nondurable goods","A356RA3",12.564,11.629,12.222,11.238,11.088,11.305,12.485,12.741,14.167,14.949,15.193,15.786,16.465,17.219,16.519,16.699,17.921,20.86,20.524,21.754,20.811,21.958,22.857,23.363,23.449,24.049,25.479,26.582,26.893,27.436,28.204,29.12,29.973,30.632,31.499,32.747,34.577,36.537,37.512,38.792,39.521
"18","11","    Final sales","A334RA3",13.289,12.573,12.383,11.334,11.238,12.128,12.601,14.099,14.458,14.954,15.577,16.169,17.024,16.945,16.766,17.135,18.703,21.612,21.467,21.124,21.508,21.841,22.58,23.25,23.679,24.274,25.522,26.637,27.257,27.27,28.325,29.13,29.677,30.421,31.226,32.91,34.331,36.21,36.912,38.289,39.271
"19","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","Services \2\","A341RA3",6.926,6.87,6.783,6.458,6.326,6.745,6.943,7.395,7.636,7.716,8.125,8.522,9.885,13.818,18.374,20.865,20.799,14.075,13.183,13.318,13.787,14.146,16.222,17.712,18.463,18.278,18.636,19.142,19.833,20.283,21.135,21.669,22.459,23.718,24.571,25.709,27.012,28.63,30.272,31.891,32.981
"21","14","Structures","A755RA3",24.224,20.607,16.725,11.671,9.16,10.705,12.153,16.768,17.186,16.787,19.646,20.715,26.373,28.383,16.277,11.199,11.594,22.801,25.963,30.385,30.695,37.747,36.623,37.439,39.553,42.15,45.998,45.832,45.349,46.148,51.36,50.92,52.358,55.376,59.134,63.159,66.37,66.535,65.688,69.771,70.726
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.796,49.685,49.725
"24","16","  Gross domestic product excluding motor vehicle output","A962RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.11,31.376,32.407
"25","17","  Final sales of computers \3\","BB01RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","18","  Gross domestic product excluding final sales of computers","BB00RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","20","  Research and development","Y694RA3",0.699,0.82,0.99,1.067,1.063,1.096,1.162,1.205,1.212,1.363,1.352,1.545,2.619,2.871,3.109,3.984,3.989,4.255,4.231,4.528,4.477,4.954,5.169,6.237,7.352,8.084,8.892,11.508,12.832,13.658,14.679,16.162,17.704,19.524,22.316,24.251,26.335,29.175,31.018,32.404,32.994
"29","21","  Gross domestic product excluding research and development","Y695RA3",7.537,6.891,6.444,5.608,5.537,6.136,6.684,7.551,7.938,7.67,8.285,9.012,10.585,12.592,14.746,15.901,15.746,13.898,13.745,14.312,14.235,15.472,16.725,17.378,18.167,18.039,19.317,19.65,20.028,19.852,21.219,21.728,22.247,23.584,24.55,25.946,27.616,29.405,30.181,31.667,32.673
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
