"","Table 6#12B# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"12","5","Manufacturing","J1803C0",1936,1770,1770,2231,2483,2727,2428,2713,6320,8658,10615,7363,7204,6630,7503,8389,8757,9762,11259
"13","6","  Durable goods","J1804C0",1316,1104,1123,1459,1519,1616,1457,1790,2618,3413,3004,4174,3831,3436,3683,4332,4655,5280,6100
"14","7","  Nondurable goods","J1805C0",620,666,647,772,965,1111,971,923,3702,5245,7611,3189,3372,3194,3820,4057,4102,4483,5159
"15","8","Transportation and public utilities","A1806C0",2754,2930,3396,4079,4486,5587,5668,6819,6930,7617,8336,7247,7710,7942,8298,9830,9939,10961,10046
"16","9","  Transportation","B1807C0",2070,2180,2489,2945,3273,4233,4103,4846,5289,5800,6128,5069,5343,5754,6095,7502,7017,8243,9394
"17","10","  Communication","B1808C0",19,35,56,36,33,65,73,119,223,215,286,1530,1586,1601,1765,1709,2026,1372,291
"18","11","  Electric, gas, and sanitary services","B1809C0",664,714,851,1098,1179,1288,1492,1853,1419,1602,1922,648,780,588,437,619,896,1345,362
"19","12","Wholesale trade","J1810C0",3802,3862,4114,4911,5274,6465,6492,7138,6413,7832,8551,7615,6312,5829,6054,6760,7907,8195,10446
"20","13","Retail trade","J1811C0",12876,13110,14055,14822,17324,18348,19094,21229,21831,24252,25294,21847,21551,21707,25013,26143,26728,29347,28859
"21","14","Finance, insurance, and real estate","J1812C0",6317,5587,6957,7222,5884,4655,5186,8422,9377,11498,11248,10354,7758,1739,2730,-3721,-13099,-19434,-13013
"22","15","Services","J1813C0",27930,29188,30728,32728,35224,37241,40801,46375,54787,60300,65071,72831,73430,76947,84907,97927,107448,118730,133660
"23","16","  Hotels and other lodging places","B1814C0",371,371,402,368,331,223,359,785,1366,1618,1572,1162,624,9,154,-662,-1521,-2246,-4156
"24","17","  Personal services","B1815C0",2722,2784,2851,3037,3167,3465,3610,4349,4301,4794,4994,6559,6371,6870,7620,8222,9842,10805,11976
"25","18","  Business services","B1816C0",2131,2235,2585,3128,3518,3880,4299,5747,7882,8704,10229,12362,12613,14547,16764,19415,22068,24420,30046
"26","19","  Auto repair, services, and parking","B1817C0",1553,1577,1953,2250,2508,2756,3137,3683,2774,3280,3285,5231,5583,5587,6322,7375,7666,8284,8643
"27","20","  Miscellaneous repair services","B1818C0",904,849,976,1083,1170,1329,1433,1561,1771,2020,1989,2823,2378,2530,3159,3587,3163,3474,3469
"28","21","  Motion pictures","B1819C0",143,100,165,194,161,90,98,501,691,910,894,2029,1812,1973,2137,2454,2899,2839,3503
"29","22","  Amusement and recreation services","B1820C0",276,369,315,324,513,493,585,631,1640,2023,2105,1665,1807,1545,1576,2380,2416,3130,3555
"30","23","  Health services","J1821C0",11497,11728,11513,11478,11549,11907,12902,14430,16603,17269,18147,17351,17920,18923,19386,22144,24553,26836,32011
"31","24","  Legal services","B1822C0",4481,5071,5557,6104,6598,7043,7287,7700,9826,10489,11251,11362,11246,12458,13966,17477,18911,21577,23520
"32","25","  Other \1\","B1823C0",3851,4103,4410,4762,5707,6054,7090,6988,7932,9193,10606,12287,13075,12505,13822,15536,17452,19612,21093
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","gardens; membership organizations and miscellaneous services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
