"","Table 6#11D# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"31","22","Employer contributions for employee pension and insurance funds","B040RC0",588970,628964,685496,734124,779455,844099,908912,966789,997575,1041424,1075074,1077473,1114562,1141985,1160515,1193908
"32","23","  Pension plans \2\","B4934C0",263501,276458,293101,308942,322257,338261,368028,383528,405204,428757,447487,444164,473344,474308,478249,483324
"33","24","    Private pension plans","B4921C0",138159,143775,150910,156696,161266,165039,172570,181373,192918,206291,215274,203240,206838,206795,210247,214456
"34","25","      Defined benefit","Y696RC0",68495,71545,72459,76256,78153,80354,82700,83483,86218,90395,88686,86734,82574,78892,78507,78764
"35","26","      Defined contribution","W351RC0",69664,72230,78451,80440,83113,84685,89870,97890,106700,115896,126588,116506,124264,127903,131740,135692
"36","27","    Government employee pension plans","B4935C0",125342,132683,142191,152246,160991,173222,195458,202155,212286,222466,232213,240924,266506,267513,268002,268868
"37","28","      Federal","Y392RC0",30575,31486,32665,34376,37281,40201,42002,43910,44732,47243,51669,56304,64513,66431,67808,67888
"38","29","      State and local","Y239RC0",94767,101197,109526,117870,123710,133021,153456,158245,167554,175223,180544,184620,201993,201082,200194,200980
"39","30","  Private insurance funds","B4936C0",325471,352508,392395,425182,455320,497651,532144,572413,580946,601170,616342,622551,630066,656405,671774,702328
"40","31","    Group insurance","B4922C0",280232,306409,341562,372044,397313,432432,465844,501026,513333,535287,552381,563731,571664,595473,609620,635965
"41","32","      Group health insurance","B4923C0",268790,294846,329199,359000,384997,421004,453249,487848,497339,517581,539450,552658,561198,584284,597239,623419
"42","33","      Group life insurance","B4924C0",11442,11563,12363,13044,12316,11428,12595,13178,15994,17706,12931,11073,10466,11189,12381,12546
"43","34","    Workers' compensation","B4925C0",43335,44516,49570,52194,57231,64350,65546,70921,67010,65345,63159,57854,57534,60380,61637,65861
"44","35","    Supplemental unemployment","B4926C0",1905,1584,1264,943,776,869,755,466,603,538,802,966,868,553,518,502
"45","36","  Publicly administered government employee insurance funds \3\","Y390RC0",0,0,0,0,1877,8186,8740,10848,11426,11498,11245,10757,11152,11273,10491,8256
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","37","  Benefits paid by pension and insurance funds","B4928C0",813948,899695,978997,1019368,1070948,1136217,1229299,1312860,1411142,1518015,1553558,1574330,1672277,1748825,1855285,1945561
"48","38","    Pension plans \4\","B4937C0",447093,501290,542893,525064,541609,541948,590760,628527,706902,772861,766448,762201,831748,864692,923538,960388
"49","39","    Private insurance funds","B4939C0",366855,398405,436104,494304,528333,589275,633076,677720,697630,737422,779125,803742,832176,875384,923332,976403
"50","40","      Group insurance","B4940C0",330893,360154,396983,453742,487659,547369,590493,634107,655715,693811,733664,757956,786737,830438,878683,932050
"51","41","        Group health insurance","B4930C0",312625,340010,379965,436877,469881,528918,572722,614608,635689,673874,713445,733658,764900,808500,857000,910150
"52","42","        Group life insurance","B4931C0",18268,20144,17018,16865,17778,18451,17771,19499,20026,19937,20219,24298,21837,21938,21683,21900
"53","43","      Workers' compensation","B4932C0",33933,36368,37355,39744,40005,41112,41747,42749,41071,42892,44651,45011,44718,44427,44138,43850
"54","44","      Supplemental unemployment","B4933C0",2029,1883,1766,818,669,794,836,864,844,719,810,775,721,519,511,503
"55","45","    Publicly administered government employee insurance funds \3\","Y391RC0",NA,NA,NA,NA,1006,4994,5463,6613,6610,7732,7985,8387,8353,8749,8415,8770
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Includes defined benefit and defined contributions plans.  Additional detail is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","available in tables 7.20 - 7.25.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","3. Includes the Medicare-eligible Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","4. Includes cash benefit payments and withdrawals.  Additional detail is available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","in tables 7.20 - 7.25.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Note.  Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
