"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","5","      Undistributed corporate profits","B057RC1",32.4,27.2,36.1,46.7,66.3,75.5,70.2,91.9,109.3,134.8,153.6,131.5,118.5,88.1,99.8,109.9,92.7,50.3,88,116.8,85.4,89.6,110.2,124.4,129.6,172.6,208.5,203.7,212,122.6,159.5,97.3,116.8,196.4,291.7,384.4,660.4,652.1,484,264.7,628.5,906.2,724,824.2,801.5,922.2
"13","6","      Inventory valuation adjustment, corporate","B058RC1",-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,15.7,-4,-16.8,8,6.1,-9.6,-39.5,-32.1,-35.7,-39.5,-37,6.7,-41,-68.3,-9.5,3.3,-0.5
"14","7","      Capital consumption adjustment, corporate","A059RC1",7.6,6.5,6,7.9,6.8,2.4,-5.4,-7.8,-7,-8.1,-12,-17.1,-4.5,5,23.3,43.6,64.8,51.1,51.4,48.7,41.2,26,17.1,15.5,20.1,32.6,36,44.2,54.8,60.3,68,50.9,55.4,112.1,96.5,68.2,-143.5,-169.2,-179.9,-60.4,-82.2,-53.3,78.1,-103.8,-131.8,-329.6
"15","8","    Households and institutions","W986RC1",75,96.1,110.1,109.2,131.8,141.7,159,147.3,148.2,166.6,177.5,213.2,252.5,277.7,247,312.1,265.1,269.4,252.1,294.7,316.5,335.4,365.9,426,367.6,331.4,352.9,345.2,352.2,405.3,302.9,307.2,335,405.1,408.7,410,237.9,329.5,310.3,542.2,672,628,711.1,896.2,608.1,632.6
"16","9","      Personal saving","A071RC1",75,96.1,110.1,109.2,131.8,141.7,159,147.3,148.2,166.6,177.5,213.2,252.5,277.7,247,312.1,265.1,269.4,252.1,294.7,316.5,335.4,365.9,426,367.6,331.4,352.9,345.2,352.2,405.3,302.9,307.2,335,405.1,408.7,410,237.9,329.5,310.3,542.2,672,628,711.1,896.2,608.1,632.6
"17","10","  Net government saving","A922RC1",-1,-31.8,-50.2,-40.5,-28,-38.3,-102.5,-77.1,-63.5,-46.4,-36.3,-80.9,-81.7,-169.7,-203.7,-171.4,-175.4,-192.2,-151.1,-140.4,-149.2,-207.4,-271.3,-370.2,-349,-280.7,-272.4,-191,-89.5,18.1,75.9,166.4,-50.8,-391.4,-524.3,-507.6,-371.3,-266.4,-338.4,-799,-1520.8,-1566,-1460.1,-1311.7,-874.3,-805.2
"18","11","    Federal","A923RC1",-5.1,-34.8,-50.8,-48.9,-37.7,-40.6,-97,-79.9,-71.9,-59.8,-44.5,-86.3,-85.8,-164.6,-205,-192.3,-195.6,-212.7,-163.2,-157.3,-156.6,-200.9,-246.2,-332.7,-311.8,-253.7,-240.8,-178.5,-91.2,2.7,66.6,156.5,14.5,-270.5,-402.9,-399.2,-304.7,-227,-265.6,-634,-1248.8,-1328.7,-1244.1,-1079.1,-649.1,-580.5
"19","12","    State and local","A924RC1",4.1,3,0.6,8.4,9.6,2.3,-5.6,2.8,8.4,13.4,8.2,5.4,4.1,-5.1,1.3,20.9,20.3,20.4,12.1,17,7.4,-6.5,-25.1,-37.5,-37.2,-27,-31.5,-12.5,1.7,15.4,9.2,9.9,-65.3,-120.9,-121.4,-108.4,-66.6,-39.4,-72.7,-165.1,-271.9,-237.3,-215.9,-232.6,-225.1,-224.8
"20","13","Consumption of fixed capital","A262RC1",124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426,485,534.3,560.5,594.3,636.7,682.2,728,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176,1240,1310.3,1400.9,1514.2,1604,1662.1,1727.2,1831.7,1982,2136,2264.4,2363.4,2368.4,2381.6,2450.6,2530.2,2627.2,2736.2
"21","14","  Private","A024RC1",89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335,381.9,420.4,438.8,463.5,496.4,531.6,566.3,608.3,650.1,689,722.4,744.2,780,824.3,882.6,931,990.1,1054.9,1135.9,1236.6,1317.7,1368,1422.4,1509.3,1635.3,1765,1865,1936.9,1925.7,1923.5,1971.1,2034.2,2120.8,2216.3
"22","15","    Domestic business","W276RC1",74.2,81.8,89.4,97.2,108.2,126.1,147.9,162.2,181.5,205.5,236.4,272.8,313.5,347.5,362.8,382.7,410.3,438.1,464.5,498.4,531.8,563.9,591.8,607.9,634.2,669,717.8,758.4,807.9,860.4,925,1006.5,1067.5,1101.4,1131.6,1185.9,1273.2,1368.8,1451.2,1522.3,1522.4,1523,1572.8,1629.7,1693.7,1762.1
"23","16","    Households and institutions","W279RC1",15.2,16.5,18.2,20.3,23.3,27,30.9,34.3,39.6,46.6,54.4,62.2,68.5,72.9,76,80.9,86.2,93.4,101.8,109.9,118.2,125.1,130.6,136.3,145.7,155.3,164.8,172.7,182.1,194.5,210.9,230.1,250.2,266.6,290.8,323.4,362.1,396.2,413.7,414.6,403.3,400.5,398.2,404.5,427.1,454.2
"24","17","  Government","A264RC1",35.4,38.5,41.2,43.4,46.6,53,58.7,62.7,67.2,72.9,80.4,91,103.1,113.9,121.8,130.8,140.2,150.6,161.6,174.1,186,197.8,208.8,215.6,223.6,231.2,240.2,245,249.9,255.3,264.9,277.7,286.3,294.1,304.9,322.4,346.7,371,399.4,426.5,442.7,458.1,479.6,496,506.4,519.9
"25","18","    Federal","A918RC1",25.8,27.6,29,30.1,31.7,34.7,37.8,40.6,43.7,47.5,51.8,57.9,65.3,72.7,79,86.4,93.3,100.3,107.5,116.3,124.2,131.1,137.9,141.4,145.3,148.3,151.9,152.4,153,153.6,156.8,161.5,163.3,165,170.3,178.6,189.4,200.7,212.8,226.3,234.5,245.3,257.4,264.1,268,274.4
"26","19","    State and local","A919RC1",9.7,10.9,12.2,13.3,14.9,18.3,21,22.1,23.5,25.5,28.6,33.1,37.8,41.3,42.8,44.4,46.9,50.3,54.1,57.8,61.9,66.7,70.9,74.1,78.3,82.9,88.3,92.6,96.9,101.8,108.1,116.2,123,129,134.5,143.8,157.3,170.3,186.6,200.2,208.2,212.7,222.2,231.8,238.4,245.5
"27","20","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1",234.7,233.6,255.6,284.8,341.4,356.7,361.5,420,478.9,571.3,658.6,674.6,782,734.7,773.6,923.2,935.2,944.6,992.7,1079.6,1177.8,1208.9,1246.3,1263.6,1320.2,1436,1520.1,1637.9,1795.8,1872.2,1965.6,2019.8,1953.3,1917.7,1976.7,2138.7,2297.9,2429,2518.3,2373.3,2147.9,2304.7,2397.3,2616.4,2822.1,2973.6
"28","21","Gross domestic investment","W170RC1",233.1,229.8,255.3,288.8,332.6,350.7,341.7,412.9,489.8,583.9,659.8,666.1,778.6,738,808.7,1013.3,1049.5,1087.2,1146.8,1195.4,1270.1,1283.8,1238.4,1309.1,1398.7,1550.7,1625.2,1752,1925.1,2076.7,2252.7,2424,2342.3,2368.6,2493.2,2765.1,3040.8,3233,3236,3059.4,2525.1,2752.6,2877.8,3098.6,3244.3,3441.2
"29","22","  Gross private domestic investment","A006RC1",173.6,170.1,196.8,228.1,266.9,274.5,257.3,323.2,396.6,478.4,539.7,530.1,631.2,581,637.5,820.1,829.6,849.1,892.2,937,999.7,993.5,944.3,1013,1106.8,1256.5,1317.5,1432.1,1595.6,1735.3,1884.2,2033.8,1928.6,1925,2027.9,2276.7,2527.1,2680.6,2643.7,2424.8,1878.1,2100.8,2239.9,2479.2,2648,2851.6
"30","23","    Domestic business","W987RC1",135.1,132.6,148.2,168,200.3,212.8,193.1,240.3,287.9,351.8,409.3,413.2,513.9,470.8,484.8,641.7,644.4,634.1,656.6,687.9,748.6,753.6,713.7,747.7,815.8,930.5,999.2,1078,1215.1,1300,1410.2,1530.6,1393.8,1344.9,1374.1,1510.7,1662.1,1820.6,1907.6,1844.4,1410,1648.4,1788,1976.3,2078.6,2262.1
"31","24","    Households and institutions","W988RC1",38.5,37.5,48.7,60.2,66.7,61.7,64.2,83,108.7,126.5,130.4,116.9,117.4,110.3,152.7,178.4,185.3,215.1,235.5,249,251.1,239.9,230.7,265.3,291,326,318.2,354,380.6,435.3,474,503.1,534.9,580.1,653.9,765.9,865,860.1,736.1,580.4,468.1,452.4,451.9,502.9,569.4,589.5
"32","25","  Gross government investment","A782RC1",59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,136,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320,329.5,341.4,368.5,390.3,413.6,443.6,465.3,488.5,513.6,552.3,592.2,634.6,647,651.8,637.9,619.4,596.3,589.6
"33","26","    Federal","A787RC1",30.7,30.5,27.8,29.3,31.7,35.7,39.8,44.7,49.2,54.7,61.7,70.3,80.4,90,102.3,115.6,132.5,141.9,152.4,148,151.2,158.2,156.8,156.4,150.7,145.4,147.7,149.8,143.7,147.7,154.9,157.4,163.8,180.3,196.4,211,222.9,238,251.4,275.8,284,300,297.4,287.8,268.5,253.9
"34","27","    State and local","A799RC1",28.8,29.3,30.7,31.3,34,40.5,44.6,44.9,44,50.8,58.4,65.7,66.9,67,68.8,77.6,87.3,96.2,102.2,110.4,119.2,132.2,137.3,139.7,141.2,148.8,160,170.2,185.8,193.7,213.6,232.9,249.8,263.3,268.9,277.5,290.8,314.3,340.8,358.8,363,351.9,340.5,331.6,327.8,335.7
"35","28","Capital account transactions (net) \1\","W167RC1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,7.4,5.3,-1.3,0.9,1.3,0.4,0.2,0.5,0.2,4.5,0.3,-12.9,0.5,2.1,-2.8,-12.9,2.1,-0.1,-5.4,0.6,0.7,1.6,-6.5,0.8,0.3
"36","29","  Private","W999RC1",3.5,3.8,4.5,5.7,7.9,9.9,4.7,7.7,9,5.9,8.1,10.4,12.3,11.4,11,9.7,7.1,9.4,6.8,6.9,8.3,10.8,9.6,8.3,11.6,14,21.2,21.9,30,30.8,29.3,27.6,15.5,18.1,2.5,-4.7,-30.8,20,-4,-53.2,-121.4,-58.5,-46.7,-23.8,7.5,8.3
"37","30","    Domestic business","W989RC1",-0.4,-0.1,-0.1,0.1,2.6,5,-0.3,1.8,0.9,0,2.1,3.3,4.8,3.1,4.7,3.6,0.7,2.2,-0.5,-0.8,1.3,-0.7,-0.6,6.8,-0.6,3.1,7.1,3.4,7.9,4.3,-0.4,-1.2,-7,-2.7,-2.2,2.7,0.1,13.6,0.3,-49.9,-83.4,-29.4,-40.9,-11.1,-4.3,5.2
"38","31","    Households and institutions","W990RC1",3.9,3.9,4.5,5.5,5.3,4.9,5,5.9,8.1,5.8,6,7.1,7.5,8.2,6.3,6.2,6.4,7.1,7.3,7.7,7,11.5,10.2,1.4,12.3,10.9,14.1,18.5,22.1,26.5,29.7,28.8,22.5,20.7,4.7,-7.4,-31,6.5,-4.4,-3.3,-38.1,-29.1,-5.8,-12.7,11.8,3.1
"39","32","  Government","W991RC1",-3.5,-3.8,-4.5,-5.6,-7.9,-9.8,-4.6,-7.6,-8.9,-5.8,-8,-10.3,-12.2,-11.3,-10.9,-9.7,-6.9,-9.3,-6.7,-6.8,-7.9,-3.4,-4.3,-9.5,-10.8,-12.7,-20.8,-21.7,-29.5,-30.6,-24.8,-27.3,-28.5,-17.6,-0.3,1.9,18,-18,3.9,47.8,122,59.2,48.4,17.3,-6.6,-8
"40","33","    Federal","W992RC1",2.4,1.3,0.9,0,-2.3,-2.5,4.4,2.6,2.6,6.1,6.2,6.2,3.3,3.5,4.9,7.9,12,10.1,11.5,12,10.6,15.8,15.7,11.5,11.6,11,5,6.1,-0.2,-2.3,6.6,8.3,13.1,24.1,40.2,38.5,58.3,28.8,49.6,97.2,177.4,125.3,113,82.8,56,55.4
"41","34","    State and local","W993RC1",-5.9,-5.1,-5.4,-5.6,-5.6,-7.3,-9,-10.3,-11.5,-11.9,-14.2,-16.4,-15.5,-14.7,-15.7,-17.5,-18.9,-19.3,-18.2,-18.8,-18.5,-19.3,-20,-21,-22.3,-23.7,-25.8,-27.8,-29.4,-28.3,-31.4,-35.6,-41.6,-41.7,-40.5,-36.6,-40.4,-46.8,-45.7,-49.4,-55.4,-66.2,-64.6,-65.5,-62.6,-63.3
"42","35","Net lending or net borrowing (-), NIPAs","W162RC1",1.6,3.7,0.3,-4.1,8.8,5.9,19.8,7,-11,-12.7,-1.3,8.4,3.3,-3.4,-35.2,-90.2,-114.4,-142.8,-154.2,-115.9,-92.7,-82.3,2.6,-44.3,-79.4,-116,-105.5,-114.3,-129.8,-204.7,-291.5,-404.6,-376,-451.4,-518.7,-623.7,-730,-806.1,-717.5,-680.7,-377.8,-448.6,-482.1,-475.7,-423,-468
"43","36","  Private","W994RC1",23.3,53,63.4,48,48,57.6,143.3,103.4,69.5,60.5,66.7,123.9,116.9,198.1,207.1,134,133.6,127.7,83.1,102,133,214.2,354.9,396.9,327.1,214.9,213.6,129.9,9.8,-167.4,-288.7,-485.7,-226.3,72,165.7,51.9,-173.7,-376.3,-182.4,374.2,1469.2,1370.4,1184.6,976.7,534.5,399
"44","37","    Domestic business","W995RC1",-24.7,-18.1,-11.7,-15.8,-35.1,-44.6,22.6,10.6,-1.5,-20.3,-28.8,-27.5,-79.1,-34,43.1,-74.4,-26,-12.9,-27.9,-45.9,-43.7,5,99.3,101.3,117,65.1,28.2,-15.5,-121.8,-305.4,-298.8,-491,-254.1,1.1,124.7,77.1,60.3,-235.5,-174.7,-5.5,824,765.2,521.3,166.2,80.6,-95.1
"45","38","    Households and institutions","W996RC1",47.9,71.1,75.1,63.8,83.1,102.2,120.8,92.8,71,80.8,95.5,151.4,196.1,232.1,164,208.4,159.6,140.6,111,147.9,176.7,209.2,255.6,295.6,210.1,149.8,185.4,145.4,131.6,138,10.2,5.3,27.7,70.9,41,-25.2,-234,-140.8,-7.7,379.7,645.2,605.2,663.3,810.5,453.9,494.1
"46","39","  Government","AD01RC1",-21.7,-49.3,-63.1,-52.1,-39.2,-51.6,-123.6,-96.4,-80.5,-73.2,-68,-115.5,-113.7,-201.5,-242.3,-224.1,-248.1,-270.5,-237.4,-217.9,-225.7,-296.5,-352.3,-441.2,-406.5,-330.9,-319.1,-244.3,-139.6,-37.4,-2.8,81.1,-149.7,-523.4,-684.4,-675.5,-556.3,-429.8,-535.1,-1055,-1847.1,-1819,-1666.7,-1452.4,-957.5,-866.9
"47","40","    Federal","AD02RC1",-12.5,-38.9,-50.5,-48.1,-35.3,-39.1,-103.4,-86.6,-80,-73.2,-60.7,-104.8,-104.3,-185.4,-233.2,-229.4,-246.8,-264.3,-219.5,-201,-194.3,-243.8,-280.8,-359.1,-328.8,-261.7,-241.6,-182,-81.7,10.9,62,152.3,0.8,-309.9,-469.1,-470.1,-396.6,-293.2,-353.9,-780.6,-1475.7,-1508.7,-1397.1,-1185.6,-705.6,-615.3
"48","41","    State and local","AD03RC1",-9.2,-10.3,-12.5,-4,-3.9,-12.6,-20.1,-9.7,-0.5,0,-7.3,-10.8,-9.4,-16.1,-9,5.3,-1.3,-6.1,-17.9,-16.9,-31.4,-52.7,-71.6,-82,-77.8,-69.1,-77.5,-62.2,-57.9,-48.3,-64.8,-71.2,-150.5,-213.5,-215.2,-205.4,-159.7,-136.6,-181.2,-274.3,-371.4,-310.3,-269.6,-266.9,-252,-251.6
"49","42","    Statistical discrepancy","A030RC1",1.6,5.3,9.5,7.1,6.1,7.4,13.2,20.5,19.3,23.2,44.8,43.9,36.7,6.8,54.2,38.7,51.3,76.7,40.6,-0.5,64.2,91.4,88.4,110.9,152.3,136.8,90.6,56.6,12.3,-60.1,-37.5,-99.5,-115,-72.8,-13.6,-8.6,-35.5,-217.3,17.5,99.4,75.3,49.2,-38.3,-209.2,-211.9,-182
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","  Gross private saving","A126RC1",198.7,221.5,255.2,274.7,316.8,334.6,392,413.9,455.9,521.6,569.7,620.5,723.8,783.7,801.4,925.1,919.1,909.4,941.6,1046.4,1076.8,1127.1,1220.5,1307.3,1293.2,1348.5,1461.7,1527.3,1623.2,1658.9,1662.3,1675.2,1832.8,2087.8,2209.7,2332.5,2358.1,2541.7,2439.8,2646.5,3150.6,3363.5,3416.1,3641.3,3401.9,3440.9
"52","44","    Domestic business","W997RC1",108.4,109,126.9,145.2,161.7,165.8,202.2,232.2,268.1,308.4,337.8,345.1,402.9,433.2,478.4,532.2,567.8,546.7,587.7,641.7,642,666.5,724,745,779.9,861.8,944,1009.4,1088.8,1059.1,1148.5,1137.9,1247.7,1416,1510.2,1599.1,1758,1815.9,1715.8,1689.7,2075.3,2334.9,2306.7,2340.6,2366.8,2354.2
"53","45","    Households and institutions","W998RC1",90.3,112.5,128.3,129.5,155.1,168.8,189.9,181.6,187.8,213.2,231.9,275.4,320.9,350.5,323,392.9,351.3,362.8,353.9,404.6,434.7,460.6,496.5,562.3,513.4,486.7,517.7,517.9,534.3,599.8,513.8,537.2,585.1,671.7,699.5,733.4,600,725.7,724.1,956.8,1075.3,1028.5,1109.4,1300.7,1035.2,1086.7
"54","46","  Gross government saving","A927RC1",34.4,6.7,-9,2.9,18.5,14.7,-43.8,-14.4,3.7,26.6,44.1,10.2,21.4,-55.8,-82,-40.6,-35.1,-41.6,10.6,33.7,36.8,-9.5,-62.5,-154.6,-125.4,-49.4,-32.2,54,160.4,273.5,340.8,444.1,235.4,-97.4,-219.4,-185.2,-24.7,104.6,61,-372.5,-1078,-1108,-980.5,-815.7,-367.9,-285.3
"55","47","    Federal","A926RC1",20.7,-7.2,-21.8,-18.8,-6,-6,-59.2,-39.2,-28.2,-12.4,7.2,-28.4,-20.5,-92,-126,-105.9,-102.3,-112.3,-55.6,-41,-32.5,-69.8,-108.3,-191.2,-166.5,-105.4,-88.9,-26.1,61.9,156.3,223.4,318,177.8,-105.5,-232.6,-220.6,-115.4,-26.3,-52.8,-407.6,-1014.3,-1083.4,-986.7,-815,-381.1,-306
"56","48","    State and local","A925RC1",13.8,13.9,12.8,21.7,24.5,20.7,15.4,24.9,31.9,38.9,36.8,38.5,42,36.2,44.1,65.3,67.2,70.7,66.2,74.8,69.3,60.2,45.8,36.6,41.1,56,56.7,80.1,98.5,117.2,117.4,126.1,57.7,8.1,13.1,35.4,90.7,130.9,113.8,35.1,-63.7,-24.6,6.2,-0.7,13.3,20.7
"57","49","  Net domestic investment","W171RC1",108.2,93.1,106.5,127.9,154.5,144.5,104.1,153.7,201.4,258.9,288.6,240,293.5,203.7,248.1,418.9,412.9,405.1,418.9,413,434,397,307.3,349.4,395.1,495.1,502.4,576,685.2,766.5,851.8,909.8,738.3,706.5,766,933.4,1058.8,1097,971.6,696.1,156.8,371,427.1,568.4,617.1,705
"58","50","    Private","A557RC1",84.1,71.8,89.2,110.7,135.4,121.4,78.5,126.7,175.5,226.3,248.9,195.1,249.3,160.6,198.7,356.6,333.2,317.6,325.9,328.7,349.6,304.5,222,268.9,326.9,432.2,434.9,501,605.5,680.4,748.3,797.2,610.9,557,605.6,767.4,891.8,915.6,778.8,487.9,-47.5,177.3,268.8,444.9,527.2,635.3
"59","51","      Domestic business","W790RC1",60.9,50.8,58.7,70.8,92.1,86.7,45.2,78.1,106.4,146.3,172.9,140.4,200.4,123.3,122.1,259.1,234.1,195.9,192.2,189.5,216.8,189.7,121.9,139.8,181.6,261.5,281.5,319.7,407.1,439.6,485.3,524.1,326.3,243.5,242.5,324.8,388.9,451.7,456.4,322.1,-112.4,125.4,215.2,346.6,384.9,500
"60","52","      Households and institutions","W791RC1",23.2,21,30.4,39.9,43.4,34.7,33.3,48.6,69.1,79.9,76,54.7,48.9,37.4,76.7,97.5,99.1,121.6,133.7,139.1,132.8,114.7,100.1,129,145.3,170.7,153.4,181.3,198.4,240.8,263,273,284.7,313.5,363.1,442.6,502.9,463.9,322.4,165.9,64.9,51.9,53.7,98.4,142.3,135.3
"61","53","    Government","A889RC1",24.1,21.3,17.3,17.3,19,23.2,25.7,26.9,25.9,32.6,39.7,44.9,44.2,43,49.4,62.4,79.6,87.5,93,84.3,84.4,92.5,85.3,80.6,68.3,62.9,67.5,75,79.6,86.1,103.5,112.6,127.4,149.5,160.4,166.1,167,181.3,192.8,208.1,204.3,193.8,158.3,123.5,89.9,69.7
"62","54","      Federal","A890RC1",4.9,2.9,-1.2,-0.7,-0.1,1,2.1,4.1,5.5,7.3,10,12.4,15.2,17.3,23.4,29.2,39.2,41.6,44.9,31.7,27.1,27.1,18.9,15,5.4,-3,-4.2,-2.6,-9.3,-5.9,-1.9,-4.1,0.5,15.2,26,32.4,33.5,37.3,38.6,49.4,49.4,54.6,40,23.7,0.5,-20.5
"63","55","      State and local","A893RC1",19.2,18.4,18.5,18,19.1,22.2,23.6,22.8,20.5,25.3,29.7,32.6,29.1,25.7,26,33.2,40.5,45.9,48.1,52.6,57.3,65.5,66.4,65.6,62.9,65.9,71.7,77.6,89,92,105.5,116.7,126.8,134.3,134.4,133.7,133.5,144,154.2,158.7,154.9,139.1,118.3,99.8,89.4,90.2
"64","56","  Gross saving as a percentage of gross national income","W206RC1",22.8,21.2,21.1,21.6,23.4,22.4,20.6,21.3,22,23.3,23.4,22.1,23.2,21.6,19.9,21.9,20.5,19.2,19.6,20.5,19.8,18.9,18.9,17.8,17.3,18.1,18.8,19.6,20.7,21.1,20.6,20.3,19.2,17.9,17.2,17.4,17.6,18.7,17.1,15.4,14.3,14.9,15.4,17,17.6,17.7
"65","57","  Net saving as a percentage of gross national income","W207RC1",10.6,8.5,8.3,9.1,11,9.2,6.6,7.5,8.2,9.5,9.3,7.2,8.1,5.7,4.4,7.2,5.7,4.1,4.6,5.6,4.9,3.9,3.7,3,2.4,3.4,4,5,6.3,6.8,6.2,5.8,4.3,3,2.3,2.6,2.7,3.6,1.6,-0.6,-2,-0.8,-0.1,1.8,2.4,2.4
"66","58","  Disaster losses \2\","W771RC1",NA,NA,0.1,1.6,0.6,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,9,0,1.5,17.9,4.1,20.4,2.4,0,0,0,3.5,0,19.2,0,0,29.4,110.4,0,0,19.1,0,0,0,45.9,0,0
"67","59","    Private","W772RC1",NA,NA,0.1,1.6,0.6,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,7.9,0,1.5,17.9,4.1,18.4,2.4,0,0,0,3.5,0,17.5,0,0,29.4,99.2,0,0,19.1,0,0,0,38.3,0,0
"68","60","      Domestic business","W773RC1",NA,NA,0.1,1,0.5,0.1,0,0.1,0.3,0,0.8,0.4,0,0.6,0.6,0,0.5,0,0,0,4.7,0,0.3,8.2,2.5,13.6,1.2,0,0,0,2.2,0,15.5,0,0,17.4,48.8,0,0,10.8,0,0,0,17.5,0,0
