"","Table 7#4#3# Real Housing Sector Output, Real Gross Value Added,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Tenant-occupied","DTENRA3",10.632,10.712,10.872,10.914,10.345,11.516,11.678,11.983,12.352,12.721,13.13,13.601,14.252,14.713,14.713,14.62,14.119,14.779,15.402,16.096,17.014,17.836,18.808,19.616,20.373,20.876,21.294,21.781,22.69,23.606,24.684,25.773,27.114,28.609,30.034,31.608,33.346,34.839,36.298,38.514,40.481
"12","5","  Farm housing","DFARRA3",61.928,61.685,61.413,60.994,60.614,60.206,60.175,60.215,60.422,60.379,60.594,61.145,61.856,62.172,62.25,62.202,62.013,63.475,64.577,66.05,67.348,68.39,69.302,69.933,70.511,70.949,71.078,71.396,71.635,71.791,72.166,72.342,72.831,73.174,73.54,74.013,74.3,74.77,75.324,75.801,76.182
"13","6","Less: Intermediate goods and services consumed","B1027A3",5.091,4.709,4.423,3.899,4.181,5.299,5.676,6.491,6.658,5.925,6.435,6.791,7.572,7.008,6.312,6.308,6.464,10.426,12.847,14.23,15.199,16.385,17.552,17.869,18.336,17.967,18.286,18.777,18.58,18.624,17.76,17.397,17.193,17.292,17.46,18.358,19.262,19.767,19.752,22.959,25.203
"14","7","Equals: Gross housing value added","A2009A3",6.289,6.273,6.259,6.238,6.055,6.214,6.202,6.168,6.256,6.501,6.588,6.754,7.071,7.603,8.049,8.397,8.563,8.708,9.122,9.591,10.23,10.938,11.757,12.665,13.434,14.302,15.124,15.942,16.945,17.924,19.24,20.483,21.682,23.062,24.224,25.366,26.754,28.032,29.416,30.495,31.966
"15","8","  Nonfarm housing","B499RA3",5.57,5.557,5.545,5.528,5.355,5.513,5.501,5.468,5.553,5.794,5.877,6.034,6.338,6.857,7.297,7.643,7.811,7.954,8.361,8.82,9.452,10.154,10.969,11.882,12.653,13.524,14.351,15.171,16.177,17.161,18.485,19.74,20.947,22.342,23.515,24.668,26.074,27.366,28.783,29.874,31.368
"16","9","    Owner-occupied","B1300A3",4.041,3.955,3.843,3.734,3.741,3.713,3.701,3.673,3.68,3.77,3.807,3.878,4.143,4.522,4.991,5.452,5.822,5.905,6.247,6.659,7.284,8.016,8.913,9.944,10.824,11.833,12.789,13.741,14.742,15.719,16.924,18.169,19.282,20.591,21.627,22.703,24.045,25.34,26.582,27.517,28.996
"17","10","    Tenant-occupied","B1301A3",11.044,11.292,11.645,11.967,11.158,11.969,11.958,11.908,12.267,13.054,13.301,13.769,14.211,15.231,15.56,15.482,14.918,15.275,15.913,16.536,17.18,17.764,18.281,18.765,19.147,19.524,19.891,20.247,21.273,22.285,24.027,25.32,26.862,28.56,30.22,31.644,33.281,34.562,36.597,38.246,39.792
"18","11","  Farm housing","B1302A3",65.67,65.401,65.101,64.645,64.231,63.788,63.743,63.774,63.982,63.925,64.141,64.737,65.479,65.802,65.872,65.809,65.598,65.961,67.093,68.611,69.946,71.014,71.946,72.587,73.174,73.613,73.733,74.049,74.282,74.43,74.804,74.972,75.464,75.805,76.168,76.643,76.926,77.397,76.896,77.367,77.739
"19","12","Less: Consumption of fixed capital","B1028A3",9.385,9.462,9.453,9.392,9.299,9.278,9.32,9.348,9.378,9.395,9.44,9.554,9.706,9.791,9.763,9.714,9.674,9.866,10.32,10.812,11.284,11.822,12.404,12.942,13.5,14.105,14.807,15.535,16.195,16.836,17.622,18.473,19.259,20.099,21.076,22.165,23.273,24.29,25.211,26.219,27.341
"20","13","Equals: Net housing value added","B952RA3",5.498,5.47,5.455,5.441,5.258,5.437,5.415,5.373,5.468,5.747,5.839,6.01,6.353,6.972,7.526,7.975,8.2,8.33,8.732,9.196,9.909,10.691,11.61,12.676,13.532,14.504,15.377,16.236,17.373,18.481,19.994,21.385,22.737,24.314,25.55,26.723,28.22,29.6,31.157,32.27,33.879
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals personal consumption expenditures for housing excluding expenditures for group housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","as shown in table 2.5.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
