"","Table 1#1#6A# Real Gross Domestic Product, Chained (1937) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"21","14","  Change in private inventories","A014AX1",2.1,-0.9,-2.1,-4.8,-2.5,-1.2,1.5,1.6,2.6,-0.6,0.3,3.3,5.3,2.1,-0.7,-0.9,-1.6,5.1,-0.7
"22","15","Net exports of goods and services","A019AX1",0.8,0.4,0.2,0,-0.1,0.2,-0.5,-0.3,0.1,0.9,1,1.5,0.8,-0.5,-1.9,-1.9,-1.1,4.6,6.1
"23","16","  Exports","A020AX1",4.8,4,3.3,2.6,2.6,2.9,3.1,3.2,4,4,4.2,4.8,4.9,3.2,2.7,2.9,4.1,8.9,10.1
"24","17","    Goods","A253AX1",4.3,3.5,2.9,2.3,2.3,2.5,2.6,2.7,3.5,3.5,3.7,4.2,4.4,2.7,2.1,2.2,3.4,7.8,9
"25","18","    Services","A646AX1",0.5,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.7,1.1,1.2
"26","19","  Imports","A021AX1",4.1,3.5,3.1,2.6,2.7,2.7,3.6,3.5,4,3.1,3.2,3.3,4.1,3.7,4.7,4.9,5.2,4.3,4.1
"27","20","    Goods","A255AX1",3.1,2.7,2.3,1.9,2.1,2.1,3,2.8,3.2,2.4,2.6,2.8,3.3,2.3,2.6,2.7,2.7,3.1,3
"28","21","    Services","B656AX1",0.9,0.9,0.7,0.7,0.6,0.6,0.6,0.7,0.8,0.7,0.6,0.6,0.8,1.3,1.9,2,2.3,1.1,1
"29","22","Government consumption expenditures and gross investment","A822AX1",9.5,10.5,10.9,10.6,10.2,11.4,11.8,13.7,13.1,14.1,15.4,15.9,26.8,62.1,93.2,104.7,92,32.5,27.6
"30","23","  Federal","A823AX1",2,2.2,2.3,2.4,2.9,3.8,3.9,5.8,5.3,5.8,6.2,7.1,18.7,56,89.2,101.6,87.9,24.7,18.5
"31","24","    National defense","A824AX1",1.1,1.2,1.2,1.2,1.1,1,1.2,1.4,1.4,1.5,1.7,2.9,14.9,53.1,87.2,99.7,86.3,21.5,14.8
"32","25","    Nondefense","A825AX1",0.9,1,1.1,1.2,1.8,2.8,2.7,4.4,3.8,4.3,4.6,4.2,3.7,2.8,2.3,2.3,1.9,2.8,3.3
"33","26","  State and local","A829AX1",7.4,8.1,8.5,8.1,7.3,7.6,7.9,7.9,7.9,8.3,9.1,8.9,8.3,7.6,6.9,6.7,6.9,7.6,8.6
"34","27","Residual","A960AX1",-1.3,0.2,1,2.6,1.6,0.9,0.4,0.2,-0.1,1.4,1.1,0.1,-0.4,-2,-6.1,-7.8,-3.8,8.1,10.8
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note. Chained (1937) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","index rebased with the reference year 1937 equal to 100 and of the 1937 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
