"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"12","4","D     Wood product manufacturing","S3210",8526,8668,9016,9141,9039,9010,9144,9214,9520,9725,9617,10029,10065,9891,9660,9856,9679,9912,9698,9253,9622,9661,9673,9614,9743,9531,9569,9945,10773,10947,11384,11034,12394,12078,11956,12082,12128,12656,12790,12507,12578,12267,12047,11771,11308,11298,11464
"13","5","D     Nonmetallic mineral product manufacturing","S3270",9136,9278,9224,9298,9270,9284,9269,9186,9202,9258,9580,9786,9878,10041,10193,10552,10671,10514,10348,9974,10005,10083,10220,10394,10844,10888,10834,10430,10423,10737,11081,11361,11628,11797,12061,12149,12488,12893,13239,13555,13595,13642,13597,14081,14416,14545,14486
"14","6","D     Primary metal manufacturing","S3310",21430,21371,21418,21595,21152,21303,21071,20353,20044,20614,21109,22394,22660,22383,22314,21678,21243,20129,19231,18486,18145,18639,18773,19343,19636,18870,18601,19204,21001,21669,24259,26393,27783,26938,28409,29869,31226,34418,35709,35809,36668,36384,35412,34710,38486,43155,40789
"15","7","D     Fabricated metal product manufacturing","S3320",29840,30263,30386,31110,31056,31816,31714,31213,30903,31159,31643,32485,32798,33741,33944,33692,33672,33183,32515,31411,31360,31389,31879,31980,33667,32605,31988,32044,33058,34399,36492,37569,39064,39027,39524,41249,42613,44959,46266,46221,47316,47424,46335,47498,49332,52894,52748
"16","8","D     Machinery manufacturing","S3330",35122,36070,35970,36368,37146,37094,37980,37398,37367,37129,37019,37897,38389,39059,39835,40885,40810,39781,38288,36534,35858,35008,34827,35062,34115,33428,32815,33335,34095,35149,35952,36505,38172,38531,39915,40515,41699,43441,44869,45251,46246,46931,46998,47897,50140,52279,51788
"17","9","D     Computer and electronic product manufacturing","S3340",55459,55723,56997,57216,57304,56307,54794,53255,54304,54624,55850,56870,57159,60246,62403,66222,67015,65418,61566,57937,56655,54795,53778,52882,51509,50094,49426,51298,51841,53348,53877,54627,56287,56111,57559,58466,59723,60251,60874,60911,59867,59456,58273,58824,61351,61919,62455
"18","10","D     Electrical equipment, appliance, and component manufacturing","S3350",12800,13285,13289,13129,13213,12948,12999,13087,12888,13197,13469,13553,13699,13907,14406,14502,14558,14192,13785,13411,13296,13437,13359,13223,13214,13067,12789,13042,13223,13565,14077,14112,14428,14331,14536,15066,15736,16887,17234,17291,17100,17460,17164,17769,18614,19190,19002
"19","11","D     Transportation equipment manufacturing","S3360",68530,68157,68472,68614,72305,75735,76720,79179,78841,77548,78732,80168,79270,76808,75027,72599,70967,69643,69603,69750,69552,68638,67862,69027,69259,69061,67988,68791,69282,70430,71744,72187,75137,74814,75206,76933,78652,81791,83340,84797,86111,87873,88241,91529,96479,100841,101172
"20","12","D       Motor vehicle and parts manufacturing","S3MV0",23127,23065,23474,22927,23662,23692,22813,23433,23982,23961,24121,25227,25474,25706,25899,25561,24645,24285,23493,22498,22453,23289,23826,24117,24081,24114,24270,24705,25815,26585,27331,27012,28381,28341,27786,28423,28646,29582,30041,30175,30346,29814,29207,29212,29247,29617,28556
"21","13","D       Other transportation equipment manufacturing","S3OT0",45403,45092,44998,45687,48643,52043,53907,55746,54859,53587,54611,54941,53796,51102,49128,47038,46322,45358,46110,47252,47099,45349,44036,44910,45178,44947,43718,44086,43467,43845,44413,45175,46756,46473,47420,48510,50006,52209,53299,54622,55765,58059,59034,62317,67232,71224,72616
"22","14","D     Furniture and related product manufacturing","S3370",6956,7092,7060,7124,7151,7232,7208,7153,7289,7400,7444,7652,7885,8022,8071,7978,8076,8022,7802,7422,7447,7598,7730,7892,8176,8195,8190,8054,8223,8485,8749,8690,8930,8875,9139,9322,9522,9582,9602,9419,9415,9289,9129,9166,9238,9413,9294
"23","15","D     Miscellaneous durable goods manufacturing","S3390",14171,14053,14040,14460,14499,14499,14707,14443,14577,15021,15324,15576,15990,16110,16640,16664,16817,16614,16368,16370,16237,16456,16454,16240,16869,16881,17005,17201,17723,17749,18118,18393,18862,19247,20287,20880,21074,21569,22070,22417,22973,23182,23176,23632,24076,24370,24237
"24","16","A   Nondurable goods manufacturing industries","S30N0",159010,160182,161243,163624,161646,160612,158997,156976,156591,159760,164816,171305,176085,179915,181282,182373,181738,178220,173560,167318,168927,171056,176416,177985,184907,182959,182408,183689,187825,194250,199938,204219,213535,213766,223242,229297,233825,242951,242485,240202,241867,249511,255625,271812,288493,307345,290397
"25","17","D     Food manufacturing","S3110",31881,31896,32014,32423,31999,32060,31726,31501,31263,31455,32513,32884,34332,34399,34072,34680,34816,35137,34901,34052,34130,34616,35293,35510,36552,36665,37142,37335,37772,38522,37826,37926,38715,38988,39910,40402,40620,41032,41155,42478,42934,44282,45278,45899,47967,43834,42686
"26","18","D     Beverage and tobacco product manufacturing","S3120",11151,11432,11368,11699,11943,11700,11297,11648,11397,11407,11168,11631,11914,12021,12218,12012,12286,12345,12633,12693,12967,13237,13339,13175,12943,13070,12972,12943,12886,13213,13771,13340,13226,13046,13074,13417,13215,12834,13227,13550,13804,13980,13794,13854,14127,16773,16860
"27","19","D     Textile mills","S3130",6990,7003,6966,6940,7022,7016,6990,6894,6751,6683,6703,6818,6741,6770,6677,6689,6623,6295,6047,5757,5557,5435,5494,5528,5629,5707,5664,5563,5527,5584,5568,5537,5560,5590,5614,5751,5822,5804,5845,5714,5567,5545,5504,5559,5569,5483,5596
"28","20","D     Textile product mills","S3140",3822,3947,4011,4041,4077,3931,3828,3700,3705,3792,3804,3900,4004,4200,4296,4396,4409,4216,4200,4285,3905,3747,3539,3242,3312,3276,3256,3321,3320,3381,3452,3411,3640,3612,3592,3746,3779,3863,3918,3859,3779,3770,3764,3785,3776,3664,3771
"29","21","D     Apparel manufacturing","S3150",8550,8790,8898,8953,8998,8805,8720,8727,8610,8690,8960,9033,8889,8673,8712,8841,8711,8238,7577,6936,6621,6525,6687,6835,6976,6946,6888,6767,6514,6558,6629,6699,7406,7320,7354,7106,7275,7307,7344,7322,7385,7603,7615,7679,7722,7819,7862
"30","22","D     Leather and allied product manufacturing","S3160",1569,1614,1613,1652,1630,1680,1681,1608,1579,1585,1608,1646,1657,1639,1666,1656,1723,1620,1551,1455,1339,1311,1340,1387,1311,1266,1283,1380,1354,1327,1319,1428,1478,1493,1530,1537,1465,1544,1602,1710,1710,1700,1679,1707,1739,1686,1695
"31","23","D     Paper manufacturing","S3220",15536,15722,16079,16569,16675,16684,16717,16150,15692,15387,15685,15868,16424,17087,17294,17225,17123,16797,16100,15646,15467,15514,16030,16428,16238,16503,16586,16344,16372,16821,17237,17711,18482,18858,19214,19063,19587,19839,20042,20063,19894,19196,19099,19555,20173,20943,21284
"32","24","D     Printing and related support activities","S3230",6216,6611,6605,6910,6689,6632,6842,6474,6294,6254,6237,6553,6822,6781,6944,6876,6966,6722,6411,6085,5778,6018,6048,6229,6277,6163,6199,6169,6147,6275,6415,6588,6594,6741,6909,6865,7000,7171,7244,7177,7081,6868,6928,7355,7291,7357,7234
"33","25","D     Petroleum and coal product manufacturing","S3240",12288,11481,11456,11144,9060,8556,8234,7795,8398,9589,11524,14066,15161,15888,15839,15576,14425,14346,13422,11672,12903,14106,15345,16424,18290,16469,16100,17946,19580,21248,23528,23752,27833,27932,33399,33887,35040,41346,37095,35108,34780,38545,42790,53309,63091,77190,58808
"34","26","D     Chemical manufacturing","S3250",44800,45204,45934,46942,47234,47265,46974,46478,46807,48365,49270,51215,52259,53754,55113,56029,56082,54733,53682,52076,52657,52988,55276,55623,58807,58108,58125,57964,59981,62284,64055,66742,68315,68290,70812,74500,76407,78258,80248,79359,80969,83284,83928,87168,90682,95266,96348
"35","27","D     Plastics and rubber product manufacturing","S3260",16207,16482,16299,16351,16319,16283,15988,16001,16095,16553,17344,17691,17882,18703,18451,18393,18574,17771,17036,16661,17603,17559,18025,17604,18572,18786,18193,17957,18372,19037,20138,21085,22286,21896,21834,23023,23615,23953,24765,23862,23964,24738,25246,25942,26356,27330,28253
"36","28","A Merchant wholesale industries","S42W0",246612,251742,254455,259649,263718,263662,266894,270278,273571,275237,281935,289889,297192,302445,304141,307431,306226,305774,301293,292491,290111,292007,298880,300262,303544,301186,303589,310766,318524,324160,332662,342406,351198,354642,360459,369152,374295,388234,395977,402450,408974,414519,422676,439075,456889,475506,476117
"37","29","A   Durable goods merchant wholesale industries","S42WD0",155321,160543,161402,163822,167501,166947,169634,171865,173685,175166,178045,183615,186593,191532,191301,191209,189547,184985,180115,173359,169907,170212,173093,174167,175969,174855,174001,178580,185130,191096,199750,205805,209950,211489,213043,220505,223679,232374,239360,239854,241743,241294,242336,245163,254397,264500,272817
"38","30","D     Motor vehicles, parts, and supplies wholesalers","S42110",21684,22634,22904,22213,23399,21572,21984,22805,23156,23784,24781,25237,25943,26680,25722,26120,25628,24929,25145,24031,23476,24263,25412,26382,27092,26982,25876,27684,28987,29163,30646,29851,29643,31750,31472,32254,33335,33564,33879,33464,33064,32574,33288,34730,34752,35995,37675
"39","31","D     Furniture and home furnishings wholesalers","S42120",4655,4851,4967,5036,5012,5165,5209,5192,5220,5282,5301,5497,5663,5946,5901,6011,6039,5747,5679,5523,5382,5493,5718,5830,5979,6138,6051,6241,6405,6472,6583,6622,6710,6651,6850,7089,6909,7107,7237,7426,7593,7533,7549,7527,7754,7696,7663
"40","32","D     Lumber and other construction materials wholesalers","S42130",5353,5619,5633,5553,5500,5421,5363,5370,5557,5810,5879,6010,6252,6281,6088,6254,6144,6066,6293,6298,6287,6291,6559,6787,7054,7157,7511,8415,9271,10117,10721,10939,11923,11224,10680,12048,12314,12763,12892,12431,12159,11668,11612,11782,11480,12160,12313
"41","33","D     Professional and commercial equipment wholesalers","S42140",23752,25336,25814,26127,26892,25823,24979,23941,24102,23947,23944,25227,24794,24669,25128,24521,23458,22878,21493,20540,20417,21124,21291,21070,21518,21239,21628,21415,21667,22156,22586,23364,23247,23692,23560,23934,24218,24507,25627,26197,26580,26912,26986,26808,28071,28641,29160
"42","34","D       Computers and software wholesalers","S42430",14492,15728,16100,15915,16404,15496,14311,13927,13474,13465,13152,13964,12731,12178,12504,11866,11063,10227,9306,8640,8850,9205,9044,8407,8846,8904,8824,9082,9048,9487,9460,9922,9814,9659,9812,9787,9731,9455,9998,10156,10058,10247,10478,10056,10737,10990,11247
"43","35","D       Other professional and commercial equipment wholesalers","S424X0",9260,9608,9714,10212,10488,10327,10668,10014,10628,10482,10792,11263,12063,12491,12624,12655,12395,12651,12187,11900,11567,11919,12247,12663,12672,12335,12804,12333,12619,12669,13126,13442,13433,14033,13748,14147,14487,15052,15629,16041,16522,16665,16508,16752,17334,17651,17913
"44","36","D     Metal and mineral (except petroleum) wholesalers","S42150",13844,14133,14105,14121,14259,14182,14259,14235,13658,13931,13934,14924,15856,16119,15945,15060,14584,14306,14013,13582,13369,13759,14512,14434,14141,14040,14070,15234,18076,19311,21627,23792,24337,23252,23096,24260,24804,28335,30666,30670,30736,30861,29282,29534,32978,38617,38296
"45","37","D     Electrical goods wholesalers","S42160",21694,21762,21606,21330,21899,22461,22716,22941,23027,23251,24277,25868,26081,27016,27992,28997,28976,27871,25861,23961,22808,22228,22813,22741,22418,22154,22010,22032,22966,23817,23892,24373,24887,24873,25090,25330,25856,26513,27962,28403,28319,28391,28492,29255,29980,30688,32151
"46","38","D     Hardware and plumbing and heating equipment wholesalers","S42170",9101,9347,9428,9446,9841,10145,10169,10292,10354,10419,10437,10628,10883,11418,11460,11660,11473,11311,11422,11209,11041,11053,11196,11218,11698,11472,11323,11371,11408,11793,12350,12710,12846,12870,12918,13564,14095,14515,14871,14952,15116,15368,15674,15612,15414,15650,16063
"47","39","D     Machinery, equipment, and supplies wholesalers","S42180",39615,41578,41126,43533,44362,45607,47502,49516,50549,50755,51049,50927,51263,52461,52742,52105,52810,52643,51313,49604,48700,47292,47263,47263,47365,46839,46398,45844,46227,47738,49164,51752,53476,54594,56054,57446,58158,60512,61808,61717,62819,63061,64231,65532,67674,68169,72927
"48","40","D     Miscellaneous durable goods wholesalers","S42190",15623,15283,15819,16463,16337,16571,17453,17573,18062,17987,18443,19297,19858,20942,20323,20481,20435,19234,18896,18611,18427,18709,18329,18442,18704,18834,19134,20344,20123,20529,22181,22402,22881,22583,23323,24580,23990,24558,24418,24594,25357,24926,25222,24383,26294,26884,26569
"49","41","A   Nondurable goods merchant wholesale industries","S42WN0",91291,91199,93053,95827,96217,96715,97260,98413,99886,100071,103890,106274,110599,110913,112840,116222,116679,120789,121178,119132,120204,121795,125787,126095,127575,126331,129588,132186,133394,133064,132912,136601,141248,143153,147416,148647,150616,155860,156617,162596,167231,173225,180340,193912,202492,211006,203300
"50","42","D     Paper and paper products wholesalers","S42210",6779,6840,7397,7624,7735,7655,7446,7386,7541,7751,8052,7987,8607,8845,8959,9082,8936,8681,8392,8170,7909,7995,7970,7970,8048,7998,7856,8053,8178,8611,9088,9228,9120,9355,9307,9650,9561,9834,10160,10263,10064,10342,10504,10663,10885,10953,11488
"51","43","D     Drugs and druggists' sundries wholesalers","S42220",12660,12941,13726,14118,15452,15467,15550,16121,16925,18467,19098,19614,20710,21461,22774,24101,24654,27184,29427,30787,30655,30360,30338,32212,33435,33606,33931,33102,34168,33877,33966,33610,33373,33180,33184,33965,34579,35632,35854,35542,35038,36032,36367,37194,38067,37660,38859
"52","44","D     Apparel, piece goods, and notions wholesalers","S42230",12028,12443,12448,12977,12775,12872,12870,12938,12578,11860,11661,12098,12290,12204,12279,12030,12649,13146,12764,11858,11692,11712,12667,12344,12294,12346,11807,11691,11574,11160,11794,11989,12294,12735,12594,12298,12359,12516,13178,13736,13889,14002,14190,13826,14482,14133,14206
"53","45","D     Grocery and related products wholesalers","S42240",16666,16717,16690,17492,17458,17929,17883,17605,18284,18215,19157,19667,19660,19354,20077,20307,20086,19968,19626,19585,19975,20951,20910,21078,21405,20750,21719,21559,21660,22223,22152,22402,22855,22724,23431,24442,23910,24551,25894,26430,28302,28861,28869,29569,29452,30351,31411
"54","46","D     Farm product raw material wholesalers","S42250",13711,13270,12994,13585,12805,12406,12672,13269,12966,12685,13389,12940,14477,13770,13356,14843,14341,14806,14953,14281,14653,15141,17276,15663,14793,15164,16479,19370,20387,17996,14583,14422,16894,17291,16296,16238,16755,18478,18198,24750,24488,26223,32068,38868,42712,44646,34538
"55","47","D     Chemical and allied products wholesalers","S42260",4578,4725,4756,4738,4620,4717,4969,5023,5005,4985,5068,5320,5422,5421,5243,5163,5201,5258,5252,5114,5245,5351,5599,5729,5804,5679,5588,5794,5413,5604,6096,6432,6906,7043,7338,7292,7614,7924,7628,7495,7929,8095,8087,8626,8880,9214,9763
"56","48","D     Petroleum and petroleum products wholesalers","S42270",4962,4567,4623,4596,4157,4190,4191,3704,4082,4435,4880,5038,5534,5597,5598,5828,5436,5425,5168,4873,5691,5641,6108,6348,6459,6087,6437,6851,6756,7035,8461,10183,11926,11657,15482,14168,15151,16066,14573,13101,14342,15959,15444,19227,19523,23486,21628
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","S42280",4613,4835,4911,5220,5557,5441,5582,5495,6088,5878,5830,5866,5981,6064,6167,6362,6229,6391,6347,6303,6560,6545,6677,6877,7053,7051,7170,7259,7040,7328,7367,7750,7957,8040,8322,8440,8619,8736,8841,9152,9392,9731,10078,10083,10349,10597,10810
"58","50","D     Miscellaneous nondurable goods wholesalers","S42290",15294,14861,15508,15477,15658,16038,16097,16872,16417,15795,16755,17744,17918,18197,18387,18506,19147,19930,19249,18161,17824,18099,18242,17874,18284,17650,18601,18507,18218,19230,19405,20585,19923,21128,21462,22154,22068,22123,22291,22127,23787,23980,24733,25856,28142,29966,30597
"59","51","A Retail trade industries","S440",327392,330447,333878,337516,346609,349072,351320,353588,360406,364858,371308,383794,386428,396808,402968,408986,404870,406532,407460,395637,400429,407535,412721,419258,427991,429271,433620,436426,445729,456944,464701,472783,478869,476817,480976,486991,493929,501462,505179,505951,506786,510390,516213,516993,518402,522421,527014
"60","52","A   Motor vehicle and parts dealers","S4410",100492,100654,101718,104162,107919,108072,107755,107624,111837,112670,115670,121531,122145,129080,133341,135607,129774,131962,133691,125007,129600,134296,134840,140385,146147,148839,149218,149280,153539,158015,161640,161057,161049,156801,156971,159323,161686,163298,162260,159472,155141,154997,158576,152587,150760,147926,149740
"61","53","D   Furniture, furnishings, electronics, and appliance stores","S44230",24558,24255,23814,23616,23635,23331,23112,23303,23288,23737,24118,24617,25039,25804,25450,26145,25812,25098,24584,24859,25854,26109,26734,26348,26214,26738,26996,27691,28031,28676,29470,31031,30789,31587,31309,32141,32779,33140,33320,33060,33527,33693,34320,34596,34245,34764,35467
"62","54","D   Building material and garden equipment and supplies dealers","S4440",32221,32790,33347,33540,34313,34406,35211,35828,36412,36942,37363,38493,38933,39801,40306,39943,40069,40287,40139,40037,40888,40897,41463,41986,42349,42281,43669,43881,45285,47035,47806,49289,50375,50171,51299,53470,54897,55756,56833,55549,55749,57034,56543,57252,58663,59965,61329
"63","55","A   Food and beverage stores","S4450",27664,27515,28071,27835,28420,28940,29106,29487,29859,30214,31205,31531,31736,31592,31851,32066,32996,33386,33437,33571,33490,33266,33672,33744,34157,34056,34972,34497,34750,35608,35763,35929,36313,36296,35692,36707,36656,37348,38264,38283,39536,39751,40693,42116,43209,44609,45281
"64","56","D   Clothing and clothing accessories stores","S4480",25967,26853,27286,27639,28106,28562,29130,28795,29313,29684,28998,30078,30114,30581,31384,32445,32465,32275,32282,31401,30640,31468,32407,33138,33949,33540,33673,34047,34426,35309,36096,37137,38324,38705,39256,39294,40553,42241,43127,44893,45015,44292,44648,44971,44528,44281,43944
"65","57","A   General merchandise stores","S4520",57257,58065,57806,58279,58998,59209,59981,59632,60045,60304,61082,62470,62737,63298,63089,63794,65662,65870,65439,64017,62973,63099,64206,65336,65312,65476,66146,66935,68630,70098,70174,72312,74518,74746,75385,75462,74841,74731,76820,78827,80295,80833,80711,81041,81567,82822,83546
"66","58","D     Department stores","S45210",41391,41879,41550,42117,42391,42257,42522,41709,41772,41671,41745,42415,42109,42102,41549,41792,42320,41983,41606,39783,38385,37914,37966,38217,37753,37538,37229,36765,37223,37428,37246,37822,39089,38203,38297,38195,37149,36690,37690,38698,38895,39218,39276,38968,38876,38627,38657
"67","59","D     Other general merchandise stores","S45290",15866,16186,16256,16162,16607,16952,17459,17923,18273,18633,19337,20055,20628,21196,21540,22002,23342,23887,23833,24234,24588,25185,26240,27119,27559,27938,28917,30170,31407,32670,32928,34490,35429,36543,37088,37267,37692,38041,39130,40129,41400,41615,41435,42073,42691,44195,44889
"68","60","D   Other retail stores","S44X0",59233,60315,61836,62445,65218,66552,67025,68919,69652,71307,72872,75074,75724,76652,77547,78986,78092,77654,77888,76745,76984,78400,79399,78321,79863,78341,78946,80095,81068,82203,83752,86028,87501,88511,91064,90594,92517,94948,94555,95867,97523,99790,100722,104430,105430,108054,107707
"69",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","A=Data published in the Survey of Current Business (NIPA table 5.7.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
