"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RA3",12.033,11.896,11.685,11.936,12.28,12.359,12.423,12.391,12.003,11.78,11.985,11.689,12.364,12.702,13.616,13.828,13.752,13.855,14.021,14.002,13.903,13.551,13.665,14.384,14.622,14.696,14.596,14.064,13.976,14.011,14.115,14.578,15.207,15.838,16.066,16.191,16.02,16.002,16.062,16.227,16.341,16.228,16.486,15.757,15.085,15.03,15.649,16.055,16.482,16.965,16.771,16.892,17.724,17.388,17.468,16.626,16.75,17.226,17.723,18.08,18.551,18.521,18.763,18.666,19.088,19.169,19.549,19.65,20.184,20.469,21.003,20.983,21.906,21.941,22.506,23.225,24.24,24.094,24.32,24.704,24.566,24.31,24.408,24.344,24.918,25.5,25.607,25.506,26.371,26.147
"13","5","    Final sales","A325RA3",12.367,12.415,12.408,12.317,12.394,12.204,12.179,12.317,12.367,12.549,12.469,12.495,12.585,12.837,13.687,13.109,13.478,13.241,13.762,14.127,13.967,14.057,13.672,14.403,14.73,14.814,14.832,14.622,14.496,14.624,14.69,15.057,15.376,15.901,16.174,16.176,16.086,16.182,16.304,16.505,16.717,16.554,16.738,16.376,15.736,15.648,15.964,16.229,16.678,16.856,17.184,17.017,17.404,17.637,17.595,17.461,17.379,17.542,17.697,18.153,18.38,18.604,18.782,18.884,19.021,19.301,19.634,19.867,20.381,20.689,21.174,21.143,21.633,21.891,22.38,23.264,23.853,23.77,24.095,24.177,24.1,24.452,24.377,24.381,24.978,25.135,25.707,25.731,26.262,26.16
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RA3",6.313,6.165,6.149,6.048,6.43,6.081,6.109,6.212,5.999,5.845,6.331,5.794,6.135,6.79,7.761,7.894,7.611,7.785,7.935,7.721,7.679,7.281,6.913,8.035,8.431,8.469,8.537,7.642,7.319,7.454,7.498,7.917,8.57,9.222,9.281,9.267,8.988,8.829,8.762,9.043,9.11,9.04,9.139,8.42,7.414,7.274,7.84,8.299,8.982,9.392,8.974,8.982,9.985,9.359,9.446,8.612,8.314,8.852,9.556,9.874,10.341,10.234,10.609,10.386,10.596,10.845,11.169,11.248,11.809,11.945,12.406,12.234,13.385,13.191,13.777,13.852,15.177,14.9,15.335,15.533,14.863,14.735,14.818,14.995,15.135,15.462,15.657,15.974,16.548,16.071
"16","8","    Final sales","A326RA3",6.17,6.096,6.001,6.131,6.307,6.039,6.051,6.131,6.05,6.255,6.279,6.255,6.256,6.482,7.574,6.977,7.225,6.949,7.268,7.585,7.526,7.521,6.91,7.762,8.15,8.251,8.332,7.993,7.719,7.883,7.789,8.035,8.387,8.886,9.113,8.934,8.659,8.716,8.818,8.945,9.106,8.898,8.985,8.703,8.022,7.821,8.001,8.234,8.729,8.845,9.109,8.805,9.159,9.389,9.367,9.14,8.937,9.068,9.262,9.661,9.885,10.078,10.23,10.364,10.413,10.623,10.932,11.206,11.536,11.7,12.039,12.004,12.609,12.723,13.182,13.679,14.366,14.11,14.46,14.583,14.335,14.637,14.532,14.54,14.973,15.028,15.511,15.524,16.126,15.833
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RA3",22.744,22.646,22.041,23.016,23.236,24.225,24.362,24.035,23.329,22.992,22.528,22.833,24.136,23.679,24.276,24.633,25.041,24.964,25.13,25.56,25.348,25.175,26.374,26.024,25.85,25.988,25.521,25.937,26.41,26.205,26.424,26.891,27.333,27.779,28.347,28.767,28.891,29.216,29.567,29.41,29.609,29.419,29.994,29.43,29.752,29.918,30.504,30.672,30.363,30.897,31.302,31.667,31.859,32.318,32.363,31.721,32.829,33.032,32.902,33.258,33.619,33.783,33.642,33.876,34.698,34.359,34.777,34.905,35.247,35.818,36.401,36.747,36.92,37.487,37.877,39.929,40.022,40.2,39.91,40.643,41.729,41.236,41.348,40.754,42.196,43.239,43.129,42.105,43.462,43.845
"19","11","    Final sales","A334RA3",24.101,24.417,24.61,24.04,23.885,23.895,23.792,24.035,24.383,24.471,24.167,24.303,24.584,24.837,24.89,24.506,25.073,24.986,25.863,26.25,25.892,26.185,26.429,26.696,26.802,26.822,26.686,26.833,27.094,27.102,27.53,28.097,28.258,28.716,29.026,29.464,29.857,30.017,30.156,30.477,30.757,30.755,31.126,30.675,30.332,30.551,31.112,31.382,31.576,31.855,32.241,32.473,32.824,32.994,32.916,33.053,33.296,33.493,33.505,33.969,34.134,34.372,34.564,34.557,34.872,35.242,35.542,35.609,36.433,37.009,37.717,37.705,37.788,38.327,38.763,40.353,40.572,40.909,41.102,41.074,41.411,41.8,41.813,41.805,42.648,43.007,43.662,43.704,43.955,44.319
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RA3",13.921,14.12,14.132,13.887,13.911,14.24,14.327,14.566,14.761,14.938,14.819,14.687,14.856,15.152,15.079,15.551,16.298,17.035,17.766,17.878,18.341,18.863,18.987,19.177,19.557,19.789,19.728,19.688,19.474,19.37,19.557,19.682,19.842,19.662,20.043,20.236,20.238,20.554,20.432,21.036,21.172,21.283,21.425,21.865,21.456,21.894,22.004,22.25,22.39,22.884,23.14,23.363,23.248,23.595,23.586,23.913,23.934,24.441,24.486,24.919,25.268,25.755,25.927,26.203,26.345,26.656,27.078,27.347,27.721,28.093,28.233,28.471,28.745,29.291,29.753,30.365,30.606,31.335,31.552,31.953,32.715,32.892,33.212,33.61,34.29,34.702,35.033,35.386,35.431,35.941
"22","14","Structures","A755RA3",17.907,17.68,19.328,21.519,21.605,22.845,22.916,22.216,21.566,21.734,22.934,24.207,25.859,27.809,29.135,28.712,28.119,27.083,26.437,26.378,27.068,27.37,27.376,28.507,29.184,29.242,28.828,29.224,29.907,30.521,31.451,32.169,33.77,34.28,33.934,33.399,33.459,33.937,33.822,33.616,33.674,33.245,33.143,33.276,33.22,32.794,33.817,35.843,37.59,38.44,38.098,36.891,37.971,37.061,36.991,37.58,38.338,37.388,38.41,39.631,39.799,40.81,41.042,40.933,41.317,43.21,44.372,44.688,46.492,46.251,46.405,46.129,46.795,48.493,49.385,49.879,50.899,48.792,48.532,46.565,46.61,47.511,48.25,49.575,50.131,50.882,51.126,51.62,52.308,52.07
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.871,25.379,24.883,25.17,29.29,30.855,29.834,30.965,31.5,28.836
"25","16","  Gross domestic product excluding motor vehicle output","A962RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.373,31.294,31.581,31.816,32.274,32.765,33.057,33.146,33.666,33.911
"26","17","  Final sales of computers \3\","BB01RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","18","  Gross domestic product excluding final sales of computers","BB00RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
