"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Wage and salary accruals","A4102C1",119.7,121.5,123.4,127.8,131.3,133.1,138,139.4,136.9,134.6,133.8,133.4,137,142.8,150.7,158.2,165.5,170.8,173.8,176.2,181.2,182.4,185.7,193.3,196.9,200.1,200.3,198.7,196.5,196,196.4,200.4,204.2,210.4,214.7,219.5,223.4,227.6,230,235.5,238.3,239.7,241.9,240.2,237.5,237,242.6,248.5,254.1,260.6,261,264,270.9,273.6,274.1,273.5,273.9,277.8,282.4,288.5,293.4,298.8,301.3,304.3,308,312.4,316.9,322.3,328.3,334.9,341.5,346.7,352.8,358.9,366.2,377.1,385.7,395.9,406.1,413.5,418.8,423.6,432,441.6,454.2,465.9,478.3,489.4,499,511.4
"12","4","    Disbursements","W269RC1",119.7,121.5,123.4,127.8,131.2,133,138.2,139.4,136.8,134.9,133.8,133.4,137,142.8,150.7,158.1,165.3,170.9,173,176.8,181,182.3,186,193.3,197,200.2,200.4,198.8,196.5,196,196.4,200.4,204.1,209.9,215.3,219.5,223.4,227.6,230,235.5,238.3,239.7,241.9,240.2,236.8,236.3,243.9,248.5,254.1,260.6,261,264,270.9,273.6,274.1,273.5,273.9,277.8,282.4,288.5,293.4,298.8,301.3,304.3,308,312.4,316.9,322.3,328.3,334.9,341.3,346.9,352.8,358.9,366.2,377.1,385.7,395.9,406.1,413.5,418.8,423.6,432,441.6,454.2,465.9,478.3,489.4,499,511.4
"13","5","      To persons","W270RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","6","      To the rest of the world","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","    Wage accruals less disbursements","A062RC1",0,0,0,0,0.1,0.1,-0.2,0.1,0.1,-0.3,0,0,0,0,0,0.1,0.2,-0.1,0.8,-0.6,0.1,0.1,-0.3,0,0,-0.1,-0.1,-0.1,0,0,0,0,0.1,0.5,-0.6,0,0,0,0,0,0,0,0,0,0.6,0.6,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","8","  Supplements to wages and salaries","A038RC1",7.5,7.2,6.6,6.5,6.5,6.4,6.4,6.4,7.1,7.2,7.1,7,7.5,7.8,8.2,8.6,9.4,9.7,9.9,10.2,10.3,10.4,10.6,10.8,11.1,11.3,11.2,11.3,11.7,11.7,11.9,12.2,12.9,13.3,13.9,14.1,14.8,15.1,15.8,16.2,17.1,17.4,17.8,18.1,17.9,17.9,18.3,18.8,20.5,21.1,21.4,21.6,23.3,23.5,23.7,23.8,24.2,24.6,24.9,25.4,27.2,27.6,28,28.4,29.5,30,30.6,31.3,31.8,32.5,33.3,34,34.5,35.2,36.1,37.2,40.9,41.9,42.8,43.7,44.4,45.4,46.6,48.1,50.3,51.7,53.1,54.4,56.8,58.4
"17","9","Taxes on production and imports","W056RC1",17.7,17.7,18,19,19,19.7,20,20.3,20.4,20.8,21.3,21.2,21.6,22.5,24.4,23.4,25.1,24.1,24.5,25.3,26.1,26.9,27.3,28.1,28.7,29.2,29.3,29.2,28.7,28.8,28.7,29.3,30.2,31.2,31.9,32.5,33,33.6,34.6,35.7,36.1,36.6,37,36.7,36.8,37.3,37.8,38.9,39.8,40.3,41.7,42.4,43.7,44.3,44.9,45.3,45.8,46.5,47.3,48.4,49.4,49.9,50.9,51.3,52,52.9,53.9,54.7,55.7,56.7,57.9,58.8,60.2,60.3,60.5,61.8,61.4,62.8,63.7,64.9,65.6,66.8,68.7,70.6,73.4,75.4,77.7,79.1,80.6,82.9
"18","10","Less: Subsidies \1\","A107RC1",0.3,0.2,0.2,0.1,0.2,0.1,0.4,0.6,0.3,0.2,0.3,0.2,0.4,0.6,0.5,0.8,0.9,0.8,0.6,0.7,0.5,0.4,0.4,0.3,0.3,0.1,0.3,-0.2,-0.3,0.3,-0.1,-0.3,-0.2,-0.1,-0.4,-0.2,-0.1,0.2,0.5,0.8,0.9,0.8,0.6,0.5,0.6,0.8,1,1.2,1.1,0.9,1.1,1.1,1,1.3,1,1.2,1.6,2,2.2,2.3,2.3,2.4,2.2,2.2,2,2.2,2.3,2.4,2.7,2.9,2.6,2.7,2.9,3,3,3.1,3.6,3.9,4.1,4.2,4,3.9,3.7,3.7,4,4.2,4.2,4.2,4.3,4.5
"19","11","Net operating surplus","W271RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.9,133.7,128.4,129.7,133.7,130.7,130.3,128.7,129.3,134.7,138.4,144.6,147.8,147.7,149.7,152.6,153.7,157.7,160.3,163.6,168.4,170,172.6,173.9,183.8,187.6,190.7,196.7,204.7,202.1,201.5,204.5,203.6,203.5,206.6,209.5,212.6,218.2,220.5,223,226.5,226.6
"20","12","  Private enterprises","W260RC1",66.3,65.4,67.1,70.2,75,81.2,81.4,81.8,76.1,73.3,74.3,71.5,76.8,81.4,88.5,92.8,94.8,95.5,96.6,99,95.3,94.8,96.6,99,100.7,99.5,98.4,91.5,95.4,96.5,99.1,102.8,109.4,112,113,114.1,112.6,113.2,113.5,115.4,117.3,117.2,118,114.4,111.9,113.4,117.5,123.4,126,132.7,127.4,128.7,132.7,129.7,129.4,127.8,128.5,134,137.6,143.6,146.8,146.8,148.8,151.6,152.5,156.4,158.9,162.1,167.1,168.6,171.4,172.4,182.4,186.1,189.4,195.5,203.5,201,200.7,203.5,202.6,202.4,205.6,208.7,211.4,217,219.3,221.9,225.5,225.7
"21","13","    Net interest and miscellaneous payments, domestic industries","W272RC1",2.2,2.4,2.5,2.5,2.4,2.5,2.5,2.5,2.6,2.7,2.8,2.9,3.1,3,3.1,3.2,3.4,3.4,3.6,3.7,3.8,3.9,4,4.1,4.4,4.5,4.7,4.8,5,5.3,5.5,5.8,5.9,6,6.1,6.2,6.4,6.6,6.9,7.3,7.6,7.8,8.1,8.4,8.9,9.3,9.6,9.7,8.6,9.6,9.7,10,10.2,10.2,10.5,10.9,11.3,11.8,12.3,13,12.8,13.6,14.2,14.6,14.2,14.4,14.9,15.3,16,16.6,17.3,17.8,18.4,18.8,19.4,19.7,20.5,21.3,22.3,23.3,24.2,24.9,25.2,25.5,26,26.5,26.6,27.5,30.5,32.4
"22","14","    Business current transfer payments (net)","B029RC1",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.3,1.2,1.2,1.3,1.3,1.2,1.1,1,1,1,1,1.2,1.3,1.5,1.6,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2,2,2,2.1,2.2,2.2,2.3,2.3,2.6,2.6,2.7,2.8,2.9,2.9,3.3,3.4,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.6,3.7,3.8,3.9,4.1,4.3,4.4,4.6,4.9,5
"23","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",36.6,32.3,33.8,35.2,36,40.4,40.9,39.6,35.4,34.8,34.2,34.2,35.6,36.3,38.7,39.4,42,42.4,42.6,43.5,41.8,43.1,44.8,42.6,43,42.3,41.5,41.3,42.6,42,42.3,42.2,43.4,44.5,44.7,44.5,44.9,45.5,46.2,46.9,46.9,47.8,48.7,47.9,50.3,50.4,50.1,50,50.2,50.4,50.2,50.6,50,50.8,50.9,51.1,52.4,52.6,53.3,54.5,55.3,55.1,55.1,55.7,56,55.9,56.4,57.8,58.1,59,59.6,60.7,62.2,63.4,64.2,65.9,69.4,67.5,67.7,68.4,69.1,68.9,71,70.4,72.1,73.4,75.3,76,76.3,77.6
"24","16","    Rental income of persons with capital consumption adjustment","A048RC1",6.9,7.1,7.3,7.5,7.6,7.8,7.9,7.9,7.8,7.9,8.2,8.4,8.7,9,9.1,9.4,9.6,9.9,10.2,10.5,10.7,11,11.3,11.6,11.9,12.2,12.5,12.8,13.1,13.3,13.5,13.6,13.7,13.7,13.8,13.9,14,14,14.1,14.2,14.3,14.4,14.5,14.7,15,15.2,15.3,15.4,15.4,15.9,16.3,16.5,16.7,16.9,17,17.2,17.4,17.6,17.8,18.1,18.3,18.5,18.7,18.9,19.1,19.3,19.5,19.4,19.4,19.4,19.5,19.4,19.7,19.9,20.1,20.1,20.5,20.4,20.6,20.6,20.8,20.9,21,20.9,20.6,20.6,20.7,20.6,20.8,20.9
"25","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",19.8,23,22.9,24.4,28.2,29.9,29.4,31,29.5,27.2,28.4,25.2,28.6,32.3,36.7,39.8,38.7,38.5,38.9,40.1,37.6,35.5,35.2,39.5,40.1,39.3,38.4,31.4,33.6,34.9,36.8,40.1,45.3,46.5,46.9,47.9,45.6,45.4,44.5,45.2,46.7,45.3,44.8,41.5,35.8,36.6,40.8,46.5,50.1,55.1,49.6,49.7,54,50,49.2,46.7,45.5,50,52.1,55.9,58.3,57.3,58.5,60.1,60.6,64.2,65.5,66.8,70.7,70.7,71.8,71,78.5,80.5,82,86.2,89.6,88.3,86.5,87.6,84.9,84,84.7,88,88.7,92.2,92.2,93.3,93.1,89.9
"26","18","      Taxes on corporate income","A054RC1",11.6,10.9,10.8,11.8,12.1,12.8,12.6,12.2,11,9.7,10.1,9.9,13.6,16.3,19.9,21.8,26.3,22.3,20.1,21.5,19.8,18.7,18.6,20.5,21.6,21.7,21.2,16.6,16.4,16.9,17.9,19.3,21.3,21.6,22.2,23.1,22,22.5,21.1,22.3,22.8,21.9,21.4,19.6,16.9,17.2,19.4,22.3,23.5,25.7,23.1,22.6,25.1,23.1,22,20.9,20.7,22.1,23.4,25.4,23.9,23.7,24.4,24.5,24.6,26.3,27,27.7,27.9,28,28.6,28.2,29.6,30.5,31.1,33.1,34.2,34.2,33.9,33.3,32.5,32.2,32.5,34.4,38.7,39.5,39.7,40.6,41.5,40.4
"27","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",8.3,12,12.1,12.6,16.1,17.1,16.8,18.8,18.5,17.4,18.3,15.3,15,16,16.7,18,12.4,16.2,18.8,18.5,17.8,16.9,16.6,18.9,18.5,17.6,17.2,14.9,17.2,18,18.9,20.9,23.9,24.9,24.8,24.8,23.6,22.9,23.3,22.9,23.8,23.4,23.4,21.9,18.9,19.4,21.4,24.2,26.6,29.3,26.4,27.2,28.9,26.9,27.2,25.8,24.9,27.9,28.7,30.5,34.4,33.7,34.2,35.7,36,37.9,38.5,39.1,42.8,42.8,43.2,42.8,49,50,51,53.1,55.4,54.1,52.7,54.4,52.4,51.8,52.2,53.6,50,52.7,52.6,52.7,51.7,49.5
"28","20","        Net dividends","A449RC1",5.4,5.6,5.9,5.7,6.2,5.8,6.3,6.5,6.4,6.3,6.3,6.7,7.4,7.6,8,8.5,7.4,7.5,7.4,7.4,7,7.6,7.5,7.7,7.3,8,7.9,7.8,8.1,7.5,7.9,7.9,8.5,8.7,9.2,9.2,9.3,9.4,9.3,9.8,9.8,9.8,9.9,9.9,9.9,9.9,9.9,9.6,10.3,10.7,10.9,10.9,11.3,11.3,11.7,11.4,11.2,11.4,11.5,12,12.2,12.4,12.6,12.2,13,13.6,13.7,13.9,14.2,14.9,15.2,15.7,15.7,16.3,17.3,18.2,18.5,18,17.7,17.1,18.2,19,18.6,17.5,19.7,19.7,20.5,20.8,20.2,20.4
"29","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",2.9,6.4,6.2,6.9,9.8,11.3,10.5,12.3,12.1,11.1,12.1,8.6,7.6,8.5,8.7,9.5,5.1,8.7,11.4,11.2,10.8,9.3,9.1,11.2,11.2,9.6,9.2,7.1,9.1,10.5,10.9,13,15.4,16.2,15.6,15.6,14.3,13.5,14,13,14,13.6,13.5,12,9,9.4,11.5,14.6,16.3,18.6,15.6,16.2,17.6,15.6,15.5,14.4,13.7,16.5,17.2,18.5,22.2,21.3,21.5,23.5,23,24.4,24.7,25.2,28.6,27.9,28,27.1,33.3,33.7,33.7,34.9,36.9,36.1,34.9,37.3,34.2,32.8,33.6,36.1,30.3,33.1,32,31.9,31.4,29.1
"30","22","  Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,1,1.1,1,1,0.9,0.9,0.8,0.8,0.8,1,0.9,0.9,0.9,0.9,1.3,1.3,1.4,1.5,1.4,1.4,1.1,1.5,1.4,1.5,1.3,1.2,1.1,1,0.8,1,0.9,1.1,1,0.7,1.2,1.2,1.2,1.1,0.9,1
"31","23","Consumption of fixed capital","A262RC1",25.6,26.3,27.1,27.6,27.9,28.3,28.7,28.9,29.2,29.2,29.1,29.2,29.1,29.4,30.1,31.2,32.5,33.5,34.3,34.9,35.4,35.9,36.6,37.2,37.9,38.5,38.9,39.3,39.8,40.4,40.8,41.4,41.7,42.2,43.1,44.2,45.5,46.6,47.7,48.6,49.6,50.5,51.3,51.9,52.3,52.9,53.6,54.2,54.8,55.3,55.6,55.9,56.2,56.4,56.7,57.1,57.5,57.9,58.4,58.9,59.6,60.1,60.9,61.7,62.3,63,63.7,64.4,65.1,65.9,66.8,67.7,68.8,70.1,71.3,72.7,74.1,75.7,77.2,78.8,80.4,82,83.8,85.6,87.5,89.4,91.3,93.5,95.6,98
"32","24","  Private","A024RC1",14.6,15.7,16.6,17.4,18,18.6,19.1,19.6,20,20.4,20.7,21,21.2,21.6,22.2,23.1,24.1,24.9,25.6,26,26.3,26.6,26.9,27.3,27.7,28,28.4,28.7,29,29.3,29.6,29.9,30.2,30.7,31.3,32.1,33,34,34.8,35.6,36.3,37,37.6,38.2,38.7,39.2,39.6,40.1,40.5,40.9,41.1,41.3,41.4,41.5,41.6,41.9,42.2,42.5,42.8,43.1,43.5,43.9,44.3,44.7,45.1,45.6,46.1,46.7,47.2,47.9,48.6,49.4,50.3,51.3,52.3,53.5,54.7,55.9,57.1,58.3,59.6,60.9,62.2,63.6,65.1,66.6,68.2,69.8,71.6,73.4
"33","25","  Government","A264RC1",11,10.6,10.5,10.3,9.9,9.6,9.6,9.3,9.2,8.8,8.4,8.2,7.9,7.8,7.8,8.1,8.4,8.5,8.7,8.9,9.1,9.4,9.7,10,10.2,10.4,10.5,10.6,10.8,11.1,11.2,11.5,11.5,11.5,11.8,12.1,12.4,12.7,12.9,13.1,13.3,13.5,13.7,13.8,13.6,13.7,14,14.1,14.3,14.4,14.5,14.7,14.8,14.9,15.1,15.2,15.3,15.5,15.6,15.8,16.1,16.3,16.6,17,17.2,17.4,17.5,17.7,17.9,18,18.1,18.3,18.5,18.8,19,19.2,19.4,19.8,20.1,20.5,20.8,21.1,21.6,22,22.5,22.8,23.1,23.6,24.1,24.5
"34",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Statistical discrepancy","A030RC1",0.8,2.6,2.4,3.3,0.7,-1.3,-0.4,-1.1,0.6,1.2,2.3,3.2,3.7,1.3,0.6,-0.1,2.5,3.9,5,2.9,3.5,2.2,2.1,3.2,3.4,3.5,3.3,5.6,2.9,2.7,3.7,3.1,4,1.7,2.4,1.4,-1,-1.8,-1.9,-2.5,-0.5,-1.4,0.9,0.6,-1.7,0.4,2.8,2.4,0.6,-1.5,2.3,0.6,0.3,-1.1,0.4,-3.4,-1.2,-0.4,0.3,-1,1,1.5,1.5,-2.8,-1.1,-2.8,0.9,-0.3,3.1,1.7,1.2,-2.9,-1.5,-1,3.3,5.2,7.5,5.5,5.8,5.9,9,4.9,3,1.1,5.8,7.7,2.7,1.1,6.6,3.3
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
