"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"25","17","      Persons \3\","W293RC1",0.7,1.1,1.4,1.8,2.3,2.5,2.9,3.6,3.8,4.4,5.1,5.5,5.6,6.1,7,7.3,7.8,8.9,10,11.1,12,12.5,13.8,15.7,16.8,17.8,19.6,22.4,24.2,24.5,26.6,30.7,37.5,44.5,53.7,60.9,67.4,72.5,83.7,95.6,102.6,102.7,107.8,121.3,126.8,126.6,119.4,117.3,125.7,148.4,165.6,179,188.8,194.5,220.5,221.2,205.5,NA
"26","18","    Nonprofit institutions","W319RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.7,2.1,2.7,3.4,4.4,5.2,6.1,8.2,7.8,9.1,9.5,10.7,11.7,11.9,12.3,12.8,14.8,13.9,14.7,15.7,16.4,16.9,17.3,17.6,17.6,15.6,NA
"27","19","  Government","W500RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,10.2,11.1,12,12.9,13.7,15.1,16.4,18.8,20.7,23.4,24.5,26.3,31.3,35.6,40,46.3,50.8,60.2,72.9,89.1,116.7,138.9,156.9,187.3,211.5,226.1,236.5,253.7,276.9,297.8,314.6,316.3,318.1,327.1,358.2,368.1,373.7,375.2,361.9,366.3,344.3,320.4,NA
"28","20","    Federal","A091RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,7.9,8.6,9.3,10,10.6,11.6,12.7,14.6,15.8,17.7,17.9,18.8,22.8,26,28.9,33.8,37.1,45.3,55.7,69.7,93.9,111.8,124.6,150.3,169.4,178.2,184.6,199.3,219.3,237.5,250.9,251.3,253.4,261.3,290.4,297.3,300,298.8,282.7,283.3,257.5,229.3,218.8
"29","21","    State and local","W497RC1",0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.2,1.4,1.6,1.8,2.1,2.2,2.5,2.7,2.9,3.1,3.4,3.8,4.2,4.8,5.6,6.5,7.5,8.5,9.6,11.1,12.5,13.7,14.9,17.2,19.4,22.8,27.1,32.3,37,42.1,48,51.9,54.4,57.6,60.4,63.7,65,64.7,65.7,67.8,70.8,73.7,76.4,79.3,83,86.8,91,NA
"30","22","  Rest of the world","W290RC1",0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,1,1.2,1.4,1.6,1.8,2.1,2.4,2.7,3.1,3.7,4.1,4.1,4.4,6,9.5,9.9,11.5,13.7,18,27.5,37.5,57.1,65.2,60.7,76.1,65.5,61.2,62.7,78.9,100.4,105.9,90.5,70.8,63.6,78.6,102.4,105.6,123.8,135,137.6,172.8,129.7,84.5,NA
"31","23","    To business and persons","B1132C1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.8,0.9,1.1,1.3,1.6,1.8,2,2.3,2.7,3.2,3.2,3.5,5,8.5,8.8,10.2,12.1,16.2,25.2,35,53.9,61.6,56.2,71,60.2,55.2,57.7,72.5,95.7,97.9,85,65.7,59.7,75.4,98.5,101.5,120.6,131.9,134.7,169.2,126.5,81.5,NA
"32","24","    To Federal Government","B1133C1",0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.8,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.3,1.6,1.8,2.2,2.5,3.1,3.6,4.6,5,5.3,6,5,6.4,4.6,8,5.5,5.1,3.9,3.2,3.9,4.1,3.2,3.2,2.9,3.6,3.2,3,NA
"33","25","Monetary interest received","A2068C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.1,48.6,54.4,60.4,67.2,74.4,84.1,92.2,104.6,123.4,141.8,151,168.6,213.5,267,276.1,298.2,338.1,412.8,537.9,688.2,915.5,1028.2,1015.8,1182.4,1263.9,1313.1,1375.2,1547.7,1826,1858.9,1756,1569.1,1498.7,1624.6,1872.1,1955.4,2120.7,2304.2,2388.7,2806.4,2700,2449.6,NA
"34","26","  Domestic business \1\","A2069C1",5.9,6.3,7.1,7.8,8.6,9.6,10.8,12.1,12.9,14.6,16.7,18.9,20,23.2,26.4,27.7,30.9,34.3,37.9,41.6,47,51.3,59.3,70.9,81.3,86.1,97.3,127.6,161.9,163.7,175.6,196.5,242.9,317.2,401.4,536.2,584.3,566.5,642.1,699,721.9,774.1,889.9,1062.1,1069.6,1005.5,895,865.4,948.3,1132.4,1180.8,1296.9,1398.1,1499.6,1815.5,1735.8,1550.5,NA
"35","27","    Corporate business","A2070C1",5.9,6.3,7.1,7.7,8.5,9.5,10.7,11.9,12.7,14.3,16.5,18.7,19.8,22.9,26,27.3,30.4,33.8,37.4,41.2,46.7,50.9,58.8,70.2,80.6,85.2,96.1,126.5,160.6,162.2,174.2,195.1,241.1,313.8,395.4,528.1,577,558.8,635.6,690.8,713.3,767.6,880.8,1052.8,1059.4,995.1,886.6,856.1,936.6,1111.1,1157.8,1268.5,1362.8,1456.1,1756,1673.8,1498.1,NA
"36","28","      Financial","B1134C1",5.3,5.8,6.5,7.1,7.7,8.7,9.8,11,11.8,13.3,15.2,17.2,18.4,21.1,23.9,25.1,28,31,34.3,38,42.9,46.6,53.4,63,72,76.6,86.5,112.2,141.3,142.9,152.8,170.4,209.3,268.4,334.6,444.9,491,475.4,537.6,581.4,597.8,650.7,747,891.1,893.1,830.3,737.5,717.9,786.1,937.9,962.4,1052.9,1149.3,1228.7,1484.7,1430.4,1292.7,NA
"37","29","      Nonfinancial","B1135C1",0.6,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1.1,1.3,1.5,1.4,1.9,2.2,2.2,2.4,2.8,3.1,3.3,3.8,4.2,5.4,7.3,8.5,8.7,9.6,14.3,19.2,19.2,21.3,24.7,31.8,45.5,60.8,83.2,86,83.4,97.9,109.4,115.5,116.8,133.8,161.7,166.3,164.8,149.2,138.2,150.5,173.2,195.4,215.6,213.4,227.4,271.3,243.5,205.3,NA
"38","30","    Financial sole proprietorships and partnerships \4\","B1136C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.3,0.4,0.5,0.7,0.7,0.8,1.1,1.1,1.3,1.4,1.3,1.2,1.7,3.1,5.7,7.8,7,7.5,6.3,8,8.4,6.3,8.9,9.1,9.9,10.2,8.2,9.2,11.6,21.2,22.9,28.4,35.3,43.5,59.5,62,52.4,NA
"39","31","    Other private business","B1137C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0,0,NA
"40","32","  Persons \4\","B1138C1",4.6,5.1,5.7,6.3,6.9,7.5,8,8.8,9.7,10.4,11.6,13.2,14.3,15.6,17.3,18.5,20.8,23.1,26,29,32.4,35.5,38.8,44.2,51,55.8,60.9,71,84.9,91.9,102,118.2,134.9,168.3,218.6,287.3,336.7,340.7,405.7,422.9,439.1,440,470.2,542.7,560.7,536.7,491.4,458.6,482.1,509,526.5,544.5,612.4,583.4,622.9,617.1,596.3,NA
"41","33","    Publicly administered government employee retirement plans","B1169C1",0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.9,1,1.1,1.3,1.5,1.7,1.9,2.2,2.6,2.7,2.9,3.8,4.4,5.3,5.7,6.3,7.8,9.6,10.5,12,14.4,18.3,21.9,29.2,35.1,39.2,45.8,52.7,58.4,63.2,69.3,72.8,77.4,75.8,79.1,88.2,97.8,99.7,111.1,113.8,115.9,114.1,104.5,102.9,NA
"42","34","    Other \5\","B1170C1",4.4,4.9,5.4,6,6.6,7.2,7.6,8.4,9.3,9.9,11,12.6,13.7,14.7,16.3,17.4,19.5,21.7,24.3,27.1,30.2,32.9,36,41.3,47.3,51.4,55.6,65.3,78.6,84.1,92.4,107.8,123,153.9,200.3,265.4,307.5,305.6,366.5,377.2,386.3,381.6,407,473.4,487.9,459.3,415.7,379.5,393.9,411.2,426.7,433.4,498.6,467.5,508.8,512.6,493.5,NA
"43","35","  Government","A2071C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.8,2,2.2,2.3,2.7,3.2,3.7,4.4,4.6,5.3,5.4,5.8,7.7,10.1,10.8,11.1,12.9,18.1,25.4,33.1,42.4,49.1,54,62.6,70.2,75.5,73.6,79.7,84,87.2,84.3,77,74.9,74,79.9,85.5,87.8,87.3,89.8,97.6,98.5,94.7,NA
"44","36","    Federal","B1139C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,1.3,1.3,1.2,1.4,1.6,1.9,2.2,1.9,2,2,2,2.1,2.4,2.9,3.5,4.1,6.2,8.4,10.8,14.4,17.4,19.6,22.3,24.5,27.1,24.2,26.6,25.1,26,24.6,21.1,22,19.4,20.2,21.9,20.3,16.9,15.9,18,17.2,14.8,NA
"45","37","    State and local","B1140C1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1.1,1.3,1.6,1.9,2.2,2.8,3.3,3.4,3.8,5.5,7.7,7.9,7.6,8.7,11.9,17.1,22.2,28,31.6,34.4,40.3,45.7,48.4,49.4,53.1,58.9,61.2,59.7,55.9,52.9,54.6,59.6,63.6,67.5,70.5,73.9,79.6,81.3,79.9,NA
"46","38","  Rest of the world","A2072C1",0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.6,0.6,0.6,0.8,1,1.1,1.5,1.6,2.2,3.6,4.2,3.7,4.6,7.3,10.1,9.8,9.5,10.6,16.9,27,35.2,49.5,58.2,54.5,72.1,71.8,76.7,87.5,107.9,137.2,141.4,129.4,105.6,99.8,120.3,150.8,162.6,191.5,206.4,215.9,270.5,248.7,208.1,NA
"47","39","    From business","B1141C1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.3,0.3,0.4,0.5,0.6,0.9,1,1.5,2.8,3.1,1.9,2,3.5,5.8,5.2,5,5,8.2,15.9,22.5,32.2,38.9,35.5,50.9,48.7,52,61.2,76.2,98.9,100.6,88.5,66.5,60.4,76.1,97,97.4,112.8,127.1,141.3,187.5,168,134.2,NA
"48","40","    From Federal Government","B093RC1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8,1,1.8,2.7,3.8,4.3,4.5,4.5,5.5,8.7,11.1,12.7,17.3,19.3,19,21.2,23.1,24.6,26.2,31.7,38.4,40.8,40.9,39.1,39.4,44.2,53.8,65.3,78.6,79.3,74.5,83,80.7,73.9,66.4
"49",NA,"          Imputed interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","41","Total imputed interest paid (43+70)","W294RC1",2.9,2.9,2.8,2.8,3,3,3.3,4,4.3,4.9,5.3,5.6,5.8,6.4,7.1,7.7,8,8.2,9.3,9.4,9.6,11,11.2,15,20.1,25.2,26.8,23.1,27.1,53.8,43.3,45.7,44.7,31,29.8,25.2,68.9,131.7,116.1,149.6,160.1,158.9,148.6,141.1,175.7,220.6,238.8,229.2,212.6,220.3,245.3,286.5,301,326.9,350.1,391.4,413.5,NA
"51","42","Total imputed interest received (49+89)","W295RC1",2.9,2.9,2.8,2.8,3,3,3.3,4,4.3,4.9,5.3,5.6,5.8,6.4,7.1,7.7,8,8.2,9.3,9.4,9.6,11,11.2,15,20.1,25.2,26.8,23.1,27.1,53.8,43.3,45.7,44.7,31,29.8,25.2,68.9,131.7,116.1,149.6,160.1,158.9,148.6,141.1,175.7,220.6,238.8,229.2,212.6,220.3,245.3,286.5,301,326.9,350.1,391.4,413.5,NA
"52",NA,"Depositor and insurance services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","43","  Imputed interest paid","A2073C1",3.5,3.7,3.8,3.9,4.3,4.6,5.1,5.9,6.2,7,7.8,8.3,8.6,9.5,10.5,11.1,11.7,12.1,13.5,14.1,15.2,16.9,18.2,22.7,27.2,30.8,33.1,34.3,40.7,57.4,54.5,60.3,67.2,65.6,73.4,78.8,106.3,147.3,147.7,175.6,198.6,207.9,209.4,210,234.9,266.5,284.4,288.9,283.9,302.4,322.4,365.9,384.2,413.5,454.7,469.8,484.6,NA
"54","44","    Domestic corporate business, financial","W353RC1",3.5,3.7,3.8,3.9,4.3,4.6,5.1,5.9,6.2,7,7.8,8.3,8.6,9.5,10.5,11.1,11.7,12.1,13.5,14.1,15.2,16.9,18.2,22.7,27.2,30.8,33.1,34.3,40.7,57.4,54.5,60.3,67.2,65.6,73.4,78.8,106.3,147.3,147.7,175.6,197.6,206.7,208.2,208.5,233.2,264.5,282.2,286.4,280.9,299.4,319.6,363,380.1,408.5,448.5,460.8,474.3,NA
"55","45","      Banks, credit agencies, and investment companies","B1310C1",2.3,2.3,2.4,2.4,2.6,2.7,3,3.6,3.8,4.4,4.8,5,5,5.6,6.2,6.4,6.6,6.5,7.5,7.7,8.3,9.4,10.2,13.8,17.5,20,21.6,21.5,25.9,40.5,35.6,37.7,41,38.7,37.7,36,56.8,89.8,80.3,95.9,103.3,101.1,96.2,84.1,98.8,123.4,138.4,131.3,132,128,144.6,161.3,172.8,190.1,194.8,223.8,251.1,NA
"56","46","      Life insurance carriers","B1311C1",1.1,1.3,1.3,1.4,1.6,1.7,1.8,2,2.2,2.4,2.7,3,3.3,3.5,3.9,4.3,4.7,5.1,5.5,5.9,6.3,6.8,7.2,8.1,8.6,9.4,10,11.2,12.9,14.7,16.3,19.2,22.2,22.5,30.6,37,43,49.8,58.3,67.5,76.8,86.3,92,103.7,112.4,118.2,120.3,128.9,121.2,144.4,147.5,173.6,178.6,189,223.7,205.7,187.9,NA
"57","47","      Property and casualty insurance companies","W354RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.4,1.5,1.6,1.8,2.2,2.7,3.4,4,4.5,5.1,5.8,6.5,7.6,9.1,12.2,17.4,19.3,19.9,20.7,22,22.9,23.5,26.2,27.7,27,27.5,28.1,28.7,29.3,30.1,31.3,35.4,NA
"58","48","    Rest of the world","W355RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.2,1.3,1.5,1.7,2,2.2,2.5,3,3,2.8,2.9,4.1,5.1,6.2,9,10.3,NA
