"","Table 5#5#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"11","2","Nonresidential equipment and software","B010RW2",-20.42,-32.78,-40.6,2.32,37.28,35.39,36.42,15.96,-29.86,15.08,29.03,16.95,-41.9,-9.96,33.37,43.01,24.56,35.32,5.14,-12.12,10.18,2.85,-2.82,8.9,-5.51,13.46,2.6,2.56,-14.35,11.72,4.15,-1.9,11.38,8.29,12.55,18.04,15.77,-0.65,6.15,8.72,-0.98,0.98,12.68,18,2.51,-9.36,6.14,14.82,14.99,8.61,-3.55,4.19,-5.13,5.3,19.52,6.26,1.87,1.35,7.42,7.21,0.03,-2.53,7.19,12.32,11.78,11.83,10.52,13.62,13.14,12.59,9.29,-5.13,-2.8
"12","3","  Information processing equipment and software","A679RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65,0.3,-1.08,1.08,1.02,1.57,1.22,-1.2,1.71,1.79,1.65,-1.44,1.36,3.12,1.52,1.96,3.22,2.67,3.42,5.66,1.39,1.28,4.21,2.72,1.55,3.47,4.14,3.33,-0.08,3.34,5.23,7.07,5.22,4.33,4.62,2.29,5.68,9.92,4.27,3.09,2.4,4.4,5.47,2.16,2.08,6.58,5.84,5.45,7.29,8.33,10.05,9.73,9.63,8.24,-1.07,0.18
"13","4","    Computers, software, and communication","W175RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81,2.07,2.14,2.07,1.5,2.66,4.16,1.52,1.22,3.21,2.35,1.08,2,2.33,1.79,0.11,2.37,4.29,5.18,4.6,4.04,3.87,2.2,4.5,8.1,4.29,2.77,3.27,4.18,4.48,2.01,1.81,5.94,4.8,5.29,7.26,7.82,9.83,9.03,9.76,7.86,-1.15,-0.59
"14","5","      Computers and peripheral equipment","B935RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.46,0.66,1.95,0.97,1.1,2.37,1.01,0.64,1.19,0.81,1.15,1.89,0.31,1.07,0.01,1.32,1.51,3.04,2.2,2.31,2.78,1.44,3.57,5.16,2.37,1.39,2.28,1.37,2.04,-0.11,0.74,3.09,2.59,2.22,4.46,4.29,4.49,4.47,4.18,2.24,0.24,1.29
"15","6","      Software \1\","B985RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.14,0.21,0.69,0.29,0.38,0.76,0.32,0.26,0.74,0.72,0.21,0.57,0.46,0.54,0.58,0.35,0.17,0.62,0.81,0.65,0.68,0.71,0.99,1.61,1.2,0.82,1.02,1.55,2.48,1.74,1.47,2.16,1.54,1.26,1.24,2.12,3.83,2.82,3.46,2.19,-0.48,-0.51
"16","7","      Communication equipment \2\","C275RW2",-1.09,-1.9,-4.32,-1.56,2.47,2.73,1.87,3.62,-2.64,1.54,3.79,0.73,-2.87,-0.7,8.68,1.63,-7.08,1.62,-0.03,-0.44,0.45,0.45,1.24,0.8,-0.68,0.54,1.02,0.74,-0.82,1.06,1.72,1.47,1.28,-0.57,0.24,1.18,1.02,0.2,0.32,1.28,0.82,-0.27,-0.45,1.56,0.18,-0.48,0.69,2.62,1.52,1.59,1.08,0.41,0.05,-0.06,1.33,0.72,0.57,-0.03,1.25,-0.03,0.38,-0.4,0.69,0.68,1.82,1.56,1.42,1.51,1.74,2.12,3.43,-0.92,-1.36
"17","8","    Medical equipment and instruments","W176RW2",-0.05,-0.07,-0.13,-0.01,0.05,0.06,0.07,0.13,-0.09,0.09,-0.06,-0.01,-0.08,0.15,0.01,0.41,0.61,0.33,-0.02,-0.07,0.07,0.09,0.01,-0.1,0.03,0.15,0.07,-0.03,-0.1,0.1,0.17,0.1,0.08,0.23,0.18,0.1,0.15,0.36,0,0.31,0.19,0.29,0.19,0.33,0.26,0.02,0.27,0.1,0.29,0,-0.04,0.26,0.59,0.24,0.28,0.08,0.07,0.23,0.24,0.17,0.36,0.24,0.38,0.41,-0.18,0.03,0.31,0.46,0.55,0.24,0.34,0.26,0.48
"18","9","    Nonmedical instruments","W177RW2",-0.13,-0.33,-0.58,0.01,0.08,0.43,0.27,0.51,-0.33,0.32,-0.26,-0.1,-0.34,0.72,0.1,1.85,0.33,0.57,0.06,-0.11,0.23,0.17,0.14,0.03,-0.49,0.52,0.13,0.04,-0.27,-0.01,0.01,-0.06,-0.13,0.07,0.07,0.18,0.1,0.09,-0.02,0.06,0.09,-0.08,0.32,0.16,0.33,-0.13,0.11,0.94,0.23,0.05,0.07,0.1,0.06,-0.05,0.53,0.1,0.01,-0.02,0.01,0.56,0.17,0.03,0.11,-0.01,0.13,0.24,0.1,-0.25,0.04,-0.01,0.08,0.06,0.2
"19","10","    Photocopy and related equipment","C285RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.02,-0.02,0.04,0.05,0.07,0.17,0.04,0.03,0.05,0.03,-0.13,0.23,0.16,0.02,0.26,0.71,0.93,0.44,0.66,-0.46,0.21,0.3,0.35,0.44,0.67,0.65,0.38,0.27,0.23,-0.11,0.45,0.02,0.06,0.26,0.02,-0.09,0.64,-0.15,0,0.01,0.2,0.15,-0.12,0.08,0.04,0.54,0.21,-0.25,0.07,0.02,0.2,-0.21,-0.05,-0.32,0.06
"20","11","    Office and accounting equipment","B936RW2",-0.99,-0.86,-1.01,0.21,0.97,1.28,0.73,0.64,-0.52,0.13,0.53,0.65,-0.76,-1.01,1.47,1.05,2.3,0.92,0.26,-0.45,0.3,0.26,0.11,0.32,-0.11,0.46,0.52,0.86,-0.15,-0.14,-0.03,-0.61,-0.39,0.15,-0.02,0.04,0.6,-0.12,-0.13,0.33,-0.27,-0.17,0.29,0.67,0.56,-0.36,0.36,0.01,0.91,0.56,0.2,0.14,-0.58,1.1,0.38,-0.05,0.24,-1.09,-0.22,0.11,-0.26,-0.08,0.11,0.09,-0.01,0.01,0.02,-0.01,-0.08,-0.15,0.01,0.08,0.03
"21","12","  Industrial equipment","A680RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,-2.22,-6.04,3.63,3.09,1.09,3.04,0.94,-0.26,3.16,0.42,-5.54,0.49,2.32,-1.65,1.53,2.27,3.71,5.17,4.4,0.12,-0.61,1.9,0.4,-2.38,2.1,4.72,2.02,-4.34,0.14,1.61,2.87,1.82,-1.12,-0.42,-2.22,-1.98,3.21,1,-0.1,-0.55,1.1,1.53,-1.31,-1.4,0.39,1.79,1.86,2.05,0.8,0.46,0.72,-0.03,1.33,-1.55,-1.06
"22","13","    Fabricated metal products","C263RW2",-0.33,-0.47,-1.07,-0.49,0.62,0.3,0.45,0.27,-0.49,0.36,0.45,0.38,-0.14,0.7,0.72,0.75,1.3,1.04,-0.36,-0.58,0.21,0.54,0.46,0.21,0.23,-0.41,0.12,0.49,-0.27,-0.42,-0.18,-0.14,-0.24,0.24,0.41,0.47,0.4,-0.07,0.46,0.59,0.51,0.07,0.13,0.72,0.35,-0.1,0.39,-0.32,0.07,0.44,-0.32,-0.03,-0.39,-0.24,-0.16,-0.04,-0.17,-0.23,0.09,0.15,-0.01,0.01,0.02,-0.04,0.13,0.06,0.15,-0.25,0.07,0.1,0.07,-0.04,0
"23","14","    Engines and turbines","A668RW2",-0.11,-0.36,-0.53,-0.14,0.34,0.33,0.64,0.45,-0.41,0.29,0.14,-0.18,-0.47,0.54,1.11,2.02,-2.01,0.76,0.41,-0.04,0.43,-0.44,0.44,-0.12,0.63,-0.27,-0.18,0.44,-0.01,-0.36,-0.1,-0.22,-0.09,0,0,0.05,0.19,0.34,0.24,0.19,0.09,0.12,0.25,-0.06,0.03,-0.32,-0.21,-0.15,-0.05,-0.03,-0.14,0.09,-0.14,-0.1,0.06,0.08,-0.1,0.17,0.04,0.08,-0.11,0.13,-0.05,-0.03,0.05,-0.13,0.1,-0.05,0.1,0.13,0.19,0.39,-0.1
"24","15","    Metalworking machinery","C271RW2",-1.17,-1.16,-1.71,0.16,1.64,2.57,2.02,1.09,-2.25,1.6,5.44,2.71,-0.71,-0.82,-2.69,2.05,1.51,1.61,-1.19,-1.34,1.21,1.16,0.33,1.48,0.6,-1.6,1.38,-0.4,-2.38,0.37,0.62,-0.53,0.49,0.99,0.28,1.34,1.2,1.44,-0.87,-0.12,-0.28,-1.29,0.68,1.27,0.58,-0.94,-0.05,0.1,0.8,0.51,0.01,-0.16,-1.02,-1.17,0.69,0.28,-0.04,-0.35,0.24,0.61,-0.33,-0.22,0.19,0.33,0.61,0.6,0.08,0.32,0.02,-0.13,0.06,-0.51,-0.26
"25","16","    Special industry machinery, n.e.c.","C272RW2",-1.65,-1.37,-2.19,1.03,0.7,1.78,2.63,0.58,-1.8,0.49,0.47,-0.02,-0.86,-1.38,3.1,3.02,2.24,3.4,-0.28,-1.5,0.84,0.32,-0.76,0.29,-0.74,0.96,0.53,-0.41,-0.69,0.37,0.77,-0.27,0.58,-0.07,0.79,1.67,0.55,-0.58,-0.02,0.2,-0.01,-0.44,0.44,0.54,-0.14,-0.99,-0.07,0.03,0.91,0.12,-0.01,-0.11,0.01,0.05,0.64,0.34,0.07,0.16,0.32,0.55,-0.54,-0.52,-0.03,0.48,0.3,0.68,0.14,-0.04,0.04,-0.1,0.41,-0.66,-0.31
"26","17","    General industrial, including materials handling, equipment","C273RW2",-2.13,-2.08,-3.41,-0.2,2.29,3.24,3.6,0.92,-2.67,1.62,1.08,0.47,-2.22,0.67,6.52,5.26,-0.35,1.75,-0.48,-2.2,0.14,0.64,-0.28,0.81,-0.05,1.15,0.57,-0.11,-1.03,0.34,0.65,-0.49,0.59,1.05,1.51,1.02,1.05,-0.86,-0.16,0.81,-0.09,-0.45,0.23,1.47,0.88,-1.18,0.11,1.34,1.12,0.53,-0.54,-0.3,-0.55,-0.6,1.25,0.39,0.31,-0.51,0.33,0.05,-0.22,-0.57,0.22,0.95,0.49,0.62,0.22,0.3,0.37,-0.25,0.3,-0.52,-0.28
"27","18","    Electrical transmission, distribution, and industrial apparatus","C276RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,-0.31,-0.38,0.8,0.87,0.9,0.36,0.26,-0.09,0.73,0.41,-1.14,0.19,0.56,-0.01,0.2,0.05,0.71,0.63,1,-0.15,-0.25,0.23,0.18,-0.4,0.37,0.77,0.31,-0.81,-0.05,0.61,0.02,0.25,-0.11,0.08,-0.11,0.08,0.73,-0.05,-0.18,0.22,0.08,0.09,-0.1,-0.23,0.05,0.1,0.27,0.22,0.1,0.17,0.12,0.22,0.3,-0.23,-0.11
"28","19","  Transportation equipment","A681RW2",-8.45,-14.32,-15.32,7.11,18.14,12.24,14.51,4.04,-14.12,8.2,12.56,5.49,-25.76,-2.48,1.03,12.29,15.82,12.28,1.28,-0.18,3.8,-1.38,-5.76,5.3,-3.76,7.63,-3.16,1.88,-7.7,7.84,0.86,-1.54,6.3,-0.95,3.48,6.69,2.78,-0.87,5.2,1.16,-5.01,1.88,4.11,5.3,-2.54,-3.26,2.47,5.06,2.68,1.11,-4.52,-0.58,-2.25,2.35,3.86,0.81,-0.8,-1,1.04,-1.89,-0.09,-0.45,0.31,3.14,3.14,1.61,0.78,1.59,1.33,2.86,-0.8,-1.98,-1.67
"29","20","    Trucks, buses, and truck trailers","C279RW2",-1.95,-2.26,-3.97,2.62,6.46,3.78,3.42,-0.29,-3.57,3.39,1.5,1.7,-7.8,0.59,4.98,10.22,1.91,3.75,1.21,-2.22,2.04,0.51,-2.97,-0.06,-0.44,2.65,-0.23,-1.05,-1.29,1.88,0.05,0.31,2.58,0.68,0.43,2.15,1.55,-1.19,1.63,1.72,-1.81,0.83,2.6,1.97,-0.65,-3.12,1.74,2.05,1.35,0.1,-2.89,-0.49,-0.54,1,2.44,1.04,-1.45,0.13,-0.07,-0.47,-1.26,-0.63,0.77,2.22,2.47,1.31,0.89,1.27,1.03,1.06,-0.84,-1.63,-0.26
"30","21","      Light trucks (including utility vehicles)","W178RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,-0.44,-0.3,-0.13,-0.05,1.06,1.98,0.82,1.46,1.53,0.16,0.55,-0.32,-0.7,-0.24
"31","22","      Other trucks, buses, and truck trailers","W179RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34,-0.04,-0.96,-0.51,0.82,1.16,0.49,0.49,-0.57,-0.26,0.87,0.51,-0.52,-0.94,-0.01
"32","23","    Autos","C280RW2",-6.6,-4.6,-7.41,6.03,5.61,10.04,6.01,0.37,-7.11,5.78,5.38,1.73,-16.87,-0.26,-3.35,0.17,12.43,4.34,0.41,2.18,4.13,-4.2,-2.78,6.23,-0.71,4.48,-4.98,1.23,-3.24,4.06,0.51,-0.78,2.77,-0.61,0.67,2.56,-0.5,-0.33,2.23,0.32,-1.84,2.69,0.71,1.35,-1.08,-0.09,1.61,2.12,0.56,-0.99,-1.33,1.09,0.04,2.15,1.55,-0.12,0.21,-1.27,0.82,-1,0.45,0.12,-0.25,0.77,1.47,-0.43,-0.04,-0.18,-0.54,0.54,-0.04,-0.17,-0.14
"33","24","    Aircraft","C281RW2",-0.39,-0.18,-0.33,0.52,0.49,-0.33,-0.03,0.27,-0.1,0.23,0.39,-0.14,-0.44,-0.15,0.18,0.77,1.56,-0.65,-0.47,0.28,-0.26,-0.01,0.56,-0.06,0.1,-0.3,0.78,0.42,-0.51,1.82,-0.29,0.09,-0.2,-0.98,1.04,1.05,1.08,1.07,1.93,-1.67,-0.7,-1.66,0.76,1.17,-0.8,-0.26,-0.19,0.64,0.37,1.07,0.07,-0.42,-0.52,-0.02,-0.29,0.12,0.46,0.16,0.15,-0.61,0.71,0.14,-0.06,-0.15,-0.93,0.67,-0.13,0.37,0.74,1.19,0.1,0.1,-1.32
"34","25","    Ships and boats","C282RW2",0.43,-0.45,-2.25,-0.53,0.38,-0.57,1.65,0.07,1.16,-1.85,1.89,0.67,0.09,0.79,-2.91,1.41,0.05,2.6,-2.15,-0.62,-0.09,0.82,0.12,-0.24,-0.75,0.42,0.5,0.36,-0.12,-0.19,-0.17,-0.2,0.06,-0.18,0.16,0.15,0.06,0.02,0.31,0.1,-0.02,-0.1,0.27,0.58,-0.31,0.42,-0.11,0.05,-0.07,0.19,-0.03,0.26,-0.67,-0.5,-0.11,-0.15,0.04,0.09,-0.07,-0.05,0,0,-0.11,0.21,-0.07,-0.01,0.08,0.05,0.01,0,0.05,-0.06,0.06
"35","26","    Railroad equipment","C283RW2",0.05,-6.84,-1.35,-1.53,5.21,-0.68,3.46,3.62,-4.5,0.65,3.4,1.53,-0.74,-3.45,2.13,-0.28,-0.13,2.24,2.29,0.2,-2.03,1.5,-0.69,-0.56,-1.96,0.37,0.76,0.93,-2.54,0.28,0.76,-0.96,1.1,0.13,1.19,0.78,0.59,-0.45,-0.92,0.7,-0.63,0.11,-0.22,0.23,0.31,-0.21,-0.58,0.21,0.46,0.73,-0.34,-1.03,-0.55,-0.29,0.27,-0.09,-0.07,-0.11,0.22,0.24,0,-0.07,-0.05,0.09,0.22,0.06,-0.01,0.09,0.1,0.08,-0.07,-0.22,-0.02
"36","27","  Other equipment","A682RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.52,5.4,-4.73,1.83,0.17,0.17,-0.49,-1.73,4.69,0.85,-1.46,0.2,2.21,-2.01,-0.04,1.62,3.93,2.86,2.95,3.02,-1.46,0.3,1.6,0.91,-0.18,2.98,4.24,0,-1.92,0.41,2.9,2.79,1.15,-2.5,0.56,-3.73,-0.93,2.61,0.15,-0.31,0.58,0.74,2.08,-0.71,-2.87,-0.1,1.97,1.24,0.92,0.64,1.49,1.35,0.07,0.5,-0.6,-0.26
"37","28","    Furniture and fixtures","A667RW2",-1.3,-2.15,-2.65,-0.81,2.66,0.76,1.11,0.98,-0.7,0.54,0.99,1.12,-1.6,-1.09,0.28,1.6,2.36,0.79,-0.35,-0.25,0.21,0.79,-0.14,-0.15,0.45,0.72,0.31,-0.35,0.02,0.16,0.13,-0.14,0.26,0.54,0.38,0.43,0.49,-0.01,-0.09,0.39,-0.12,-0.26,0.93,0.29,-0.42,-0.54,0.28,0.75,0.43,0.29,0.21,0.12,0.22,0.31,0.73,0.2,0.14,0.33,-0.18,0.55,-0.33,-0.59,0.44,0.03,0.1,0.22,0.09,0.59,0.39,0.22,0.17,-0.42,-0.29
"38","29","    Agricultural machinery","C268RW2",-0.52,-4.37,-3.48,-2.66,3.63,5.61,3.36,2.26,-1.1,-1.2,1.5,3.18,-2.31,-4.26,8.97,1.58,-1.91,3.9,2.1,-0.02,0.06,-0.06,-0.59,-0.63,-0.94,0.92,-1.1,-0.15,1.24,0.27,-1.39,0.12,0.36,1.3,0.5,0.54,0.92,0.05,-0.4,0.03,0.63,-0.38,0.93,1.7,-0.4,0.44,-0.33,-0.06,0.3,0.45,-1.22,-0.17,-1.57,-0.57,0.17,-0.58,-0.22,0.06,0.65,0.46,0.27,-0.62,-0.4,0.32,0.25,0.04,-0.03,0.31,0.07,-0.6,0.14,0.08,0.21
"39","30","    Construction machinery","C269RW2",-0.41,-0.98,-1.69,-0.57,1.24,1.43,1.46,0.54,-0.58,-0.18,0.75,0.39,-0.88,-0.86,0.7,4.63,0.85,0.49,0.7,-1.24,0.46,0.27,0.52,-0.53,-0.65,1.11,0.78,-1.06,0.12,0.68,-0.96,-0.19,0.26,1.14,0.86,0.65,0.48,-0.49,0.17,0.37,-0.18,-0.06,0.84,0.87,0.31,-1.05,-0.25,1.28,1.07,-0.43,-1.15,-0.28,-1.39,0.26,1,0.25,-0.14,-0.28,-0.13,0.66,-0.03,-1.16,-0.05,0.57,0.3,0.26,0.31,0.18,0.35,0,0.02,-0.34,0.06
"40","31","    Mining and oilfield machinery","C270RW2",-1,-1.07,-0.32,0.14,1.15,1.21,1.43,-0.2,-0.92,0.38,0.62,1.54,-1.55,-0.18,1.27,2.41,-1.36,0.04,0.39,-0.48,0.27,0.4,0.01,-0.18,-0.21,0.61,0.08,-0.12,-0.74,0.3,-0.17,-0.14,-0.04,0.35,0.18,0.18,0.07,-0.34,0.03,0.05,0.33,0.16,-0.29,0.24,0.38,0.36,0.02,0.13,-0.15,-0.07,-0.04,0.93,-0.99,-0.88,-0.14,-0.12,-0.34,-0.02,0.07,0.07,-0.04,-0.09,-0.04,0.27,-0.02,0,0.02,0.12,-0.01,0.23,-0.01,0.08,-0.18
"41","32","    Service industry machinery","C570RW2",-0.67,-0.61,-1.36,0.05,0.77,0.89,1.64,0.5,-0.93,0.53,0.38,0.01,-0.67,0.46,1.79,1.88,1.55,2.88,2.29,-2.36,0.32,-0.77,0.31,0.87,-0.21,0.71,0.62,0.18,-0.62,0.08,0.02,-0.04,0.26,-0.05,0.4,0.71,0.52,-0.04,0.18,0.42,0,0.08,0.04,0.26,-0.13,-0.5,0.28,0.21,0.35,0.27,-0.04,-0.02,0,0.03,0.48,0.18,0,0.23,0.04,0.16,-0.38,-0.18,-0.1,0.14,0.21,0.12,0.06,-0.04,0.22,0.11,-0.01,-0.02,-0.12
"42","33","    Electrical equipment, n.e.c.","A670RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,-0.03,-0.01,0.34,-0.16,-0.07,-0.01,-0.11,0.16,0.1,0,-0.17,0.05,0.06,0.04,0.08,0.28,0.08,0.16,0.02,-0.21,0.09,0.07,0.07,0,0.13,0.14,0.01,-0.08,0.12,-0.03,0.3,0.16,0.1,0.06,-0.21,0.04,0.08,0.04,0.03,0,0.07,-0.02,-0.09,-0.13,0.01,0,0.03,0.04,-0.02,0.06,0.11,-0.01,0.03,0.03,0.01
"43","34","    Other","C286RW2",-0.41,-0.67,-0.84,0.06,0.53,0.52,0.63,-0.36,-0.3,0.37,0.65,0.6,-0.68,-0.42,0.31,0.57,1.65,0.9,0.3,-0.36,0.18,-0.3,0.13,0.14,-0.06,0.45,0.06,0.03,0.34,0.68,0.29,0.31,0.44,0.36,0.47,0.29,0.51,-0.42,0.34,0.26,0.19,0.28,0.39,0.74,0.25,-0.55,0.3,0.61,0.49,0.48,-0.35,-0.08,0.2,-0.13,0.29,0.18,0.21,0.25,0.21,0.21,-0.11,-0.09,0.04,0.64,0.38,0.25,0.22,0.27,0.22,0.12,0.17,-0.01,0.06
