"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"31","23","    Gross output of nonprofit institutions \2\","DNPERC0",14104,15051,16002,17160,18570,20511,22309,24635,27350,30901,34648,38706,43395,48154,52706,59739,68230,77397,86316,98114,111035,127955,147774,165931,181368,196640,211717,230055,249698,278987,304917,338190,367010,400799,423303,444684,463386,488806,509284,550547,585277,631979,688012,749684,785929,827580,874298,935158,989366,1046516,1078160,1118857,1157633
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC0",9044,9775,10537,11453,12570,13817,15117,16884,18929,21555,24566,27617,31066,34539,38077,43306,50180,57328,64525,73641,83236,96067,111510,125841,138460,149049,161371,174688,191166,212226,233201,258576,282765,308456,328681,342315,356216,373091,397036,419552,439870,466611,501808,544679,574668,618205,662591,695181,735450,761930,797903,838645,873150
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRC0",233136,245061,253847,272884,290003,313849,339308,368073,391095,432937,470768,503290,550144,607921,670915,722431,800555,898320,1002452,1127803,1245441,1358257,1507078,1627173,1824192,2016891,2215115,2401761,2587295,2813173,3019792,3221309,3351058,3601058,3828183,4072316,4291858,4542041,4821620,5173532,5554590,5966449,6255913,6549383,6846721,7240032,7665290,8090705,8485921,8654959,8605290,8901302,9266116
"35","26","  Energy goods and services \5\","DNRGRC0",22971,24178,24591,25796,26840,28114,30061,32210,34129,36233,38985,41505,44344,47837,54383,67463,76667,85637,95601,103706,127356,158402,177089,181181,187348,193090,199540,178570,185353,194076,209310,222968,226062,231368,241939,246381,251675,269688,274230,258450,274625,326465,333187,320201,369870,417579,493743,536102,575142,634171,514783,577860,651240
"36","27","  Market-based PCE \6\","DPCMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2783488,3012341,3238216,3454082,3572698,3794036,4003927,4236824,4449953,4696572,4952890,5237523,5602979,6013418,6291231,6539813,6862616,7261339,7736030,8156142,8560088,8792811,8680133,9015519,9461916
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2274565,2476190,2664190,2840578,2944291,3158778,3349060,3558845,3755009,3965451,4204298,4492949,4815136,5149815,5398623,5650286,5905492,6231097,6598137,6946263,7274093,7412618,7419640,7671628,8002408
"38",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.5):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","      Personal consumption expenditures","DPCERC0",317704,331795,342185,363336,382713,411454,443811,480893,507783,558001,605124,648301,701613,770230,852013,932932,1033788,1151254,1277823,1427621,1591167,1755826,1939506,2075495,2288576,2501083,2717608,2896746,3096960,3350056,3594490,3835453,3980073,4236891,4483594,4750806,4987280,5273608,5570626,5918488,6342784,6830371,7148807,7439191,7804120,8270574,8803526,9300999,9772270,10035524,9866119,10245518,10725959
"40","30","Household consumption expenditures \7\","DPHCRC0",312643,326518,336720,357629,376710,404757,436617,473140,499360,548659,595042,637215,689284,756616,837381,916496,1015735,1131185,1256033,1403146,1563366,1723938,1903237,2035405,2245669,2453492,2667265,2841374,3038428,3283296,3522776,3755837,3895831,4144548,4388968,4648435,4880109,5157890,5458376,5787490,6197380,6665004,6962605,7234185,7592856,8061197,8591818,9061018,9518355,9750936,9585858,9965307,10441466
"41","31","  Food and beverages purchased for off-premises consumption","DFXARC0",61597,62556,63747,64656,65870,69491,74442,80610,82559,88831,95371,103506,107125,114472,126715,143038,156566,167297,179770,196112,218370,239167,255339,267141,277036,291102,302953,316415,324312,342807,365388,391176,402953,404465,413472,432109,443747,461879,474776,486506,513569,537457,559707,569607,587529,612963,644493,674192,711207,746394,746046,766356,808593
"42","32","  Clothing, footwear, and related services","DCAFRC0",28608,29263,29914,31271,32086,34724,36483,39802,41677,45583,48810,49945,53386,57972,63666,66876,71433,76913,84296,94638,101940,108834,119142,122670,132895,144674,154300,165118,176370,188162,201385,206959,210436,223024,230952,239687,244146,252712,262012,273015,287050,297319,294337,295168,301732,314560,330197,344150,352696,347973,334790,350675,367358
"43","33","  Housing, utilities, and fuels","DHUFRC0",56857,60525,64016,68195,72178,76236,80999,85849,91120,97405,105490,113786,124478,136172,149679,166298,184843,204630,228688,255630,287548,327026,367477,401193,434536,471901,513995,546823,582822,625908,667324,709115,747817,783331,826866,879204,926774,975497,1023141,1076806,1137399,1214461,1303244,1349054,1410568,1480247,1602565,1706759,1777943,1856981,1891890,1915880,1946822
"44","34","  Furnishings, household equipment, and routine household maintenance","DFHHRC0",25641,26179,26791,28318,29829,32703,34706,37838,39692,43191,45381,46617,48763,53519,59944,64605,67805,75041,84019,93595,104325,110737,118284,121039,132337,147103,155993,168658,176892,186560,197477,200559,199109,209398,221891,238616,251692,263723,277270,296846,319652,342492,351096,363539,374666,397011,418712,436491,442549,432927,403093,413057,430717
"45","35","  Health","DHLTRC0",18836,20363,21827,24320,26405,29801,31977,34966,38408,43786,50018,56849,63384,70422,78680,88652,102717,116759,131577,149369,169876,195473,228859,254922,287133,315153,345323,378377,419877,470722,518983,583724,638374,700443,741681,779896,826007,868312,919880,979652,1033334,1109594,1209403,1317080,1405726,1507478,1605141,1694544,1798389,1884926,1971220,2052842,2140296
"46","36","  Transportation","DTRNRC0",38766,40765,39294,44117,47819,50724,56529,59026,60977,69846,75885,76503,88742,98315,108567,112767,124390,147373,168125,184475,207123,226486,250724,255868,284926,321776,357415,362580,376633,404758,428334,442931,418274,451285,485332,528231,554064,598935,641818,669157,730472,798408,814097,818351,857024,909136,977950,1006969,1049915,1029701,882725,967006,1086413
"47","37","  Communication","DCMCRC0",4834,5206,5557,5907,6429,6938,7535,8121,8873,9679,10729,11606,12764,14353,16131,17688,19955,22425,24304,27014,29425,31796,35963,41056,44838,48422,53104,56856,59985,63139,67276,70093,73870,81142,85767,93263,98942,108317,120106,130593,144727,162067,171320,177468,182906,189145,193774,206821,220892,230733,229353,237375,246155
"48","38","  Recreation","DRRLRC0",18762,19711,20468,22085,23853,26295,28891,33364,35822,39932,43699,47017,50114,56199,63016,68939,77053,86193,94917,106279,118863,127440,141635,151438,169326,189972,207163,225398,247013,273378,295743,314746,326272,346841,378423,413996,449768,481538,509502,545957,593596,639851,655708,680923,715487,770558,817675,872003,918690,923517,879427,918329,967332
"49","39","  Education","DEDURC0",3108,3360,3608,3951,4347,4827,5465,6212,6877,7720,8651,9914,10853,11749,13003,14202,15886,17433,18809,20877,22869,25443,28258,30968,34349,37699,41172,44486,48789,54436,60571,65958,70561,76442,81086,86364,92304,99627,107120,115244,123931,134291,143615,149527,159889,169844,181884,194636,208616,222236,234406,249296,266113
"50","40","  Food services and accommodations","DFSARC0",19738,20485,20964,22257,23306,24878,27181,29635,30957,34594,37461,41624,43797,48886,54832,60614,68821,77801,85665,97104,110921,121721,133915,142508,153550,164916,174300,186687,204379,225847,242597,262735,273394,286313,298607,308668,316717,327398,344560,363009,381580,410126,421228,438183,464167,499079,533906,570198,600498,618252,610303,638016,680059
"51","41","  Financial services and insurance","DIFSRC0",12484,13551,14765,15351,15909,17740,19394,21273,22842,25796,28501,31071,34137,38337,41497,45903,54014,59257,67786,80627,87623,95599,101995,116322,145873,156555,180539,196665,207127,219409,235741,253218,281979,311759,341016,349027,364689,393631,431297,469649,514234,569962,562791,576166,602466,651686,698429,732625,790290,806980,747808,780245,804843
"52","42","  Other goods and services","DOISRC0",21394,22433,23722,24858,26166,27833,30157,33314,35768,38609,41001,44263,46962,50984,56930,62205,67808,76273,83766,93178,100409,110675,121230,127772,143433,157655,173267,190016,208165,225390,245652,262297,268009,290055,304538,316871,332720,350833,368398,394794,431633,462303,483468,504265,531194,558851,587048,617874,649863,666565,667838,692533,719115
"53","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRC0",2019,2121,2047,2342,2517,2568,2858,3132,3788,3684,4044,4514,4778,5237,4721,4708,4445,3790,4311,4250,4075,3540,416,2509,5434,6564,7742,3296,6063,2781,-3696,-7673,-15219,-19951,-20662,-17497,-21462,-24511,-21506,-13739,-13798,-13328,-7409,-5148,-499,639,43,3755,-3191,-16249,-13040,-16303,-22347
"54","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC0",5060,5276,5465,5707,6000,6694,7192,7751,8421,9346,10082,11089,12329,13615,14629,16433,18050,20069,21791,24473,27799,31888,36264,40090,42908,47591,50346,55367,58532,66761,71716,79614,84245,92343,94622,102369,107170,115715,112248,130995,145407,165368,186204,205005,211261,209375,211707,239977,253916,284586,280257,280212,284483
"55","45","  Gross output of nonprofit institutions \2\","DNPERC0",14104,15051,16002,17160,18570,20511,22309,24635,27350,30901,34648,38706,43395,48154,52706,59739,68230,77397,86316,98114,111035,127955,147774,165931,181368,196640,211717,230055,249698,278987,304917,338190,367010,400799,423303,444684,463386,488806,509284,550547,585277,631979,688012,749684,785929,827580,874298,935158,989366,1046516,1078160,1118857,1157633
"56","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC0",9044,9775,10537,11453,12570,13817,15117,16884,18929,21555,24566,27617,31066,34539,38077,43306,50180,57328,64525,73641,83236,96067,111510,125841,138460,149049,161371,174688,191166,212226,233201,258576,282765,308456,328681,342315,356216,373091,397036,419552,439870,466611,501808,544679,574668,618205,662591,695181,735450,761930,797903,838645,873150
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","5. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
