"","Table 3#8# Current Surplus of Government Enterprises            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","      Current surplus of government enterprises","A108RC1","1,020.0","-32.0","-240.0","477.0","-367.0","-929.0","-3,241.0","-1,802.0","-2,687.0","-2,201.0","-2,882.0","-5,093.0","-5,576.0","-4,480.0","-3,180.0","-1,911.0","563.0","879.0","157.0","2,573.0","4,929.0","1,567.0","5,673.0","8,232.0","8,681.0","9,600.0","13,130.0","14,354.0","14,104.0","13,294.0","14,096.0","9,144.0","4,047.0","6,345.0","6,970.0","1,243.0","-3,491.0","-4,215.0","-11,776.0","-15,980.0","-14,892.0","-15,665.0"
"20","2","Federal","B097RC1","-449.0","-1,512.0","-1,606.0","-1,093.0","-1,835.0","-1,804.0","-3,638.0","-2,161.0","-3,001.0","-2,465.0","-2,562.0","-3,876.0","-3,173.0","-2,879.0","-2,953.0","-3,417.0","-2,608.0","-1,898.0","-2,957.0","-2,269.0","-1,749.0","-5,295.0","-1,612.0","-43.0","-1,264.0","-941.0","-341.0","-1,209.0","-92.0","835.0","791.0","-1,221.0","-3,987.0","205.0","3,675.0","289.0","-3,547.0","-2,881.0","-2,724.0","-3,651.0","-4,422.0","-4,823.0"
"21","3","  Postal Service","L312101","-1,134.0","-2,113.0","-2,265.0","-1,735.0","-2,379.0","-2,450.0","-4,299.0","-2,800.0","-3,727.0","-3,177.0","-3,465.0","-5,055.0","-4,329.0","-4,196.0","-4,831.0","-5,734.0","-5,316.0","-4,681.0","-5,783.0","-4,865.0","-4,740.0","-7,900.0","-5,900.0","-4,177.0","-6,102.0","-5,402.0","-3,277.0","-3,698.0","-4,610.0","-5,072.0","-5,405.0","-6,008.0","-6,708.0","-4,360.0","-1,008.0","-3,519.0","-5,237.0","-5,581.0","-4,711.0","-5,001.0","-7,432.0","-6,976.0"
"22","4","  Federal Housing Administration","L312121","230.0","250.0","282.0","285.0","260.0","127.0","181.0","191.0","183.0","193.0","262.0","393.0","468.0","526.0","514.0","437.0","546.0","623.0","425.0","543.0","1,025.0","1,287.0","1,576.0","1,755.0","2,768.0","1,751.0","1,328.0","1,972.0","2,160.0","2,749.0","3,108.0","2,871.0","2,774.0","2,589.0","2,575.0","2,561.0","1,876.0","2,122.0","2,399.0","2,702.0","2,377.0","696.0"
"23","5","  Tennessee Valley Authority","L312131","-75.0","-84.0","-105.0","-113.0","-122.0","-149.0","-199.0","-233.0","308.0","344.0","561.0","733.0","606.0","747.0","920.0","1,152.0","1,509.0","1,591.0","1,817.0","1,789.0","1,664.0","733.0","2,118.0","2,402.0","1,845.0","1,972.0","1,551.0","1,902.0","2,166.0","2,540.0","2,632.0","1,519.0","70.0","1,758.0","1,769.0","1,721.0","1,777.0","2,149.0","1,743.0","825.0","942.0","1,089.0"
"24","6","  Other \1\","L312141","530.0","435.0","482.0","470.0","406.0","668.0","679.0","681.0","235.0","175.0","80.0","53.0","82.0","44.0","444.0","728.0","653.0","569.0","584.0","264.0","302.0","585.0","594.0","-23.0","225.0","738.0","57.0","-1,385.0","192.0","618.0","456.0","397.0","-123.0","218.0","339.0","-474.0","-1,963.0","-1,571.0","-2,155.0","-2,177.0","-309.0","368.0"
"25","7","State and local","B115RC1","1,469.0","1,480.0","1,366.0","1,570.0","1,468.0","875.0","397.0","359.0","314.0","264.0","-320.0","-1,217.0","-2,403.0","-1,601.0","-227.0","1,506.0","3,171.0","2,777.0","3,114.0","4,842.0","6,678.0","6,862.0","7,285.0","8,275.0","9,945.0","10,541.0","13,471.0","15,563.0","14,196.0","12,459.0","13,305.0","10,365.0","8,034.0","6,140.0","3,295.0","954.0","56.0","-1,334.0","-9,052.0","-12,329.0","-10,470.0","-10,842.0"
"26","8","  Water and sewerage","L312181","182.0","245.0","254.0","265.0","227.0","-6.0","-298.0","-619.0","-879.0","-940.0","-1,076.0","-1,373.0","-1,784.0","-1,794.0","-1,163.0","-356.0","374.0","735.0","1,159.0","1,813.0","2,073.0","1,988.0","2,283.0","2,393.0","2,859.0","3,631.0","4,295.0","5,097.0","5,270.0","5,845.0","6,441.0","6,137.0","5,972.0","6,484.0","7,037.0","6,670.0","6,899.0","6,919.0","6,094.0","4,784.0","4,509.0","4,625.0"
"27","9","  Gas and electricity","L312191","752.0","764.0","730.0","800.0","913.0","897.0","965.0","1,092.0","1,199.0","1,285.0","1,294.0","1,189.0","1,492.0","1,795.0","2,199.0","3,026.0","3,232.0","3,417.0","4,144.0","4,800.0","5,153.0","5,375.0","5,665.0","5,869.0","6,090.0","6,202.0","6,558.0","6,749.0","6,843.0","7,457.0","8,159.0","8,505.0","8,844.0","7,783.0","5,698.0","5,265.0","5,896.0","6,695.0","5,718.0","7,074.0","9,071.0","10,615.0"
"28","10","  Toll facilities","L312201","529.0","525.0","514.0","586.0","594.0","500.0","519.0","562.0","595.0","611.0","564.0","542.0","575.0","587.0","689.0","873.0","953.0","1,046.0","1,247.0","1,169.0","1,404.0","1,450.0","1,681.0","1,649.0","1,703.0","1,714.0","1,723.0","1,843.0","1,979.0","2,165.0","2,422.0","2,575.0","2,340.0","2,045.0","2,342.0","2,556.0","2,467.0","2,218.0","1,715.0","1,936.0","2,267.0","2,517.0"
"29","11","  Liquor stores","L312211","377.0","384.0","399.0","404.0","416.0","429.0","424.0","404.0","417.0","442.0","500.0","522.0","465.0","450.0","431.0","412.0","416.0","430.0","414.0","414.0","464.0","513.0","524.0","535.0","510.0","524.0","604.0","638.0","707.0","748.0","781.0","868.0","904.0","928.0","1,179.0","1,410.0","1,429.0","1,458.0","1,346.0","1,436.0","1,502.0","1,538.0"
"30","12","  Air and water terminals","L312221","92.0","89.0","102.0","145.0","170.0","130.0","87.0","118.0","201.0","268.0","317.0","304.0","234.0","203.0","283.0","465.0","653.0","765.0","909.0","972.0","1,099.0","1,269.0","1,336.0","1,472.0","1,637.0","1,716.0","1,840.0","2,133.0","2,459.0","2,561.0","2,829.0","2,996.0","3,419.0","2,377.0","2,404.0","2,570.0","2,843.0","2,795.0","2,653.0","2,198.0","1,762.0","2,034.0"
"31","13","  Housing and urban renewal","L312231","-2.0","4.0","22.0","105.0","-25.0","184.0","164.0","122.0","140.0","74.0","-98.0","-289.0","-268.0","382.0","764.0","284.0","105.0","-787.0","-1,870.0","-2,243.0","-2,051.0","-1,866.0","-1,489.0","-1,434.0","-1,735.0","-2,445.0","-1,403.0","-1,503.0","-3,958.0","-6,549.0","-6,999.0","-8,691.0","-10,372.0","-11,465.0","-13,242.0","-14,851.0","-16,796.0","-19,160.0","-22,328.0","-22,855.0","-21,167.0","-22,505.0"
"32","14","  Public transit","L312241","-301.0","-373.0","-545.0","-749.0","-966.0","-1,428.0","-1,681.0","-1,604.0","-1,762.0","-2,041.0","-2,522.0","-2,913.0","-4,098.0","-4,668.0","-5,551.0","-6,091.0","-6,484.0","-7,416.0","-7,959.0","-8,336.0","-8,673.0","-9,632.0","-10,741.0","-11,172.0","-11,555.0","-12,604.0","-13,124.0","-13,494.0","-14,068.0","-15,123.0","-16,412.0","-17,861.0","-20,233.0","-21,286.0","-22,687.0","-24,357.0","-26,455.0","-28,339.0","-31,139.0","-33,650.0","-35,584.0","-37,626.0"
"33","15","  Other \2\","L312251","-160.0","-159.0","-110.0","14.0","139.0","169.0","217.0","284.0","403.0","565.0","701.0","801.0","981.0","1,444.0","2,121.0","2,893.0","3,922.0","4,587.0","5,070.0","6,253.0","7,209.0","7,765.0","8,026.0","8,963.0","10,436.0","11,803.0","12,978.0","14,100.0","14,964.0","15,355.0","16,084.0","15,836.0","17,160.0","19,274.0","20,564.0","21,691.0","23,773.0","26,080.0","26,889.0","26,749.0","27,171.0","27,960.0"
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Consists largely of the Bonneville Power Administration, other electric power agencies, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","insurance agencies other than those insuring deposits in financial institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Consists of lotteries, gaming administered by Indian tribal governments, off-track betting,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","local parking, and miscellaneous activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
