"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"37","18","  From persons","B233RC1","40.0","40.0","40.0","40.0","32.0","32.0","36.0","36.0","36.0","36.0","36.0","32.0","28.0","28.0","36.0","36.0","44.0","44.0","48.0","48.0","48.0","48.0","56.0","60.0","64.0","64.0","64.0","64.0","68.0","68.0","60.0","56.0","52.0","44.0","52.0","52.0","60.0","60.0","52.0","48.0","44.0","44.0","44.0","48.0","48.0","48.0","48.0","44.0","44.0","44.0","44.0","44.0","44.0","40.0","40.0","40.0","44.0","44.0","44.0","48.0","52.0","52.0","52.0","52.0","52.0","56.0","60.0","60.0","64.0","60.0","56.0","52.0","52.0","52.0","52.0","52.0","48.0","48.0","48.0","48.0","52.0","56.0","60.0","68.0","56.0","48.0","36.0","28.0","40.0","52.0"
"38","19","Current surplus of government enterprises \5\","B097RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-116.0","-124.0","-196.0","-136.0","-216.0","-236.0","-400.0","-428.0","-520.0","-596.0","-524.0","-344.0","-404.0","-492.0","-480.0","-548.0","-296.0","-316.0","-272.0","-192.0","-208.0","-216.0","-564.0","-184.0","-312.0","-248.0","-364.0","-460.0","-460.0","-556.0","-784.0","-660.0","-676.0","-556.0","-512.0","-788.0","-376.0","-316.0","-288.0","-376.0","-520.0","-508.0"
"39","20","    Current expenditures","W013RC1","37,408.0","37,224.0","39,600.0","35,760.0","36,248.0","37,356.0","40,184.0","41,112.0","43,284.0","44,388.0","43,884.0","42,284.0","49,700.0","42,732.0","38,248.0","42,280.0","47,252.0","51,576.0","55,500.0","58,656.0","57,856.0","61,436.0","64,176.0","64,900.0","65,820.0","67,848.0","66,084.0","67,520.0","64,992.0","63,660.0","63,728.0","64,420.0","64,816.0","63,616.0","67,168.0","65,980.0","65,744.0","68,928.0","67,680.0","70,992.0","74,364.0","75,648.0","75,564.0","78,708.0","76,884.0","81,892.0","83,268.0","83,980.0","81,816.0","83,552.0","84,028.0","85,416.0","84,000.0","86,084.0","87,128.0","90,040.0","89,768.0","93,436.0","93,552.0","94,968.0","98,660.0","100,444.0","101,856.0","103,808.0","105,056.0","105,140.0","106,776.0","109,032.0","110,812.0","111,724.0","110,564.0","110,452.0","111,976.0","114,736.0","120,308.0","123,852.0","127,608.0","133,936.0","138,180.0","143,156.0","152,824.0","154,668.0","156,328.0","161,044.0","167,000.0","173,208.0","175,480.0","179,148.0","176,652.0","182,804.0"
"40","21","Consumption expenditures","A957RC1","21,676.0","21,580.0","20,524.0","19,556.0","19,520.0","20,932.0","21,700.0","22,476.0","23,700.0","24,312.0","22,984.0","22,140.0","22,004.0","22,004.0","20,596.0","23,536.0","28,732.0","32,620.0","37,348.0","38,700.0","40,768.0","43,740.0","45,252.0","46,872.0","47,664.0","49,156.0","47,560.0","48,764.0","45,824.0","43,572.0","43,036.0","43,212.0","43,300.0","42,784.0","45,204.0","44,352.0","43,856.0","46,104.0","43,860.0","46,268.0","49,104.0","49,008.0","49,020.0","50,700.0","49,100.0","51,740.0","50,604.0","51,972.0","48,260.0","50,176.0","50,696.0","50,652.0","48,088.0","48,584.0","50,544.0","51,720.0","49,820.0","51,140.0","52,172.0","53,308.0","55,952.0","56,884.0","58,864.0","59,556.0","59,508.0","59,096.0","61,796.0","62,680.0","62,736.0","62,916.0","63,420.0","62,116.0","62,284.0","63,088.0","66,636.0","70,780.0","71,252.0","74,512.0","78,328.0","78,880.0","85,024.0","85,976.0","87,116.0","89,708.0","93,592.0","94,388.0","95,820.0","97,372.0","95,332.0","97,552.0"
"41","22","Current transfer payments","W014RC1","10,872.0","10,884.0","14,432.0","11,600.0","12,068.0","11,884.0","13,636.0","13,444.0","14,560.0","15,204.0","15,872.0","15,124.0","22,420.0","15,296.0","12,216.0","12,936.0","12,632.0","13,112.0","13,224.0","13,440.0","11,500.0","12,200.0","13,404.0","12,544.0","12,528.0","13,312.0","12,848.0","13,516.0","14,016.0","14,332.0","15,272.0","15,952.0","16,284.0","15,912.0","16,108.0","16,004.0","16,180.0","16,660.0","17,188.0","17,372.0","18,104.0","19,420.0","19,392.0","20,692.0","21,548.0","23,876.0","24,204.0","24,400.0","26,012.0","26,528.0","25,896.0","26,980.0","26,280.0","27,720.0","27,288.0","29,028.0","30,488.0","32,464.0","31,288.0","31,336.0","32,196.0","32,604.0","31,976.0","33,068.0","34,484.0","34,716.0","33,320.0","34,336.0","35,548.0","36,024.0","34,488.0","35,376.0","36,432.0","38,168.0","40,136.0","39,148.0","41,772.0","44,060.0","44,028.0","47,792.0","51,308.0","52,408.0","52,996.0","54,532.0","55,556.0","60,100.0","60,540.0","62,480.0","61,916.0","65,248.0"
"42","23","  Government social benefits","W015RC1","7,712.0","7,296.0","10,680.0","7,844.0","7,472.0","7,244.0","7,000.0","7,028.0","7,676.0","8,152.0","8,472.0","8,500.0","16,588.0","9,588.0","7,192.0","7,540.0","7,544.0","7,900.0","8,100.0","8,032.0","7,652.0","7,632.0","8,504.0","8,536.0","8,564.0","8,428.0","8,596.0","9,220.0","9,892.0","10,524.0","10,856.0","11,448.0","11,356.0","11,436.0","11,604.0","11,612.0","11,908.0","12,116.0","12,544.0","12,632.0","13,360.0","14,484.0","14,576.0","15,704.0","16,840.0","18,628.0","18,972.0","18,324.0","18,400.0","18,288.0","18,520.0","19,104.0","19,132.0","19,688.0","20,368.0","21,264.0","22,948.0","23,704.0","23,736.0","23,144.0","23,624.0","23,436.0","23,792.0","24,356.0","25,620.0","24,520.0","24,656.0","25,076.0","25,848.0","25,268.0","25,428.0","25,492.0","26,608.0","26,356.0","29,588.0","28,308.0","29,080.0","28,680.0","30,368.0","33,260.0","36,028.0","36,556.0","37,632.0","38,084.0","39,808.0","42,340.0","43,416.0","44,104.0","45,124.0","45,924.0"
"43","24","    To persons","B087RC1","7,712.0","7,296.0","10,680.0","7,844.0","7,472.0","7,244.0","7,000.0","7,028.0","7,676.0","8,152.0","8,472.0","8,500.0","16,588.0","9,588.0","7,192.0","7,540.0","7,544.0","7,900.0","8,100.0","8,032.0","7,652.0","7,632.0","8,504.0","8,536.0","8,564.0","8,428.0","8,596.0","9,220.0","9,892.0","10,524.0","10,856.0","11,448.0","11,356.0","11,436.0","11,604.0","11,612.0","11,908.0","12,116.0","12,544.0","12,632.0","13,360.0","14,484.0","14,576.0","15,704.0","16,840.0","18,628.0","18,972.0","18,324.0","18,400.0","18,288.0","18,520.0","19,104.0","18,880.0","19,468.0","20,120.0","21,000.0","22,660.0","23,428.0","23,472.0","22,868.0","23,300.0","23,148.0","23,504.0","24,060.0","25,280.0","24,188.0","24,348.0","24,760.0","25,520.0","24,948.0","25,068.0","25,116.0","26,236.0","25,728.0","29,176.0","27,908.0","28,660.0","28,264.0","29,788.0","32,820.0","35,560.0","36,060.0","36,884.0","37,576.0","39,304.0","41,832.0","42,772.0","43,532.0","44,568.0","45,348.0"
"44","25","    To the rest of the world \6\","W016RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","252.0","220.0","248.0","264.0","288.0","276.0","264.0","276.0","324.0","288.0","288.0","296.0","340.0","332.0","308.0","316.0","328.0","320.0","360.0","376.0","372.0","628.0","412.0","400.0","420.0","416.0","580.0","440.0","468.0","496.0","748.0","508.0","504.0","508.0","644.0","572.0","556.0","576.0"
"45","26","  Other current transfer payments","W010RC1","3,160.0","3,588.0","3,752.0","3,756.0","4,596.0","4,640.0","6,636.0","6,416.0","6,884.0","7,052.0","7,400.0","6,624.0","5,832.0","5,708.0","5,024.0","5,396.0","5,088.0","5,212.0","5,124.0","5,408.0","3,848.0","4,568.0","4,900.0","4,008.0","3,964.0","4,884.0","4,252.0","4,296.0","4,124.0","3,808.0","4,416.0","4,504.0","4,928.0","4,476.0","4,504.0","4,392.0","4,272.0","4,544.0","4,644.0","4,740.0","4,744.0","4,936.0","4,816.0","4,988.0","4,708.0","5,248.0","5,232.0","6,076.0","7,612.0","8,240.0","7,376.0","7,876.0","7,148.0","8,032.0","6,920.0","7,764.0","7,540.0","8,760.0","7,552.0","8,192.0","8,572.0","9,168.0","8,184.0","8,712.0","8,864.0","10,196.0","8,664.0","9,260.0","9,700.0","10,756.0","9,060.0","9,884.0","9,824.0","11,812.0","10,548.0","10,840.0","12,692.0","15,380.0","13,660.0","14,532.0","15,280.0","15,852.0","15,364.0","16,448.0","15,748.0","17,760.0","17,124.0","18,376.0","16,792.0","19,324.0"
"46","27","    Grants-in-aid to state and local governments","B089RC1","1,428.0","1,684.0","1,620.0","1,648.0","1,572.0","1,664.0","1,780.0","1,864.0","1,748.0","1,664.0","2,076.0","1,936.0","1,908.0","1,940.0","1,884.0","1,872.0","2,040.0","2,080.0","1,936.0","2,124.0","2,012.0","2,076.0","2,272.0","2,264.0","1,816.0","2,700.0","2,272.0","2,308.0","2,348.0","2,268.0","2,360.0","2,336.0","2,280.0","2,388.0","2,520.0","2,440.0","2,380.0","2,484.0","2,636.0","2,660.0","2,892.0","2,752.0","2,944.0","3,096.0","2,864.0","3,292.0","3,176.0","4,020.0","3,504.0","3,944.0","3,808.0","3,844.0","3,888.0","3,992.0","3,976.0","4,156.0","4,244.0","4,540.0","4,616.0","4,656.0","4,876.0","4,908.0","5,184.0","5,184.0","5,264.0","5,472.0","5,784.0","6,052.0","6,520.0","6,484.0","6,192.0","6,604.0","6,544.0","7,100.0","7,460.0","7,564.0","9,016.0","10,116.0","10,484.0","10,704.0","11,092.0","11,556.0","11,572.0","12,728.0","11,768.0","13,304.0","12,592.0","13,160.0","13,144.0","14,008.0"
"47","28","    To the rest of the world (net) \6\","W017RC1","1,732.0","1,904.0","2,132.0","2,108.0","3,024.0","2,976.0","4,856.0","4,552.0","5,136.0","5,388.0","5,324.0","4,688.0","3,924.0","3,768.0","3,140.0","3,524.0","3,048.0","3,132.0","3,188.0","3,284.0","1,836.0","2,492.0","2,628.0","1,744.0","2,148.0","2,184.0","1,980.0","1,988.0","1,776.0","1,540.0","2,056.0","2,168.0","2,648.0","2,088.0","1,984.0","1,952.0","1,892.0","2,060.0","2,008.0","2,080.0","1,852.0","2,184.0","1,872.0","1,892.0","1,844.0","1,956.0","2,056.0","2,056.0","4,108.0","4,296.0","3,568.0","4,032.0","3,260.0","4,040.0","2,944.0","3,608.0","3,296.0","4,220.0","2,936.0","3,536.0","3,696.0","4,260.0","3,000.0","3,528.0","3,600.0","4,724.0","2,880.0","3,208.0","3,180.0","4,272.0","2,868.0","3,280.0","3,280.0","4,712.0","3,088.0","3,276.0","3,676.0","5,264.0","3,176.0","3,828.0","4,188.0","4,296.0","3,792.0","3,720.0","3,980.0","4,456.0","4,532.0","5,216.0","3,648.0","5,316.0"
"48","29","Interest payments \3\","A091RC1","4,164.0","4,136.0","4,096.0","4,140.0","4,140.0","4,136.0","4,144.0","4,236.0","4,300.0","4,324.0","4,336.0","4,368.0","4,408.0","4,440.0","4,500.0","4,536.0","4,588.0","4,572.0","4,596.0","4,664.0","4,640.0","4,600.0","4,632.0","4,672.0","4,708.0","4,700.0","4,728.0","4,772.0","4,812.0","4,836.0","4,848.0","4,820.0","4,728.0","4,628.0","4,780.0","4,948.0","4,916.0","5,116.0","5,248.0","5,676.0","5,440.0","5,588.0","5,652.0","5,932.0","5,372.0","5,204.0","5,324.0","5,572.0","6,396.0","5,920.0","6,348.0","6,716.0","8,608.0","8,500.0","8,248.0","8,060.0","7,888.0","7,824.0","7,920.0","8,020.0","8,228.0","8,572.0","8,800.0","8,976.0","9,040.0","9,164.0","9,376.0","9,600.0","9,812.0","9,916.0","10,132.0","10,192.0","10,344.0","10,524.0","10,568.0","10,808.0","11,048.0","11,460.0","11,784.0","12,264.0","12,524.0","12,436.0","12,560.0","13,136.0","13,844.0","14,544.0","14,928.0","15,084.0","15,088.0","15,564.0"
"49","30","  To persons and business \3\","B092RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,204.0","8,156.0","7,940.0","7,788.0","7,612.0","7,564.0","7,648.0","7,716.0","7,908.0","8,236.0","8,456.0","8,620.0","8,676.0","8,784.0","8,960.0","9,156.0","9,368.0","9,476.0","9,696.0","9,700.0","9,856.0","10,052.0","10,096.0","10,284.0","10,524.0","10,916.0","11,208.0","11,712.0","11,976.0","11,836.0","11,980.0","12,472.0","13,144.0","13,816.0","14,268.0","14,364.0","14,336.0","14,800.0"
"50","31","  To the rest of the world","B093RC1","24.0","12.0","12.0","16.0","12.0","16.0","24.0","16.0","28.0","20.0","28.0","24.0","24.0","24.0","40.0","36.0","48.0","48.0","48.0","44.0","48.0","48.0","80.0","80.0","80.0","80.0","92.0","92.0","60.0","56.0","56.0","64.0","64.0","80.0","108.0","124.0","136.0","136.0","156.0","188.0","188.0","208.0","204.0","204.0","168.0","92.0","128.0","168.0","208.0","236.0","296.0","384.0","404.0","344.0","308.0","272.0","276.0","260.0","272.0","304.0","320.0","336.0","344.0","356.0","364.0","380.0","416.0","444.0","444.0","440.0","436.0","492.0","488.0","472.0","472.0","524.0","524.0","544.0","576.0","552.0","548.0","600.0","580.0","664.0","700.0","728.0","660.0","720.0","752.0","764.0"
"51","32","Subsidies \5\","B096RC1","696.0","624.0","548.0","464.0","520.0","404.0","704.0","956.0","724.0","548.0","692.0","652.0","868.0","992.0","936.0","1,272.0","1,336.0","1,316.0","1,060.0","1,220.0","996.0","944.0","920.0","812.0","872.0","608.0","844.0","388.0","340.0","920.0","572.0","436.0","624.0","752.0","496.0","676.0","792.0","1,048.0","1,384.0","1,676.0","1,716.0","1,632.0","1,500.0","1,384.0","1,504.0","1,688.0","1,880.0","2,036.0","1,148.0","928.0","1,088.0","1,068.0","1,024.0","1,280.0","1,048.0","1,232.0","1,572.0","2,008.0","2,172.0","2,304.0","2,284.0","2,384.0","2,216.0","2,208.0","2,024.0","2,164.0","2,284.0","2,416.0","2,716.0","2,868.0","2,640.0","2,652.0","2,916.0","2,956.0","2,968.0","3,116.0","3,536.0","3,904.0","4,040.0","4,220.0","3,968.0","3,848.0","3,656.0","3,668.0","4,008.0","4,176.0","4,192.0","4,212.0","4,316.0","4,440.0"
"52","33","Less: Wage accruals less disbursements","B098RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","36.0","44.0","728.0","-632.0","48.0","48.0","32.0","0.0","-48.0","-72.0","-104.0","-80.0","0.0","0.0","0.0","0.0","120.0","460.0","-580.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","640.0","616.0","-1,256.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","116.0","-116.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"53","34","    Net federal government saving","A923RC1","5,992.0","5,236.0","2,028.0","8,008.0","7,800.0","5,140.0","1,432.0","240.0","-3,352.0","-6,468.0","-6,452.0","-6,120.0","-8,332.0","2,804.0","13,568.0","14,220.0","17,260.0","10,064.0","5,384.0","5,980.0","6,880.0","3,376.0","1,108.0","3,524.0","4,300.0","2,616.0","3,452.0","-3,204.0","-3,356.0","-1,960.0","-1,396.0","-32.0","3,520.0","6,688.0","4,804.0","7,712.0","8,452.0","6,648.0","7,708.0","7,232.0","6,056.0","4,252.0","4,300.0","-1,604.0","-3,292.0","-8,400.0","-6,532.0","-3,552.0","3,096.0","5,092.0","2,820.0","2,040.0","11,608.0","8,168.0","6,580.0","2,136.0","2,444.0","720.0","2,444.0","4,592.0","2,324.0","2,080.0","3,012.0","2,264.0","4,040.0","6,240.0","5,760.0","5,116.0","1,932.0","-2,656.0","1,204.0","3,140.0","7,516.0","6,660.0","-516.0","-684.0","4,924.0","3,380.0","1,508.0","-800.0","-9,580.0","-10,360.0","-8,460.0","-8,852.0","-6,048.0","-7,508.0","1,356.0","2,444.0","14,400.0","11,372.0"
"54","35","Social insurance funds","B243RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,304.0","-3,568.0","-3,452.0","-2,384.0","-624.0","-276.0","-668.0","-1,164.0","1,332.0","808.0","188.0","-792.0","-2,132.0","-2,732.0","-2,668.0","-1,816.0","-656.0","-280.0","-532.0","-860.0","-180.0","1,124.0","1,176.0","1,204.0","496.0","1,336.0","1,492.0","1,684.0","844.0","1,620.0","-1,252.0","520.0","6,396.0","6,720.0","6,200.0","4,676.0","3,700.0","4,220.0","3,972.0","4,536.0","4,556.0","2,880.0","2,608.0","2,628.0","5,132.0","5,472.0"
"55","36","Other","B244RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,988.0","-4,832.0","-3,080.0","-1,168.0","3,720.0","5,368.0","3,488.0","3,204.0","10,276.0","7,360.0","6,392.0","2,928.0","4,576.0","3,452.0","5,112.0","6,408.0","2,980.0","2,360.0","3,544.0","3,124.0","4,220.0","5,116.0","4,584.0","3,912.0","1,436.0","-3,992.0","-288.0","1,456.0","6,672.0","5,040.0","736.0","-1,204.0","-1,472.0","-3,340.0","-4,692.0","-5,476.0","-13,280.0","-14,580.0","-12,432.0","-13,388.0","-10,604.0","-10,388.0","-1,252.0","-184.0","9,268.0","5,900.0"
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","37","  Total receipts","W018RC1","44,268.0","43,200.0","42,488.0","44,576.0","44,916.0","43,520.0","42,468.0","42,148.0","40,672.0","38,644.0","38,184.0","36,908.0","42,016.0","46,200.0","52,472.0","57,104.0","65,220.0","62,292.0","61,600.0","65,484.0","65,556.0","65,676.0","66,168.0","69,204.0","71,116.0","71,284.0","70,408.0","65,268.0","62,572.0","62,584.0","63,224.0","65,308.0","69,320.0","71,152.0","72,912.0","74,792.0","75,340.0","76,964.0","76,668.0","79,484.0","81,720.0","81,456.0","81,384.0","78,448.0","74,976.0","74,816.0","78,020.0","81,752.0","86,220.0","89,984.0","88,324.0","88,948.0","97,172.0","96,028.0","95,356.0","94,224.0","94,208.0","95,988.0","98,008.0","101,520.0","102,852.0","104,680.0","106,920.0","108,212.0","111,264.0","113,648.0","114,928.0","116,284.0","115,008.0","111,692.0","114,436.0","116,304.0","122,300.0","124,028.0","122,608.0","126,172.0","135,680.0","140,460.0","142,680.0","145,256.0","146,332.0","147,268.0","151,112.0","155,160.0","163,728.0","168,792.0","180,080.0","184,992.0","194,516.0","197,864.0"
"58","38","    Current receipts","W005RC1","43,400.0","42,460.0","41,628.0","43,768.0","44,048.0","42,496.0","41,616.0","41,352.0","39,932.0","37,920.0","37,432.0","36,164.0","41,368.0","45,536.0","51,816.0","56,500.0","64,512.0","61,640.0","60,884.0","64,636.0","64,736.0","64,812.0","65,284.0","68,424.0","70,120.0","70,464.0","69,536.0","64,316.0","61,636.0","61,700.0","62,332.0","64,388.0","68,336.0","70,304.0","71,972.0","73,692.0","74,196.0","75,576.0","75,388.0","78,224.0","80,420.0","79,900.0","79,864.0","77,104.0","73,592.0","73,492.0","76,736.0","80,428.0","84,912.0","88,644.0","86,848.0","87,456.0","95,608.0","94,252.0","93,708.0","92,176.0","92,212.0","94,156.0","95,996.0","99,560.0","100,984.0","102,524.0","104,868.0","106,072.0","109,096.0","111,380.0","112,536.0","114,148.0","112,744.0","109,068.0","111,768.0","113,592.0","119,492.0","121,396.0","119,792.0","123,168.0","132,532.0","137,316.0","139,688.0","142,356.0","143,244.0","144,308.0","147,868.0","152,192.0","160,952.0","165,700.0","176,836.0","181,592.0","191,052.0","194,176.0"
"59","39","    Capital transfer receipts","B232RC1","868.0","740.0","860.0","808.0","868.0","1,024.0","852.0","796.0","740.0","724.0","752.0","744.0","648.0","664.0","656.0","604.0","708.0","652.0","716.0","848.0","820.0","864.0","884.0","780.0","996.0","820.0","872.0","952.0","936.0","884.0","892.0","920.0","984.0","848.0","940.0","1,100.0","1,144.0","1,388.0","1,280.0","1,260.0","1,300.0","1,556.0","1,520.0","1,344.0","1,384.0","1,324.0","1,284.0","1,324.0","1,308.0","1,340.0","1,476.0","1,492.0","1,564.0","1,776.0","1,648.0","2,048.0","1,996.0","1,832.0","2,012.0","1,960.0","1,868.0","2,156.0","2,052.0","2,140.0","2,168.0","2,268.0","2,392.0","2,136.0","2,264.0","2,624.0","2,668.0","2,712.0","2,808.0","2,632.0","2,816.0","3,004.0","3,148.0","3,144.0","2,992.0","2,900.0","3,088.0","2,960.0","3,244.0","2,968.0","2,776.0","3,092.0","3,244.0","3,400.0","3,464.0","3,688.0"
"60","40","  Total expenditures","W019RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","93,596.0","93,340.0","90,564.0","92,544.0","94,624.0","96,880.0","98,672.0","101,576.0","102,432.0","104,092.0","108,456.0","110,060.0","111,464.0","113,268.0","112,844.0","113,004.0","115,996.0","116,772.0","118,852.0","119,852.0","119,108.0","117,784.0","119,016.0","120,760.0","126,972.0","130,532.0","136,444.0","141,316.0","147,440.0","152,116.0","161,656.0","160,600.0","166,152.0","167,852.0","172,928.0","179,464.0","182,040.0","185,908.0","184,256.0","187,928.0"
"61","41","    Current expenditures","W013RC1","37,408.0","37,224.0","39,600.0","35,760.0","36,248.0","37,356.0","40,184.0","41,112.0","43,284.0","44,388.0","43,884.0","42,284.0","49,700.0","42,732.0","38,248.0","42,280.0","47,252.0","51,576.0","55,500.0","58,656.0","57,856.0","61,436.0","64,176.0","64,900.0","65,820.0","67,848.0","66,084.0","67,520.0","64,992.0","63,660.0","63,728.0","64,420.0","64,816.0","63,616.0","67,168.0","65,980.0","65,744.0","68,928.0","67,680.0","70,992.0","74,364.0","75,648.0","75,564.0","78,708.0","76,884.0","81,892.0","83,268.0","83,980.0","81,816.0","83,552.0","84,028.0","85,416.0","84,000.0","86,084.0","87,128.0","90,040.0","89,768.0","93,436.0","93,552.0","94,968.0","98,660.0","100,444.0","101,856.0","103,808.0","105,056.0","105,140.0","106,776.0","109,032.0","110,812.0","111,724.0","110,564.0","110,452.0","111,976.0","114,736.0","120,308.0","123,852.0","127,608.0","133,936.0","138,180.0","143,156.0","152,824.0","154,668.0","156,328.0","161,044.0","167,000.0","173,208.0","175,480.0","179,148.0","176,652.0","182,804.0"
"62","42","    Gross government investment","A787RC1","1,616.0","1,612.0","1,820.0","1,976.0","2,836.0","2,812.0","2,868.0","3,480.0","3,820.0","4,208.0","4,672.0","4,716.0","3,484.0","3,676.0","4,276.0","4,312.0","6,468.0","9,176.0","11,792.0","15,192.0","14,580.0","14,696.0","15,184.0","15,492.0","16,216.0","16,996.0","16,380.0","14,732.0","14,932.0","14,092.0","12,284.0","11,964.0","11,280.0","11,892.0","10,596.0","9,996.0","10,836.0","10,980.0","12,528.0","12,244.0","11,912.0","11,432.0","12,132.0","11,952.0","12,084.0","12,100.0","13,588.0","14,024.0","16,028.0","15,252.0","15,516.0","14,724.0","14,332.0","13,768.0","14,724.0","14,552.0","16,200.0","15,664.0","16,396.0","16,864.0","17,420.0","17,020.0","17,748.0","17,492.0","15,996.0","15,812.0","16,984.0","15,708.0","15,880.0","15,484.0","15,492.0","15,692.0","14,816.0","14,412.0","14,904.0","14,696.0","16,300.0","15,456.0","17,252.0","17,668.0","18,004.0","16,764.0","18,328.0","17,576.0","16,556.0","16,232.0","15,884.0","15,208.0","16,812.0","14,436.0"
"63","43","    Capital transfer payments","W020RC1","128.0","152.0","144.0","148.0","244.0","256.0","276.0","288.0","352.0","332.0","416.0","388.0","444.0","452.0","436.0","436.0","440.0","448.0","420.0","460.0","456.0","472.0","516.0","516.0","448.0","664.0","560.0","568.0","592.0","568.0","592.0","588.0","680.0","716.0","756.0","732.0","756.0","788.0","844.0","848.0","1,304.0","1,236.0","1,320.0","1,388.0","2,004.0","2,300.0","2,220.0","2,804.0","3,204.0","2,544.0","3,736.0","3,004.0","2,404.0","2,716.0","2,832.0","2,512.0","3,060.0","2,728.0","2,768.0","2,860.0","3,016.0","3,160.0","2,852.0","3,240.0","3,320.0","3,428.0","3,676.0","3,920.0","3,676.0","3,992.0","4,408.0","4,180.0","4,088.0","4,024.0","3,928.0","4,100.0","4,340.0","4,392.0","4,448.0","4,368.0","4,300.0","3,416.0","4,496.0","4,828.0","5,900.0","5,468.0","6,336.0","6,268.0","5,904.0","5,836.0"
"64","44","    Net purchases of nonproduced assets","AD08RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","576.0","568.0","296.0","524.0","540.0","464.0","384.0","564.0","620.0","428.0","584.0","712.0","556.0","548.0","412.0","704.0","704.0","304.0","736.0","944.0","976.0","-128.0","600.0","160.0","520.0","628.0","1,020.0","552.0","740.0","280.0","56.0","-524.0","964.0","-1,396.0","-2,104.0","-892.0","-888.0","252.0","48.0","184.0"
