"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"39","20","      Used light trucks (including utility vehicles)","W243RC1","-20.0","-20.0","-21.0","-19.0","-23.0","-23.0","-24.0","-26.0","-28.0","-29.0"
"40","21","  Gross government investment","AB64RC1","1,276.0","1,310.0","1,303.0","1,279.0","1,224.0","1,207.0","1,199.0","1,202.0","1,207.0","1,224.0"
"41","22","    Autos","B144RC1","396.0","400.0","407.0","429.0","427.0","433.0","442.0","454.0","456.0","475.0"
"42","23","    Trucks","B708RC1","880.0","910.0","896.0","850.0","797.0","774.0","757.0","748.0","751.0","749.0"
"43","24","  Net exports","AB63RC1","-604.0","-644.0","-744.0","-1,076.0","-1,256.0","-1,716.0","-2,160.0","-2,312.0","-1,660.0","-2,596.0"
"44","25","    Exports","AB69RC1","1,180.0","1,284.0","1,260.0","1,220.0","1,452.0","1,392.0","1,312.0","1,500.0","1,496.0","1,596.0"
"45","26","      Autos","B142RC1","776.0","840.0","820.0","860.0","1,080.0","960.0","884.0","1,004.0","1,052.0","972.0"
"46","27","      Trucks","B706RC1","404.0","444.0","440.0","360.0","372.0","432.0","428.0","496.0","444.0","624.0"
"47","28","    Imports","AB70RC1","1,784.0","1,928.0","2,004.0","2,296.0","2,708.0","3,108.0","3,472.0","3,812.0","3,156.0","4,192.0"
"48","29","      Autos","B143RC1","1,512.0","1,592.0","1,680.0","2,024.0","2,256.0","2,684.0","3,000.0","3,244.0","2,528.0","3,524.0"
"49","30","      Trucks","B707RC1","272.0","336.0","324.0","272.0","452.0","424.0","472.0","568.0","628.0","668.0"
"50","31","Change in private inventories","AB65RC1","-1,106.0","-1,564.0","-1,333.0","634.0","1,413.0","3,507.0","145.0","1,961.0","425.0","-1,060.0"
"51","32","  Autos","A145RC1","-1,418.0","-1,524.0","-684.0","610.0","1,361.0","2,758.0","-44.0","1,732.0","372.0","-625.0"
"52","33","    New","B146RC1","-1,160.0","-1,576.0","-464.0","1,040.0","992.0","2,584.0","184.0","1,280.0","872.0","-968.0"
"53","34","      Domestic","AB71RC1","-1,236.0","-1,248.0","64.0","936.0","812.0","2,456.0","136.0","884.0","1,136.0","-1,516.0"
"54","35","      Foreign","AB72RC1","76.0","-328.0","-528.0","104.0","180.0","128.0","48.0","396.0","-264.0","548.0"
"55","36","    Used","B147RC1","-258.0","52.0","-220.0","-430.0","369.0","174.0","-228.0","452.0","-500.0","343.0"
"56","37","  Trucks","B709RC1","312.0","-40.0","-649.0","24.0","52.0","749.0","189.0","229.0","53.0","-435.0"
"57","38","    New","W244RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"58","39","      Domestic","AB73RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"59","40","      Foreign","AB74RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"60","41","    Used \1\","W245RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","42","  Final sales of motor vehicles to domestic purchasers","AB75RC1","34,421.0","37,299.0","37,153.0","36,405.0","41,736.0","42,570.0","45,429.0","45,849.0","46,879.0","46,469.0"
"63","43","  Private fixed investment in new autos and new light trucks","AB76RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"64","44","  Domestic output of new autos \2\","B148RC1","22,327.0","25,081.0","25,325.0","25,326.0","29,974.0","31,552.0","30,846.0","31,455.0","32,051.0","28,659.0"
"65","45","  Sales of imported new autos \3\","B149RC1","2,271.0","2,733.0","3,015.0","3,064.0","3,444.0","3,686.0","4,153.0","4,432.0","4,277.0","4,878.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
