"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"22","3","  Domestic business","W276RC1","59,493.0","61,032.0","62,708.0","64,515.0","66,456.0","67,914.0","68,883.0","69,367.0","71,711.0","73,805.0","75,649.0","77,239.0","78,580.0","80,151.0","81,954.0","83,987.0","86,251.0","88,899.0","91,936.0","95,358.0","99,164.0","103,459.0","108,243.0","113,518.0","119,282.0","124,174.0","128,197.0","131,347.0","133,632.0","136,473.0","139,875.0","143,836.0","148,358.0","153,006.0","157,778.0","162,678.0","167,698.0","173,195.0","179,164.0","185,607.0","192,521.0","199,684.0","207,092.0","214,747.0","222,648.0","230,905.0","239,519.0","248,488.0","257,817.0","266,899.0","275,731.0","284,317.0","292,656.0","299,200.0","303,951.0","306,909.0","308,071.0","309,864.0","312,291.0","315,346.0","319,037.0","323,280.0","328,072.0","333,415.0","339,314.0","345,138.0","350,891.0","356,569.0","362,177.0","367,504.0","372,548.0","377,307.0","381,790.0","387,003.0","392,945.0","399,614.0","407,018.0","414,216.0","421,208.0","427,998.0","434,577.0","441,137.0","447,676.0","454,194.0","460,690.0","466,939.0","472,942.0","478,697.0","484,206.0","488,966.0","492,972.0","496,228.0","498,734.0","500,613.0","501,867.0","502,494.0","510,398.0","517,865.0","524,900.0","531,497.0","537,658.0","544,826.0","553,005.0","562,191.0","572,387.0","581,891.0","590,707.0","598,831.0","606,266.0","614,397.0","623,224.0","632,745.0","642,961.0","653,251.0","663,615.0","674,053.0","684,565.0","695,775.0","707,689.0","720,299.0","733,611.0","748,228.0","764,150.0","781,375.0","799,906.0","817,080.0","832,902.0","847,364.0","860,475.0","872,145.0","882,377.0","891,167.0","898,522.0","905,458.0","911,974.0","918,070.0","923,750.0","930,693.0","938,907.0","948,386.0","959,135.0","971,266.0","984,779.0","999,676.0","1,015,955.0","1,034,376.0","1,054,936.0","1,077,633.0","1,096,721.0","1,114,982.0","1,132,414.0","1,149,018.0","1,169,327.0","1,184,894.0","1,197,477.0","1,211,176.0","1,223,239.0","1,240,075.0","1,259,386.0","1,270,479.0","1,267,152.0","1,253,131.0","1,240,617.0","1,238,804.0","1,235,603.0","1,241,185.0","1,247,206.0","1,258,678.0","1,270,069.0","1,287,668.0"
"23","4","    Corporate business","A438RC1","43,226.0","44,411.0","45,713.0","47,130.0","48,662.0","49,813.0","50,579.0","50,962.0","52,700.0","54,249.0","55,606.0","56,773.0","57,751.0","58,922.0","60,285.0","61,842.0","63,592.0","65,624.0","67,941.0","70,539.0","73,421.0","76,733.0","80,476.0","84,650.0","89,254.0","93,160.0","96,370.0","98,880.0","100,695.0","102,955.0","105,662.0","108,816.0","112,416.0","116,085.0","119,822.0","123,629.0","127,504.0","131,744.0","136,348.0","141,316.0","146,649.0","152,171.0","157,881.0","163,779.0","169,867.0","176,290.0","183,048.0","190,139.0","197,568.0","204,768.0","211,740.0","218,484.0","225,000.0","230,161.0","233,969.0","236,422.0","237,520.0","239,126.0","241,239.0","243,859.0","246,987.0","250,605.0","254,713.0","259,311.0","264,403.0","269,369.0","274,211.0","278,929.0","283,523.0","287,877.0","291,989.0","295,859.0","299,489.0","303,735.0","308,595.0","314,069.0","320,159.0","326,057.0","331,765.0","337,283.0","342,609.0","348,032.0","353,552.0","359,167.0","364,880.0","370,429.0","375,814.0","381,037.0","386,096.0","390,507.0","394,269.0","397,384.0","399,850.0","401,699.0","402,933.0","403,550.0","410,551.0","417,151.0","423,353.0","429,153.0","434,555.0","440,834.0","447,992.0","456,027.0","464,942.0","473,252.0","480,960.0","488,062.0","494,561.0","501,730.0","509,569.0","518,076.0","527,255.0","536,367.0","545,412.0","554,390.0","563,304.0","572,872.0","583,097.0","593,975.0","605,509.0","618,244.0","632,179.0","647,316.0","663,651.0","678,751.0","692,614.0","705,240.0","716,631.0","726,636.0","735,254.0","742,487.0","748,334.0","753,697.0","758,573.0","762,964.0","766,871.0","771,896.0","778,041.0","785,304.0","793,688.0","803,230.0","813,931.0","825,791.0","838,809.0","853,640.0","870,284.0","888,739.0","904,081.0","918,929.0","933,279.0","947,135.0","959,163.0","968,908.0","977,357.0","988,026.0","1,003,047.0","1,021,180.0","1,039,864.0","1,049,862.0","1,045,316.0","1,033,050.0","1,022,501.0","1,020,588.0","1,017,976.0","1,023,511.0","1,028,548.0","1,038,269.0","1,047,998.0","1,063,054.0"
"24","5","      Financial","B580RC1","2,072.0","2,157.0","2,247.0","2,340.0","2,438.0","2,512.0","2,561.0","2,585.0","2,717.0","2,834.0","2,934.0","3,019.0","3,088.0","3,175.0","3,279.0","3,402.0","3,543.0","3,700.0","3,875.0","4,066.0","4,275.0","4,511.0","4,774.0","5,064.0","5,382.0","5,673.0","5,938.0","6,175.0","6,386.0","6,618.0","6,872.0","7,148.0","7,444.0","7,734.0","8,017.0","8,293.0","8,563.0","8,878.0","9,237.0","9,642.0","10,090.0","10,576.0","11,099.0","11,659.0","12,256.0","12,860.0","13,470.0","14,086.0","14,708.0","15,362.0","16,047.0","16,763.0","17,512.0","18,225.0","18,905.0","19,550.0","20,161.0","20,797.0","21,458.0","22,144.0","22,855.0","23,623.0","24,448.0","25,330.0","26,271.0","27,228.0","28,203.0","29,194.0","30,203.0","31,249.0","32,331.0","33,449.0","34,605.0","35,795.0","37,019.0","38,277.0","39,569.0","40,877.0","42,202.0","43,544.0","44,901.0","46,248.0","47,586.0","48,913.0","50,230.0","51,473.0","52,641.0","53,736.0","54,756.0","55,643.0","56,395.0","57,014.0","57,499.0","57,863.0","58,106.0","58,228.0","59,431.0","60,546.0","61,574.0","62,513.0","63,365.0","64,273.0","65,238.0","66,260.0","67,337.0","68,254.0","69,011.0","69,606.0","70,040.0","70,568.0","71,188.0","71,900.0","72,706.0","73,546.0","74,420.0","75,328.0","76,272.0","77,521.0","79,077.0","80,938.0","83,106.0","85,350.0","87,670.0","90,066.0","92,537.0","94,509.0","95,982.0","96,956.0","97,431.0","97,967.0","98,564.0","99,222.0","99,943.0","100,803.0","101,802.0","102,940.0","104,219.0","105,657.0","107,255.0","109,013.0","110,931.0","112,751.0","114,474.0","116,100.0","117,629.0","119,152.0","120,670.0","122,181.0","123,029.0","124,122.0","125,458.0","127,039.0","129,879.0","132,466.0","134,434.0","136,420.0","150,800.0","162,412.0","170,311.0","173,214.0","171,125.0","168,566.0","166,106.0","166,794.0","167,664.0","169,571.0","170,893.0","172,896.0","174,618.0","177,678.0"
"25","6","      Nonfinancial","B456RC1","41,154.0","42,254.0","43,466.0","44,790.0","46,224.0","47,301.0","48,018.0","48,377.0","49,983.0","51,415.0","52,672.0","53,754.0","54,663.0","55,747.0","57,006.0","58,440.0","60,049.0","61,924.0","64,066.0","66,473.0","69,146.0","72,222.0","75,702.0","79,586.0","83,872.0","87,487.0","90,432.0","92,705.0","94,309.0","96,337.0","98,790.0","101,668.0","104,972.0","108,351.0","111,805.0","115,336.0","118,941.0","122,866.0","127,111.0","131,674.0","136,559.0","141,595.0","146,782.0","152,120.0","157,611.0","163,430.0","169,578.0","176,053.0","182,860.0","189,406.0","195,693.0","201,721.0","207,488.0","211,936.0","215,064.0","216,872.0","217,359.0","218,329.0","219,781.0","221,715.0","224,132.0","226,982.0","230,265.0","233,981.0","238,132.0","242,141.0","246,008.0","249,735.0","253,320.0","256,628.0","259,658.0","262,410.0","264,884.0","267,940.0","271,576.0","275,792.0","280,590.0","285,180.0","289,563.0","293,739.0","297,708.0","301,784.0","305,966.0","310,254.0","314,650.0","318,956.0","323,173.0","327,301.0","331,340.0","334,864.0","337,874.0","340,370.0","342,351.0","343,836.0","344,827.0","345,322.0","351,120.0","356,605.0","361,779.0","366,640.0","371,190.0","376,561.0","382,754.0","389,767.0","397,605.0","404,998.0","411,949.0","418,456.0","424,521.0","431,162.0","438,381.0","446,176.0","454,549.0","462,821.0","470,992.0","479,062.0","487,032.0","495,351.0","504,020.0","513,037.0","522,403.0","532,894.0","544,509.0","557,250.0","571,114.0","584,242.0","596,632.0","608,284.0","619,200.0","628,669.0","636,690.0","643,265.0","648,391.0","652,894.0","656,771.0","660,024.0","662,652.0","666,239.0","670,786.0","676,291.0","682,757.0","690,479.0","699,457.0","709,691.0","721,180.0","734,488.0","749,614.0","766,558.0","781,052.0","794,807.0","807,821.0","820,096.0","829,284.0","836,442.0","842,923.0","851,606.0","852,247.0","858,768.0","869,553.0","876,648.0","874,191.0","864,484.0","856,395.0","853,794.0","850,312.0","853,940.0","857,655.0","865,373.0","873,380.0","885,376.0"
"26","7","    Noncorporate business","W277RC1","16,267.0","16,621.0","16,995.0","17,385.0","17,794.0","18,101.0","18,304.0","18,405.0","19,011.0","19,556.0","20,043.0","20,466.0","20,829.0","21,229.0","21,669.0","22,145.0","22,659.0","23,275.0","23,995.0","24,819.0","25,743.0","26,726.0","27,767.0","28,868.0","30,028.0","31,014.0","31,827.0","32,467.0","32,937.0","33,518.0","34,213.0","35,020.0","35,942.0","36,921.0","37,956.0","39,049.0","40,194.0","41,451.0","42,816.0","44,291.0","45,872.0","47,513.0","49,211.0","50,968.0","52,781.0","54,615.0","56,471.0","58,349.0","60,249.0","62,131.0","63,991.0","65,833.0","67,656.0","69,039.0","69,982.0","70,487.0","70,551.0","70,738.0","71,052.0","71,487.0","72,050.0","72,675.0","73,359.0","74,104.0","74,911.0","75,769.0","76,680.0","77,640.0","78,654.0","79,627.0","80,559.0","81,448.0","82,301.0","83,268.0","84,350.0","85,545.0","86,859.0","88,159.0","89,443.0","90,715.0","91,968.0","93,105.0","94,124.0","95,027.0","95,810.0","96,510.0","97,128.0","97,660.0","98,110.0","98,459.0","98,703.0","98,844.0","98,884.0","98,914.0","98,934.0","98,944.0","99,847.0","100,714.0","101,547.0","102,344.0","103,103.0","103,992.0","105,013.0","106,164.0","107,445.0","108,639.0","109,747.0","110,769.0","111,705.0","112,667.0","113,655.0","114,669.0","115,706.0","116,884.0","118,203.0","119,663.0","121,261.0","122,903.0","124,592.0","126,324.0","128,102.0","129,984.0","131,971.0","134,059.0","136,255.0","138,329.0","140,288.0","142,124.0","143,844.0","145,509.0","147,123.0","148,680.0","150,188.0","151,761.0","153,401.0","155,106.0","156,879.0","158,797.0","160,866.0","163,082.0","165,447.0","168,036.0","170,848.0","173,885.0","177,146.0","180,736.0","184,652.0","188,894.0","192,640.0","196,053.0","199,135.0","201,884.0","210,163.0","215,986.0","220,119.0","223,149.0","220,193.0","218,896.0","219,522.0","220,617.0","221,836.0","220,081.0","218,116.0","218,216.0","217,627.0","217,674.0","218,657.0","220,409.0","222,072.0","224,614.0"
"27","8","      Sole proprietorships and partnerships","A1615C1","13,289.0","13,579.0","13,893.0","14,227.0","14,583.0","14,851.0","15,028.0","15,118.0","15,617.0","16,063.0","16,458.0","16,798.0","17,088.0","17,405.0","17,752.0","18,127.0","18,530.0","19,024.0","19,610.0","20,288.0","21,056.0","21,878.0","22,755.0","23,687.0","24,674.0","25,509.0","26,194.0","26,727.0","27,111.0","27,586.0","28,154.0","28,813.0","29,566.0","30,360.0","31,195.0","32,071.0","32,988.0","34,011.0","35,139.0","36,374.0","37,713.0","39,093.0","40,513.0","41,973.0","43,473.0","45,009.0","46,582.0","48,192.0","49,839.0","51,484.0","53,125.0","54,764.0","56,401.0","57,636.0","58,468.0","58,899.0","58,926.0","59,057.0","59,292.0","59,629.0","60,072.0","60,577.0","61,142.0","61,769.0","62,457.0","63,172.0","63,914.0","64,681.0","65,476.0","66,236.0","66,960.0","67,648.0","68,302.0","69,072.0","69,961.0","70,965.0","72,089.0","73,201.0","74,302.0","75,392.0","76,469.0","77,429.0","78,273.0","79,001.0","79,610.0","80,158.0","80,644.0","81,068.0","81,430.0","81,691.0","81,849.0","81,906.0","81,861.0","81,828.0","81,805.0","81,794.0","82,428.0","83,065.0","83,706.0","84,349.0","84,995.0","85,746.0","86,605.0","87,570.0","88,642.0","89,649.0","90,594.0","91,475.0","92,293.0","93,119.0","93,953.0","94,795.0","95,642.0","96,639.0","97,783.0","99,076.0","100,515.0","101,980.0","103,472.0","104,989.0","106,532.0","108,156.0","109,862.0","111,646.0","113,515.0","115,263.0","116,894.0","118,404.0","119,796.0","121,174.0","122,540.0","123,890.0","125,228.0","126,597.0","127,998.0","129,429.0","130,893.0","132,450.0","134,104.0","135,853.0","137,697.0","139,767.0","142,063.0","144,585.0","147,333.0","150,364.0","153,675.0","157,268.0","160,425.0","163,327.0","165,975.0","168,369.0","176,678.0","182,594.0","186,626.0","189,429.0","186,516.0","185,111.0","185,728.0","187,005.0","188,393.0","187,163.0","185,585.0","185,483.0","184,865.0","185,171.0","186,015.0","187,552.0","189,120.0","191,518.0"
"28","9","        Farm","B1616C1","4,381.0","4,450.0","4,525.0","4,604.0","4,688.0","4,751.0","4,792.0","4,813.0","4,943.0","5,062.0","5,171.0","5,268.0","5,354.0","5,440.0","5,527.0","5,615.0","5,703.0","5,837.0","6,018.0","6,246.0","6,520.0","6,818.0","7,142.0","7,492.0","7,866.0","8,194.0","8,476.0","8,712.0","8,903.0","9,119.0","9,360.0","9,626.0","9,918.0","10,204.0","10,485.0","10,761.0","11,030.0","11,334.0","11,674.0","12,050.0","12,460.0","12,897.0","13,362.0","13,853.0","14,372.0","14,847.0","15,280.0","15,669.0","16,016.0","16,351.0","16,672.0","16,981.0","17,277.0","17,476.0","17,576.0","17,579.0","17,484.0","17,398.0","17,321.0","17,253.0","17,194.0","17,120.0","17,029.0","16,921.0","16,797.0","16,682.0","16,578.0","16,483.0","16,398.0","16,310.0","16,218.0","16,122.0","16,023.0","15,934.0","15,857.0","15,790.0","15,734.0","15,717.0","15,738.0","15,799.0","15,897.0","15,985.0","16,064.0","16,134.0","16,194.0","16,257.0","16,325.0","16,396.0","16,471.0","16,514.0","16,524.0","16,503.0","16,449.0","16,409.0","16,382.0","16,368.0","16,340.0","16,343.0","16,379.0","16,446.0","16,545.0","16,647.0","16,754.0","16,866.0","16,981.0","17,103.0","17,232.0","17,368.0","17,511.0","17,630.0","17,724.0","17,795.0","17,839.0","17,930.0","18,065.0","18,246.0","18,472.0","18,673.0","18,850.0","19,001.0","19,129.0","19,238.0","19,329.0","19,400.0","19,456.0","19,529.0","19,622.0","19,733.0","19,863.0","19,994.0","20,127.0","20,260.0","20,396.0","20,552.0","20,728.0","20,924.0","21,140.0","21,373.0","21,625.0","21,894.0","22,181.0","22,512.0","22,885.0","23,302.0","23,762.0","24,237.0","24,725.0","25,228.0","25,652.0","26,034.0","26,372.0","26,666.0","25,168.0","24,068.0","23,499.0","23,681.0","23,276.0","23,149.0","23,310.0","23,530.0","23,803.0","23,771.0","23,733.0","23,726.0","23,657.0","23,756.0","23,959.0","24,224.0","24,554.0","24,922.0"
"29","10","        Nonfarm","B1617C1","8,908.0","9,129.0","9,368.0","9,623.0","9,895.0","10,100.0","10,236.0","10,305.0","10,674.0","11,001.0","11,287.0","11,530.0","11,734.0","11,965.0","12,225.0","12,512.0","12,827.0","13,187.0","13,592.0","14,042.0","14,536.0","15,060.0","15,613.0","16,195.0","16,808.0","17,315.0","17,718.0","18,015.0","18,208.0","18,467.0","18,794.0","19,187.0","19,648.0","20,156.0","20,710.0","21,310.0","21,958.0","22,677.0","23,465.0","24,324.0","25,253.0","26,196.0","27,151.0","28,120.0","29,101.0","30,162.0","31,302.0","32,523.0","33,823.0","35,133.0","36,453.0","37,783.0","39,124.0","40,160.0","40,892.0","41,320.0","41,442.0","41,659.0","41,971.0","42,376.0","42,878.0","43,457.0","44,113.0","44,848.0","45,660.0","46,490.0","47,336.0","48,198.0","49,078.0","49,926.0","50,742.0","51,526.0","52,279.0","53,138.0","54,104.0","55,175.0","56,355.0","57,484.0","58,564.0","59,593.0","60,572.0","61,444.0","62,209.0","62,867.0","63,416.0","63,901.0","64,319.0","64,672.0","64,959.0","65,177.0","65,325.0","65,403.0","65,412.0","65,419.0","65,423.0","65,426.0","66,088.0","66,722.0","67,327.0","67,903.0","68,450.0","69,099.0","69,851.0","70,704.0","71,661.0","72,546.0","73,362.0","74,107.0","74,782.0","75,489.0","76,229.0","77,000.0","77,803.0","78,709.0","79,718.0","80,830.0","82,043.0","83,307.0","84,622.0","85,988.0","87,403.0","88,918.0","90,533.0","92,246.0","94,059.0","95,734.0","97,272.0","98,671.0","99,933.0","101,180.0","102,413.0","103,630.0","104,832.0","106,045.0","107,270.0","108,505.0","109,753.0","111,077.0","112,479.0","113,959.0","115,516.0","117,255.0","119,178.0","121,283.0","123,571.0","126,127.0","128,950.0","132,040.0","134,772.0","137,294.0","139,604.0","141,702.0","151,510.0","158,526.0","163,128.0","165,748.0","163,241.0","161,962.0","162,418.0","163,475.0","164,590.0","163,392.0","161,852.0","161,758.0","161,208.0","161,415.0","162,056.0","163,328.0","164,566.0","166,596.0"
"30","11","      Other private business","A1618C1","2,978.0","3,042.0","3,102.0","3,158.0","3,211.0","3,250.0","3,276.0","3,287.0","3,394.0","3,493.0","3,585.0","3,668.0","3,741.0","3,824.0","3,917.0","4,018.0","4,129.0","4,251.0","4,385.0","4,531.0","4,687.0","4,848.0","5,012.0","5,181.0","5,354.0","5,505.0","5,633.0","5,740.0","5,826.0","5,932.0","6,059.0","6,207.0","6,376.0","6,561.0","6,761.0","6,978.0","7,206.0","7,440.0","7,677.0","7,917.0","8,159.0","8,420.0","8,698.0","8,995.0","9,308.0","9,606.0","9,889.0","10,157.0","10,410.0","10,647.0","10,866.0","11,069.0","11,255.0","11,403.0","11,514.0","11,588.0","11,625.0","11,681.0","11,760.0","11,858.0","11,978.0","12,098.0","12,217.0","12,335.0","12,454.0","12,597.0","12,766.0","12,959.0","13,178.0","13,391.0","13,599.0","13,800.0","13,999.0","14,196.0","14,389.0","14,580.0","14,770.0","14,958.0","15,141.0","15,323.0","15,499.0","15,676.0","15,851.0","16,026.0","16,200.0","16,352.0","16,484.0","16,592.0","16,680.0","16,768.0","16,854.0","16,938.0","17,023.0","17,086.0","17,129.0","17,150.0","17,419.0","17,649.0","17,841.0","17,995.0","18,108.0","18,246.0","18,408.0","18,594.0","18,803.0","18,990.0","19,153.0","19,294.0","19,412.0","19,548.0","19,702.0","19,874.0","20,064.0","20,245.0","20,420.0","20,587.0","20,746.0","20,923.0","21,120.0","21,335.0","21,570.0","21,828.0","22,109.0","22,413.0","22,740.0","23,066.0","23,394.0","23,720.0","24,048.0","24,335.0","24,583.0","24,790.0","24,960.0","25,164.0","25,403.0","25,677.0","25,986.0","26,347.0","26,762.0","27,229.0","27,750.0","28,269.0","28,785.0","29,300.0","29,813.0","30,372.0","30,977.0","31,626.0","32,215.0","32,726.0","33,160.0","33,515.0","33,485.0","33,392.0","33,493.0","33,720.0","33,677.0","33,785.0","33,794.0","33,612.0","33,443.0","32,918.0","32,531.0","32,733.0","32,762.0","32,503.0","32,642.0","32,857.0","32,952.0","33,096.0"
"31","12","        Rental income of persons","B1620C1","2,594.0","2,652.0","2,705.0","2,753.0","2,796.0","2,828.0","2,849.0","2,859.0","2,952.0","3,039.0","3,121.0","3,196.0","3,265.0","3,342.0","3,428.0","3,521.0","3,624.0","3,735.0","3,856.0","3,985.0","4,124.0","4,262.0","4,400.0","4,538.0","4,677.0","4,797.0","4,899.0","4,983.0","5,050.0","5,135.0","5,237.0","5,358.0","5,497.0","5,653.0","5,826.0","6,016.0","6,221.0","6,430.0","6,640.0","6,853.0","7,067.0","7,295.0","7,536.0","7,790.0","8,056.0","8,311.0","8,556.0","8,789.0","9,011.0","9,219.0","9,413.0","9,593.0","9,759.0","9,893.0","9,995.0","10,065.0","10,103.0","10,164.0","10,250.0","10,359.0","10,492.0","10,617.0","10,732.0","10,839.0","10,937.0","11,056.0","11,197.0","11,358.0","11,540.0","11,723.0","11,908.0","12,093.0","12,281.0","12,465.0","12,645.0","12,821.0","12,995.0","13,166.0","13,332.0","13,495.0","13,654.0","13,813.0","13,970.0","14,127.0","14,282.0","14,419.0","14,539.0","14,640.0","14,724.0","14,806.0","14,886.0","14,964.0","15,041.0","15,098.0","15,137.0","15,156.0","15,399.0","15,606.0","15,779.0","15,916.0","16,018.0","16,145.0","16,296.0","16,473.0","16,673.0","16,853.0","17,012.0","17,150.0","17,269.0","17,403.0","17,554.0","17,722.0","17,905.0","18,081.0","18,251.0","18,415.0","18,571.0","18,745.0","18,937.0","19,147.0","19,375.0","19,617.0","19,874.0","20,146.0","20,432.0","20,721.0","21,014.0","21,309.0","21,609.0","21,871.0","22,096.0","22,284.0","22,436.0","22,627.0","22,858.0","23,127.0","23,437.0","23,803.0","24,225.0","24,703.0","25,238.0","25,762.0","26,275.0","26,777.0","27,269.0","27,798.0","28,365.0","28,968.0","29,515.0","29,987.0","30,385.0","30,709.0","30,983.0","31,103.0","31,322.0","31,562.0","31,373.0","31,366.0","31,285.0","31,068.0","30,944.0","30,473.0","30,141.0","30,367.0","30,400.0","30,121.0","30,247.0","30,449.0","30,533.0","30,658.0"
"32","13","          Nonfarm tenant-occupied housing","B2608C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","14","          Farm tenant-occupied housing","W278RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"34","15","          Farms owned by nonoperator landlords","B2609C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"35","16","          Nonfarm nonresidential properties","B2610C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
