"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"48","27","        Other differences in funds covered \6\","M318281","-410.0","-453.0","-532.0","-534.0","-562.0","-581.0","-611.0","-656.0"
"49","28","        Net investment \7\","M318291","509.0","439.0","281.0","62.0","400.0","-202.0","-37.0","-581.0"
"50","29","        Capital transfers paid \8\","M318301","1,233.0","1,202.0","1,765.0","1,793.0","1,268.0","1,298.0","1,553.0","1,739.0"
"51","30","        Financial transactions","M318311","2,881.0","2,961.0","940.0","1,507.0","902.0","-148.0","821.0","1,861.0"
"52","31","          Loan disbursements less loan repayments and sales","M318321","2,646.0","2,816.0","925.0","1,624.0","885.0","-231.0","792.0","1,924.0"
"53","32","          Deposit insurance","B1069C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"54","33","          Net purchases of foreign currency","M318341","261.0","170.0","61.0","66.0","36.0","181.0","59.0","59.0"
"55","34","          Other","M318351","-26.0","-25.0","-46.0","-183.0","-19.0","-98.0","-30.0","-122.0"
"56","35","        Net purchases of nonproduced assets","M318361","-526.0","-223.0","-222.0","63.0","12.0","46.0","32.0","21.0"
"57","36","          Outer Continental Shelf","M318371","-600.0","-294.0","-286.0","0.0","-44.0","-12.0","0.0","-13.0"
"58","37","          Land and other \9\","M318381","74.0","71.0","64.0","63.0","56.0","58.0","32.0","34.0"
"59","38","        Other \10\","M318391","-180.0","455.0","574.0","-79.0","611.0","-1,121.0","-150.0","19.0"
"60","39","Less: Netting and grossing differences","M318401","-1,177.0","-1,065.0","-1,051.0","-1,268.0","-1,382.0","-948.0","-869.0","-1,281.0"
"61","40","        Supplementary medical insurance premiums","M318411",".....",".....",".....",".....",".....",".....",".....","....."
"62","41","        Interest receipts","W706MC1","-607.0","-638.0","-667.0","-703.0","-514.0","-574.0","-554.0","-688.0"
"63","42","        Current surplus of government enterprises","W707MC1","90.0","89.0","183.0","-24.0","118.0","129.0","221.0","-19.0"
"64","43","        Other \4\","M318431","-660.0","-516.0","-567.0","-541.0","-986.0","-503.0","-536.0","-574.0"
"65","44","Plus: Timing differences","M318441","-1,068.0","509.0","-318.0","367.0","-1,111.0","244.0","-860.0","-125.0"
"66","45","        Purchases (increase in payables net of advances)","M318451","-616.0","-736.0","-210.0","277.0","-1,004.0","-428.0","-199.0","-190.0"
"67","46","        Interest payments","M318461","-552.0","1,169.0","-217.0","71.0","-199.0","477.0","-754.0","155.0"
"68","47","        Current transfer payments","M318471","114.0","86.0","60.0","37.0","16.0","21.0","64.0","95.0"
"69","48","        Other \11\","W708MC1","-14.0","-10.0","49.0","-18.0","76.0","174.0","29.0","-185.0"
"70","49","Equals: Federal government current expenditures, NIPAs","M318491","40,739.0","44,187.0","44,000.0","44,783.0","42,924.0","46,503.0","47,999.0","46,673.0"
"71",NA,"      Net federal government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA
"72","50","Budget surplus or deficit (-) (1-19)","M318501","-8,725.0","2,910.0","-3,185.0","-7,120.0","-1,969.0","15,518.0","-2,461.0","-5,624.0"
"73","51","Plus: Net investment (28)","M318511","509.0","439.0","281.0","62.0","400.0","-202.0","-37.0","-581.0"
"74","52","Less: Net capital transfers received (4-29)","M318521","-564.0","-156.0","-1,077.0","-1,068.0","-455.0","-40.0","-822.0","-978.0"
"75","53","      Federal employee retirement plans (3-21)","M318531","-409.0","-65.0","-400.0","-23.0","-475.0","-280.0","-387.0","-189.0"
"76","54","      Other coverage differences (5+6-26-27-30-35-38)","M318541","-1,646.0","-2,777.0","-743.0","-988.0","-698.0","1,674.0","-68.0","-1,188.0"
"77","55","      Timing differences (44-12)","M318551","-4,463.0","3,605.0","-413.0","-1,203.0","-3,618.0","5,659.0","-955.0","-692.0"
"78","56","Equals: Federal government saving, national income and product accounts (18-49)","M318561","-1,134.0","2,742.0","-271.0","-3,776.0","3,677.0","8,303.0","-266.0","-3,158.0"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1. These transactions are included in the NIPA personal sector.  Beginning with October 2002, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","transactions include the Uniformed Services Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","3. Beginning with 1996, consists largely of Universal Service Fund receipts; prior to 1996 consisted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","largely of U.S. Treasury receipts from sales of foreign currencies to government agencies. Includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","certain revenues collected from and repaid to U.S. territories and the Commonwealths of Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","4. Includes proprietary receipts that are netted against outlays in the budget and that are classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","as receipts in the NIPAs.  Also includes some transactions that are not reflected in the budget data but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","that are added to both receipts and expenditures in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","5. Consists of transactions (not included in the budget totals) that record all cash flows arising from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","post-1991 direct loan obligations and loan guarantee commitments.  Many of these flows are for new loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","or loan repayments; consequently, related entries are included in ""Loan disbursements less loan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","repayments and sales.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","6. Consists largely of agencies or accounts such as the Postal Service and the Federal Financing Bank that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","were not included in the budget in some time periods, and beginning with 1996, the Universal Service Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Includes repayments of certain collections from the U.S. territories and the Commonwealths of Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","7. Net investment is gross investment less consumption of fixed capital for government enterprises and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","8. Consists of investment grants to state and local governments and maritime construction subsidies.  Does",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","not include the forgiveness of debts owed by foreign governments to the U.S. government or payments to the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Uniformed Services Retiree Health Care Fund to amortize unfunded liability; both are classified as capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","transfers paid by the United States and are excluded from both budget outlays and NIPA current expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","9. Consists of net sales of land other than the Outer Continental Shelf and, beginning with 1995, includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","the auction of the radio spectrum.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","10. Consists largely of net expenditures of foreign currencies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","11. Primarily includes timing on subsidies and government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Note. Through 1976, fiscal year estimates reflect a July 1-June 30 federal fiscal year.  Beginning with 1977,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","fiscal year estimates reflect an October 1-September 30 federal fiscal year.  NIPA quarterly and fiscal year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","estimates in this table are consistent with the not seasonally adjusted estimates in table 3.22.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
