"","Table 5#9# Changes in Net Stock of Produced Assets (Fixed Assets","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"28","8","    Nonresidential","K160081","31,828.0","31,918.0","35,101.0","34,677.0","39,045.0","44,523.0","47,511.0","42,506.0","46,508.0","49,374.0","48,786.0","53,055.0","55,999.0","62,962.0","74,777.0","85,383.0","86,376.0","93,407.0","104,651.0"
"29","9","      Structures","K160091","11,954.0","12,224.0","13,570.0","13,865.0","15,157.0","18,180.0","18,950.0","17,629.0","18,149.0","19,568.0","19,715.0","20,778.0","21,199.0","23,737.0","28,321.0","31,349.0","31,511.0","33,557.0","37,698.0"
"30","10","      Equipment and software","K160101","19,874.0","19,694.0","21,531.0","20,812.0","23,888.0","26,343.0","28,561.0","24,877.0","28,359.0","29,806.0","29,071.0","32,277.0","34,800.0","39,225.0","46,456.0","54,034.0","54,865.0","59,850.0","66,953.0"
"31","11","    Residential","K160111","18,424.0","18,592.0","19,388.0","21,079.0","25,003.0","23,553.0","22,170.0","22,347.0","28,108.0","26,285.0","26,400.0","28,976.0","32,136.0","34,274.0","34,217.0","32,286.0","32,357.0","38,719.0","42,620.0"
"32","12","  Government \3\","K160121","17,624.0","22,310.0","23,991.0","22,512.0","20,976.0","22,909.0","24,377.0","26,483.0","29,302.0","28,267.0","31,329.0","33,290.0","33,640.0","34,626.0","35,555.0","39,787.0","42,977.0","43,637.0","43,268.0"
"33","13","    Structures","K160131","9,546.0","11,104.0","11,658.0","12,111.0","12,010.0","13,394.0","14,872.0","16,501.0","16,856.0","16,600.0","18,015.0","18,635.0","19,928.0","21,056.0","22,846.0","25,085.0","26,454.0","28,548.0","28,959.0"
"34","14","    Equipment and software","K160141","8,078.0","11,206.0","12,333.0","10,401.0","8,966.0","9,515.0","9,505.0","9,982.0","12,446.0","11,667.0","13,314.0","14,655.0","13,712.0","13,570.0","12,709.0","14,702.0","16,523.0","15,089.0","14,309.0"
"35","15","Less: Stock reconciliation adjustments","K160151","-128.0","-164.0","27.0","192.0","155.0","201.0","257.0","-222.0","383.0","471.0","411.0","201.0","292.0","154.0","192.0","649.0","757.0","991.0","1,010.0"
"36","16","  Private \4\","K160161","-215.0","-207.0","-165.0","166.0","406.0","293.0","240.0","-254.0","391.0","447.0","314.0","147.0","294.0","160.0","227.0","676.0","747.0","877.0","867.0"
"37","17","  Government \5\","K160171","87.0","43.0","192.0","26.0","-251.0","-92.0","17.0","32.0","-8.0","24.0","97.0","54.0","-2.0","-6.0","-35.0","-27.0","10.0","114.0","143.0"
"38","18","Less: Consumption of fixed capital","K160181","33,792.0","36,285.0","38,637.0","40,596.0","42,786.0","47,104.0","50,844.0","53,255.0","55,413.0","56,584.0","58,182.0","60,558.0","63,332.0","66,366.0","70,719.0","76,454.0","82,935.0","90,418.0","99,191.0"
"39","19","  Private","K160191","25,162.0","26,740.0","28,205.0","29,470.0","31,057.0","34,341.0","37,249.0","39,388.0","40,960.0","41,583.0","42,631.0","44,079.0","45,878.0","48,297.0","51,860.0","56,481.0","61,559.0","67,422.0","74,490.0"
"40","20","    Nonresidential","K160201","20,181.0","21,408.0","22,610.0","23,625.0","24,825.0","27,652.0","30,263.0","32,153.0","33,400.0","33,631.0","34,352.0","35,463.0","36,955.0","38,897.0","41,786.0","45,640.0","49,948.0","54,753.0","60,441.0"
"41","21","      Structures","K160211","6,183.0","6,552.0","6,865.0","7,007.0","7,355.0","8,263.0","8,941.0","9,086.0","9,413.0","9,664.0","9,854.0","10,204.0","10,526.0","10,959.0","11,640.0","12,526.0","13,379.0","14,512.0","15,961.0"
"42","22","      Equipment and software","K160221","13,998.0","14,856.0","15,745.0","16,618.0","17,470.0","19,389.0","21,322.0","23,067.0","23,987.0","23,967.0","24,498.0","25,259.0","26,429.0","27,938.0","30,146.0","33,114.0","36,569.0","40,241.0","44,480.0"
"43","23","    Residential","K160231","4,980.0","5,334.0","5,595.0","5,845.0","6,232.0","6,688.0","6,985.0","7,233.0","7,561.0","7,949.0","8,278.0","8,618.0","8,923.0","9,401.0","10,073.0","10,843.0","11,612.0","12,669.0","14,051.0"
"44","24","  Government","K160241","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0"
"45","25","    Structures","K160251","3,495.0","3,737.0","3,857.0","3,898.0","4,080.0","4,585.0","4,987.0","5,183.0","5,377.0","5,509.0","5,743.0","6,065.0","6,426.0","6,760.0","7,201.0","7,826.0","8,412.0","9,173.0","10,205.0"
"46","26","    Equipment and software","K160261","5,135.0","5,808.0","6,575.0","7,228.0","7,649.0","8,178.0","8,608.0","8,684.0","9,076.0","9,492.0","9,809.0","10,414.0","11,028.0","11,309.0","11,659.0","12,147.0","12,964.0","13,824.0","14,496.0"
"47","27","Change in private inventories \6\","K160271","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0"
"48",NA,"Other changes in volume of assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","28","Less: Other changes in volume of assets","K160281","62.0","105.0","82.0","82.0","-2.0","-4.0","-2.0","-4.0","-1.0","1.0","0.0","-1.0","-1.0","0.0","-1.0","355.0","489.0","718.0","520.0"
"50","29","  Private fixed assets \7\","K160291",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"51","30","    Nonresidential fixed assets","K160301",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"52","31","      Structures","K160311",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"53","32","      Equipment and software","K160321",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"54","33","    Residential fixed assets","K160331",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"55","34","  Government fixed assets \8\","K160341","62.0","105.0","82.0","82.0","-2.0","-4.0","-2.0","-4.0","-1.0","1.0","0.0","-1.0","-1.0","0.0","-1.0","355.0","489.0","718.0","520.0"
"56","35","    General government","K160351","62.0","105.0","82.0","82.0","-2.0","-4.0","-2.0","-3.0","-1.0","1.0","0.0","-1.0","-1.0","0.0","-1.0","355.0","489.0","718.0","520.0"
"57","36","    Government enterprises","K160361","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"58",NA,"Revaluation"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","37","Nominal holding gains or losses (-)","K160371","52,663.0","5,768.0","-7,413.0","9,576.0","48,659.0","61,814.0","22,017.0","7,771.0","3,442.0","-1,206.0","7,119.0","14,630.0","-4,622.0","41,712.0","48,571.0","81,193.0","77,946.0","136,593.0","137,671.0"
"60","38","  Neutral holding gains or losses (-) \9\","K160381","40,849.0","15,671.0","13,328.0","8,212.0","32,101.0","50,165.0","42,080.0","20,664.0","20,007.0","24,079.0","15,521.0","23,723.0","24,201.0","30,415.0","41,541.0","67,872.0","78,691.0","113,734.0","145,489.0"
"61","39","    Fixed assets","K160391","35,897.0","13,836.0","11,948.0","7,420.0","29,024.0","45,702.0","38,445.0","18,920.0","18,281.0","22,059.0","14,230.0","21,734.0","22,167.0","27,917.0","38,157.0","62,093.0","72,059.0","104,421.0","133,894.0"
"62","40","      Private","K160401","27,411.0","10,441.0","8,964.0","5,607.0","21,858.0","34,505.0","28,780.0","14,166.0","13,593.0","16,464.0","10,574.0","16,119.0","16,320.0","20,506.0","28,187.0","45,907.0","53,192.0","77,111.0","99,346.0"
"63","41","      Government","K160411","8,486.0","3,395.0","2,984.0","1,813.0","7,166.0","11,197.0","9,665.0","4,754.0","4,688.0","5,595.0","3,656.0","5,615.0","5,847.0","7,411.0","9,970.0","16,186.0","18,867.0","27,310.0","34,548.0"
"64","42","    Private inventories \1\","K160421","4,952.0","1,835.0","1,380.0","792.0","3,077.0","4,463.0","3,635.0","1,744.0","1,726.0","2,020.0","1,291.0","1,989.0","2,034.0","2,498.0","3,384.0","5,779.0","6,632.0","9,313.0","11,595.0"
"65","43","  Real holding gains or losses (-)","K160431","11,814.0","-9,903.0","-20,741.0","1,364.0","16,558.0","11,649.0","-20,063.0","-12,893.0","-16,565.0","-25,285.0","-8,402.0","-9,093.0","-28,823.0","11,297.0","7,030.0","13,321.0","-745.0","22,859.0","-7,818.0"
"66","44","    Fixed assets","K160441","13,735.0","3,925.0","-15,576.0","2,207.0","23,744.0","11,293.0","-18,796.0","-15,204.0","-12,474.0","-23,395.0","-7,517.0","-8,620.0","-23,679.0","14,082.0","4,748.0","16,516.0","6,606.0","27,925.0","-6,423.0"
"67","45","      Private","K160451","5,186.0","3,174.0","-5,171.0","-129.0","18,771.0","-157.0","-12,407.0","-15,926.0","-3,212.0","-18,129.0","-7,521.0","-12,412.0","-22,427.0","15,792.0","1,232.0","11,716.0","2,755.0","24,630.0","-18,230.0"
"68","46","      Government","K160461","8,549.0","751.0","-10,405.0","2,336.0","4,973.0","11,450.0","-6,389.0","722.0","-9,262.0","-5,266.0","4.0","3,792.0","-1,252.0","-1,710.0","3,516.0","4,800.0","3,851.0","3,295.0","11,807.0"
"69","47","    Private inventories \1\","K160471","-1,921.0","-13,828.0","-5,165.0","-843.0","-7,186.0","356.0","-1,267.0","2,311.0","-4,091.0","-1,890.0","-885.0","-473.0","-5,144.0","-2,785.0","2,282.0","-3,195.0","-7,351.0","-5,066.0","-1,395.0"
"70",NA,"Closing balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","48","Produced assets \10\","K160481","1,084,080.0","1,129,955.0","1,164,224.0","1,209,261.0","1,304,992.0","1,414,440.0","1,480,193.0","1,525,907.0","1,581,389.0","1,630,287.0","1,688,302.0","1,763,594.0","1,822,745.0","1,934,621.0","2,066,079.0","2,240,906.0","2,406,248.0","2,635,530.0","2,872,192.0"
"72","49","  Fixed assets","K160491","956,736.0","1,011,090.0","1,047,196.0","1,094,221.0","1,189,073.0","1,289,752.0","1,352,360.0","1,394,385.0","1,448,315.0","1,493,851.0","1,548,486.0","1,616,161.0","1,672,801.0","1,780,143.0","1,896,688.0","2,055,295.0","2,211,490.0","2,427,472.0","2,644,761.0"
"73","50","    Private","K160501","720,648.0","758,239.0","788,480.0","820,078.0","893,291.0","961,082.0","1,009,648.0","1,033,609.0","1,077,254.0","1,109,220.0","1,144,515.0","1,186,025.0","1,221,881.0","1,306,958.0","1,393,285.0","1,511,419.0","1,623,793.0","1,789,361.0","1,942,390.0"
"74","51","    Government","K160511","236,088.0","252,851.0","258,716.0","274,143.0","295,782.0","328,670.0","342,712.0","360,776.0","371,061.0","384,631.0","403,971.0","430,136.0","450,920.0","473,185.0","503,403.0","543,876.0","587,697.0","638,111.0","702,371.0"
"75","52","  Private inventories \1\","K160521","127,344.0","118,865.0","117,028.0","115,040.0","115,919.0","124,688.0","127,833.0","131,522.0","133,074.0","136,436.0","139,816.0","147,433.0","149,944.0","154,478.0","169,391.0","185,611.0","194,758.0","208,058.0","227,431.0"
"76",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","53","  Intersectoral auto valuation adjustment \11\","K160531","19.0","-19.0","60.0","301.0","359.0","431.0","269.0","-467.0","394.0","451.0","439.0","308.0","288.0","249.0","208.0","162.0","256.0","186.0","332.0"
"78","54","  Brokers' commissions on sale of nonresidential used structures and dealers' margins on used equipment","K160541","359.0","315.0","290.0","248.0","410.0","449.0","450.0","435.0","441.0","446.0","448.0","489.0","514.0","568.0","682.0","765.0","728.0","758.0","814.0"
"79","55","  Electric plants put in place less electric plants put in use \12\","K160551","87.0","43.0","192.0","26.0","-251.0","-92.0","17.0","32.0","-1.0","40.0","119.0","84.0","191.0","170.0","237.0","703.0","555.0","833.0","869.0"
"80","56","    Private","K160561","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","16.0","22.0","30.0","193.0","176.0","272.0","730.0","545.0","719.0","726.0"
"81","57","    Government","K160571","87.0","43.0","192.0","26.0","-251.0","-92.0","17.0","32.0","-8.0","24.0","97.0","54.0","-2.0","-6.0","-35.0","-27.0","10.0","114.0","143.0"
"82","58","  Abandoned electric plants \13\","K160581","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"83","59","  Sale of equipment scrap, excluding autos \14\","K160591","-102.0","-78.0","-103.0","-41.0","-124.0","-158.0","-116.0","-63.0","-119.0","-139.0","-205.0","-182.0","-239.0","-349.0","-457.0","-498.0","-364.0","-361.0","-530.0"
"84","60","  Other \15\","K160601","-490.0","-426.0","-411.0","-342.0","-239.0","-429.0","-363.0","-159.0","-332.0","-327.0","-390.0","-497.0","-461.0","-484.0","-478.0","-483.0","-418.0","-426.0","-475.0"
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","1. Estimates of government inventories are not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Private fixed investment shown in table 5.2.5, line 7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","3. Gross government investment shown in table 5.2.5, line 23.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","4. Consists of intersectoral auto valuation adjustment (line 53); brokers' commissions on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","sale of nonresidential used structures and dealers' margins on used equipment (line 54);",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","private electric plants put in place less electric plants put in use (line 56); sale of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","equipment scrap, excluding autos (line 59); and other (line 60).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","5. Consists of government electric plants put in place less electric plants put in use (line 57).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","6. Change in private inventories shown in table 1.1.5, line 13. Inventory estimates are not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","adjusted for disaster losses, theft, obsolescence, or infestation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","7. Consists of disaster losses.  Structures and equipment destroyed are valued at current cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","8. Consists of disaster and war losses.  Structures and equipment destroyed are valued at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","current cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","9. Neutral holding gains are the gains derived from holding an asset if the price of an",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","asset changed in the same proportion as the general price level. The chain-type price index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","for gross domestic purchases is used as a measure for the general price level.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","10. Equals lines 1+6-15-18+27-28+37.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","11. Used autos are valued at acquisition prices less depreciation in the estimates of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","stocks of private fixed assets and consumer durable goods; net purchases of used autos by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","business from consumers are valued at wholesale prices in gross fixed investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","12. This adjustment reflects a timing difference between fixed investment and the stock of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","produced assets. In investment, the value of structures and equipment for electric plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","is recorded on a put-in-place basis; in the stocks, the investment is recorded when the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","plants are put in use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","13. Consists of the value of abandoned nuclear power plants that were never put in use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","The investment in these plants is included in gross fixed investment, but does not enter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","the opening or closing balances--it is included in the adjustments to gross fixed investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","shown in line 15.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","14. Sale of equipment scrap, excluding autos shown in table 5.5.5, line 35.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","15. Consists primarily of statistical revisions to the NIPAs that have not been incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","into the fixed assets accounts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
