"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"22","3","  Foods, feeds, and beverages","B638RC1","3,280.0","5,300.0","4,804.0","5,412.0","5,392.0","5,568.0","6,220.0","6,316.0","6,168.0","5,856.0","6,648.0","5,768.0","6,292.0","7,056.0","7,660.0","9,012.0","12,128.0","14,220.0","15,592.0","18,856.0","19,264.0","18,752.0","17,124.0","19,412.0","21,936.0","16,596.0","18,144.0","20,260.0","19,184.0","19,852.0","20,076.0","20,204.0","20,164.0","21,308.0","18,744.0","18,680.0","21,230.0","28,594.0","27,134.0","25,764.0","24,815.0","28,237.0","33,144.0","35,806.0","32,714.0","34,200.0","38,802.0","39,397.0","42,644.0","38,512.0","37,005.0","37,198.0","34,100.0","36,328.0","30,363.0","27,988.0","31,040.0","30,440.0","33,566.0","33,317.0","33,072.0","32,364.0","31,818.0","31,530.0","26,900.0","24,397.0","22,718.0","24,249.0","24,531.0","22,058.0","23,252.0","24,247.0","21,638.0","23,838.0","28,703.0","26,737.0","30,211.0","33,116.0","36,644.0","35,110.0","37,533.0","38,074.0","34,585.0","34,964.0","36,970.0","36,943.0","34,935.0","31,592.0","34,361.0","34,084.0","36,522.0","37,945.0","39,388.0","39,373.0","41,648.0","40,642.0","40,940.0","41,204.0","39,063.0","40,939.0","40,395.0","39,707.0","42,092.0","47,227.0","47,692.0","49,632.0","54,283.0","51,638.0","56,219.0","58,160.0","55,760.0","53,676.0","52,279.0","51,739.0","50,788.0","53,008.0","50,320.0","46,576.0","43,310.0","47,125.0","43,815.0","45,835.0","47,898.0","46,356.0","46,441.0","47,921.0","49,739.0","47,384.0","49,650.0","49,661.0","49,347.0","48,972.0","48,925.0","49,226.0","50,684.0","49,626.0","52,597.0","53,045.0","55,500.0","58,968.0","56,935.0","56,008.0","55,002.0","58,336.0","57,320.0","60,510.0","58,072.0","59,920.0","61,885.0","64,458.0","67,798.0","69,714.0","74,467.0","77,105.0","87,890.0","97,593.0","108,886.0","116,530.0","115,348.0","92,633.0","86,755.0","95,789.0","92,896.0","100,190.0","104,793.0","97,777.0","105,875.0","122,372.0","128,192.0","129,192.0"
"23","4","  Industrial supplies and materials","A639RC1","8,704.0","12,596.0","12,420.0","12,996.0","13,604.0","14,092.0","13,356.0","13,996.0","13,072.0","12,952.0","13,956.0","10,608.0","14,056.0","12,564.0","13,568.0","15,400.0","16,960.0","18,468.0","20,436.0","23,096.0","26,504.0","30,624.0","31,036.0","31,248.0","31,064.0","28,656.0","28,376.0","29,224.0","30,192.0","30,992.0","32,004.0","33,368.0","32,652.0","34,068.0","34,836.0","31,320.0","32,345.0","36,919.0","40,963.0","43,431.0","46,628.0","50,396.0","55,584.0","60,553.0","66,624.0","71,293.0","68,197.0","65,689.0","68,185.0","63,704.0","63,530.0","67,467.0","66,326.0","63,878.0","59,608.0","57,386.0","55,141.0","56,259.0","57,868.0","59,247.0","58,797.0","62,615.0","63,438.0","62,854.0","60,788.0","58,360.0","58,680.0","59,733.0","58,524.0","56,786.0","58,787.0","62,021.0","61,388.0","66,287.0","68,640.0","73,390.0","79,112.0","83,063.0","86,334.0","88,324.0","90,051.0","99,117.0","97,412.0","94,960.0","98,726.0","98,192.0","101,099.0","109,748.0","110,081.0","106,852.0","103,446.0","104,487.0","103,927.0","105,759.0","106,183.0","104,803.0","103,395.0","102,992.0","101,545.0","103,746.0","103,354.0","110,960.0","120,481.0","126,794.0","137,015.0","141,471.0","143,886.0","141,591.0","140,848.0","138,129.0","140,265.0","146,047.0","147,792.0","153,908.0","156,440.0","153,880.0","150,225.0","144,297.0","139,366.0","139,117.0","134,249.0","138,192.0","143,217.0","153,822.0","160,512.0","163,459.0","171,554.0","170,965.0","165,171.0","157,935.0","151,483.0","146,622.0","144,972.0","154,706.0","156,628.0","157,578.0","166,974.0","165,543.0","166,768.0","173,759.0","187,722.0","196,389.0","201,268.0","212,495.0","220,752.0","230,883.0","228,150.0","230,247.0","250,140.0","267,766.0","271,563.0","279,723.0","293,270.0","310,507.0","320,228.0","340,808.0","371,050.0","418,092.0","430,819.0","327,711.0","263,632.0","273,651.0","308,405.0","329,272.0","357,138.0","388,194.0","388,097.0","421,225.0","469,764.0","497,055.0"
"24","5","    Durable goods","B686RC1","3,480.0","4,824.0","5,100.0","5,312.0","5,660.0","5,912.0","5,488.0","5,320.0","4,608.0","4,436.0","4,180.0","3,912.0","4,556.0","4,352.0","4,736.0","5,212.0","6,188.0","6,984.0","7,796.0","8,480.0","9,420.0","10,992.0","10,292.0","10,488.0","10,072.0","9,712.0","9,456.0","9,560.0","9,652.0","9,992.0","10,604.0","10,876.0","10,232.0","10,696.0","10,492.0","9,900.0","11,134.0","12,847.0","13,552.0","14,691.0","16,340.0","17,532.0","18,999.0","21,434.0","25,938.0","27,122.0","23,881.0","22,258.0","22,175.0","21,609.0","19,472.0","19,940.0","18,684.0","18,342.0","17,144.0","16,278.0","15,938.0","16,830.0","17,372.0","17,682.0","17,444.0","18,044.0","17,432.0","17,937.0","16,852.0","17,237.0","16,856.0","16,535.0","17,558.0","17,268.0","17,302.0","18,702.0","18,807.0","20,519.0","21,574.0","23,203.0","25,805.0","28,966.0","29,250.0","31,083.0","31,865.0","33,986.0","33,944.0","33,607.0","35,623.0","34,900.0","35,315.0","37,231.0","36,900.0","38,053.0","37,326.0","36,361.0","36,298.0","36,061.0","37,574.0","37,590.0","37,487.0","37,500.0","37,675.0","37,968.0","38,044.0","39,672.0","42,881.0","44,897.0","48,429.0","49,693.0","51,907.0","49,752.0","49,878.0","51,070.0","51,410.0","52,091.0","53,466.0","55,698.0","56,181.0","55,860.0","56,816.0","53,799.0","52,099.0","52,942.0","51,939.0","52,962.0","54,197.0","57,942.0","62,182.0","63,577.0","64,198.0","64,506.0","61,472.0","57,822.0","55,376.0","53,648.0","50,866.0","54,300.0","54,447.0","54,388.0","55,870.0","57,291.0","56,891.0","59,169.0","66,390.0","69,219.0","70,871.0","73,773.0","76,983.0","80,392.0","83,215.0","88,164.0","94,670.0","99,928.0","101,967.0","108,767.0","108,874.0","112,985.0","114,446.0","119,417.0","125,146.0","139,177.0","139,768.0","110,490.0","88,715.0","88,536.0","98,695.0","108,735.0","115,707.0","127,278.0","124,537.0","133,696.0","142,674.0","147,225.0"
"25","6","    Nondurable goods","B687RC1","5,224.0","7,772.0","7,320.0","7,684.0","7,944.0","8,180.0","7,868.0","8,676.0","8,464.0","8,516.0","9,776.0","6,696.0","9,500.0","8,212.0","8,832.0","10,188.0","10,772.0","11,484.0","12,640.0","14,616.0","17,084.0","19,632.0","20,744.0","20,760.0","20,992.0","18,944.0","18,920.0","19,664.0","20,540.0","21,000.0","21,400.0","22,492.0","22,420.0","23,372.0","24,344.0","21,420.0","21,211.0","24,072.0","27,411.0","28,740.0","30,288.0","32,864.0","36,585.0","39,119.0","40,686.0","44,171.0","44,316.0","43,431.0","46,010.0","42,095.0","44,058.0","47,527.0","47,642.0","45,536.0","42,464.0","41,108.0","39,203.0","39,429.0","40,496.0","41,565.0","41,353.0","44,571.0","46,006.0","44,917.0","43,936.0","41,123.0","41,824.0","43,198.0","40,966.0","39,518.0","41,485.0","43,319.0","42,581.0","45,768.0","47,066.0","50,187.0","53,307.0","54,097.0","57,084.0","57,241.0","58,186.0","65,131.0","63,468.0","61,353.0","63,103.0","63,292.0","65,784.0","72,517.0","73,181.0","68,799.0","66,120.0","68,126.0","67,629.0","69,698.0","68,609.0","67,213.0","65,908.0","65,492.0","63,870.0","65,778.0","65,310.0","71,288.0","77,600.0","81,897.0","88,586.0","91,778.0","91,979.0","91,839.0","90,970.0","87,059.0","88,855.0","93,956.0","94,326.0","98,210.0","100,259.0","98,020.0","93,409.0","90,498.0","87,267.0","86,175.0","82,310.0","85,230.0","89,020.0","95,880.0","98,330.0","99,882.0","107,356.0","106,459.0","103,699.0","100,113.0","96,107.0","92,974.0","94,106.0","100,406.0","102,181.0","103,190.0","111,104.0","108,252.0","109,877.0","114,590.0","121,332.0","127,170.0","130,397.0","138,722.0","143,769.0","150,491.0","144,935.0","142,083.0","155,470.0","167,838.0","169,596.0","170,956.0","184,396.0","197,522.0","205,782.0","221,391.0","245,904.0","278,915.0","291,051.0","217,221.0","174,917.0","185,115.0","209,710.0","220,537.0","241,431.0","260,916.0","263,560.0","287,529.0","327,090.0","349,830.0"
"26","7","  Capital goods, except automotive","A640RC1","10,904.0","12,584.0","12,772.0","13,432.0","13,912.0","14,856.0","14,700.0","15,168.0","15,488.0","15,364.0","15,788.0","14,848.0","16,680.0","16,368.0","16,808.0","17,800.0","19,620.0","21,360.0","22,576.0","24,440.0","27,244.0","29,944.0","31,476.0","34,848.0","35,824.0","36,864.0","36,368.0","37,500.0","37,724.0","39,216.0","39,116.0","40,396.0","38,952.0","39,864.0","40,368.0","39,880.0","41,263.0","46,041.0","48,342.0","54,343.0","56,321.0","58,069.0","60,689.0","65,646.0","69,844.0","76,443.0","76,896.0","81,949.0","82,860.0","87,150.0","82,504.0","84,185.0","80,242.0","79,999.0","75,623.0","70,139.0","71,381.0","71,224.0","69,819.0","74,224.0","73,804.0","76,189.0","77,096.0","80,938.0","80,195.0","81,218.0","76,638.0","79,235.0","80,081.0","82,869.0","82,431.0","85,884.0","83,754.0","88,080.0","95,469.0","103,526.0","112,332.0","117,579.0","118,804.0","127,696.0","128,196.0","137,840.0","142,967.0","138,760.0","151,441.0","152,260.0","155,218.0","153,039.0","156,773.0","167,049.0","169,596.0","173,001.0","177,007.0","171,941.0","176,839.0","179,716.0","178,962.0","180,620.0","180,890.0","190,367.0","197,126.0","201,107.0","211,872.0","212,727.0","219,824.0","230,670.0","239,534.0","247,640.0","250,267.0","251,284.0","249,285.0","264,994.0","278,657.0","295,102.0","306,706.0","302,860.0","302,210.0","292,949.0","296,578.0","307,552.0","301,977.0","301,174.0","315,380.0","326,459.0","329,469.0","356,397.0","374,196.0","367,935.0","364,228.0","331,797.0","302,058.0","288,812.0","285,155.0","293,493.0","297,156.0","285,943.0","282,841.0","283,194.0","293,135.0","315,523.0","320,860.0","326,163.0","330,209.0","332,934.0","342,123.0","358,091.0","357,349.0","376,137.0","391,574.0","403,183.0","403,790.0","417,554.0","420,446.0","424,340.0","439,521.0","447,768.0","454,368.0","470,834.0","473,251.0","432,171.0","392,657.0","375,770.0","383,735.0","409,682.0","422,232.0","441,478.0","456,399.0","466,282.0","470,400.0","494,109.0"
"27","8","    Civilian aircraft, engines, and parts","B688RC1","1,456.0","1,000.0","1,168.0","1,440.0","1,520.0","1,788.0","1,344.0","1,460.0","1,956.0","1,956.0","1,824.0","1,936.0","1,836.0","1,580.0","1,620.0","1,664.0","2,020.0","2,320.0","2,484.0","2,436.0","3,128.0","3,472.0","2,884.0","4,096.0","3,644.0","3,196.0","3,304.0","2,612.0","2,668.0","3,532.0","3,416.0","3,240.0","2,236.0","3,176.0","2,540.0","3,048.0","5,084.0","6,365.0","7,792.0","9,825.0","10,009.0","9,595.0","11,342.0","11,310.0","12,558.0","14,059.0","13,736.0","16,130.0","13,656.0","16,203.0","12,667.0","13,056.0","11,838.0","10,863.0","8,909.0","8,669.0","12,905.0","12,504.0","8,438.0","10,738.0","9,658.0","10,390.0","9,083.0","11,515.0","12,878.0","14,067.0","12,468.0","14,696.0","14,770.0","15,067.0","15,691.0","16,269.0","15,812.0","14,170.0","17,685.0","17,880.0","19,378.0","23,195.0","19,573.0","22,688.0","23,613.0","26,645.0","32,226.0","25,256.0","32,208.0","32,464.0","33,968.0","30,136.0","31,081.0","35,832.0","38,914.0","40,613.0","42,652.0","34,372.0","37,115.0","36,763.0","33,470.0","33,192.0","30,352.0","34,134.0","34,496.0","30,003.0","32,274.0","29,125.0","24,742.0","28,252.0","26,510.0","25,010.0","26,157.0","30,368.0","30,119.0","36,525.0","39,483.0","41,953.0","42,888.0","41,110.0","48,295.0","47,819.0","56,229.0","61,849.0","56,674.0","49,918.0","52,483.0","52,607.0","43,990.0","51,708.0","48,693.0","47,972.0","56,334.0","54,860.0","50,945.0","48,336.0","49,471.0","50,454.0","53,662.0","48,113.0","45,981.0","43,567.0","45,663.0","51,683.0","46,704.0","44,367.0","46,590.0","46,639.0","51,809.0","59,934.0","53,567.0","58,244.0","62,476.0","63,972.0","62,949.0","68,615.0","68,645.0","68,825.0","76,215.0","78,393.0","75,699.0","77,700.0","79,067.0","63,530.0","78,054.0","73,980.0","71,358.0","75,630.0","70,320.0","69,486.0","74,282.0","73,803.0","72,680.0","75,429.0"
"28","9","    Computers, peripherals, and parts","B850RC1","668.0","716.0","840.0","920.0","1,056.0","1,196.0","1,312.0","1,384.0","1,312.0","1,256.0","1,212.0","1,268.0","1,344.0","1,304.0","1,328.0","1,388.0","1,516.0","1,676.0","1,780.0","1,896.0","2,060.0","2,240.0","2,172.0","2,320.0","2,240.0","2,192.0","2,220.0","2,260.0","2,360.0","2,560.0","2,668.0","2,764.0","3,080.0","3,096.0","3,388.0","3,492.0","3,644.0","4,084.0","4,504.0","4,920.0","5,324.0","5,392.0","5,748.0","6,444.0","7,032.0","7,456.0","8,188.0","8,556.0","8,764.0","8,788.0","8,992.0","9,112.0","8,823.0","9,530.0","9,376.0","9,683.0","10,224.0","10,736.0","11,352.0","11,918.0","12,500.0","13,717.0","15,186.0","15,490.0","15,409.0","15,151.0","14,276.0","13,978.0","14,366.0","15,049.0","16,114.0","17,070.0","16,545.0","18,013.0","19,404.0","21,308.0","23,120.0","23,368.0","24,040.0","25,333.0","22,486.0","24,426.0","24,825.0","24,775.0","25,730.0","25,233.0","26,605.0","25,988.0","27,420.0","27,535.0","26,911.0","27,314.0","27,518.0","29,111.0","28,984.0","29,441.0","28,912.0","28,577.0","29,462.0","30,311.0","31,346.0","32,459.0","33,907.0","35,568.0","36,480.0","37,690.0","40,778.0","43,666.0","45,304.0","43,459.0","42,729.0","43,385.0","47,192.0","50,028.0","51,347.0","48,873.0","45,906.0","45,152.0","44,202.0","45,730.0","44,670.0","46,380.0","47,484.0","48,361.0","50,836.0","55,315.0","58,909.0","57,104.0","55,309.0","48,907.0","44,612.0","41,392.0","38,572.0","39,327.0","37,870.0","38,440.0","38,489.0","37,914.0","40,521.0","42,775.0","42,167.0","42,389.0","43,156.0","43,509.0","44,305.0","46,228.0","46,073.0","45,539.0","47,578.0","48,112.0","46,505.0","48,128.0","47,858.0","44,659.0","45,121.0","44,546.0","44,272.0","46,744.0","45,809.0","38,767.0","36,789.0","35,872.0","38,001.0","40,208.0","41,470.0","43,868.0","44,472.0","45,452.0","46,682.0","49,633.0"
"29","10","    Other","B689RC1","8,780.0","10,868.0","10,764.0","11,072.0","11,336.0","11,872.0","12,044.0","12,324.0","12,220.0","12,152.0","12,752.0","11,644.0","13,500.0","13,484.0","13,860.0","14,748.0","16,084.0","17,364.0","18,312.0","20,108.0","22,056.0","24,232.0","26,420.0","28,432.0","29,940.0","31,476.0","30,844.0","32,628.0","32,696.0","33,124.0","33,032.0","34,392.0","33,636.0","33,592.0","34,440.0","33,340.0","32,535.0","35,592.0","36,046.0","39,598.0","40,988.0","43,082.0","43,599.0","47,892.0","50,254.0","54,928.0","54,972.0","57,263.0","60,440.0","62,159.0","60,845.0","62,017.0","59,581.0","59,606.0","57,338.0","51,787.0","48,252.0","47,984.0","50,029.0","51,568.0","51,646.0","52,082.0","52,827.0","53,933.0","51,908.0","52,000.0","49,894.0","50,561.0","50,945.0","52,753.0","50,626.0","52,545.0","51,397.0","55,897.0","58,380.0","64,338.0","69,834.0","71,016.0","75,191.0","79,675.0","82,097.0","86,769.0","85,916.0","88,729.0","93,503.0","94,563.0","94,645.0","96,915.0","98,272.0","103,682.0","103,771.0","105,074.0","106,837.0","108,458.0","110,740.0","113,512.0","116,580.0","118,851.0","121,076.0","125,922.0","131,284.0","138,645.0","145,691.0","148,034.0","158,602.0","164,728.0","172,246.0","178,964.0","178,806.0","177,457.0","176,437.0","185,084.0","191,982.0","203,121.0","212,471.0","212,877.0","208,009.0","199,978.0","196,147.0","199,973.0","200,633.0","204,876.0","215,413.0","225,491.0","234,643.0","249,374.0","266,594.0","262,859.0","252,585.0","228,030.0","206,501.0","199,084.0","197,112.0","203,712.0","205,624.0","199,390.0","198,371.0","201,713.0","206,951.0","221,065.0","231,989.0","239,407.0","240,463.0","242,786.0","246,009.0","251,929.0","257,709.0","272,354.0","281,520.0","291,099.0","294,336.0","300,811.0","303,943.0","310,856.0","318,185.0","324,829.0","334,397.0","346,390.0","348,375.0","329,874.0","277,814.0","265,918.0","274,376.0","293,844.0","310,442.0","328,124.0","337,645.0","347,027.0","351,038.0","369,047.0"
"30","11","  Automotive vehicles, engines, and parts","B641RC1","3,544.0","3,948.0","4,032.0","4,200.0","3,708.0","4,384.0","4,008.0","3,496.0","4,528.0","4,872.0","4,976.0","4,540.0","5,028.0","5,320.0","5,712.0","6,044.0","6,492.0","7,016.0","6,912.0","7,388.0","7,908.0","8,220.0","9,076.0","10,056.0","9,380.0","10,860.0","11,212.0","11,724.0","11,684.0","12,044.0","12,348.0","12,840.0","13,128.0","14,060.0","13,268.0","13,684.0","13,164.0","15,346.0","15,094.0","17,046.0","17,541.0","17,720.0","17,240.0","19,090.0","17,560.0","16,364.0","16,486.0","19,362.0","18,689.0","20,822.0","20,648.0","18,612.0","17,269.0","18,767.0","17,778.0","15,105.0","16,040.0","17,935.0","18,577.0","21,295.0","21,636.0","21,400.0","23,688.0","22,964.0","23,273.0","24,911.0","26,409.0","25,184.0","24,150.0","26,149.0","24,609.0","25,476.0","25,814.0","26,864.0","26,745.0","30,908.0","32,297.0","32,714.0","33,890.0","34,688.0","37,286.0","33,205.0","33,577.0","36,497.0","36,777.0","37,114.0","36,064.0","34,826.0","36,739.0","38,613.0","42,881.0","41,364.0","43,396.0","45,748.0","48,163.0","50,225.0","50,662.0","51,215.0","49,385.0","54,958.0","53,704.0","56,427.0","58,707.0","61,290.0","63,351.0","59,338.0","61,547.0","61,342.0","61,914.0","62,765.0","67,468.0","65,291.0","69,905.0","72,655.0","75,905.0","75,278.0","76,736.0","71,646.0","67,180.0","74,483.0","73,249.0","74,677.0","75,931.0","77,170.0","83,547.0","80,216.0","79,197.0","78,463.0","73,533.0","76,790.0","76,493.0","74,925.0","75,037.0","81,045.0","80,652.0","79,037.0","79,735.0","81,976.0","78,355.0","82,468.0","83,843.0","87,691.0","92,119.0","93,196.0","94,978.0","95,496.0","98,776.0","104,376.0","106,705.0","105,568.0","106,554.0","110,221.0","114,850.0","122,301.0","124,055.0","123,847.0","122,208.0","126,411.0","130,300.0","106,888.0","68,969.0","67,817.0","88,580.0","101,493.0","107,164.0","111,244.0","113,715.0","115,832.0","128,176.0","129,208.0"
"31","12","  Consumer goods, except automotive","A642RC1","2,332.0","2,692.0","2,704.0","2,688.0","2,808.0","2,744.0","2,760.0","2,880.0","2,808.0","2,796.0","3,304.0","2,744.0","3,488.0","3,324.0","3,620.0","3,900.0","4,256.0","4,676.0","4,952.0","5,316.0","6,084.0","6,608.0","6,528.0","6,376.0","6,248.0","6,204.0","6,632.0","7,156.0","7,660.0","7,980.0","8,008.0","8,440.0","8,584.0","8,792.0","9,520.0","8,828.0","10,037.0","11,551.0","11,426.0","12,506.0","12,893.0","13,554.0","13,812.0","15,659.0","19,845.0","16,774.0","16,717.0","17,668.0","17,960.0","18,191.0","17,555.0","17,079.0","16,136.0","16,686.0","16,538.0","15,154.0","14,807.0","14,790.0","14,797.0","15,305.0","14,924.0","15,096.0","15,009.0","15,309.0","14,761.0","14,595.0","14,146.0","14,875.0","15,330.0","16,388.0","16,896.0","18,305.0","18,118.0","20,179.0","20,745.0","22,186.0","23,889.0","26,625.0","27,473.0","29,940.0","33,070.0","36,607.0","35,886.0","37,927.0","40,764.0","44,259.0","44,487.0","44,501.0","46,935.0","45,941.0","46,146.0","47,284.0","49,360.0","50,605.0","52,196.0","52,777.0","53,012.0","53,860.0","55,448.0","55,519.0","55,796.0","58,583.0","61,490.0","62,975.0","62,510.0","63,576.0","65,214.0","65,309.0","67,356.0","68,508.0","69,342.0","72,087.0","74,592.0","77,459.0","77,638.0","78,435.0","77,983.0","79,741.0","80,292.0","79,458.0","78,780.0","79,427.0","81,032.0","84,449.0","87,634.0","88,765.0","91,562.0","89,549.0","92,674.0","91,512.0","85,122.0","84,014.0","82,627.0","84,315.0","85,526.0","84,960.0","86,849.0","87,808.0","91,066.0","93,912.0","97,678.0","102,662.0","104,239.0","108,372.0","111,592.0","114,158.0","116,010.0","119,378.0","123,922.0","127,037.0","129,564.0","135,803.0","141,290.0","144,085.0","147,941.0","150,585.0","157,638.0","164,675.0","167,765.0","155,046.0","145,600.0","144,965.0","150,533.0","159,042.0","162,326.0","161,352.0","165,264.0","174,592.0","169,526.0","174,167.0"
"32","13","    Durable goods","B690RC1","1,092.0","1,228.0","1,252.0","1,188.0","1,188.0","1,144.0","1,160.0","1,264.0","1,204.0","1,184.0","1,372.0","1,320.0","1,652.0","1,580.0","1,704.0","1,872.0","2,128.0","2,360.0","2,576.0","2,664.0","3,156.0","3,440.0","3,320.0","3,168.0","2,964.0","2,952.0","3,244.0","3,388.0","3,836.0","3,876.0","3,956.0","4,140.0","4,164.0","4,108.0","4,300.0","4,116.0","5,240.0","6,108.0","5,800.0","6,502.0","6,633.0","7,010.0","7,019.0","8,403.0","12,078.0","9,080.0","8,630.0","9,264.0","9,038.0","9,314.0","8,958.0","8,542.0","7,728.0","8,118.0","8,292.0","6,895.0","6,773.0","6,926.0","6,595.0","6,879.0","6,865.0","6,792.0","6,549.0","6,750.0","6,374.0","6,573.0","6,118.0","6,527.0","6,630.0","7,372.0","7,604.0","8,770.0","8,302.0","9,554.0","9,434.0","10,603.0","11,521.0","13,331.0","13,450.0","15,062.0","17,935.0","20,015.0","19,125.0","20,963.0","22,420.0","23,947.0","24,603.0","23,318.0","24,113.0","23,930.0","24,380.0","24,960.0","25,930.0","26,002.0","26,661.0","26,846.0","27,208.0","28,050.0","28,929.0","28,501.0","28,526.0","30,084.0","30,866.0","31,811.0","32,171.0","32,428.0","32,642.0","32,787.0","33,436.0","34,422.0","35,336.0","36,826.0","37,575.0","40,092.0","40,341.0","40,125.0","39,944.0","40,825.0","41,360.0","40,947.0","39,301.0","40,929.0","42,118.0","44,825.0","46,679.0","46,073.0","47,755.0","46,311.0","49,201.0","48,459.0","44,712.0","43,106.0","43,526.0","44,032.0","44,768.0","43,366.0","43,373.0","44,723.0","46,750.0","49,390.0","49,971.0","53,233.0","55,136.0","57,301.0","59,542.0","60,868.0","63,358.0","64,571.0","67,268.0","70,367.0","71,417.0","75,321.0","78,418.0","81,347.0","83,501.0","87,597.0","91,614.0","94,972.0","94,361.0","81,851.0","73,115.0","71,830.0","77,429.0","81,682.0","82,343.0","87,428.0","89,810.0","93,868.0","95,412.0","96,392.0"
"33","14","    Nondurable goods","B691RC1","1,240.0","1,464.0","1,452.0","1,500.0","1,620.0","1,600.0","1,600.0","1,616.0","1,604.0","1,612.0","1,932.0","1,424.0","1,836.0","1,744.0","1,916.0","2,028.0","2,128.0","2,316.0","2,376.0","2,652.0","2,928.0","3,168.0","3,208.0","3,208.0","3,284.0","3,252.0","3,388.0","3,768.0","3,824.0","4,104.0","4,052.0","4,300.0","4,420.0","4,684.0","5,220.0","4,712.0","4,797.0","5,443.0","5,626.0","6,004.0","6,260.0","6,544.0","6,793.0","7,256.0","7,767.0","7,694.0","8,087.0","8,404.0","8,922.0","8,877.0","8,597.0","8,537.0","8,408.0","8,568.0","8,246.0","8,259.0","8,034.0","7,864.0","8,202.0","8,426.0","8,059.0","8,304.0","8,460.0","8,559.0","8,387.0","8,022.0","8,028.0","8,348.0","8,700.0","9,016.0","9,292.0","9,535.0","9,816.0","10,625.0","11,311.0","11,583.0","12,368.0","13,294.0","14,023.0","14,878.0","15,135.0","16,592.0","16,761.0","16,964.0","18,344.0","20,312.0","19,884.0","21,183.0","22,822.0","22,011.0","21,766.0","22,324.0","23,430.0","24,603.0","25,535.0","25,931.0","25,804.0","25,810.0","26,519.0","27,018.0","27,270.0","28,499.0","30,624.0","31,164.0","30,339.0","31,148.0","32,572.0","32,522.0","33,920.0","34,086.0","34,006.0","35,261.0","37,017.0","37,367.0","37,297.0","38,310.0","38,039.0","38,916.0","38,932.0","38,511.0","39,479.0","38,498.0","38,914.0","39,624.0","40,955.0","42,692.0","43,807.0","43,238.0","43,473.0","43,053.0","40,410.0","40,908.0","39,101.0","40,283.0","40,758.0","41,594.0","43,476.0","43,085.0","44,316.0","44,522.0","47,707.0","49,429.0","49,103.0","51,071.0","52,050.0","53,290.0","52,652.0","54,807.0","56,654.0","56,670.0","58,147.0","60,482.0","62,872.0","62,738.0","64,440.0","62,988.0","66,024.0","69,703.0","73,404.0","73,195.0","72,485.0","73,135.0","73,104.0","77,360.0","79,983.0","73,924.0","75,454.0","80,724.0","74,114.0","77,775.0"
