"","Table 1#1#6B# Real Gross Domestic Product, Chained (1952) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"43","24","    Nondefense","A825BX1","4,559.0","6,153.0","5,174.0","4,196.0","5,030.0","6,742.0","7,616.0","8,119.0","8,151.0","8,880.0","8,608.0","8,483.0","7,942.0","8,373.0","6,060.0","6,295.0","5,751.0","6,235.0","6,093.0","6,293.0","7,012.0","6,572.0","6,874.0","6,871.0","7,584.0","9,113.0","8,081.0","8,222.0","8,534.0","7,491.0","7,209.0","8,185.0","7,149.0","7,589.0","7,671.0","7,216.0","7,007.0","7,174.0","6,371.0","6,767.0","7,451.0","6,232.0","6,044.0","7,370.0","5,961.0","7,164.0","6,971.0","7,851.0","8,223.0","10,009.0","10,006.0","9,780.0","8,130.0","8,575.0","8,801.0","9,500.0","8,288.0","9,050.0","9,275.0","9,452.0","9,776.0","10,525.0","11,506.0","11,743.0"
"44","25","  State and local","A829BX1","17,530.0","17,768.0","18,182.0","18,477.0","18,449.0","18,981.0","19,317.0","19,784.0","20,604.0","21,778.0","22,683.0","23,117.0","23,692.0","23,893.0","23,911.0","23,925.0","23,688.0","24,092.0","24,208.0","24,169.0","24,244.0","24,760.0","24,090.0","24,659.0","25,187.0","25,144.0","25,817.0","26,446.0","27,395.0","27,501.0","28,268.0","28,399.0","29,591.0","29,979.0","29,932.0","30,108.0","30,433.0","30,807.0","30,959.0","31,276.0","32,062.0","32,332.0","32,788.0","33,604.0","34,554.0","35,053.0","35,818.0","36,472.0","36,775.0","36,875.0","36,907.0","36,710.0","37,349.0","38,262.0","38,833.0","39,278.0","40,552.0","40,278.0","40,619.0","41,746.0","41,444.0","41,742.0","42,274.0","42,735.0"
"45","26","Residual","A960BX1","-700.0","-200.0","300.0","0.0","-700.0","-1,100.0","-1,100.0","-1,400.0","200.0","500.0","-500.0","200.0","-900.0","-1,000.0","-700.0","-1,600.0","-1,100.0","-1,000.0","-600.0","100.0","-200.0","400.0","-100.0","0.0","0.0","100.0","300.0","1,300.0","1,300.0","1,500.0","1,500.0","800.0","-300.0","-800.0","-800.0","-1,200.0","-1,000.0","-500.0","-300.0","-200.0","100.0","100.0","200.0","2,000.0","2,200.0","2,500.0","800.0","-100.0","500.0","-1,400.0","600.0","-200.0","-2,700.0","-100.0","-200.0","2,800.0","2,100.0","800.0","-400.0","-100.0","-900.0","100.0","-200.0","600.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Chained (1952) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","index rebased with the reference year 1952 equal to 100 and of the 1952 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
