"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Net private saving","W202RC1","7,097.0","3,996.0","661.0","-3,727.0","-3,607.0","-434.0","2,572.0","4,308.0","4,965.0","1,878.0","4,356.0","7,146.0","14,667.0","33,319.0","41,008.0","45,642.0","35,955.0","18,762.0","13,180.0","24,677.0","20,576.0","23,820.0","29,046.0","31,175.0","31,212.0","31,240.0","36,021.0","40,361.0","41,329.0","40,113.0","43,628.0","43,277.0","49,276.0","56,685.0","58,845.0","69,720.0","77,962.0","82,263.0","89,942.0","86,565.0","82,719.0"
"22","4","    Domestic business","A127RC1","3,486.0","1,048.0","-1,730.0","-3,199.0","-2,831.0","-929.0","63.0","112.0","692.0","607.0","1,193.0","2,798.0","3,236.0","4,765.0","6,224.0","7,217.0","4,903.0","3,262.0","5,898.0","11,418.0","11,269.0","8,872.0","9,672.0","10,880.0","9,944.0","11,428.0","16,480.0","14,712.0","14,474.0","11,928.0","17,529.0","16,948.0","17,396.0","23,223.0","25,728.0","29,175.0","35,259.0","37,995.0","35,766.0","34,088.0","30,255.0"
"23","5","      Undistributed corporate profits","B057RC1","3,425.0","-2,019.0","-4,207.0","-4,409.0","-831.0","-232.0","421.0","999.0","1,288.0","249.0","2,421.0","3,587.0","6,301.0","6,378.0","7,032.0","6,889.0","4,732.0","10,258.0","14,356.0","16,419.0","12,166.0","16,470.0","13,659.0","12,271.0","12,510.0","12,437.0","17,365.0","17,190.0","15,915.0","12,433.0","17,459.0","15,483.0","14,778.0","17,884.0","19,472.0","22,747.0","28,880.0","32,149.0","29,138.0","29,276.0","27,155.0"
"24","6","      Inventory valuation adjustment, corporate","B058RC1","472.0","3,260.0","2,414.0","1,047.0","-2,143.0","-625.0","-227.0","-738.0","-31.0","963.0","-714.0","-200.0","-2,471.0","-1,204.0","-773.0","-287.0","-564.0","-5,263.0","-5,899.0","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0"
"25","7","      Capital consumption adjustment, corporate","A059RC1","-411.0","-193.0","63.0","163.0","143.0","-72.0","-131.0","-149.0","-565.0","-605.0","-514.0","-589.0","-594.0","-409.0","-35.0","615.0","735.0","-1,733.0","-2,559.0","-2,849.0","-2,753.0","-2,633.0","-2,788.0","-2,372.0","-1,569.0","-691.0","851.0","215.0","98.0","-250.0","347.0","1,638.0","2,347.0","5,313.0","6,202.0","6,922.0","7,624.0","7,953.0","8,182.0","8,463.0","8,970.0"
"26","8","    Households and institutions","W986RC1","3,611.0","2,948.0","2,391.0","-528.0","-776.0","495.0","2,509.0","4,196.0","4,273.0","1,271.0","3,163.0","4,348.0","11,431.0","28,554.0","34,784.0","38,425.0","31,052.0","15,500.0","7,282.0","13,259.0","9,307.0","14,948.0","19,374.0","20,295.0","21,268.0","19,812.0","19,541.0","25,649.0","26,855.0","28,185.0","26,099.0","26,329.0","31,880.0","33,462.0","33,117.0","40,545.0","42,703.0","44,268.0","54,176.0","52,477.0","52,464.0"
"27","9","      Personal saving","A071RC1","3,611.0","2,948.0","2,391.0","-528.0","-776.0","495.0","2,509.0","4,196.0","4,273.0","1,271.0","3,163.0","4,348.0","11,431.0","28,554.0","34,575.0","38,618.0","31,038.0","15,530.0","7,267.0","13,224.0","9,353.0","14,924.0","19,344.0","20,349.0","21,268.0","19,812.0","19,541.0","25,649.0","26,855.0","28,185.0","26,099.0","26,329.0","31,880.0","33,462.0","33,117.0","40,545.0","42,703.0","44,268.0","54,176.0","52,477.0","52,464.0"
"28","10","      Wage accruals less disbursements","B185RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","209.0","-193.0","14.0","-30.0","15.0","35.0","-46.0","24.0","30.0","-54.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"29","11","  Net government saving","A922RC1","2,556.0","1,584.0","-1,111.0","-676.0","-524.0","-958.0","-751.0","-916.0","2,246.0","637.0","-55.0","1,642.0","4,138.0","-7,197.0","-12,621.0","-25,288.0","-27,299.0","-3,477.0","6,745.0","4,883.0","-4,140.0","6,877.0","12,242.0","6,710.0","5,286.0","1,544.0","9,188.0","11,910.0","7,443.0","-2,565.0","7,041.0","11,421.0","6,834.0","7,659.0","10,991.0","7,291.0","9,773.0","10,011.0","-2,324.0","5,053.0","16,535.0"
"30","12","    Federal","A923RC1","1,048.0","246.0","-2,078.0","-1,336.0","-893.0","-2,171.0","-1,898.0","-3,204.0","227.0","-1,328.0","-2,076.0","-312.0","2,224.0","-8,708.0","-14,086.0","-26,863.0","-28,893.0","-4,963.0","5,316.0","3,653.0","-5,598.0","5,565.0","9,672.0","3,722.0","1,791.0","-1,686.0","5,681.0","7,510.0","3,251.0","-5,444.0","3,262.0","7,123.0","2,550.0","2,420.0","5,289.0","905.0","3,244.0","2,253.0","-9,313.0","-2,439.0","8,556.0"
"31","13","    State and local","A924RC1","1,508.0","1,338.0","967.0","660.0","369.0","1,213.0","1,147.0","2,288.0","2,019.0","1,965.0","2,021.0","1,954.0","1,914.0","1,511.0","1,465.0","1,575.0","1,594.0","1,486.0","1,429.0","1,230.0","1,458.0","1,312.0","2,570.0","2,988.0","3,495.0","3,230.0","3,507.0","4,400.0","4,192.0","2,879.0","3,779.0","4,298.0","4,284.0","5,239.0","5,702.0","6,386.0","6,529.0","7,758.0","6,989.0","7,492.0","7,979.0"
"32","14","Consumption of fixed capital","A262RC1","9,667.0","9,451.0","8,795.0","7,686.0","7,405.0","7,774.0","7,812.0","8,086.0","8,976.0","9,233.0","9,260.0","9,680.0","11,050.0","13,681.0","16,499.0","19,544.0","21,109.0","23,096.0","26,649.0","28,465.0","29,180.0","29,942.0","33,792.0","36,285.0","38,637.0","40,596.0","42,786.0","47,104.0","50,844.0","53,255.0","55,413.0","56,584.0","58,182.0","60,558.0","63,332.0","66,366.0","70,719.0","76,454.0","82,935.0","90,418.0","99,191.0"
"33","15","  Private","A024RC1","8,709.0","8,501.0","7,886.0","6,869.0","6,498.0","6,697.0","6,713.0","6,855.0","7,654.0","7,843.0","7,821.0","8,147.0","9,020.0","10,146.0","10,261.0","10,656.0","11,042.0","12,314.0","16,058.0","18,854.0","20,499.0","22,027.0","25,162.0","26,740.0","28,205.0","29,470.0","31,057.0","34,341.0","37,249.0","39,388.0","40,960.0","41,583.0","42,631.0","44,079.0","45,878.0","48,297.0","51,860.0","56,481.0","61,559.0","67,422.0","74,490.0"
"34","16","    Domestic business","W276RC1","7,603.0","7,401.0","6,878.0","6,044.0","5,689.0","5,803.0","5,825.0","5,916.0","6,599.0","6,747.0","6,703.0","6,969.0","7,712.0","8,726.0","8,733.0","9,007.0","9,285.0","10,325.0","13,497.0","15,889.0","17,321.0","18,564.0","21,171.0","22,415.0","23,614.0","24,628.0","25,831.0","28,620.0","31,172.0","33,054.0","34,297.0","34,628.0","35,427.0","36,611.0","38,059.0","40,003.0","42,933.0","46,859.0","51,191.0","56,096.0","61,937.0"
"35","17","    Households and institutions","W279RC1","1,106.0","1,100.0","1,008.0","825.0","809.0","894.0","888.0","939.0","1,055.0","1,096.0","1,118.0","1,178.0","1,308.0","1,420.0","1,528.0","1,649.0","1,757.0","1,989.0","2,561.0","2,965.0","3,178.0","3,463.0","3,991.0","4,325.0","4,591.0","4,842.0","5,226.0","5,721.0","6,077.0","6,334.0","6,663.0","6,955.0","7,204.0","7,468.0","7,819.0","8,294.0","8,927.0","9,622.0","10,368.0","11,326.0","12,553.0"
"36","18","  Government","A264RC1","958.0","950.0","909.0","817.0","907.0","1,077.0","1,099.0","1,231.0","1,322.0","1,390.0","1,439.0","1,533.0","2,030.0","3,535.0","6,238.0","8,888.0","10,067.0","10,782.0","10,591.0","9,611.0","8,681.0","7,915.0","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0"
"37","19","    Federal","A918RC1","216.0","202.0","193.0","181.0","187.0","227.0","269.0","315.0","352.0","384.0","407.0","460.0","824.0","2,126.0","4,752.0","7,464.0","8,671.0","9,252.0","8,767.0","7,521.0","6,551.0","5,786.0","6,067.0","6,808.0","7,601.0","8,237.0","8,648.0","9,218.0","9,741.0","9,854.0","10,214.0","10,576.0","10,872.0","11,467.0","12,089.0","12,322.0","12,617.0","13,095.0","13,854.0","14,679.0","15,386.0"
"38","20","    State and local","A919RC1","742.0","748.0","716.0","636.0","720.0","850.0","830.0","916.0","970.0","1,006.0","1,032.0","1,073.0","1,206.0","1,409.0","1,486.0","1,424.0","1,396.0","1,530.0","1,824.0","2,090.0","2,130.0","2,129.0","2,563.0","2,737.0","2,831.0","2,889.0","3,081.0","3,545.0","3,854.0","4,013.0","4,239.0","4,425.0","4,679.0","5,012.0","5,365.0","5,747.0","6,242.0","6,878.0","7,522.0","8,317.0","9,315.0"
"39","21","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1","20,085.0","14,617.0","9,115.0","3,584.0","3,818.0","6,781.0","9,423.0","12,678.0","16,157.0","12,433.0","14,861.0","19,556.0","30,194.0","38,928.0","43,089.0","42,477.0","33,630.0","39,552.0","48,842.0","57,533.0","47,437.0","62,013.0","78,656.0","76,918.0","79,100.0","76,494.0","90,376.0","97,608.0","99,541.0","91,760.0","106,562.0","110,330.0","113,703.0","125,220.0","132,344.0","144,150.0","159,953.0","174,901.0","175,059.0","186,350.0","201,317.0"
"40","22","Gross domestic investment","W170RC1","19,313.0","13,927.0","8,918.0","3,415.0","3,668.0","6,352.0","9,477.0","12,771.0","15,945.0","11,270.0","13,833.0","18,015.0","28,910.0","38,982.0","45,200.0","44,446.0","34,956.0","34,639.0","39,557.0","55,120.0","46,562.0","63,862.0","77,785.0","76,334.0","80,428.0","76,331.0","90,012.0","94,935.0","94,835.0","90,970.0","107,835.0","107,158.0","109,489.0","121,422.0","127,396.0","136,683.0","153,796.0","171,092.0","171,576.0","184,816.0","199,712.0"
"41","23","  Gross private domestic investment","A006RC1","16,481.0","10,759.0","5,932.0","1,268.0","1,742.0","3,691.0","6,701.0","8,640.0","12,153.0","7,078.0","9,342.0","13,642.0","18,115.0","10,436.0","6,125.0","7,798.0","10,841.0","31,148.0","34,960.0","48,102.0","36,866.0","54,063.0","60,161.0","54,024.0","56,437.0","53,819.0","69,036.0","72,026.0","70,458.0","64,487.0","78,533.0","78,891.0","78,160.0","88,132.0","93,756.0","102,057.0","118,241.0","131,305.0","128,599.0","141,179.0","156,444.0"
"42","24","    Domestic business","W987RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","53,758.0","53,695.0","62,018.0","65,608.0","72,147.0","87,072.0","101,259.0","98,235.0","106,757.0","119,548.0"
"43","25","    Households and institutions","W988RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","25,133.0","24,465.0","26,114.0","28,148.0","29,910.0","31,169.0","30,046.0","30,364.0","34,422.0","36,896.0"
"44","26","  Gross government investment","A782RC1","2,832.0","3,168.0","2,986.0","2,147.0","1,926.0","2,661.0","2,776.0","4,131.0","3,792.0","4,192.0","4,491.0","4,373.0","10,795.0","28,546.0","39,075.0","36,648.0","24,115.0","3,491.0","4,597.0","7,018.0","9,696.0","9,799.0","17,624.0","22,310.0","23,991.0","22,512.0","20,976.0","22,909.0","24,377.0","26,483.0","29,302.0","28,267.0","31,329.0","33,290.0","33,640.0","34,626.0","35,555.0","39,787.0","42,977.0","43,637.0","43,268.0"
"45","27","    Federal","A787RC1","189.0","260.0","337.0","382.0","601.0","891.0","1,174.0","1,230.0","1,228.0","1,224.0","1,122.0","1,616.0","8,560.0","27,013.0","38,207.0","35,948.0","23,309.0","1,911.0","1,756.0","2,999.0","4,354.0","3,937.0","10,657.0","14,988.0","16,081.0","13,318.0","10,941.0","11,647.0","11,857.0","12,949.0","15,380.0","14,344.0","16,281.0","17,420.0","16,125.0","15,637.0","14,707.0","16,669.0","17,668.0","15,970.0","14,966.0"
"46","28","    State and local","A799RC1","2,643.0","2,908.0","2,649.0","1,765.0","1,325.0","1,770.0","1,602.0","2,901.0","2,564.0","2,968.0","3,369.0","2,757.0","2,235.0","1,533.0","868.0","700.0","806.0","1,580.0","2,841.0","4,019.0","5,342.0","5,862.0","6,967.0","7,322.0","7,910.0","9,194.0","10,035.0","11,262.0","12,520.0","13,534.0","13,922.0","13,923.0","15,048.0","15,870.0","17,515.0","18,989.0","20,848.0","23,118.0","25,309.0","27,667.0","28,302.0"
"47","29","Capital account transactions (net) \1\","W167RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0"
"48","30","  Private","W999RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","828.0","896.0","854.0","1,115.0","1,334.0","1,756.0","1,785.0","2,736.0","3,470.0","3,456.0"
"49","31","    Domestic business","W989RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-750.0","-852.0","-972.0","-887.0","-1,006.0","-859.0","-1,049.0","-182.0","467.0","-416.0"
"50","32","    Households and institutions","W990RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,578.0","1,748.0","1,826.0","2,002.0","2,340.0","2,615.0","2,834.0","2,918.0","3,003.0","3,872.0"
"51","33","  Government","W991RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-828.0","-895.0","-855.0","-1,115.0","-1,334.0","-1,756.0","-1,784.0","-2,737.0","-3,470.0","-3,454.0"
"52","34","    Federal","W992RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,313.0","1,403.0","1,613.0","1,876.0","2,129.0","1,697.0","1,989.0","970.0","1,957.0","2,408.0"
"53","35","    State and local","W993RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-2,141.0","-2,298.0","-2,468.0","-2,991.0","-3,463.0","-3,453.0","-3,773.0","-3,707.0","-5,427.0","-5,862.0"
"54","36","Net lending or net borrowing (-), NIPAs","W162RC1","772.0","690.0","197.0","169.0","150.0","429.0","-54.0","-93.0","212.0","1,163.0","1,028.0","1,541.0","1,284.0","-54.0","-2,111.0","-1,969.0","-1,326.0","4,913.0","9,285.0","2,413.0","875.0","-1,849.0","871.0","584.0","-1,328.0","163.0","364.0","2,673.0","4,706.0","790.0","-1,273.0","3,172.0","4,214.0","3,798.0","4,948.0","7,467.0","6,157.0","3,809.0","3,483.0","1,534.0","1,603.0"
"55","37","  Private","W994RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,189.0","12,262.0","12,096.0","9,028.0","15,400.0","11,324.0","11,827.0","24,672.0","13,653.0","180.0"
"56","38","    Domestic business","W995RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-2,384.0","-609.0","-894.0","-1,758.0","-1,189.0","-6,522.0","-9,183.0","-6,590.0","-12,725.0","-24,069.0"
"57","39","    Households and institutions","W996RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,573.0","12,871.0","12,990.0","10,786.0","16,589.0","17,846.0","21,010.0","31,262.0","26,378.0","24,249.0"
"58","40","  Government","AD01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,017.0","-8,049.0","-8,297.0","-4,080.0","-7,932.0","-5,167.0","-8,019.0","-21,188.0","-12,118.0","1,422.0"
"59","41","    Federal","AD02RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,042.0","-4,262.0","-5,146.0","-623.0","-4,539.0","-543.0","-3,310.0","-14,097.0","-5,687.0","6,568.0"
"60","42","    State and local","AD03RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-3,059.0","-3,787.0","-3,151.0","-3,457.0","-3,393.0","-4,624.0","-4,709.0","-7,091.0","-6,431.0","-5,146.0"
"61","43","    Statistical discrepancy","A030RC1","765.0","-414.0","771.0","301.0","544.0","399.0","-211.0","1,200.0","-30.0","685.0","1,300.0","1,089.0","339.0","-875.0","-1,797.0","2,579.0","3,869.0","1,169.0","2,268.0","-493.0","1,820.0","1,374.0","3,576.0","2,747.0","3,966.0","3,114.0","2,380.0","-1,767.0","-74.0","956.0","479.0","-952.0","-589.0","318.0","-824.0","774.0","1,499.0","6,173.0","4,506.0","4,315.0","2,871.0"
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","44","  Gross private saving","A126RC1","15,806.0","12,497.0","8,547.0","3,142.0","2,891.0","6,263.0","9,285.0","11,163.0","12,619.0","9,721.0","12,177.0","15,293.0","23,687.0","43,465.0","51,269.0","56,298.0","46,997.0","31,076.0","29,238.0","43,531.0","41,075.0","45,847.0","54,208.0","57,915.0","59,417.0","60,710.0","67,078.0","74,702.0","78,578.0","79,501.0","84,588.0","84,860.0","91,907.0","100,764.0","104,723.0","118,017.0","129,822.0","138,744.0","151,501.0","153,987.0","157,209.0"
"64","45","    Domestic business","W997RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","51,576.0","52,823.0","59,834.0","63,787.0","69,178.0","78,192.0","84,854.0","86,957.0","90,184.0","92,192.0"
"65","46","    Households and institutions","W998RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","33,284.0","39,084.0","40,930.0","40,936.0","48,839.0","51,630.0","53,890.0","64,544.0","63,803.0","65,017.0"
"66","47","  Gross government saving","A927RC1","3,514.0","2,534.0","-202.0","141.0","383.0","119.0","348.0","315.0","3,568.0","2,027.0","1,384.0","3,175.0","6,168.0","-3,662.0","-6,383.0","-16,400.0","-17,232.0","7,305.0","17,336.0","14,494.0","4,541.0","14,792.0","20,872.0","16,255.0","15,718.0","12,670.0","20,917.0","24,673.0","21,038.0","11,302.0","21,494.0","26,422.0","22,385.0","24,138.0","28,445.0","25,360.0","28,632.0","29,984.0","19,052.0","28,049.0","41,236.0"
