"","Table 3#7# Government Current Transfer Receipts                 ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","    Current transfer receipts","W060RC1","2,738.0","2,874.0","3,083.0","3,604.0","3,865.0","4,463.0","5,057.0","5,844.0","6,841.0","8,208.0","9,431.0","11,054.0","12,688.0","15,292.0","16,935.0","19,731.0","23,370.0","25,861.0","27,027.0","27,871.0","32,501.0","36,271.0","44,871.0","50,502.0","55,311.0","60,007.0","58,378.0","66,767.0","69,255.0","75,283.0","81,651.0","92,317.0","98,916.0","104,312.0","108,902.0","119,251.0","126,652.0","135,974.0","149,186.0","163,865.0","185,203.0","194,124.0"
"20","2","From business (net)","W061RC1","1,610.0","1,593.0","1,628.0","1,818.0","2,030.0","2,395.0","2,564.0","2,826.0","3,375.0","4,352.0","5,103.0","6,102.0","6,737.0","8,226.0","8,805.0","10,563.0","12,945.0","13,902.0","13,833.0","13,025.0","16,008.0","17,919.0","22,300.0","24,507.0","26,742.0","29,115.0","25,730.0","31,836.0","31,056.0","35,420.0","37,589.0","43,567.0","45,995.0","47,932.0","48,751.0","52,534.0","55,241.0","59,592.0","66,816.0","79,014.0","96,098.0","99,004.0"
"21","3","  Federal","W012RC1","1,080.0","1,033.0","1,030.0","1,136.0","1,150.0","1,311.0","1,353.0","1,461.0","1,793.0","2,486.0","2,934.0","3,645.0","3,868.0","4,977.0","5,160.0","6,378.0","8,546.0","7,182.0","8,944.0","7,644.0","9,614.0","10,829.0","14,351.0","15,270.0","16,215.0","17,160.0","12,235.0","16,668.0","13,369.0","13,813.0","13,579.0","15,005.0","16,154.0","15,378.0","14,912.0","16,037.0","18,694.0","21,175.0","25,556.0","34,705.0","50,037.0","48,741.0"
"22","4","    Deposit insurance premiums \1\","B1041C1","257.0","224.0","200.0","217.0","364.0","444.0","391.0","431.0","480.0","553.0","567.0","659.0","1,170.0","1,562.0","1,811.0","1,958.0","3,169.0","3,426.0","3,515.0","3,481.0","4,035.0","4,589.0","7,532.0","7,943.0","8,703.0","7,793.0","4,508.0","7,218.0","1,993.0","1,949.0","2,148.0","3,298.0","3,687.0","3,489.0","3,043.0","2,606.0","2,358.0","2,495.0","3,269.0","9,616.0","26,336.0","19,000.0"
"23","5","    Other \2\","B1042C1","823.0","809.0","830.0","919.0","786.0","867.0","962.0","1,030.0","1,313.0","1,933.0","2,367.0","2,986.0","2,698.0","3,415.0","3,349.0","4,420.0","5,377.0","3,756.0","5,429.0","4,163.0","5,579.0","6,240.0","6,819.0","7,327.0","7,512.0","9,367.0","7,727.0","9,450.0","11,376.0","11,864.0","11,431.0","11,707.0","12,467.0","11,889.0","11,869.0","13,431.0","16,336.0","18,680.0","22,287.0","25,089.0","23,701.0","29,741.0"
"24","6","  State and local (net)","W076RC1","530.0","560.0","598.0","682.0","880.0","1,084.0","1,211.0","1,365.0","1,582.0","1,866.0","2,169.0","2,457.0","2,869.0","3,249.0","3,645.0","4,185.0","4,399.0","6,720.0","4,889.0","5,381.0","6,394.0","7,090.0","7,949.0","9,237.0","10,527.0","11,955.0","13,495.0","15,168.0","17,687.0","21,607.0","24,010.0","28,562.0","29,841.0","32,554.0","33,839.0","36,497.0","36,547.0","38,417.0","41,260.0","44,309.0","46,061.0","50,263.0"
"25","7","    Fines","S230561","184.0","208.0","245.0","271.0","212.0","243.0","301.0","375.0","435.0","501.0","594.0","693.0","865.0","990.0","1,145.0","1,298.0","1,433.0","3,628.0","1,699.0","1,784.0","1,965.0","2,251.0","2,409.0","2,816.0","3,512.0","4,196.0","4,886.0","5,584.0","6,125.0","6,165.0","6,757.0","7,396.0","8,019.0","8,720.0","9,814.0","10,973.0","11,309.0","12,230.0","12,655.0","12,918.0","13,453.0","13,905.0"
"26","8","    Net insurance settlements","W098RC1","9.0","5.0","-33.0","-49.0","-20.0","66.0","21.0","-25.0","-47.0","-33.0","17.0","41.0","34.0","114.0","147.0","249.0","136.0","-243.0","-354.0","-234.0","45.0","-6.0","-14.0","295.0","-62.0","-34.0","-5.0","-35.0","-115.0","153.0","108.0","52.0","-1,021.0","-339.0","-482.0","-231.0","-1,937.0","-673.0","-453.0","407.0","-413.0","-251.0"
"27","9","    Other \3\","S230571","337.0","347.0","386.0","460.0","688.0","775.0","889.0","1,015.0","1,194.0","1,398.0","1,558.0","1,723.0","1,970.0","2,145.0","2,353.0","2,638.0","2,830.0","3,335.0","3,544.0","3,831.0","4,384.0","4,845.0","5,554.0","6,126.0","7,077.0","7,793.0","8,614.0","9,619.0","11,677.0","15,289.0","17,145.0","21,114.0","22,843.0","24,173.0","24,507.0","25,755.0","27,175.0","26,860.0","29,058.0","30,984.0","33,021.0","36,609.0"
"28","10","From persons","W062RC1","1,128.0","1,281.0","1,455.0","1,786.0","1,835.0","2,068.0","2,493.0","3,018.0","3,466.0","3,856.0","4,328.0","4,952.0","5,951.0","7,066.0","8,130.0","9,168.0","10,425.0","11,959.0","13,194.0","14,846.0","16,493.0","18,352.0","22,571.0","25,995.0","28,569.0","30,892.0","32,648.0","34,931.0","38,199.0","39,863.0","44,062.0","48,750.0","52,921.0","56,380.0","60,151.0","66,717.0","71,411.0","76,382.0","82,370.0","84,851.0","89,105.0","95,120.0"
"29","11","  Federal \4\","B233RC1","61.0","88.0","65.0","135.0","128.0","115.0","125.0","146.0","168.0","183.0","185.0","232.0","259.0","700.0","980.0","1,028.0","1,195.0","1,318.0","2,029.0","2,829.0","3,086.0","3,413.0","3,883.0","4,103.0","5,042.0","5,643.0","6,174.0","7,169.0","7,920.0","8,773.0","9,829.0","10,726.0","10,881.0","10,754.0","10,682.0","12,973.0","14,903.0","17,146.0","19,246.0","19,677.0","19,726.0","20,983.0"
"30","12","  State and local","B246RC1","1,067.0","1,193.0","1,390.0","1,651.0","1,707.0","1,953.0","2,368.0","2,872.0","3,298.0","3,673.0","4,143.0","4,720.0","5,692.0","6,366.0","7,150.0","8,140.0","9,230.0","10,641.0","11,165.0","12,017.0","13,407.0","14,939.0","18,688.0","21,892.0","23,527.0","25,249.0","26,474.0","27,762.0","30,279.0","31,090.0","34,233.0","38,024.0","42,040.0","45,626.0","49,469.0","53,744.0","56,508.0","59,236.0","63,124.0","65,174.0","69,379.0","74,137.0"
"31","13","    Fines","S210661","559.0","654.0","811.0","936.0","734.0","834.0","998.0","1,210.0","1,385.0","1,602.0","1,906.0","2,224.0","2,751.0","3,162.0","3,650.0","4,164.0","4,620.0","5,276.0","5,432.0","5,666.0","6,223.0","6,668.0","7,203.0","8,074.0","8,192.0","8,525.0","8,696.0","8,746.0","9,185.0","9,248.0","10,136.0","11,093.0","12,027.0","13,080.0","14,719.0","16,458.0","16,961.0","18,345.0","18,982.0","19,377.0","20,479.0","22,157.0"
"32","14","    Other \5\","S210671","508.0","539.0","579.0","715.0","973.0","1,119.0","1,370.0","1,662.0","1,913.0","2,071.0","2,237.0","2,496.0","2,941.0","3,204.0","3,500.0","3,976.0","4,610.0","5,365.0","5,733.0","6,351.0","7,184.0","8,271.0","11,485.0","13,818.0","15,335.0","16,724.0","17,778.0","19,016.0","21,094.0","21,842.0","24,097.0","26,931.0","30,013.0","32,546.0","34,750.0","37,286.0","39,547.0","40,891.0","44,142.0","45,798.0","48,899.0","51,980.0"
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Beginning in 2008, includes receipts for the U.S. Treasury's Temporary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Guarantee Program for Money Market Funds and the Federal Deposit Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Corporation's (FDIC) Temporary Liquidity Guarantee Program.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Consists largely of fines and fees, less net insurance settlements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Consists largely of donations.  Beginning with 1997, includes settlements",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","of lawsuits with tobacco companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4. Consists of fines, immigration fees, certain penalty taxes, and excise taxes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","paid by nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","5. Consists largely of donations and other miscellaneous transfers, including",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","unclaimed bank deposits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
