"","Table 3#22# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"34","15","    To persons","B087RU1","1,997.0","1,865.0","2,533.0","1,988.0","1,905.0","1,821.0","1,650.0","1,810.0","2,032.0","2,090.0","1,999.0","2,079.0","4,257.0","2,417.0","1,696.0","1,857.0","1,933.0","1,982.0","1,980.0","1,999.0","1,977.0","1,922.0","2,076.0","2,106.0","2,204.0","2,144.0","2,098.0","2,256.0","2,606.0","2,707.0","2,592.0","2,775.0","2,963.0","2,931.0","2,772.0","2,836.0","3,094.0","3,128.0","2,998.0","3,080.0","3,470.0","3,737.0","3,516.0","3,808.0","4,451.0","4,791.0","4,539.0","4,410.0","4,826.0","4,630.0","4,473.0","4,649.0","4,967.0","4,931.0","4,872.0","5,097.0","6,004.0","5,880.0","5,665.0","5,558.0","6,094.0","5,833.0","5,713.0","5,863.0","6,583.0","6,089.0","5,933.0","6,039.0","6,630.0","6,264.0","6,118.0","6,151.0","6,771.0","6,469.0","7,170.0","6,852.0","7,364.0","7,105.0","7,341.0","8,073.0","9,097.0","9,040.0","9,131.0","9,252.0","10,102.0","10,533.0","10,524.0","10,701.0","11,369.0","11,484.0","11,307.0","11,596.0"
"35","16","    To the rest of the world \3\","W016RU1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","63.0","55.0","62.0","66.0","72.0","69.0","66.0","69.0","81.0","72.0","72.0","74.0","85.0","83.0","77.0","79.0","82.0","80.0","90.0","94.0","93.0","157.0","103.0","100.0","105.0","104.0","145.0","110.0","117.0","124.0","187.0","127.0","126.0","127.0","161.0","143.0","139.0","144.0","149.0","153.0"
"36","17","  Other current transfer payments","W010RU1","798.0","924.0","967.0","875.0","1,178.0","1,233.0","1,672.0","1,489.0","1,733.0","1,901.0","1,799.0","1,557.0","1,437.0","1,521.0","1,219.0","1,313.0","1,247.0","1,371.0","1,235.0","1,355.0","930.0","1,176.0","1,198.0","1,027.0","971.0","1,218.0","1,052.0","1,108.0","1,004.0","941.0","1,095.0","1,173.0","1,192.0","1,108.0","1,125.0","1,150.0","1,029.0","1,110.0","1,176.0","1,235.0","1,122.0","1,190.0","1,240.0","1,319.0","1,103.0","1,240.0","1,371.0","1,602.0","1,900.0","1,912.0","2,027.0","1,937.0","1,753.0","2,024.0","1,832.0","1,857.0","1,939.0","2,137.0","1,957.0","1,978.0","2,208.0","2,239.0","2,115.0","2,097.0","2,306.0","2,489.0","2,244.0","2,207.0","2,448.0","2,633.0","2,422.0","2,347.0","2,469.0","3,124.0","2,600.0","2,563.0","3,242.0","4,014.0","3,392.0","3,418.0","3,827.0","3,934.0","4,078.0","3,897.0","3,905.0","4,843.0","4,139.0","4,365.0","4,121.0","5,198.0","4,654.0","5,138.0"
"37","18","    Grants-in-aid to state and local governments","B089RU1","334.0","389.0","436.0","436.0","366.0","386.0","473.0","495.0","416.0","398.0","524.0","518.0","453.0","470.0","477.0","501.0","488.0","502.0","490.0","565.0","474.0","499.0","580.0","603.0","431.0","636.0","585.0","622.0","552.0","533.0","617.0","626.0","533.0","555.0","667.0","652.0","553.0","573.0","706.0","708.0","659.0","627.0","802.0","833.0","640.0","732.0","879.0","1,087.0","873.0","838.0","1,135.0","929.0","925.0","1,003.0","1,093.0","982.0","1,104.0","1,087.0","1,200.0","1,123.0","1,271.0","1,176.0","1,350.0","1,241.0","1,391.0","1,295.0","1,516.0","1,441.0","1,616.0","1,559.0","1,711.0","1,564.0","1,630.0","1,928.0","1,836.0","1,773.0","2,301.0","2,681.0","2,604.0","2,494.0","2,761.0","2,839.0","3,138.0","2,999.0","2,896.0","3,717.0","3,021.0","3,072.0","3,201.0","3,856.0","3,651.0","3,857.0"
"38","19","    To the rest of the world (net) \3\","W017RU1","464.0","535.0","531.0","439.0","812.0","847.0","1,199.0","994.0","1,317.0","1,503.0","1,275.0","1,039.0","984.0","1,051.0","742.0","812.0","759.0","869.0","745.0","790.0","456.0","677.0","618.0","424.0","540.0","582.0","467.0","486.0","452.0","408.0","478.0","547.0","659.0","553.0","458.0","498.0","476.0","537.0","470.0","527.0","463.0","563.0","438.0","486.0","463.0","508.0","492.0","515.0","1,027.0","1,074.0","892.0","1,008.0","828.0","1,021.0","739.0","875.0","835.0","1,050.0","757.0","855.0","937.0","1,063.0","765.0","856.0","915.0","1,194.0","728.0","766.0","832.0","1,074.0","711.0","783.0","839.0","1,196.0","764.0","790.0","941.0","1,333.0","788.0","924.0","1,066.0","1,095.0","940.0","898.0","1,009.0","1,126.0","1,118.0","1,293.0","920.0","1,342.0","1,003.0","1,281.0"
"39","20","Interest payments \1\","A091RU1","1,011.0","1,072.0","977.0","1,074.0","999.0","1,076.0","983.0","1,106.0","1,036.0","1,126.0","1,030.0","1,140.0","1,061.0","1,159.0","1,067.0","1,184.0","1,110.0","1,209.0","1,130.0","1,156.0","1,141.0","1,226.0","1,125.0","1,144.0","1,154.0","1,251.0","1,136.0","1,186.0","1,177.0","1,290.0","1,160.0","1,202.0","1,156.0","1,237.0","1,154.0","1,224.0","1,205.0","1,347.0","1,277.0","1,410.0","1,337.0","1,461.0","1,378.0","1,477.0","1,333.0","1,357.0","1,300.0","1,378.0","1,438.0","1,593.0","1,591.0","1,723.0","2,113.0","2,169.0","2,002.0","2,070.0","1,925.0","2,009.0","1,916.0","2,063.0","2,003.0","2,203.0","2,131.0","2,307.0","2,200.0","2,361.0","2,263.0","2,471.0","2,387.0","2,558.0","2,437.0","2,631.0","2,515.0","2,719.0","2,552.0","2,775.0","2,688.0","2,960.0","2,802.0","3,189.0","3,036.0","3,209.0","2,982.0","3,437.0","3,356.0","3,737.0","3,545.0","3,962.0","3,640.0","4,012.0","3,769.0","4,402.0"
"40","21","  To persons and business \1\","B092RU1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,012.0","2,083.0","1,925.0","2,002.0","1,856.0","1,944.0","1,848.0","1,987.0","1,923.0","2,119.0","2,045.0","2,218.0","2,109.0","2,266.0","2,159.0","2,360.0","2,276.0","2,448.0","2,328.0","2,508.0","2,393.0","2,601.0","2,434.0","2,644.0","2,555.0","2,826.0","2,664.0","3,045.0","2,898.0","3,061.0","2,844.0","3,263.0","3,182.0","3,553.0","3,389.0","3,774.0","3,455.0","3,820.0","3,581.0","4,190.0"
"41","22","  To the rest of the world","B093RU1","6.0","3.0","3.0","4.0","3.0","4.0","6.0","4.0","7.0","5.0","7.0","6.0","6.0","6.0","10.0","9.0","12.0","12.0","12.0","11.0","12.0","12.0","20.0","20.0","20.0","20.0","23.0","23.0","15.0","14.0","14.0","16.0","16.0","20.0","27.0","31.0","34.0","34.0","39.0","47.0","47.0","52.0","51.0","51.0","42.0","23.0","32.0","42.0","52.0","59.0","74.0","96.0","101.0","86.0","77.0","68.0","69.0","65.0","68.0","76.0","80.0","84.0","86.0","89.0","91.0","95.0","104.0","111.0","111.0","110.0","109.0","123.0","122.0","118.0","118.0","131.0","133.0","134.0","138.0","144.0","138.0","148.0","138.0","174.0","174.0","184.0","156.0","188.0","185.0","192.0","188.0","212.0"
"42","23","Subsidies \2\","B096RU1","172.0","268.0","84.0","59.0","99.0","212.0","145.0","190.0","195.0","176.0","137.0","146.0","237.0","325.0","209.0","246.0","357.0","406.0","226.0","244.0","265.0","295.0","200.0","158.0","235.0","174.0","189.0","80.0","107.0","258.0","132.0","70.0","178.0","233.0","117.0","109.0","244.0","189.0","296.0","496.0","275.0","567.0","611.0","105.0","366.0","369.0","703.0","339.0","192.0","155.0","275.0","436.0","179.0","204.0","240.0","523.0","177.0","521.0","395.0","921.0","509.0","259.0","608.0","897.0","410.0","254.0","1,000.0","558.0","585.0","299.0","1,146.0","689.0","625.0","298.0","1,461.0","605.0","552.0","365.0","2,183.0","825.0","730.0","340.0","2,060.0","655.0","582.0","338.0","2,671.0","556.0","561.0","339.0","3,008.0","601.0"
"43","24","Less: Wage accruals less disbursements","B098RU1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","11.0","182.0","-158.0","12.0","12.0","8.0","0.0","-12.0","-18.0","-26.0","-20.0","0.0","0.0","0.0","0.0","30.0","115.0","-145.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","160.0","154.0","-314.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29.0","-29.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"44","25","    Net federal government saving","A923RU1","4,851.0","-407.0","235.0","637.0","5,474.0","-329.0","9.0","-1,501.0","1,017.0","-2,947.0","-1,349.0","-2,319.0","-170.0","94.0","3,763.0","1,878.0","7,937.0","1,440.0","484.0","-189.0","5,618.0","-238.0","-136.0","-1,522.0","4,854.0","-1,295.0","1,408.0","-3,176.0","3,359.0","-2,706.0","-51.0","-2,288.0","2,037.0","2,741.0","1,111.0","-208.0","3,524.0","2,841.0","2,189.0","-1,044.0","2,656.0","2,616.0","703.0","-2,724.0","-145.0","-522.0","-1,629.0","-3,148.0","1,409.0","2,868.0","184.0","-1,199.0","3,118.0","4,938.0","938.0","-1,871.0","-83.0","2,948.0","879.0","-1,194.0","817.0","4,303.0","18.0","-2,718.0","1,108.0","5,427.0","-218.0","-1,028.0","725.0","3,935.0","-1,330.0","-2,425.0","2,015.0","6,528.0","-1,775.0","-3,524.0","1,343.0","6,590.0","-2,688.0","-2,992.0","-1,128.0","1,990.0","-3,817.0","-6,358.0","-1,134.0","2,742.0","-271.0","-3,776.0","3,677.0","8,303.0","-266.0","-3,158.0"
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","26","  Gross government investment","A787RU1","393.0","402.0","462.0","499.0","677.0","677.0","704.0","941.0","948.0","1,006.0","1,177.0","1,223.0","885.0","879.0","1,066.0","1,107.0","1,595.0","2,263.0","2,971.0","3,828.0","3,626.0","3,637.0","3,804.0","3,921.0","4,039.0","4,213.0","4,075.0","3,754.0","3,707.0","3,490.0","3,087.0","3,034.0","2,806.0","2,892.0","2,664.0","2,579.0","2,687.0","2,700.0","3,135.0","3,125.0","2,973.0","2,792.0","3,040.0","3,052.0","3,010.0","2,968.0","3,408.0","3,563.0","3,964.0","3,832.0","3,955.0","3,629.0","3,551.0","3,466.0","3,702.0","3,625.0","4,012.0","3,947.0","4,107.0","4,215.0","4,308.0","4,262.0","4,494.0","4,356.0","3,941.0","3,982.0","4,310.0","3,892.0","3,914.0","3,875.0","3,953.0","3,895.0","3,652.0","3,611.0","3,785.0","3,659.0","4,023.0","3,834.0","4,392.0","4,420.0","4,454.0","4,212.0","4,609.0","4,393.0","4,115.0","4,077.0","3,974.0","3,804.0","4,190.0","3,631.0","3,825.0","3,320.0"
"47","27","  Consumption of fixed capital","A918RU1","2,316.0","2,205.0","2,162.0","2,084.0","1,974.0","1,893.0","1,862.0","1,792.0","1,768.0","1,676.0","1,582.0","1,525.0","1,469.0","1,429.0","1,423.0","1,465.0","1,488.0","1,495.0","1,520.0","1,564.0","1,613.0","1,666.0","1,733.0","1,796.0","1,842.0","1,905.0","1,908.0","1,946.0","1,997.0","2,040.0","2,079.0","2,121.0","2,132.0","2,134.0","2,172.0","2,210.0","2,265.0","2,294.0","2,317.0","2,342.0","2,400.0","2,419.0","2,451.0","2,471.0","2,433.0","2,440.0","2,478.0","2,503.0","2,517.0","2,539.0","2,565.0","2,593.0","2,617.0","2,637.0","2,650.0","2,672.0","2,685.0","2,704.0","2,726.0","2,757.0","2,806.0","2,819.0","2,887.0","2,955.0","2,985.0","3,020.0","3,036.0","3,048.0","3,063.0","3,073.0","3,083.0","3,103.0","3,116.0","3,143.0","3,172.0","3,186.0","3,206.0","3,255.0","3,295.0","3,339.0","3,382.0","3,431.0","3,491.0","3,550.0","3,606.0","3,638.0","3,693.0","3,742.0","3,790.0","3,833.0","3,862.0","3,901.0"
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Beginning with 1959, includes royalties paid from production on the Outer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Continental Shelf.  Beginning with 1960, includes interest receipts.  Prior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","to 1960, interest receipts are included in interest payments (line 20), which",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","are shown net of interest receipts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Prior to 1959, subsidies (line 23) and the current surplus of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","government enterprises (line 10) are not shown separately; subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","3. Prior to 1960, government social benefits to the rest of the world",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","(line 16) are included in line 19, ""other current transfer payments to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
